ID;Bedrijfsactiviteiten;Grootteklassen;Perioden;Bedrijven_1;WerknemersUltimoSeptember_2;TotaalProductiewaarde_3;IndustrieleVerkopen_4;VoorraadmutatiesProducten_5;MargeHandelOvOpbrengsten_6;TotaalVerbruikswaarde_7;IndustrieleInkopen_8;VoorraadmutatiesGrondEnHulpstoffen_9;Energieverbruik_10;OverigeBedrijfskosten_11;TotaalToegevoegdeWaarde_12;Arbeidskosten_13;HeffingenEnBelastingen_14;TotaalBrutoBedrijfsresultaat_15;SaldoInterest_16;SaldoOverigeBatenEnLasten_17;AfschrijvingenOpVasteActiva_18;ResultaatVoorBelastingen_19;CodeBedrijfsactiviteit_20
0;Dx Industrie excl. sociale werkplaatsen;0 of meer werknemers;1996;60838;8331.0;156644.0;148092.0;278.0;8274.0;108278.0;85015.0;151.0;3338.0;20076.0;48365.0;27901.0;1687.0;18777.0;-1316.0;137.0;6848.0;10748.0;Dx    
1;Dx Industrie excl. sociale werkplaatsen;0 of meer werknemers;1997;62493;8281.0;168510.0;158653.0;836.0;9021.0;117188.0;91523.0;294.0;3695.0;22264.0;51322.0;28255.0;1698.0;21369.0;-1223.0;-146.0;6987.0;13014.0;Dx    
2;Dx Industrie excl. sociale werkplaatsen;0 of meer werknemers;1998;62152;8481.0;174593.0;163114.0;1338.0;10141.0;121884.0;94752.0;46.0;3570.0;23608.0;52709.0;29725.0;1578.0;21406.0;-1271.0;497.0;7419.0;13212.0;Dx    
3;Dx Industrie excl. sociale werkplaatsen;0 of meer werknemers;1999;63533;8489.0;177748.0;167475.0;38.0;10235.0;124528.0;96872.0;394.0;3402.0;24648.0;53219.0;30427.0;1751.0;21041.0;-1316.0;897.0;7666.0;12993.0;Dx    
4;Dx Industrie excl. sociale werkplaatsen;0 tot 20 werknemers;1996;54626;1663.0;17744.0;16636.0;32.0;1076.0;10931.0;8075.0;36.0;246.0;2646.0;6813.0;4093.0;35.0;2685.0;-259.0;-10.0;822.0;1594.0;Dx    
5;Dx Industrie excl. sociale werkplaatsen;0 tot 20 werknemers;1997;56143;1675.0;18417.0;17240.0;37.0;1140.0;11459.0;8493.0;33.0;262.0;2737.0;6957.0;3992.0;30.0;2935.0;-241.0;-6.0;859.0;1829.0;Dx    
6;Dx Industrie excl. sociale werkplaatsen;0 tot 20 werknemers;1998;55719;1806.0;19886.0;18771.0;69.0;1046.0;12215.0;9074.0;65.0;262.0;2944.0;7671.0;4502.0;-51.0;3220.0;-236.0;29.0;962.0;2052.0;Dx    
7;Dx Industrie excl. sociale werkplaatsen;0 tot 20 werknemers;1999;56942;1821.0;20202.0;18861.0;47.0;1294.0;12297.0;8983.0;56.0;277.0;3093.0;7904.0;4718.0;6.0;3180.0;-253.0;42.0;973.0;2031.0;Dx    
8;Dx Industrie excl. sociale werkplaatsen;20 of meer werknemers;1996;6212;6668.0;138900.0;131456.0;247.0;7197.0;97348.0;76940.0;113.0;3091.0;17430.0;41552.0;23808.0;1652.0;16092.0;-1057.0;147.0;6027.0;9155.0;Dx    
9;Dx Industrie excl. sociale werkplaatsen;20 of meer werknemers;1997;6350;6607.0;150094.0;141413.0;801.0;7880.0;105729.0;83030.0;262.0;3434.0;19527.0;44365.0;24262.0;1668.0;18435.0;-983.0;-139.0;6128.0;11185.0;Dx    
