ID;Deelstroomgebieden;Taakvelden;Perioden;BrutoMilieukosten_1;OpbrengstenEnBesparingen_2;NettoMilieukosten_3;BetaaldeOverdrachten_4;OntvangenOverdrachten_5;NettoMilieulasten_6;TotaalInvesteringen_7;Nieuwbouw_8;UitbreidingAanpassingEnVervanging_9;ImmaterieleVasteActiva_10
0;Nederland;Totaal;1999;888;44;845;100;960;-15;417.0;121.0;292.0;4.0
1;Nederland;Totaal;2000;966;55;911;98;1033;-24;347.0;93.0;250.0;4.0
2;Nederland;Totaal;2001;963;57;906;106;1074;-62;346.0;66.0;275.0;5.0
3;Nederland;Totaal;2002;981;74;907;104;1106;-95;289.0;65.0;218.0;6.0
4;Nederland;Totaal;2003;1011;56;956;107;1150;-86;371.0;56.0;312.0;3.0
5;Nederland;Totaal;2005;1085;62;1023;123;1231;-85;576.0;193.0;375.0;9.0
6;Nederland;Totaal;2007;1261;85;1176;48;1281;-58;455.0;128.0;312.0;15.0
7;Nederland;Apparaatskosten;1999;68;6;62;0;5;57;;;;
8;Nederland;Apparaatskosten;2000;59;11;49;0;10;39;;;;
9;Nederland;Apparaatskosten;2001;56;11;46;0;9;36;;;;
10;Nederland;Apparaatskosten;2002;61;20;41;0;10;31;;;;
11;Nederland;Apparaatskosten;2003;67;8;59;1;7;53;;;;
12;Nederland;Apparaatskosten;2005;76;0;76;1;7;71;;;;
13;Nederland;Apparaatskosten;2007;52;0;52;1;30;23;;;;
14;Nederland;Ontwikkelen van plannen;1999;7;0;7;0;0;7;;;;
15;Nederland;Ontwikkelen van plannen;2000;9;0;9;0;0;9;;;;
16;Nederland;Ontwikkelen van plannen;2001;11;0;10;0;0;10;;;;
17;Nederland;Ontwikkelen van plannen;2002;14;0;14;0;0;14;;;;
18;Nederland;Ontwikkelen van plannen;2003;19;1;18;0;1;18;;;;
19;Nederland;Ontwikkelen van plannen;2005;30;0;30;0;1;30;;;;
20;Nederland;Ontwikkelen van plannen;2007;46;0;46;1;0;47;;;;
21;Nederland;Beheren van het oppervlakte water;1999;47;3;44;1;7;38;;;;
22;Nederland;Beheren van het oppervlakte water;2000;49;3;46;1;6;40;;;;
23;Nederland;Beheren van het oppervlakte water;2001;53;2;51;1;4;49;;;;
24;Nederland;Beheren van het oppervlakte water;2002;48;2;46;1;4;44;;;;
25;Nederland;Beheren van het oppervlakte water;2003;54;5;49;2;8;43;;;;
26;Nederland;Beheren van het oppervlakte water;2005;51;0;51;2;1;52;;;;
27;Nederland;Beheren van het oppervlakte water;2007;75;0;75;2;8;69;;;;
28;Nederland;Beheren van lozingen;1999;35;2;33;1;2;32;;;;
29;Nederland;Beheren van lozingen;2000;47;1;47;0;1;46;;;;
30;Nederland;Beheren van lozingen;2001;50;1;49;0;1;49;;;;
31;Nederland;Beheren van lozingen;2002;54;1;54;0;1;53;;;;
32;Nederland;Beheren van lozingen;2003;59;0;59;1;2;58;;;;
33;Nederland;Beheren van lozingen;2005;70;0;70;1;0;71;;;;
34;Nederland;Beheren van lozingen;2007;75;0;75;0;0;75;;;;
35;Nederland;Zuiveringsbeheer, totaal;1999;690;30;660;92;46;706;;;;
36;Nederland;Zuiveringsbeheer, totaal;2000;756;38;718;97;44;771;;;;
37;Nederland;Zuiveringsbeheer, totaal;2001;752;41;710;103;53;760;;;;
38;Nederland;Zuiveringsbeheer, totaal;2002;757;49;708;102;41;769;;;;
39;Nederland;Zuiveringsbeheer, totaal;2003;766;40;726;103;52;777;;;;
40;Nederland;Zuiveringsbeheer, totaal;2005;811;62;749;118;58;810;;;;
41;Nederland;Zuiveringsbeheer, totaal;2007;941;85;855;45;36;864;;;;
42;Nederland;Zuiveringsbeheer, transport;1999;120;5;116;1;8;108;;;;
43;Nederland;Zuiveringsbeheer, transport;2000;139;8;131;0;11;120;;;;
44;Nederland;Zuiveringsbeheer, transport;2001;129;9;120;0;11;110;;;;
45;Nederland;Zuiveringsbeheer, transport;2002;134;9;125;0;8;117;;;;
46;Nederland;Zuiveringsbeheer, transport;2003;134;7;128;1;9;120;;;;
47;Nederland;Zuiveringsbeheer, transport;2005;121;3;118;3;6;115;;;;
48;Nederland;Zuiveringsbeheer, transport;2007;139;2;138;0;2;136;;;;
49;Nederland;Zuiveringsbeheer, zuivering;1999;432;19;413;4;26;390;;;;
50;Nederland;Zuiveringsbeheer, zuivering;2000;466;22;444;2;22;424;;;;
51;Nederland;Zuiveringsbeheer, zuivering;2001;482;22;460;3;29;435;;;;
52;Nederland;Zuiveringsbeheer, zuivering;2002;473;27;446;4;21;429;;;;
53;Nederland;Zuiveringsbeheer, zuivering;2003;491;24;467;7;31;443;;;;
54;Nederland;Zuiveringsbeheer, zuivering;2005;529;52;477;32;44;465;;;;
55;Nederland;Zuiveringsbeheer, zuivering;2007;571;84;487;42;34;495;;;;
56;Nederland;Zuiveringsbeheer, slibverwerking;1999;138;7;131;87;12;207;;;;
57;Nederland;Zuiveringsbeheer, slibverwerking;2000;151;9;142;94;11;226;;;;
58;Nederland;Zuiveringsbeheer, slibverwerking;2001;141;11;130;100;13;216;;;;
59;Nederland;Zuiveringsbeheer, slibverwerking;2002;151;13;137;97;11;224;;;;
60;Nederland;Zuiveringsbeheer, slibverwerking;2003;140;9;131;95;11;215;;;;
61;Nederland;Zuiveringsbeheer, slibverwerking;2005;161;7;154;84;8;230;;;;
62;Nederland;Zuiveringsbeheer, slibverwerking;2007;230;0;230;2;0;233;;;;
63;Nederland;Heffen en  invorderen;1999;42;2;40;5;900;-855;;;;
64;Nederland;Heffen en  invorderen;2000;45;2;43;0;972;-929;;;;
65;Nederland;Heffen en  invorderen;2001;41;2;39;1;1007;-967;;;;
66;Nederland;Heffen en  invorderen;2002;46;2;44;0;1050;-1006;;;;
67;Nederland;Heffen en  invorderen;2003;47;2;45;0;1081;-1035;;;;
68;Nederland;Heffen en  invorderen;2005;47;0;47;0;1165;-1117;;;;
69;Nederland;Heffen en  invorderen;2007;72;0;72;0;1208;-1136;;;;
70;Eems;Totaal;1999;10;0;10;2;9;2;2.0;0.0;2.0;0.0
71;Eems;Totaal;2000;25;2;23;0;29;-5;13.0;0.0;13.0;0.0
72;Eems;Totaal;2001;26;2;24;0;34;-10;9.0;2.0;7.0;0.0
73;Eems;Totaal;2002;32;5;27;0;37;-10;7.0;0.0;5.0;2.0
