ID;Pensioenfonds;SoortPensioenuitkering;Perioden;BrutoUitkeringen_1;UitkeringenHerverzekering_2;NettoUitkeringen_3
0;Totaal pensioenfondsen;Totaal uitkeringen;1997;9947.0;470.0;9477.0
1;Totaal pensioenfondsen;Totaal uitkeringen;1998;10661.0;530.0;10130.0
2;Totaal pensioenfondsen;Totaal uitkeringen;1999;11333.0;504.0;10829.0
3;Totaal pensioenfondsen;Totaal uitkeringen;2000;12523.0;366.0;12157.0
4;Totaal pensioenfondsen;Totaal uitkeringen;2001;12792.0;358.0;12434.0
5;Totaal pensioenfondsen;Totaal uitkeringen;2002;14368.0;373.0;13995.0
6;Totaal pensioenfondsen;Totaal uitkeringen;2003;15725.0;443.0;15283.0
7;Totaal pensioenfondsen;Totaal uitkeringen;2004;16573.0;147.0;16426.0
8;Totaal pensioenfondsen;Totaal uitkeringen;2005;17867.0;142.0;17725.0
9;Totaal pensioenfondsen;Totaal uitkeringen;2006;19040.0;112.0;18928.0
10;Totaal pensioenfondsen;Totaal uitkeringen;2007;20782.0;637.0;20145.0
11;Totaal pensioenfondsen;Totaal uitkeringen;2008;21814.0;431.0;21383.0
12;Totaal pensioenfondsen;Totaal uitkeringen;2009;22939.0;493.0;22446.0
13;Totaal pensioenfondsen;Totaal uitkeringen;2010;24232.0;518.0;23714.0
14;Totaal pensioenfondsen;Totaal uitkeringen;2011;25087.0;501.0;24586.0
15;Totaal pensioenfondsen;Totaal uitkeringen;2012;25935.0;438.0;25497.0
16;Totaal pensioenfondsen;Totaal uitkeringen;2013;26506.0;438.0;26068.0
17;Totaal pensioenfondsen;Totaal uitkeringen;2014;27151.0;380.0;26771.0
18;Totaal pensioenfondsen;Totaal uitkeringen;2015;27936.0;339.0;27597.0
19;Totaal pensioenfondsen;Ouderdomspensioenen;1997;6329.0;271.0;6057.0
20;Totaal pensioenfondsen;Ouderdomspensioenen;1998;6993.0;326.0;6666.0
21;Totaal pensioenfondsen;Ouderdomspensioenen;1999;7121.0;293.0;6828.0
22;Totaal pensioenfondsen;Ouderdomspensioenen;2000;8088.0;252.0;7836.0
23;Totaal pensioenfondsen;Ouderdomspensioenen;2001;8238.0;252.0;7985.0
24;Totaal pensioenfondsen;Ouderdomspensioenen;2002;9086.0;265.0;8821.0
25;Totaal pensioenfondsen;Ouderdomspensioenen;2003;10186.0;313.0;9873.0
26;Totaal pensioenfondsen;Ouderdomspensioenen;2004;10713.0;66.0;10647.0
27;Totaal pensioenfondsen;Ouderdomspensioenen;2005;11610.0;76.0;11534.0
28;Totaal pensioenfondsen;Ouderdomspensioenen;2006;12276.0;59.0;12217.0
29;Totaal pensioenfondsen;Ouderdomspensioenen;2007;14565.0;490.0;14075.0
30;Totaal pensioenfondsen;Ouderdomspensioenen;2008;15395.0;326.0;15069.0
31;Totaal pensioenfondsen;Ouderdomspensioenen;2009;17044.0;380.0;16664.0
32;Totaal pensioenfondsen;Ouderdomspensioenen;2010;17978.0;399.0;17579.0
33;Totaal pensioenfondsen;Ouderdomspensioenen;2011;18827.0;376.0;18451.0
34;Totaal pensioenfondsen;Ouderdomspensioenen;2012;19761.0;334.0;19427.0
35;Totaal pensioenfondsen;Ouderdomspensioenen;2013;20457.0;341.0;20116.0
36;Totaal pensioenfondsen;Ouderdomspensioenen;2014;21299.0;298.0;21001.0
37;Totaal pensioenfondsen;Ouderdomspensioenen;2015;22144.0;269.0;21875.0
38;Totaal pensioenfondsen;Invaliditeitspensioenen;1997;492.0;10.0;482.0
39;Totaal pensioenfondsen;Invaliditeitspensioenen;1998;468.0;14.0;455.0
40;Totaal pensioenfondsen;Invaliditeitspensioenen;1999;520.0;12.0;507.0
41;Totaal pensioenfondsen;Invaliditeitspensioenen;2000;554.0;10.0;544.0
42;Totaal pensioenfondsen;Invaliditeitspensioenen;2001;578.0;13.0;565.0
43;Totaal pensioenfondsen;Invaliditeitspensioenen;2002;640.0;14.0;626.0
44;Totaal pensioenfondsen;Invaliditeitspensioenen;2003;691.0;14.0;678.0
45;Totaal pensioenfondsen;Invaliditeitspensioenen;2004;732.0;17.0;715.0
46;Totaal pensioenfondsen;Invaliditeitspensioenen;2005;671.0;14.0;657.0
47;Totaal pensioenfondsen;Invaliditeitspensioenen;2006;677.0;37.0;640.0
48;Totaal pensioenfondsen;Invaliditeitspensioenen;2007;730.0;12.0;718.0
49;Totaal pensioenfondsen;Invaliditeitspensioenen;2008;681.0;8.0;673.0
50;Totaal pensioenfondsen;Invaliditeitspensioenen;2009;643.0;9.0;634.0
51;Totaal pensioenfondsen;Invaliditeitspensioenen;2010;606.0;8.0;598.0
52;Totaal pensioenfondsen;Invaliditeitspensioenen;2011;566.0;11.0;555.0
53;Totaal pensioenfondsen;Invaliditeitspensioenen;2012;516.0;9.0;507.0
54;Totaal pensioenfondsen;Invaliditeitspensioenen;2013;488.0;6.0;482.0
55;Totaal pensioenfondsen;Invaliditeitspensioenen;2014;469.0;5.0;464.0
56;Totaal pensioenfondsen;Invaliditeitspensioenen;2015;457.0;4.0;453.0
57;Totaal pensioenfondsen;Weduwnaar/weduwenpensioenen;1997;2402.0;82.0;2321.0
58;Totaal pensioenfondsen;Weduwnaar/weduwenpensioenen;1998;2476.0;111.0;2365.0
59;Totaal pensioenfondsen;Weduwnaar/weduwenpensioenen;1999;2665.0;101.0;2564.0
60;Totaal pensioenfondsen;Weduwnaar/weduwenpensioenen;2000;2879.0;68.0;2811.0
61;Totaal pensioenfondsen;Weduwnaar/weduwenpensioenen;2001;2919.0;62.0;2858.0
62;Totaal pensioenfondsen;Weduwnaar/weduwenpensioenen;2002;3162.0;60.0;3102.0
63;Totaal pensioenfondsen;Weduwnaar/weduwenpensioenen;2003;3386.0;62.0;3325.0
64;Totaal pensioenfondsen;Weduwnaar/weduwenpensioenen;2004;3525.0;29.0;3496.0
65;Totaal pensioenfondsen;Weduwnaar/weduwenpensioenen;2005;3703.0;27.0;3676.0
66;Totaal pensioenfondsen;Weduwnaar/weduwenpensioenen;2006;3954.0;16.0;3938.0
67;Totaal pensioenfondsen;Weduwnaar/weduwenpensioenen;2007;4021.0;119.0;3902.0
68;Totaal pensioenfondsen;Weduwnaar/weduwenpensioenen;2008;4171.0;81.0;4090.0
69;Totaal pensioenfondsen;Weduwnaar/weduwenpensioenen;2009;4300.0;92.0;4208.0
