ID;Beroep;BeroepVoorgaandePeriode;Persoonskenmerken;Perioden;WerkzameBeroepsbevolking_1
0;Totaal;Totaal;Totaal personen;2013 1e kwartaal;8112.0
1;Totaal;Totaal;Totaal personen;2013 2e kwartaal;8084.0
2;Totaal;Totaal;Totaal personen;2013 3e kwartaal;8072.0
3;Totaal;Totaal;Totaal personen;2013 4e kwartaal;8058.0
4;Totaal;Totaal;Totaal personen;2014 1e kwartaal;8007.0
5;Totaal;Totaal;Totaal personen;2014 2e kwartaal;7985.0
6;Totaal;Totaal;Totaal personen;2014 3e kwartaal;8010.0
7;Totaal;Totaal;Totaal personen;2014 4e kwartaal;8047.0
8;Totaal;Totaal;Totaal personen;2015 1e kwartaal;8059.0
9;Totaal;Totaal;Totaal personen;2015 2e kwartaal;8079.0
10;Totaal;Totaal;Totaal personen;2015 3e kwartaal;8094.0
11;Totaal;Totaal;Totaal personen;2015 4e kwartaal;8117.0
12;Totaal;Totaal;Totaal personen;2016 1e kwartaal;8121.0
13;Totaal;Totaal;Totaal personen;2016 2e kwartaal;8154.0
14;Totaal;Totaal;Totaal personen;2016 3e kwartaal;8211.0
15;Totaal;Totaal;Totaal personen;2016 4e kwartaal;8265.0
16;Totaal;Totaal;Totaal personen;2017 1e kwartaal;8296.0
17;Totaal;Totaal;Totaal personen;2017 2e kwartaal;8339.0
18;Totaal;Totaal;Totaal personen;2017 3e kwartaal;8389.0
19;Totaal;Totaal;Totaal personen;2017 4e kwartaal;8444.0
20;Totaal;Totaal;Totaal personen;2018 1e kwartaal;8483.0
21;Totaal;Totaal;Totaal personen;2018 2e kwartaal;8529.0
22;Totaal;Totaal;Totaal personen;2018 3e kwartaal;8595.0
23;Totaal;Totaal;Totaal personen;2018 4e kwartaal;8647.0
24;Totaal;Totaal;Totaal personen;2019 1e kwartaal;8692.0
25;Totaal;Totaal;Totaal personen;2019 2e kwartaal;8723.0
26;Totaal;Totaal;Totaal personen;2019 3e kwartaal;8771.0
27;Totaal;Totaal;Totaal personen;2019 4e kwartaal;8797.0
28;Totaal;Totaal;Totaal personen;2020 1e kwartaal;8831.0
29;Totaal;Totaal;Totaal personen;2020 2e kwartaal;8767.0
30;Totaal;Totaal;Totaal personen;2020 3e kwartaal;8706.0
31;Totaal;Totaal;Totaal personen;2020 4e kwartaal;8738.0
32;Totaal;Totaal;Totaal personen;2021 1e kwartaal;
33;Totaal;Totaal;Totaal personen;2021 2e kwartaal;8857.0
34;Totaal;Totaal;Totaal personen;2021 3e kwartaal;8910.0
35;Totaal;Totaal;Totaal personen;2021 4e kwartaal;8977.0
36;Totaal;Totaal;Totaal personen;2022 1e kwartaal;9073.0
37;Totaal;Totaal;Totaal personen;2022 2e kwartaal;9156.0
38;Totaal;Totaal;Totaal personen;2022 3e kwartaal;9211.0
39;Totaal;Totaal;Totaal personen;2022 4e kwartaal;9279.0
40;Totaal;Totaal;Totaal personen;2023 1e kwartaal;9345.0
41;Totaal;Totaal;Totaal personen;2023 2e kwartaal;9385.0
42;Totaal;Totaal;Totaal personen;2023 3e kwartaal;9399.0
43;Totaal;Totaal;Totaal personen;2023 4e kwartaal;9434.0
44;Totaal;Totaal;Totaal personen;2024 1e kwartaal;9476.0
45;Totaal;Totaal;Totaal personen;2024 2e kwartaal;9477.0
46;Totaal;Totaal;Totaal personen;2024 3e kwartaal;9460.0
47;Totaal;Totaal;Totaal personen;2024 4e kwartaal;9464.0
48;Totaal;Totaal;Geslacht: Mannen;2013 1e kwartaal;4344.0
49;Totaal;Totaal;Geslacht: Mannen;2013 2e kwartaal;4319.0
50;Totaal;Totaal;Geslacht: Mannen;2013 3e kwartaal;4324.0
51;Totaal;Totaal;Geslacht: Mannen;2013 4e kwartaal;4316.0
52;Totaal;Totaal;Geslacht: Mannen;2014 1e kwartaal;4317.0
53;Totaal;Totaal;Geslacht: Mannen;2014 2e kwartaal;4309.0
