ID;AantalVoorzieningen;SoortVoorzieningSociaalDomein;Wijken;Perioden;Gemeentenaam_1;SoortRegio_2;Codering_3;IndelingswijzigingWijken_4;ClientenMetVoorzieningen_5;HuishoudensMetVoorzieningen_6;ClientenMetVoorzieningen_7;HuishoudensMetVoorzieningen_8
0;Totaal;Totaal;Aa en Hunze;1e halfjaar 2017;Aa en Hunze                             ;Gemeente ;GM1680  ;;2185.0;1820.0;86.0;161.0
1;Totaal;Totaal;Aa en Hunze;2e halfjaar 2017;Aa en Hunze                             ;Gemeente ;GM1680  ;;2260.0;1890.0;88.0;166.0
2;Totaal;Totaal;Aa en Hunze;2017;Aa en Hunze                             ;Gemeente ;GM1680  ;;2460.0;2015.0;96.0;177.0
3;Totaal;Totaal;Wijk 00 Annen;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168000;1.0;255.0;230.0;71.0;146.0
4;Totaal;Totaal;Wijk 00 Annen;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168000;1.0;270.0;245.0;75.0;155.0
5;Totaal;Totaal;Wijk 00 Annen;2017;Aa en Hunze                             ;Wijk     ;WK168000;1.0;290.0;260.0;80.0;164.0
6;Totaal;Totaal;Wijk 01 Eext;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168001;1.0;95.0;85.0;68.0;136.0
7;Totaal;Totaal;Wijk 01 Eext;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168001;1.0;110.0;100.0;77.0;158.0
8;Totaal;Totaal;Wijk 01 Eext;2017;Aa en Hunze                             ;Wijk     ;WK168001;1.0;115.0;100.0;80.0;158.0
9;Totaal;Totaal;Wijk 02 Anloo;1e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168002;1.0;50.0;40.0;107.0;182.0
10;Totaal;Totaal;Wijk 02 Anloo;2e halfjaar 2017;Aa en Hunze                             ;Wijk     ;WK168002;1.0;45.0;40.0;101.0;186.0
