ID;Categorieen;Perioden;AantalMusea_1;Tot2500Bezoeken_2;k_2500Tot10000Bezoeken_3;k_10000Tot25000Bezoeken_4;k_25000Tot50000Bezoeken_5;k_50000Tot100000Bezoeken_6;k_100000EnMeerBezoekers_7;TotaalBezoeken_8;BetaaldeBezoeken_9;MuseumkaartEnGratisBezoeken_10;GemiddeldAantalBezoekenPerMuseum_11;BuitenlandseBezoeken_12;TotaalWerkzamePersonen_13;InLoondienst_14;OverigBezoldigden_15;TotaalAantalMensjaren_16;InLoondienst_17;OverigBezoldigden_18;Personen_19;Mensjaren_20
0;Totaal musea;1997;942;39;28;16;8;5;4;20266;14578;5687;22;;6708.0;5312.0;1396.0;5071.0;3942.0;1129.0;;
1;Totaal musea;1999;902;35;29;19;8;5;4;20679;14012;6667;23;3969.0;7694.0;6148.0;1545.0;5198.0;4404.0;794.0;16205.0;
2;Totaal musea;2001;873;36;29;18;8;5;4;20488;14399;6089;23;4603.0;8285.0;6283.0;2002.0;5478.0;4424.0;1054.0;17888.0;2330.0
3;Totaal musea;2003;828;32;33;18;8;5;5;19558;13593;5965;24;4223.0;8496.0;6567.0;1929.0;5837.0;4731.0;1106.0;19693.0;2357.0
4;Totaal musea;2005;775;31;32;19;9;5;5;19648;13527;6120;25;4711.0;8143.0;6563.0;1580.0;5696.0;4860.0;836.0;19667.0;2679.0
5;Totaal musea;2007;773;31;31;17;10;6;5;20540;14205;6335;27;5437.0;8598.0;6760.0;1839.0;6016.0;5013.0;1003.0;21329.0;3015.0
6;Totaal musea;2009;810;31;32;17;9;5;6;22037;13439;8598;27;3304.0;9165.0;6938.0;2208.0;6380.0;5284.0;1096.0;23720.0;3559.0
7;1;1997;102;32;25;12;15;8;9;3404;2247;1157;33;;1406.0;1208.0;198.0;1069.0;897.0;172.0;;
8;1;1999;109;25;26;12;16;10;11;6051;3814;2237;56;1758.0;2523.0;2089.0;434.0;1840.0;1609.0;231.0;;
9;1;2001;105;23;27;15;11;10;14;6310;4090;2220;60;2006.0;2502.0;2096.0;406.0;1801.0;1552.0;249.0;;
10;1;2003;118;20;32;16;11;6;14;6748;4479;2270;57;2038.0;2922.0;2334.0;588.0;2068.0;1769.0;299.0;2111.0;237.0
11;1;2005;107;23;24;19;10;8;15;6377;4150;2226;60;2315.0;2676.0;2121.0;555.0;1925.0;1650.0;275.0;2072.0;229.0
12;1;2007;118;20;31;13;14;12;11;6511;4173;2338;55;2581.0;3002.0;2300.0;701.0;2154.0;1810.0;344.0;2921.0;442.0
13;1;2009;126;16;31;16;14;10;14;7459;4005;3452;59;1934.0;3351.0;2401.0;950.0;2423.0;1953.0;470.0;3056.0;418.0
14;2;1997;491;43;30;16;6;4;1;6785;5031;1754;14;;1994.0;1462.0;532.0;1416.0;995.0;421.0;;
15;2;1999;451;39;29;21;6;3;2;5907;4184;1723;13;755.0;2306.0;1829.0;476.0;1432.0;1168.0;268.0;;
16;2;2001;448;40;32;17;7;3;1;6255;4703;1551;14;1352.0;2626.0;1859.0;767.0;1569.0;1210.0;359.0;;
17;2;2003;423;35;38;16;7;3;2;6074;4533;1541;14;892.0;2477.0;1852.0;625.0;1601.0;1261.0;341.0;9950.0;1141.0
18;2;2005;391;35;36;17;6;4;2;6003;4437;1566;15;998.0;2393.0;1850.0;543.0;1573.0;1293.0;281.0;9653.0;1125.0
