ID;Perioden;Totaal_1;LandbouwJachtEnBosbouwTotaal_2;LandbouwEnJacht_3;BosbouwDienstverleningVBosbouw_4;Visserij_5;DelfstoffenwinningTotaal_6;AardolieEnAardgaswinning_7;IndustrieTotaal_8;VoedingsmiddelenDrankenindustrie_9;Textielindustrie_10;KledingToebehorenIndustrie_11;LederwarenindExKledingSchoen_12;HoutKurkEnRietwarenindustrie_13;PapierWarenEnKartonWarenIndustrie_14;UitgeverijDrukkerijReproductie_15;AardolieSteenkoolverwerkIndustrie_16;ChemischeIndustrie_17;RubberKunststofverwerkendeIndustrie_18;GlasAardewerkCementKalkindustrie_19;BasismetaalEnMetaalproductenindustrie_20;Metaalproductenindustrie_21;MachineEnApparatenindustrie_22;KantoormachineEnComputerindustrie_23;OverigeElektrApparatenindustrie_24;TelecommunicatieApparatenindustrie_25;MedischeEnOrthopischeAppIndustrie_26;AutoAanhangerEnOpleggerindustrie_27;OverigeTransportmiddelenindustrie_28;MeubelEnOverigeIndustrieNeg_29;VoorbereidingTotRecycling_30;Bouwnijverheid_31;ReparatieConsumentenartHandelTotaal_32;HandelRepAutoSMotorfietsen_33;GroothandelEnHandelsbemiddeling_34;DetailhandelInclReparatie_35;Horeca_36;VervoerOpslagEnCommunicatieTotaal_37;VervoerOverLand_38;VervoerOverWater_39;VervoerDoorDeLucht_40;DienstverleningVoorHetVervoer_41;PostEnTelecommunicatie_42;FinancieleInstellingenTotaal_43;FinancInstellingExVerzekering_44;VerzekeringwezenPensioenfondsen_45;ActiviteitenTbvFinancInstelling_46;VerhuurZakelijkeDienstverleningTotaal_47;VerhuurHandelOnroerendGoed_48;VerhuurTranspMiddExPersAuto_49;ComputerserviceInformatieTechniek_50;Research_51;OverigeZakelijkeDienstverlening_52;Onderwijs_53;GezondheidsEnWelzijnszorg_54;CultRecreatieOvDienstverlTotaal_55;Milieudienstverlening_56;BedrijfsWerkgeversBeroepsorg_57;CultuurSportEnRecreatie_58;OverigAmusementEnKunst_59
0;1993;5512;147;142;4;2;2;2;788;55;22;45;10;36;5;135;1;11;24;22;4;172;79;7;22;7;13;18;32;64;3;702;1627;150;948;529;335;333;212;14;3;91;13;347;262;2;83;915;166;37;140;3;569;43;21;181;4;13;112;52
1;1994;5333;134;133;1;2;0;0;718;81;24;43;22;22;3;137;0;7;16;23;1;118;64;9;18;7;18;12;31;61;1;687;1625;135;892;598;340;320;164;25;3;101;27;294;165;6;123;907;148;32;114;4;609;55;29;191;7;19;106;59
2;1995;4783;117;116;1;1;1;1;530;45;14;41;8;36;2;93;1;2;16;17;4;84;44;4;10;3;10;12;23;59;2;580;1523;122;787;614;383;274;139;26;3;80;26;227;86;2;139;857;126;34;79;3;615;34;36;169;7;13;98;51
3;1996;4534;83;81;2;1;3;1;533;61;14;31;5;12;2;97;0;6;25;16;2;81;43;4;12;2;10;8;18;79;5;618;1461;127;753;581;338;289;166;24;1;62;36;175;47;2;126;768;92;35;71;9;561;18;24;186;4;8;119;55
4;1997;4409;87;85;2;5;2;0;523;71;15;25;8;31;0;58;0;5;15;14;2;82;49;5;16;5;3;14;19;85;1;560;1370;118;715;537;332;317;178;19;3;75;42;218;72;3;143;719;89;28;77;1;524;35;19;182;7;2;114;59
5;1998;4015;67;65;2;2;0;0;475;48;14;31;2;10;2;79;4;7;11;12;4;79;54;6;15;1;9;7;16;62;2;559;1206;117;645;444;296;268;158;5;2;61;42;183;63;5;115;690;72;40;60;3;515;33;22;201;7;15;122;57
6;1999;3238;58;57;1;2;1;1;392;46;4;18;4;16;2;67;0;7;17;11;4;60;36;5;6;6;7;10;12;50;4;467;963;105;588;270;179;227;133;9;0;51;34;151;54;6;91;626;60;31;76;8;451;17;31;110;9;7;68;26
