ID;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;Vestigingen_1;UiteindelijkeZeggenschapBuitenland_2
0;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2010;;
1;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2011;;
2;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2012;;
3;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2013;;
4;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2014;;
5;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2015;1637360.0;28615.0
6;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2016;1707525.0;29820.0
7;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2017;1761660.0;31045.0
8;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2018;1843990.0;32195.0
9;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2019;1937265.0;32465.0
10;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2020;2037640.0;33775.0
11;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2021;2108805.0;36165.0
12;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2022;2279980.0;38695.0
13;A-U Alle economische activiteiten;Nederland, Buitenland, Niet in te delen;2023;2363295.0;38470.0
14;A-U Alle economische activiteiten;Nederland;2010;;
15;A-U Alle economische activiteiten;Nederland;2011;;
16;A-U Alle economische activiteiten;Nederland;2012;;
17;A-U Alle economische activiteiten;Nederland;2013;;
18;A-U Alle economische activiteiten;Nederland;2014;;
19;A-U Alle economische activiteiten;Nederland;2015;1637345.0;28615.0
20;A-U Alle economische activiteiten;Nederland;2016;1707515.0;29820.0
21;A-U Alle economische activiteiten;Nederland;2017;1761655.0;31045.0
22;A-U Alle economische activiteiten;Nederland;2018;1843985.0;32195.0
23;A-U Alle economische activiteiten;Nederland;2019;1933240.0;32455.0
24;A-U Alle economische activiteiten;Nederland;2020;2033385.0;33740.0
25;A-U Alle economische activiteiten;Nederland;2021;2104540.0;36145.0
26;A-U Alle economische activiteiten;Nederland;2022;2275240.0;38675.0
27;A-U Alle economische activiteiten;Nederland;2023;2358600.0;38455.0
28;A-U Alle economische activiteiten;Buitenland;2010;;
29;A-U Alle economische activiteiten;Buitenland;2011;;
30;A-U Alle economische activiteiten;Buitenland;2012;;
31;A-U Alle economische activiteiten;Buitenland;2013;;
32;A-U Alle economische activiteiten;Buitenland;2014;;
33;A-U Alle economische activiteiten;Buitenland;2015;0.0;0.0
34;A-U Alle economische activiteiten;Buitenland;2016;0.0;0.0
35;A-U Alle economische activiteiten;Buitenland;2017;0.0;0.0
36;A-U Alle economische activiteiten;Buitenland;2018;0.0;0.0
37;A-U Alle economische activiteiten;Buitenland;2019;0.0;0.0
38;A-U Alle economische activiteiten;Buitenland;2020;0.0;0.0
39;A-U Alle economische activiteiten;Buitenland;2021;0.0;0.0
40;A-U Alle economische activiteiten;Buitenland;2022;0.0;0.0
41;A-U Alle economische activiteiten;Buitenland;2023;0.0;0.0
42;A-U Alle economische activiteiten;"Nederland; niet in te delen";2010;;
43;A-U Alle economische activiteiten;"Nederland; niet in te delen";2011;;
44;A-U Alle economische activiteiten;"Nederland; niet in te delen";2012;;
45;A-U Alle economische activiteiten;"Nederland; niet in te delen";2013;;
46;A-U Alle economische activiteiten;"Nederland; niet in te delen";2014;;
47;A-U Alle economische activiteiten;"Nederland; niet in te delen";2015;15.0;5.0
48;A-U Alle economische activiteiten;"Nederland; niet in te delen";2016;10.0;5.0
49;A-U Alle economische activiteiten;"Nederland; niet in te delen";2017;5.0;0.0
50;A-U Alle economische activiteiten;"Nederland; niet in te delen";2018;5.0;0.0
51;A-U Alle economische activiteiten;"Nederland; niet in te delen";2019;4025.0;10.0
52;A-U Alle economische activiteiten;"Nederland; niet in te delen";2020;4255.0;35.0
53;A-U Alle economische activiteiten;"Nederland; niet in te delen";2021;4270.0;25.0
54;A-U Alle economische activiteiten;"Nederland; niet in te delen";2022;4740.0;20.0
55;A-U Alle economische activiteiten;"Nederland; niet in te delen";2023;4695.0;15.0
56;A-U Alle economische activiteiten;Noord-Nederland (LD);2010;;
57;A-U Alle economische activiteiten;Noord-Nederland (LD);2011;;
58;A-U Alle economische activiteiten;Noord-Nederland (LD);2012;;
59;A-U Alle economische activiteiten;Noord-Nederland (LD);2013;;
60;A-U Alle economische activiteiten;Noord-Nederland (LD);2014;;
61;A-U Alle economische activiteiten;Noord-Nederland (LD);2015;151375.0;1865.0
62;A-U Alle economische activiteiten;Noord-Nederland (LD);2016;157240.0;2005.0
63;A-U Alle economische activiteiten;Noord-Nederland (LD);2017;161040.0;2075.0
64;A-U Alle economische activiteiten;Noord-Nederland (LD);2018;166660.0;2165.0
65;A-U Alle economische activiteiten;Noord-Nederland (LD);2019;172450.0;2125.0
66;A-U Alle economische activiteiten;Noord-Nederland (LD);2020;178720.0;2160.0
67;A-U Alle economische activiteiten;Noord-Nederland (LD);2021;183835.0;2285.0
68;A-U Alle economische activiteiten;Noord-Nederland (LD);2022;196835.0;2395.0
69;A-U Alle economische activiteiten;Noord-Nederland (LD);2023;202405.0;2395.0
70;A-U Alle economische activiteiten;Oost-Nederland (LD);2010;;
71;A-U Alle economische activiteiten;Oost-Nederland (LD);2011;;
72;A-U Alle economische activiteiten;Oost-Nederland (LD);2012;;
73;A-U Alle economische activiteiten;Oost-Nederland (LD);2013;;
