ID;BedrijfstakkenBranchesSBI2008;Perioden;GeconsolideerdeProductie_1;BijdrageArbeid_2;BijdrageUren_3;BijdrageCompositieEffect_4;BijdrageKapitaal_5;BijdrageICTKapitaal_6;BijdrageNietICTKapitaal_7;BijdrageVerbruik_8;BijdrageEnergie_9;BijdrageMaterialen_10;BijdrageDiensten_11;BijdrageMultifactorproductiviteit_12;ToegevoegdeWaarde_13;BijdrageArbeid_14;BijdrageUren_15;BijdrageCompositieEffect_16;BijdrageKapitaal_17;BijdrageICTKapitaal_18;BijdrageNietICTKapitaal_19;BijdrageMultifactorproductiviteit_20;Arbeidsproductiviteitsontwikkeling_21;Arbeidsproductiviteit2021100_22;Arbeidsproductiviteitsontwikkeling_23;Arbeidsproductiviteit2021100_24;Kapitaalproductiviteitsontwikkeling_25;Kapitaalproductiviteit2021100_26;Kapitaalproductiviteitsontwikkeling_27;Kapitaalproductiviteit2021100_28;GeconsolideerdeProductieMlnEuro_29;GeconsolideerdeProductie2021100_30;Totaal_31;VerbruikEnergie_32;VerbruikMaterialen_33;VerbruikDiensten_34;Totaal_35;VerbruikEnergie_36;VerbruikMaterialen_37;VerbruikDiensten_38;ToegevoegdeWaardeMlnEuro_39;ToegevoegdeWaarde2021100_40;GewerkteUren_41;BeloningVanArbeidMlnEuro_42;BeloningVanArbeid2021100_43;KapitaaldienstenMlnEuro_44;KapitaaldienstenGewerktUurEuro_45;ICTKapitaaldienstenMlnEuro_46;NietICTKapitaaldienstenMlnEuro_47;KapitaaldienstenNeoklassiekMlnEuro_48;Kapitaaldiensten2021100_49;KapitaaldienstenGewerktUur2021100_50;ICTKapitaaldiensten2021100_51;NietICTKapitaaldiensten2021100_52;KapitaaldienstenNeoklassiek2021100_53;TotaleInputKLEMS_54;TotaleInputKapitaalEnArbeid_55;TotaleInputKLEMS_56;TotaleInputKapitaalEnArbeid_57
0;A-U Commerciële sector.(excl L,O,P,T);1995;;;;;;;;;;;;;;;;;;;;;;;;72.3;;;;81.4;;;;;;;;;;;236738.0;55.6;9291.0;158947.0;67.7;75559.0;8.1;6108.0;69451.0;;68.3;88.8;14.4;85.9;;;234507.0;;67.9
1;A-U Commerciële sector.(excl L,O,P,T);1996;;;;;;;;;;;;;3.9;2.7;2.5;0.3;0.5;0.5;-0.1;0.7;;;0.2;72.5;;;2.4;83.4;;;;;;;;;;;247013.0;57.8;9631.0;166083.0;70.5;72003.0;7.5;6364.0;65639.0;;69.3;86.9;17.4;85.7;;;238086.0;;70.1
2;A-U Commerciële sector.(excl L,O,P,T);1997;;;;;;;;;;;;;5.0;1.9;1.7;0.3;0.4;0.3;0.1;2.7;;;2.5;74.3;;;3.7;86.5;;;;;;;;;;;264944.0;60.7;9861.0;176056.0;72.4;73855.0;7.5;7053.0;66802.0;;70.2;85.9;19.1;86.1;;;249911.0;;71.7
3;A-U Commerciële sector.(excl L,O,P,T);1998;;;;;;;;;;;;;5.4;2.9;1.6;1.2;0.8;0.4;0.3;1.7;;;3.0;76.5;;;2.7;88.8;;;;;;;;;;;283556.0;63.9;10089.0;188298.0;75.4;74950.0;7.4;7767.0;67182.0;;72.0;86.1;21.9;87.2;;;263248.0;;74.3
4;A-U Commerciële sector.(excl L,O,P,T);1999;;;;;;;;;;;;;5.4;2.3;2.2;0.1;1.2;0.6;0.6;1.9;;;2.3;78.3;;;1.3;89.9;;;;;;;;;;;300249.0;67.4;10394.0;203652.0;77.8;71772.0;6.9;8259.0;63513.0;;74.9;87.0;26.5;89.1;;;275424.0;;76.9
5;A-U Commerciële sector.(excl L,O,P,T);2000;;;;;;;;;;;;;5.0;0.8;0.7;0.1;1.1;0.6;0.5;3.1;;;4.0;81.4;;;0.7;90.6;;;;;;;;;;;324600.0;70.8;10498.0;221381.0;78.6;74871.0;7.1;9540.0;65331.0;;78.1;89.9;31.6;91.1;;;296252.0;;78.4
6;A-U Commerciële sector.(excl L,O,P,T);2001;;;;;;;;;;;;;2.5;1.7;0.8;0.9;1.1;0.5;0.5;-0.3;;;1.4;82.5;;;-1.6;89.1;;;;;;;;;;;351369.0;72.5;10614.0;233292.0;80.5;82891.0;7.8;10962.0;71929.0;;81.4;92.6;36.8;93.3;;;316182.0;;80.6
7;A-U Commerciële sector.(excl L,O,P,T);2002;;;;;;;;;;;;;-0.1;-0.2;-0.8;0.6;0.6;0.4;0.1;-0.5;;;1.0;83.3;;;-2.2;87.1;;;;;;;;;;;363960.0;72.4;10502.0;242490.0;80.3;92132.0;8.8;11858.0;80274.0;;83.1;95.6;41.1;93.9;;;334622.0;;80.9
8;A-U Commerciële sector.(excl L,O,P,T);2003;;;;;;;;;;;;;-0.1;-0.6;-1.3;0.7;0.3;0.3;0.0;0.2;;;1.7;84.7;;;-1.2;86.1;;;;;;;;;;;368670.0;72.3;10310.0;246906.0;79.6;96198.0;9.3;12006.0;84192.0;;84.0;98.4;44.6;93.9;;;343104.0;;80.6
9;A-U Commerciële sector.(excl L,O,P,T);2004;;;;;;;;;;;;;2.5;1.0;0.3;0.7;0.6;0.2;0.3;0.9;;;2.0;86.4;;;0.4;86.5;;;;;;;;;;;378574.0;74.1;10359.0;249400.0;80.7;99289.0;9.6;12562.0;86727.0;;85.8;100.0;47.8;95.2;;;348690.0;;81.9
