ID;Achtergrondkenmerken;Perioden;DelictenWaarbijOokIetsIsGestolen_1;DelictenWaarbijOokIetsIsVernield_2;DelictenMetFinancieleSchade_3;DelictenNaarGemiddeldSchadebedrag_4;DelictenNaarTotaleFinancieleSchade_5;DelictenGeheleGedeeltelijkeVergoeding_6;DelictenZonderVergoeding_7
0;Delicten totaal;1997;;;62.3;;1265.0;23.7;
1;Delicten totaal;1998;;;60.2;;1045.0;22.9;11.2
2;Delicten totaal;1999;;;59.4;;1298.0;23.8;11.2
3;Delicten totaal;2000;;;60.0;;;25.5;11.0
4;Delicten totaal;2001;;;58.6;;;26.5;11.3
5;Delicten totaal;2002;;;60.7;;;24.1;12.5
6;Delicten totaal;2003;;;58.1;;;24.0;13.2
7;Delicten totaal;2004;;;59.2;;;23.4;10.7
8;Geweldsdelicten totaal;1997;3.4;7.4;10.0;546.0;49.0;26.4;
9;Geweldsdelicten totaal;1998;2.4;6.7;10.9;664.0;65.0;33.7;21.3
10;Geweldsdelicten totaal;1999;3.8;7.8;10.5;979.0;104.0;38.9;19.1
11;Geweldsdelicten totaal;2000;4.0;8.0;8.9;;;37.4;13.8
12;Geweldsdelicten totaal;2001;2.2;9.9;9.8;;;38.7;24.4
13;Geweldsdelicten totaal;2002;2.4;7.6;6.8;;;27.0;31.4
14;Geweldsdelicten totaal;2003;2.3;6.4;7.5;;;23.3;27.9
15;Geweldsdelicten totaal;2004;2.7;7.8;7.7;;;36.8;14.7
16;Seksuele delicten;1997;1.1;3.2;4.1;;;;
17;Seksuele delicten;1998;0.0;1.2;0.9;;;;
18;Seksuele delicten;1999;0.7;2.7;3.2;;;;
19;Seksuele delicten;2000;1.8;2.4;2.2;;;;
20;Seksuele delicten;2001;0.5;2.9;3.2;;;;
21;Seksuele delicten;2002;1.0;0.7;1.7;;;;
22;Seksuele delicten;2003;2.5;1.4;4.6;;;;
23;Seksuele delicten;2004;0.0;2.2;1.6;;;;
24;Mishandeling;1997;6.5;15.4;22.0;;;;
25;Mishandeling;1998;3.3;13.8;22.1;;;;
26;Mishandeling;1999;6.9;12.7;21.7;;;;
27;Mishandeling;2000;6.9;15.1;17.4;;;;
28;Mishandeling;2001;3.8;17.6;17.5;;;;
29;Mishandeling;2002;4.0;16.7;15.4;;;;
30;Mishandeling;2003;3.2;13.6;15.3;;;;
31;Mishandeling;2004;7.7;15.5;17.7;;;;
32;Bedreiging;1997;2.8;5.4;6.9;;;;
33;Bedreiging;1998;2.9;4.7;8.3;;;;
34;Bedreiging;1999;3.3;7.2;7.6;;;;
35;Bedreiging;2000;3.4;6.7;7.5;;;;
36;Bedreiging;2001;1.9;8.4;8.4;;;;
37;Bedreiging;2002;2.1;5.7;4.5;;;;
38;Bedreiging;2003;1.8;4.5;4.9;;;;
39;Bedreiging;2004;0.9;5.4;4.3;;;;
40;Vermogensdelicten totaal;1997;;;82.1;;682.0;22.2;
41;Vermogensdelicten totaal;1998;;;79.2;;547.0;22.5;9.9
42;Vermogensdelicten totaal;1999;;;79.7;;652.0;22.1;11.1
43;Vermogensdelicten totaal;2000;;;79.5;;;24.9;10.5
44;Vermogensdelicten totaal;2001;;;81.6;;;26.2;9.8
45;Vermogensdelicten totaal;2002;;;82.1;;;26.5;12.4
46;Vermogensdelicten totaal;2003;;;81.9;;;22.5;13.2
47;Vermogensdelicten totaal;2004;;;79.3;;;21.0;11.2
48;Inbraak;1997;74.6;61.3;76.3;1435.0;205.0;66.0;
49;Inbraak;1998;68.8;55.7;70.0;1580.0;142.0;65.7;9.3
50;Inbraak;1999;67.1;61.6;71.2;2047.0;218.0;62.8;10.6
