ID;Btw;Perioden;Transporttarief_1;VastLeveringstarief_2;VariabelLeveringstarief_3;OpslagDuurzameEnergieODE_4;Energiebelasting_5;Transporttarief_6;VastLeveringstarief_7;VariabelLeveringstarief_8;OpslagDuurzameEnergieODE_9;Energiebelasting_10;VerminderingEnergiebelasting_11
0;Inclusief btw;2018 januari;179.74;53.42;0.3182;0.03449;0.31461;239.09;51.84;0.0671;0.01597;0.12654;-373.33
1;Inclusief btw;2018 februari;179.74;53.98;0.318;0.03449;0.31461;239.09;52.49;0.067;0.01597;0.12654;-373.33
2;Inclusief btw;2018 maart;179.74;53.98;0.3179;0.03449;0.31461;239.09;52.49;0.0673;0.01597;0.12654;-373.33
3;Inclusief btw;2018 april;179.74;53.98;0.3127;0.03449;0.31461;239.09;52.49;0.0667;0.01597;0.12654;-373.33
4;Inclusief btw;2018 mei;179.74;53.98;0.3145;0.03449;0.31461;239.09;52.49;0.0676;0.01597;0.12654;-373.33
5;Inclusief btw;2018 juni;179.74;53.98;0.3202;0.03449;0.31461;239.09;52.49;0.0691;0.01597;0.12654;-373.33
6;Inclusief btw;2018 juli;179.74;59.93;0.3367;0.03449;0.31461;239.09;59.43;0.0722;0.01597;0.12654;-373.33
7;Inclusief btw;2018 augustus;179.74;59.11;0.3387;0.03449;0.31461;239.09;58.25;0.073;0.01597;0.12654;-373.33
8;Inclusief btw;2018 september;179.74;59.11;0.3418;0.03449;0.31461;239.09;58.25;0.0746;0.01597;0.12654;-373.33
9;Inclusief btw;2018 oktober;179.74;59.17;0.3479;0.03449;0.31461;239.09;58.32;0.0766;0.01597;0.12654;-373.33
10;Inclusief btw;2018 november;179.74;59.17;0.3658;0.03449;0.31461;239.09;58.32;0.081;0.01597;0.12654;-373.33
11;Inclusief btw;2018 december;179.74;59.17;0.3627;0.03449;0.31461;239.09;58.32;0.0802;0.01597;0.12654;-373.33
12;Inclusief btw;2018;179.74;56.58;0.3329;0.03449;0.31461;239.09;55.43;0.0719;0.01597;0.12654;-373.33
13;Inclusief btw;2019 januari;177.92;59.89;0.3827;0.0634;0.35469;238.67;59.6;0.0865;0.02287;0.11934;-311.62
14;Inclusief btw;2019 februari;177.58;66.12;0.3759;0.0634;0.35469;239.02;65.56;0.0857;0.02287;0.11934;-311.62
15;Inclusief btw;2019 maart;177.58;66.12;0.3671;0.0634;0.35469;238.21;65.6;0.0841;0.02287;0.11934;-311.62
16;Inclusief btw;2019 april;177.58;66.12;0.363;0.0634;0.35469;238.21;65.6;0.082;0.02287;0.11934;-311.62
17;Inclusief btw;2019 mei;177.58;66.12;0.357;0.0634;0.35469;238.21;65.6;0.0811;0.02287;0.11934;-311.62
18;Inclusief btw;2019 juni;177.58;66.12;0.3588;0.0634;0.35469;238.21;65.6;0.0815;0.02287;0.11934;-311.62
19;Inclusief btw;2019 juli;177.58;67.72;0.3429;0.0634;0.35469;238.21;67.78;0.0785;0.02287;0.11934;-311.62
20;Inclusief btw;2019 augustus;177.58;68.04;0.3343;0.0634;0.35469;238.21;68.42;0.0768;0.02287;0.11934;-311.62
21;Inclusief btw;2019 september;177.58;68.04;0.3324;0.0634;0.35469;238.21;68.42;0.0772;0.02287;0.11934;-311.62
22;Inclusief btw;2019 oktober;177.58;68.04;0.3297;0.0634;0.35469;238.21;68.42;0.0769;0.02287;0.11934;-311.62
23;Inclusief btw;2019 november;177.58;68.04;0.332;0.0634;0.35469;238.21;68.44;0.0773;0.02287;0.11934;-311.62
24;Inclusief btw;2019 december;177.58;68.04;0.3301;0.0634;0.35469;238.21;68.44;0.0765;0.02287;0.11934;-311.62
25;Inclusief btw;2019;177.61;66.53;0.3505;0.0634;0.35469;238.32;66.46;0.0803;0.02287;0.11934;-311.62
26;Inclusief btw;2020 januari;185.36;66.52;0.3227;0.09378;0.40301;241.85;67.5;0.0768;0.03303;0.11822;-527.17
27;Inclusief btw;2020 februari;185.36;66.52;0.3169;0.09378;0.40301;241.85;67.5;0.0755;0.03303;0.11822;-527.17
28;Inclusief btw;2020 maart;185.36;67.12;0.306;0.09378;0.40301;241.85;68.08;0.0733;0.03303;0.11822;-527.17
29;Inclusief btw;2020 april;185.36;67.01;0.2942;0.09378;0.40301;241.85;67.98;0.0707;0.03303;0.11822;-527.17
30;Inclusief btw;2020 mei;185.36;67.01;0.2888;0.09378;0.40301;241.85;67.98;0.069;0.03303;0.11822;-527.17
31;Inclusief btw;2020 juni;185.36;67.01;0.2843;0.09378;0.40301;241.85;67.98;0.0682;0.03303;0.11822;-527.17
32;Inclusief btw;2020 juli;185.36;68.52;0.2616;0.09378;0.40301;241.85;68.82;0.0675;0.03303;0.11822;-527.17
33;Inclusief btw;2020 augustus;185.36;67.95;0.263;0.09378;0.40301;241.85;68.89;0.0685;0.03303;0.11822;-527.17
34;Inclusief btw;2020 september;185.36;69.18;0.2634;0.09378;0.40301;241.85;69.34;0.0691;0.03303;0.11822;-527.17
35;Inclusief btw;2020 oktober;185.36;69.18;0.2649;0.09378;0.40301;241.85;69.34;0.0692;0.03303;0.11822;-527.17
36;Inclusief btw;2020 november;185.36;69.29;0.2696;0.09378;0.40301;241.85;69.44;0.0701;0.03303;0.11822;-527.17
37;Inclusief btw;2020 december;185.36;69.6;0.272;0.09378;0.40301;241.85;69.73;0.07;0.03303;0.11822;-527.17
38;Inclusief btw;2020;185.36;67.91;0.284;0.09378;0.40301;241.85;68.55;0.0707;0.03303;0.11822;-527.17
39;Inclusief btw;2021 januari;187.85;70.19;0.266;0.10297;0.42176;257.36;71.33;0.0697;0.0363;0.11408;-558.56
40;Inclusief btw;2021 februari;187.85;70.17;0.2758;0.10297;0.42176;257.36;71.61;0.0735;0.0363;0.11408;-558.56
41;Inclusief btw;2021 maart;187.85;70.17;0.2842;0.10297;0.42176;257.36;71.61;0.0753;0.0363;0.11408;-558.56
42;Inclusief btw;2021 april;187.85;70.76;0.289;0.10297;0.42176;257.36;72.12;0.0768;0.0363;0.11408;-558.56
43;Inclusief btw;2021 mei;187.85;70.76;0.2886;0.10297;0.42176;257.36;72.12;0.0779;0.0363;0.11408;-558.56
44;Inclusief btw;2021 juni;187.85;70.76;0.3015;0.10297;0.42176;257.36;72.12;0.0812;0.0363;0.11408;-558.56
45;Inclusief btw;2021 juli;187.85;71.98;0.3429;0.10297;0.42176;257.36;73.26;0.0928;0.0363;0.11408;-558.56
46;Inclusief btw;2021 augustus;187.85;72.21;0.3564;0.10297;0.42176;257.36;73.26;0.0942;0.0363;0.11408;-558.56
47;Inclusief btw;2021 september;187.85;72.21;0.4054;0.10297;0.42176;257.36;73.26;0.1064;0.0363;0.11408;-558.56
48;Inclusief btw;2021 oktober;187.85;72.21;0.5278;0.10297;0.42176;257.36;73.26;0.127;0.0363;0.11408;-558.56
49;Inclusief btw;2021 november;187.85;72.26;0.7479;0.10297;0.42176;257.36;73.26;0.1755;0.0363;0.11408;-558.56
50;Inclusief btw;2021 december;187.85;71.7;0.894;0.10297;0.42176;257.36;72.82;0.2188;0.0363;0.11408;-558.56
51;Inclusief btw;2021;187.85;71.28;0.415;0.10297;0.42176;257.36;72.5;0.1058;0.0363;0.11408;-558.56
52;Inclusief btw;2022 januari;191.32;72.74;1.1956;0.10467;0.4395;267.12;72.55;0.3169;0.03691;0.04452;-824.77
53;Inclusief btw;2022 februari;191.32;72.74;1.1247;0.10467;0.4395;267.12;72.55;0.2966;0.03691;0.04452;-824.77
54;Inclusief btw;2022 maart;191.32;72.74;1.8451;0.10467;0.4395;267.12;72.55;0.4814;0.03691;0.04452;-824.77
55;Inclusief btw;2022 april;191.32;72.74;1.6844;0.10467;0.4395;267.12;72.55;0.4363;0.03691;0.04452;-824.77
56;Inclusief btw;2022 mei;191.32;72.74;1.422;0.10467;0.4395;267.12;72.55;0.3613;0.03691;0.04452;-824.77
57;Inclusief btw;2022 juni;191.32;72.74;1.2181;0.10467;0.4395;267.12;72.55;0.3342;0.03691;0.04452;-824.77
58;Inclusief btw;2022 juli;172.35;65.53;1.5908;0.09429;0.39591;240.63;65.36;0.4187;0.03325;0.0401;-742.98
59;Inclusief btw;2022 augustus;172.35;65.53;2.1147;0.09429;0.39591;240.63;65.36;0.5028;0.03325;0.0401;-742.98
60;Inclusief btw;2022 september;172.35;65.53;2.7706;0.09429;0.39591;240.63;65.36;0.6439;0.03325;0.0401;-742.98
61;Inclusief btw;2022 oktober;172.35;65.53;2.783;0.09429;0.39591;240.63;65.36;0.6588;0.03325;0.0401;-742.98
