ID;BouwactiviteitenSBI93;Perioden;SBI45Bouwnijverheid_1;SBI451BouwrijpMakenVanTerreinen_2;SBI452BUGWWExclGrondverzet_3;SBI453Bouwinstallatie_4;SBI454AfwerkenVanGebouwen_5;SBI455VerhuurBouwEnSloopmachines_6;SBI45Bouwnijverheid_7;SBI451BouwrijpMakenVanTerreinen_8;SBI452BUGWWExclGrondverzet_9;SBI453Bouwinstallatie_10;SBI454AfwerkenVanGebouwen_11;SBI455VerhuurBouwEnSloopmachines_12
0;0;1996;26995;265;19617;5757;948;408;5581;239;2856;1323;1149;12
1;0;1997;28394;317;20877;5765;1004;431;6141;206;3141;1574;1213;7
2;0;1998;29803;281;21410;6563;1104;450;7584;380;3947;1885;1352;18
3;0;1999;32828;332;23847;6933;1156;560;8152;371;4370;2106;1281;25
4;1;1996;119;99;19;0;0;0;118;108;10;0;0;0
5;1;1997;142;113;28;0;0;0;74;68;6;0;0;0
6;1;1998;142;117;25;0;0;0;125;116;10;0;0;0
7;1;1999;159;132;28;0;0;0;135;123;10;0;0;3
8;2;1996;470;133;329;0;0;7;130;99;27;0;0;5
9;2;1997;451;131;307;0;0;14;161;108;50;0;0;3
10;2;1998;345;113;226;0;0;6;286;238;41;0;0;7
11;2;1999;420;151;269;0;0;0;295;214;67;0;0;14
12;4512 Overige GWW-werken n.e.g.;1996;72;0;72;0;0;0;37;0;37;0;0;0
13;4512 Overige GWW-werken n.e.g.;1997;35;0;35;0;0;0;20;0;20;0;0;0
14;4512 Overige GWW-werken n.e.g.;1998;24;0;24;0;0;0;51;0;51;0;0;0
15;4512 Overige GWW-werken n.e.g.;1999;10;0;10;0;0;0;2;0;2;0;0;0
16;5;1996;10562;0;10562;0;0;0;528;0;528;0;0;0
17;5;1997;11558;0;11558;0;0;0;692;0;692;0;0;0
18;5;1998;12130;0;12130;0;0;0;942;0;942;0;0;0
19;5;1999;13395;0;13395;0;0;0;1022;0;1022;0;0;0
20;6;1996;2885;0;2885;0;0;0;260;0;260;0;0;0
21;6;1997;2944;0;2944;0;0;0;206;0;206;0;0;0
22;6;1998;2829;0;2829;0;0;0;262;0;262;0;0;0
23;6;1999;3348;0;3348;0;0;0;236;0;236;0;0;0
24;7;1996;217;0;217;0;0;0;38;0;38;0;0;0
25;7;1997;297;0;297;0;0;0;54;0;54;0;0;0
26;7;1998;355;0;355;0;0;0;53;0;53;0;0;0
27;7;1999;332;0;332;0;0;0;108;0;108;0;0;0
28;4521.2 Bouwen van kunstwerken;1996;305;0;305;0;0;0;43;0;43;0;0;0
29;4521.2 Bouwen van kunstwerken;1997;411;0;411;0;0;0;61;0;61;0;0;0
30;4521.2 Bouwen van kunstwerken;1998;535;0;535;0;0;0;26;0;26;0;0;0
31;4521.2 Bouwen van kunstwerken;1999;655;0;655;0;0;0;35;0;35;0;0;0
32;4521.3 Leggen van kabels en buizen;1996;1070;0;1070;0;0;0;186;0;186;0;0;0
33;4521.3 Leggen van kabels en buizen;1997;1152;0;1152;0;0;0;245;0;245;0;0;0
34;4521.3 Leggen van kabels en buizen;1998;1174;0;1174;0;0;0;310;0;310;0;0;0
35;4521.3 Leggen van kabels en buizen;1999;1218;0;1218;0;0;0;406;0;406;0;0;0
36;8;1996;233;0;233;0;0;0;232;0;232;0;0;0
37;8;1997;221;0;221;0;0;0;261;0;261;0;0;0
38;8;1998;176;0;176;0;0;0;307;0;307;0;0;0
39;8;1999;180;0;180;0;0;0;370;0;370;0;0;0
40;4523 Aanleggen van GWW-werken;1996;2486;0;2486;0;0;0;381;0;381;0;0;0
41;4523 Aanleggen van GWW-werken;1997;2669;0;2669;0;0;0;336;0;336;0;0;0
42;4523 Aanleggen van GWW-werken;1998;2792;0;2792;0;0;0;492;0;492;0;0;0
43;4523 Aanleggen van GWW-werken;1999;3262;0;3262;0;0;0;609;0;609;0;0;0
44;4524 Natte waterbouw;1996;376;7;369;0;0;0;42;4;38;0;0;0
45;4524 Natte waterbouw;1997;501;15;486;0;0;0;40;7;34;0;0;0
46;4524 Natte waterbouw;1998;456;3;452;0;0;0;47;2;45;0;0;0
47;4524 Natte waterbouw;1999;462;19;443;0;0;0;66;2;64;0;0;0
48;3;1996;72;0;72;0;0;0;184;1;183;0;0;0
49;3;1997;76;0;76;0;0;0;157;0;157;0;0;0
50;3;1998;64;0;64;0;0;0;182;0;182;0;0;0
51;3;1999;96;0;96;0;0;0;195;0;195;0;0;0
52;4525.2 Vlechten van betonstaal;1996;41;0;41;0;0;0;130;0;130;0;0;0
53;4525.2 Vlechten van betonstaal;1997;4;0;4;0;0;0;171;0;171;0;0;0
54;4525.2 Vlechten van betonstaal;1998;8;0;8;0;0;0;214;0;214;0;0;0
55;4525.2 Vlechten van betonstaal;1999;11;0;11;0;0;0;225;0;225;0;0;0
56;9;1996;70;0;70;0;0;0;342;0;342;0;0;0
57;9;1997;65;0;65;0;0;0;368;0;368;0;0;0
58;9;1998;39;0;39;0;0;0;407;0;407;0;0;0
59;9;1999;29;0;29;0;0;0;404;0;404;0;0;0
60;4;1996;46;0;46;0;0;0;29;0;29;0;0;0
61;4;1997;17;0;17;0;0;0;64;0;64;0;0;0
62;4;1998;26;0;26;0;0;0;72;0;72;0;0;0
63;4;1999;49;0;49;0;0;0;90;0;90;0;0;0
64;453 Omzet diensten bouwinstall. bedr.;1996;772;0;0;772;0;0;111;0;0;111;0;0
65;453 Omzet diensten bouwinstall. bedr.;1997;696;0;0;696;0;0;105;0;0;105;0;0
66;453 Omzet diensten bouwinstall. bedr.;1998;873;0;0;873;0;0;91;0;0;91;0;0
67;453 Omzet diensten bouwinstall. bedr.;1999;1208;0;0;1208;0;0;246;0;0;246;0;0
68;4531 Electrotechnische werkzaamheden;1996;2690;0;0;2690;0;0;540;0;0;540;0;0
69;4531 Electrotechnische werkzaamheden;1997;2729;0;0;2729;0;0;648;0;0;648;0;0
70;4531 Electrotechnische werkzaamheden;1998;3326;0;0;3326;0;0;717;0;0;717;0;0
71;4531 Electrotechnische werkzaamheden;1999;3291;0;0;3291;0;0;659;0;0;659;0;0
72;4532 Isolatiewerkzaamheden;1996;236;0;0;236;0;0;79;0;0;79;0;0
73;4532 Isolatiewerkzaamheden;1997;250;0;0;250;0;0;71;0;0;71;0;0
74;4532 Isolatiewerkzaamheden;1998;223;0;0;223;0;0;96;0;0;96;0;0
75;4532 Isolatiewerkzaamheden;1999;213;0;0;213;0;0;89;0;0;89;0;0
76;4533 Loodgieters/cv/luchtbeh. install.;1996;1988;0;0;1988;0;0;572;0;0;572;0;0
77;4533 Loodgieters/cv/luchtbeh. install.;1997;2048;0;0;2048;0;0;740;0;0;740;0;0
78;4533 Loodgieters/cv/luchtbeh. install.;1998;2072;0;0;2072;0;0;961;0;0;961;0;0
79;4533 Loodgieters/cv/luchtbeh. install.;1999;2155;0;0;2155;0;0;1095;0;0;1095;0;0
80;4534 Overige bouwinstall. activiteiten;1996;69;0;0;69;0;0;21;0;0;21;0;0
81;4534 Overige bouwinstall. activiteiten;1997;42;0;0;42;0;0;10;0;0;10;0;0
82;4534 Overige bouwinstall. activiteiten;1998;69;0;0;69;0;0;20;0;0;20;0;0
83;4534 Overige bouwinstall. activiteiten;1999;66;0;0;66;0;0;16;0;0;16;0;0
84;4541 Stukadoren;1996;33;0;0;0;33;0;216;0;0;0;216;0
85;4541 Stukadoren;1997;21;0;0;0;21;0;241;0;0;0;241;0
86;4541 Stukadoren;1998;23;0;0;0;23;0;278;0;0;0;278;0
87;4541 Stukadoren;1999;12;0;0;0;12;0;300;0;0;0;300;0
88;4542 Timmer- en aftimmerwerkzaamheden;1996;74;0;11;0;63;0;203;0;6;0;196;0
89;4542 Timmer- en aftimmerwerkzaamheden;1997;97;0;4;0;93;0;215;0;15;0;200;0
90;4542 Timmer- en aftimmerwerkzaamheden;1998;175;0;9;0;165;0;250;0;29;0;221;0
91;4542 Timmer- en aftimmerwerkzaamheden;1999;118;0;14;0;105;0;197;0;11;0;186;0
92;4543 Afwerken van vloeren/wanden e.d.;1996;92;0;0;0;92;0;211;0;0;0;211;0
93;4543 Afwerken van vloeren/wanden e.d.;1997;109;0;0;0;109;0;218;0;0;0;218;0
94;4543 Afwerken van vloeren/wanden e.d.;1998;90;0;0;0;110;0;246;0;0;0;246;0
95;4543 Afwerken van vloeren/wanden e.d.;1999;133;0;0;0;133;0;225;0;0;0;225;0
96;4544 Glaszetterswerkzaamheden;1996;40;0;0;0;40;0;24;0;0;0;24;0
97;4544 Glaszetterswerkzaamheden;1997;31;0;0;0;31;0;24;0;0;0;24;0
98;4544 Glaszetterswerkzaamheden;1998;44;0;0;0;44;0;36;0;0;0;36;0
99;4544 Glaszetterswerkzaamheden;1999;54;0;0;0;54;0;44;0;0;0;44;0
100;4544 Schilder/ conserveringswerk totaal;1996;641;0;0;0;641;0;385;0;0;0;385;0
101;4544 Schilder/ conserveringswerk totaal;1997;655;0;0;0;655;0;428;0;0;0;428;0
102;4544 Schilder/ conserveringswerk totaal;1998;659;0;0;0;659;0;477;0;0;0;477;0
103;4544 Schilder/ conserveringswerk totaal;1999;760;0;0;0;760;0;441;0;0;0;441;0
104;Overige bouwactiviteiten totaal;1996;947;26;830;0;80;11;537;26;386;0;118;7
105;Overige bouwactiviteiten totaal;1997;783;58;605;0;94;27;533;24;403;0;103;5
106;Overige bouwactiviteiten totaal;1998;707;48;548;0;103;8;631;25;502;0;94;10
107;Overige bouwactiviteiten totaal;1999;633;31;508;0;93;0;640;33;515;0;85;8
108;Overige activiteiten;1996;390;0;0;0;0;390;0;0;0;0;0;0
109;Overige activiteiten;1997;390;0;0;0;0;390;0;0;0;0;0;0
110;Overige activiteiten;1998;435;0;0;0;0;435;0;0;0;0;0;0
111;Overige activiteiten;1999;560;0;0;0;0;560;0;0;0;0;0;0
