ID;Perioden;TotaalBaten_1;ContributiesEnLesgelden_2;OverigeBaten_3;TotaalLasten_4;LonenEnSocialeLasten_5;PersoneelNietInLoondienst_6;Huisvestingskosten_7;OnderhoudEnSchoonmaak_8;Kapitaallasten_9;OverigeLasten_10;PersonenInLoondienst_11;PersoneelInLoondienst_12;PersoneelNietInLoondienst_13;LedenEnCursisten_14
0;1988;24;18;6;22;3;1;4;3;4;8;190.0;140.0;100.0;168
1;1991;35;28;8;32;3;1;7;3;6;13;180.0;140.0;110.0;207
2;1994;40;30;10;36;4;1;6;3;7;15;240.0;180.0;110.0;197
3;1997;41;31;11;37;5;1;6;4;7;14;;;;200
4;2000;51;34;16;45;6;1;8;5;8;18;460.0;380.0;;217
5;2003;65;45;20;59;7;2;9;7;10;24;460.0;360.0;;220
6;2006;65;46;19;58;6;2;11;7;9;22;470.0;320.0;;215
7;2009;70;49;21;62;7;2;12;7;9;25;450.0;280.0;;226
8;2012;73;52;21;67;7;2;13;8;9;27;520.0;310.0;;230
