ID;SamenstellingVanHetHuishouden;LeeftijdReferentiepersoon;BurgerlijkeStaatReferentiepersoon;Perioden;ParticuliereHuishoudens_1
0;Particulier huishouden;Totaal;Totaal burgerlijke staat;2016;7733844
1;Particulier huishouden;Totaal;Totaal burgerlijke staat;2017;7812020
2;Particulier huishouden;Totaal;Totaal burgerlijke staat;2018;7883855
3;Particulier huishouden;Totaal;Totaal burgerlijke staat;2019;7938592
4;Particulier huishouden;Totaal;Totaal burgerlijke staat;2020;7982955
5;Particulier huishouden;Totaal;Totaal burgerlijke staat;2021;8027479
6;Particulier huishouden;Totaal;Totaal burgerlijke staat;2022;8072071
7;Particulier huishouden;Totaal;Totaal burgerlijke staat;2023;8115135
8;Particulier huishouden;Totaal;Totaal burgerlijke staat;2024;8156341
9;Particulier huishouden;Totaal;Totaal burgerlijke staat;2025;8195622
10;Particulier huishouden;Totaal;Totaal burgerlijke staat;2026;8232935
11;Particulier huishouden;Totaal;Totaal burgerlijke staat;2027;8268387
12;Particulier huishouden;Totaal;Totaal burgerlijke staat;2028;8301880
13;Particulier huishouden;Totaal;Totaal burgerlijke staat;2029;8333351
14;Particulier huishouden;Totaal;Totaal burgerlijke staat;2030;8362524
15;Particulier huishouden;Totaal;Totaal burgerlijke staat;2031;8389043
16;Particulier huishouden;Totaal;Totaal burgerlijke staat;2032;8412835
17;Particulier huishouden;Totaal;Totaal burgerlijke staat;2033;8434358
18;Particulier huishouden;Totaal;Totaal burgerlijke staat;2034;8453604
19;Particulier huishouden;Totaal;Totaal burgerlijke staat;2035;8470798
20;Particulier huishouden;Totaal;Totaal burgerlijke staat;2036;8486065
21;Particulier huishouden;Totaal;Totaal burgerlijke staat;2037;8499486
22;Particulier huishouden;Totaal;Totaal burgerlijke staat;2038;8511371
23;Particulier huishouden;Totaal;Totaal burgerlijke staat;2039;8521801
24;Particulier huishouden;Totaal;Totaal burgerlijke staat;2040;8531150
25;Particulier huishouden;Totaal;Totaal burgerlijke staat;2041;8539654
26;Particulier huishouden;Totaal;Totaal burgerlijke staat;2042;8547566
27;Particulier huishouden;Totaal;Totaal burgerlijke staat;2043;8555052
28;Particulier huishouden;Totaal;Totaal burgerlijke staat;2044;8562354
29;Particulier huishouden;Totaal;Totaal burgerlijke staat;2045;8569453
30;Particulier huishouden;Totaal;Totaal burgerlijke staat;2046;8576300
31;Particulier huishouden;Totaal;Totaal burgerlijke staat;2047;8583006
32;Particulier huishouden;Totaal;Totaal burgerlijke staat;2048;8589477
33;Particulier huishouden;Totaal;Totaal burgerlijke staat;2049;8595615
