ID;NominaleEnMarktwaarde;Sectoren;Perioden;TotaalGeldgevers_1;TotaalBinnenland_2;Banken_3;PensioenfondsenEnVerzekeraars_4;Beleggingsinstellingen_5;OverigeFinancieleInstellingen_6;Overheid_7;NietFinancieleBedrijven_8;Huishoudens_9;Buitenland_10;TotaalChartaalGeld_11;TotaalBinnenland_12;Banken_13;PensioenfondsenEnVerzekeraars_14;Beleggingsinstellingen_15;OverigeFinancieleInstellingen_16;Overheid_17;NietFinancieleBedrijven_18;Huishoudens_19;Buitenland_20;TotaalKortlopendeWaardepapieren_21;TotaalBinnenland_22;Banken_23;PensioenfondsenEnVerzekeraars_24;Beleggingsinstellingen_25;OverigeFinancieleInstellingen_26;Overheid_27;NietFinancieleBedrijven_28;Huishoudens_29;Buitenland_30;TotaalObligaties_31;TotaalBinnenland_32;Banken_33;PensioenfondsenEnVerzekeraars_34;Beleggingsinstellingen_35;OverigeFinancieleInstellingen_36;Overheid_37;NietFinancieleBedrijven_38;Huishoudens_39;Buitenland_40;TotaalKortlopendeLeningen_41;TotaalBinnenland_42;Banken_43;PensioenfondsenEnVerzekeraars_44;Beleggingsinstellingen_45;OverigeFinancieleInstellingen_46;Overheid_47;NietFinancieleBedrijven_48;Huishoudens_49;Buitenland_50;TotaalLanglopendeLeningen_51;TotaalBinnenland_52;Banken_53;PensioenfondsenEnVerzekeraars_54;Beleggingsinstellingen_55;OverigeFinancieleInstellingen_56;Overheid_57;NietFinancieleBedrijven_58;Huishoudens_59;Buitenland_60
60;Nominale waarde;Centrale overheid;1990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;Nominale waarde;Centrale overheid;1991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;Nominale waarde;Centrale overheid;1992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;Nominale waarde;Centrale overheid;1993;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;Nominale waarde;Centrale overheid;1994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;Nominale waarde;Centrale overheid;1995;186050.0;143559.0;32718.0;88293.0;6273.0;374.0;775.0;6294.0;8832.0;42491.0;1209.0;1209.0;5.0;0.0;0.0;0.0;26.0;0.0;1178.0;0.0;5642.0;4861.0;4486.0;40.0;324.0;11.0;0.0;0.0;0.0;781.0;142401.0;101086.0;19809.0;61943.0;5640.0;362.0;677.0;5001.0;7654.0;41315.0;415.0;391.0;389.0;2.0;0.0;0.0;0.0;0.0;0.0;24.0;36383.0;36012.0;8029.0;26308.0;309.0;1.0;72.0;1293.0;0.0;371.0
66;Nominale waarde;Centrale overheid;1996;190355.0;152057.0;35121.0;95397.0;4620.0;563.0;950.0;7062.0;8344.0;38298.0;1219.0;1219.0;3.0;0.0;0.0;0.0;23.0;0.0;1193.0;0.0;6983.0;5586.0;5198.0;91.0;289.0;0.0;8.0;0.0;0.0;1397.0;151393.0;114864.0;22194.0;74506.0;4012.0;562.0;895.0;5544.0;7151.0;36529.0;463.0;455.0;433.0;22.0;0.0;0.0;0.0;0.0;0.0;8.0;30297.0;29933.0;7293.0;20778.0;319.0;1.0;24.0;1518.0;0.0;364.0
67;Nominale waarde;Centrale overheid;1997;190173.0;154431.0;37857.0;96596.0;5335.0;665.0;296.0;7068.0;6614.0;35742.0;1242.0;1242.0;8.0;0.0;0.0;0.0;28.0;0.0;1206.0;0.0;5959.0;4535.0;4295.0;115.0;105.0;0.0;20.0;0.0;0.0;1424.0;156927.0;123010.0;26238.0;79777.0;5169.0;664.0;248.0;5506.0;5408.0;33917.0;360.0;350.0;304.0;46.0;0.0;0.0;0.0;0.0;0.0;10.0;25685.0;25294.0;7012.0;16658.0;61.0;1.0;0.0;1562.0;0.0;391.0
68;Nominale waarde;Centrale overheid;1998;196777.0;154634.0;40675.0;91414.0;4941.0;1597.0;2610.0;6822.0;6575.0;42143.0;1268.0;1268.0;12.0;0.0;0.0;0.0;23.0;0.0;1233.0;0.0;6877.0;5248.0;5120.0;83.0;11.0;0.0;34.0;0.0;0.0;1629.0;164752.0;124664.0;29203.0;77915.0;4918.0;1470.0;407.0;5409.0;5342.0;40088.0;2642.0;2641.0;422.0;73.0;0.0;0.0;2146.0;0.0;0.0;1.0;21238.0;20813.0;5918.0;13343.0;12.0;127.0;0.0;1413.0;0.0;425.0
69;Nominale waarde;Centrale overheid;1999;201087.0;139309.0;35221.0;77810.0;3641.0;2167.0;6049.0;7988.0;6433.0;61778.0;1267.0;1267.0;3.0;0.0;0.0;0.0;23.0;0.0;1241.0;0.0;5107.0;946.0;875.0;40.0;5.0;0.0;26.0;0.0;0.0;4161.0;174940.0;117757.0;29909.0;70561.0;3636.0;1984.0;701.0;5774.0;5192.0;57183.0;6284.0;6284.0;888.0;67.0;0.0;0.0;5299.0;30.0;0.0;0.0;13489.0;13055.0;3546.0;7142.0;0.0;183.0;0.0;2184.0;0.0;434.0
70;Nominale waarde;Centrale overheid;2000;196642.0;125514.0;28455.0;67467.0;2274.0;1924.0;10658.0;7164.0;7572.0;71128.0;1296.0;1296.0;16.0;0.0;0.0;0.0;23.0;0.0;1257.0;0.0;5609.0;1511.0;1099.0;51.0;7.0;0.0;31.0;323.0;0.0;4098.0;169706.0;103173.0;22481.0;63925.0;2267.0;1792.0;809.0;5584.0;6315.0;66533.0;12557.0;12509.0;2664.0;1.0;0.0;41.0;9795.0;8.0;0.0;48.0;7474.0;7025.0;2195.0;3490.0;0.0;91.0;0.0;1249.0;0.0;449.0
71;Nominale waarde;Centrale overheid;2001;200225.0;109312.0;27156.0;53213.0;1704.0;1607.0;11588.0;5478.0;8566.0;90913.0;1258.0;1258.0;237.0;0.0;0.0;0.0;20.0;0.0;1001.0;0.0;5911.0;1130.0;1019.0;0.0;0.0;0.0;111.0;0.0;0.0;4781.0;172661.0;87059.0;19793.0;50933.0;1603.0;1435.0;921.0;4809.0;7565.0;85602.0;15822.0;15796.0;5218.0;37.0;0.0;4.0;10536.0;1.0;0.0;26.0;4573.0;4069.0;889.0;2243.0;101.0;168.0;0.0;668.0;0.0;504.0
72;Nominale waarde;Centrale overheid;2002;208690.0;100927.0;26883.0;45559.0;1721.0;2748.0;12724.0;4878.0;6414.0;107763.0;684.0;684.0;0.0;0.0;0.0;0.0;13.0;0.0;671.0;0.0;16130.0;985.0;900.0;0.0;0.0;0.0;85.0;0.0;0.0;15145.0;170565.0;78695.0;20114.0;43548.0;1569.0;2476.0;728.0;4649.0;5611.0;91870.0;17487.0;17249.0;5045.0;47.0;0.0;3.0;11898.0;124.0;132.0;238.0;3824.0;3314.0;824.0;1964.0;152.0;269.0;0.0;105.0;0.0;510.0
73;Nominale waarde;Centrale overheid;2003;222303.0;99131.0;27821.0;41836.0;1998.0;1938.0;13651.0;5060.0;6827.0;123172.0;719.0;719.0;13.0;0.0;0.0;0.0;18.0;0.0;688.0;0.0;20360.0;2100.0;1993.0;11.0;0.0;0.0;96.0;0.0;0.0;18260.0;180896.0;76291.0;21196.0;40016.0;1841.0;1551.0;718.0;4976.0;5993.0;104605.0;16547.0;16393.0;3328.0;0.0;0.0;16.0;12819.0;84.0;146.0;154.0;3781.0;3628.0;1291.0;1809.0;157.0;371.0;0.0;0.0;0.0;153.0
74;Nominale waarde;Centrale overheid;2004;231628.0;94041.0;24415.0;40814.0;2007.0;2252.0;13671.0;4593.0;6289.0;137587.0;701.0;701.0;0.0;0.0;0.0;0.0;11.0;0.0;690.0;0.0;17790.0;1236.0;1140.0;0.0;0.0;0.0;96.0;0.0;0.0;16554.0;195605.0;74774.0;21260.0;39196.0;1855.0;1922.0;671.0;4419.0;5451.0;120831.0;13910.0;13853.0;638.0;0.0;0.0;0.0;12893.0;174.0;148.0;57.0;3622.0;3477.0;1377.0;1618.0;152.0;330.0;0.0;0.0;0.0;145.0
75;Nominale waarde;Centrale overheid;2005 1e kwartaal;233130.0;93370.0;24810.0;37700.0;1902.0;2461.0;16810.0;4815.0;4872.0;139760.0;665.0;665.0;0.0;0.0;0.0;0.0;13.0;0.0;652.0;0.0;19950.0;1761.0;1665.0;0.0;0.0;0.0;96.0;0.0;0.0;18189.0;192005.0;70556.0;21697.0;35765.0;1755.0;2051.0;707.0;4508.0;4073.0;121449.0;17113.0;17075.0;627.0;0.0;0.0;0.0;15994.0;307.0;147.0;38.0;3397.0;3313.0;821.0;1935.0;147.0;410.0;0.0;0.0;0.0;84.0
76;Nominale waarde;Centrale overheid;2005 2e kwartaal;248410.0;95178.0;23698.0;40033.0;1879.0;2584.0;18077.0;3733.0;5174.0;153232.0;674.0;674.0;0.0;0.0;0.0;0.0;13.0;0.0;661.0;0.0;17370.0;1090.0;994.0;0.0;0.0;0.0;96.0;0.0;0.0;16280.0;208908.0;72029.0;21402.0;37949.0;1741.0;2118.0;728.0;3725.0;4366.0;136879.0;18040.0;18011.0;616.0;0.0;0.0;0.0;17240.0;8.0;147.0;29.0;3418.0;3374.0;686.0;2084.0;138.0;466.0;0.0;0.0;0.0;44.0
77;Nominale waarde;Centrale overheid;2005 3e kwartaal;241166.0;91881.0;22188.0;41691.0;1824.0;2570.0;14409.0;2819.0;6380.0;149285.0;656.0;656.0;21.0;0.0;0.0;0.0;13.0;0.0;622.0;0.0;21240.0;873.0;777.0;0.0;0.0;0.0;96.0;0.0;0.0;20367.0;200214.0;71382.0;19992.0;38660.0;1701.0;2067.0;755.0;2596.0;5611.0;128832.0;15930.0;15864.0;607.0;1342.0;0.0;0.0;13545.0;223.0;147.0;66.0;3126.0;3106.0;791.0;1689.0;123.0;503.0;0.0;0.0;0.0;20.0
78;Nominale waarde;Centrale overheid;2005 4e kwartaal;237908.0;89939.0;22238.0;42629.0;1852.0;2566.0;13102.0;4466.0;3086.0;147969.0;639.0;639.0;9.0;0.0;0.0;0.0;13.0;0.0;617.0;0.0;18050.0;1223.0;1127.0;0.0;0.0;0.0;96.0;0.0;0.0;16827.0;200765.0;69709.0;19232.0;39790.0;1737.0;2038.0;777.0;3813.0;2322.0;131056.0;15030.0;14952.0;594.0;1342.0;0.0;0.0;12216.0;653.0;147.0;78.0;3424.0;3416.0;1276.0;1497.0;115.0;528.0;0.0;0.0;0.0;8.0
79;Nominale waarde;Centrale overheid;2005;237908.0;89939.0;22238.0;42629.0;1852.0;2566.0;13102.0;4466.0;3086.0;147969.0;639.0;639.0;9.0;0.0;0.0;0.0;13.0;0.0;617.0;0.0;18050.0;1223.0;1127.0;0.0;0.0;0.0;96.0;0.0;0.0;16827.0;200765.0;69709.0;19232.0;39790.0;1737.0;2038.0;777.0;3813.0;2322.0;131056.0;15030.0;14952.0;594.0;1342.0;0.0;0.0;12216.0;653.0;147.0;78.0;3424.0;3416.0;1276.0;1497.0;115.0;528.0;0.0;0.0;0.0;8.0
80;Nominale waarde;Centrale overheid;2006 1e kwartaal;238163.0;88886.0;20008.0;42765.0;1758.0;2460.0;14053.0;4390.0;3452.0;149277.0;608.0;608.0;25.0;0.0;0.0;0.0;11.0;25.0;547.0;0.0;22459.0;662.0;0.0;567.0;0.0;0.0;95.0;0.0;0.0;21797.0;195614.0;68638.0;18070.0;39526.0;1644.0;2004.0;710.0;4295.0;2389.0;126976.0;16006.0;15630.0;609.0;1198.0;0.0;0.0;13237.0;70.0;516.0;376.0;3476.0;3348.0;1304.0;1474.0;114.0;456.0;0.0;0.0;0.0;128.0
81;Nominale waarde;Centrale overheid;2006 2e kwartaal;239321.0;88880.0;21184.0;41189.0;1665.0;2379.0;13400.0;5004.0;4059.0;150441.0;620.0;620.0;13.0;0.0;0.0;0.0;11.0;50.0;546.0;0.0;20820.0;314.0;6.0;213.0;0.0;0.0;95.0;0.0;0.0;20506.0;199531.0;70214.0;19465.0;38635.0;1554.0;1981.0;733.0;4893.0;2953.0;129317.0;15049.0;14690.0;625.0;883.0;0.0;0.0;12561.0;61.0;560.0;359.0;3301.0;3042.0;1075.0;1458.0;111.0;398.0;0.0;0.0;0.0;259.0
82;Nominale waarde;Centrale overheid;2006 3e kwartaal;237992.0;87683.0;20802.0;40994.0;1617.0;2210.0;13532.0;4353.0;4175.0;150309.0;610.0;610.0;25.0;0.0;0.0;0.0;11.0;75.0;499.0;0.0;25397.0;1230.0;209.0;926.0;0.0;0.0;95.0;0.0;0.0;24167.0;193923.0;68536.0;19044.0;37991.0;1510.0;1876.0;788.0;4217.0;3110.0;125387.0;14915.0;14562.0;631.0;666.0;0.0;0.0;12638.0;61.0;566.0;353.0;3147.0;2745.0;893.0;1411.0;107.0;334.0;0.0;0.0;0.0;402.0
83;Nominale waarde;Centrale overheid;2006 4e kwartaal;227515.0;82945.0;20772.0;39141.0;1583.0;2121.0;11840.0;4349.0;3139.0;144570.0;625.0;625.0;14.0;0.0;0.0;0.0;11.0;100.0;500.0;0.0;13950.0;1005.0;457.0;451.0;0.0;1.0;96.0;0.0;0.0;12945.0;196291.0;65306.0;18695.0;36815.0;1482.0;1813.0;732.0;3338.0;2431.0;130985.0;13380.0;13290.0;624.0;545.0;0.0;1.0;11001.0;911.0;208.0;90.0;3269.0;2719.0;982.0;1330.0;101.0;306.0;0.0;0.0;0.0;550.0
84;Nominale waarde;Centrale overheid;2006;227515.0;82945.0;20772.0;39141.0;1583.0;2121.0;11840.0;4349.0;3139.0;144570.0;625.0;625.0;14.0;0.0;0.0;0.0;11.0;100.0;500.0;0.0;13950.0;1005.0;457.0;451.0;0.0;1.0;96.0;0.0;0.0;12945.0;196291.0;65306.0;18695.0;36815.0;1482.0;1813.0;732.0;3338.0;2431.0;130985.0;13380.0;13290.0;624.0;545.0;0.0;1.0;11001.0;911.0;208.0;90.0;3269.0;2719.0;982.0;1330.0;101.0;306.0;0.0;0.0;0.0;550.0
85;Nominale waarde;Centrale overheid;2007 1e kwartaal;233261.0;83211.0;21339.0;39164.0;1613.0;1756.0;13165.0;3349.0;2825.0;150050.0;589.0;589.0;25.0;0.0;0.0;0.0;13.0;100.0;451.0;0.0;27663.0;1007.0;789.0;122.0;0.0;0.0;96.0;0.0;0.0;26656.0;186905.0;64456.0;18617.0;37300.0;1510.0;1482.0;683.0;3069.0;1795.0;122449.0;15024.0;14664.0;1036.0;495.0;0.0;1.0;12373.0;180.0;579.0;360.0;3080.0;2495.0;872.0;1247.0;103.0;273.0;0.0;0.0;0.0;585.0
86;Nominale waarde;Centrale overheid;2007 2e kwartaal;241288.0;86411.0;22541.0;39577.0;1807.0;1861.0;14152.0;3237.0;3236.0;154877.0;615.0;615.0;6.0;0.0;0.0;0.0;13.0;100.0;496.0;0.0;30137.0;1596.0;908.0;592.0;0.0;0.0;96.0;0.0;0.0;28541.0;191606.0;66341.0;19770.0;37344.0;1703.0;1635.0;760.0;2971.0;2158.0;125265.0;15811.0;15518.0;1030.0;456.0;0.0;1.0;13283.0;166.0;582.0;293.0;3119.0;2341.0;827.0;1185.0;104.0;225.0;0.0;0.0;0.0;778.0
87;Nominale waarde;Centrale overheid;2007 3e kwartaal;239257.0;86997.0;21578.0;39650.0;2422.0;1866.0;14530.0;3511.0;3440.0;152260.0;609.0;609.0;12.0;0.0;0.0;0.0;13.0;100.0;484.0;0.0;30714.0;1376.0;1133.0;147.0;0.0;0.0;96.0;0.0;0.0;29338.0;188439.0;66638.0;18598.0;37892.0;2316.0;1684.0;748.0;3076.0;2324.0;121801.0;16320.0;16096.0;1016.0;439.0;0.0;1.0;13673.0;335.0;632.0;224.0;3175.0;2278.0;819.0;1172.0;106.0;181.0;0.0;0.0;0.0;897.0
88;Nominale waarde;Centrale overheid;2007 4e kwartaal;232717.0;87015.0;25249.0;37651.0;1166.0;1479.0;13602.0;4055.0;3813.0;145702.0;620.0;620.0;8.0;0.0;0.0;0.0;13.0;100.0;499.0;0.0;16810.0;342.0;50.0;196.0;0.0;0.0;96.0;0.0;0.0;16468.0;190982.0;63072.0;18117.0;35821.0;1056.0;1324.0;707.0;3339.0;2708.0;127910.0;20923.0;20765.0;6290.0;466.0;0.0;1.0;12786.0;616.0;606.0;158.0;3382.0;2216.0;784.0;1168.0;110.0;154.0;0.0;0.0;0.0;1166.0
89;Nominale waarde;Centrale overheid;2007;232717.0;87015.0;25249.0;37651.0;1166.0;1479.0;13602.0;4055.0;3813.0;145702.0;620.0;620.0;8.0;0.0;0.0;0.0;13.0;100.0;499.0;0.0;16810.0;342.0;50.0;196.0;0.0;0.0;96.0;0.0;0.0;16468.0;190982.0;63072.0;18117.0;35821.0;1056.0;1324.0;707.0;3339.0;2708.0;127910.0;20923.0;20765.0;6290.0;466.0;0.0;1.0;12786.0;616.0;606.0;158.0;3382.0;2216.0;784.0;1168.0;110.0;154.0;0.0;0.0;0.0;1166.0
90;Nominale waarde;Centrale overheid;2008 1e kwartaal;243067.0;89994.0;27801.0;36232.0;1019.0;1468.0;16410.0;3076.0;3988.0;153073.0;590.0;590.0;21.0;0.0;0.0;0.0;13.0;99.0;457.0;0.0;23460.0;446.0;225.0;124.0;0.0;1.0;96.0;0.0;0.0;23014.0;190543.0;62434.0;19672.0;34416.0;925.0;1322.0;653.0;2509.0;2937.0;128109.0;24369.0;24193.0;6998.0;484.0;0.0;1.0;15648.0;468.0;594.0;176.0;4105.0;2331.0;885.0;1208.0;94.0;144.0;0.0;0.0;0.0;1774.0
91;Nominale waarde;Centrale overheid;2008 2e kwartaal;249741.0;87782.0;27978.0;31216.0;860.0;1491.0;18459.0;3705.0;4073.0;161959.0;594.0;594.0;19.0;0.0;0.0;0.0;14.0;97.0;464.0;0.0;23782.0;870.0;757.0;17.0;0.0;0.0;96.0;0.0;0.0;22912.0;195710.0;58189.0;19648.0;29486.0;782.0;1357.0;706.0;3210.0;3000.0;137521.0;26040.0;25846.0;6701.0;492.0;0.0;3.0;17643.0;398.0;609.0;194.0;3615.0;2283.0;853.0;1221.0;78.0;131.0;0.0;0.0;0.0;1332.0
92;Nominale waarde;Centrale overheid;2008 3e kwartaal;254324.0;83886.0;28604.0;26570.0;883.0;1523.0;17793.0;4078.0;4435.0;170438.0;594.0;594.0;19.0;0.0;0.0;0.0;14.0;96.0;465.0;0.0;32082.0;327.0;178.0;40.0;0.0;0.0;96.0;0.0;13.0;31755.0;188715.0;51424.0;16895.0;24759.0;820.0;1394.0;746.0;3535.0;3275.0;137291.0;29443.0;29231.0;10669.0;493.0;0.0;3.0;16937.0;447.0;682.0;212.0;3490.0;2310.0;843.0;1278.0;63.0;126.0;0.0;0.0;0.0;1180.0
