ID;Persoonskenmerken;Cijfersoort;Perioden;OverlastDoorGroepenJongeren_1;MensenWordenOpStraatLastigGevallen_2;Drugsoverlast_3;DronkenMensenOpStraat_4;Bedreiging_5;Gewelddelicten_6;Straatroof_7;VrouwenEnMeisjesWordenNagefloten_8;Jeugdcriminaliteit_9;SocialeOverlastSchaalscore_10;DreigingSchaalscore_11;BekladdingVanMurenGebouwen_12;RommelOpStraat_13;HondenpoepOpStraat_14;VernielingVanStraatmeubilair_15;FysiekeVerloederingSchaalscore_16;Fietsendiefstal_17;DiefstalUitAutoS_18;BeschadigingAanDiefstalUitAutoS_19;InbraakInWoningen_20;OverlastVermogensdelictenSchaalscore_21;AgressiefVerkeersgedrag_22;GeluidsoverlastDoorVerkeer_23;TeHardRijden_24;Parkeeroverlast_25;VerkeersoverlastSchaalscore_26;OverlastDoorOmwonenden_27;AndereVormenVanGeluidsoverlast_28;OverlastVanZwerversDaklozen_29;OverlastDoorHoreca_30;OverigeOverlastSchaalscore_31;MensenKennenElkaarNauwelijks_32;MensenGaanPrettigMetElkaarOm_33;GezelligeBuurtMetVeelSaamhorigheid_34;VoelMijThuisBijMensenInDezeBuurt_35;VeelContactMetAndereBuurtbewoners_36;TevredenMetSamenstellingBevolking_37;SocialeCohesieSchaalscore_38;WegenPadenPleintjesGoedOnderhouden_39;PlantsoenenEnParkenGoedOnderhouden_40;BuitenGoedVerlicht_41;GoedeSpeelplekkenVoorKinderen_42;GoedeVoorzieningenVoorJongeren_43;ZelfActiefGeweestBijVerbeterenBuurt_44;VooruitGegaan_45;AchteruitGegaan_46;GelijkGebleven_47;Woonomgeving_48;Leefbaarheid_49;Veiligheid_50
0;1100;Waarde;2008;8.9;20.2;33.0;14.0;3.7;11.3;2.0;4.8;6.2;2.1;2.1;0.9;3.3;5.3;1.7;1.2;10.1;6.3;10.0;6.7;2.7;11.4;13.6;30.6;24.0;3.7;4.7;8.2;1.4;2.3;1.3;64.8;65.2;73.0;53.3;19.0;25.2;69.7;45.2;63.3;38.9;71.4;6.3;16.4;14.3;13.4;67.6;7.4;7.4;7.0
1;1100;Waarde;2009;8.1;21.3;31.9;11.8;3.6;11.9;2.1;4.9;6.8;2.2;1.9;0.8;3.3;4.9;1.7;1.1;9.8;6.3;10.2;6.8;2.7;12.2;15.1;31.7;24.4;3.8;5.1;9.4;1.5;2.4;1.4;63.6;64.2;72.9;52.8;18.9;25.8;69.5;45.0;63.8;39.7;70.9;6.3;17.5;13.8;14.8;67.1;7.4;7.3;6.9
2;1100;Betrouwbaarheidsmarge;2008;0.4;0.6;0.7;0.5;0.0;0.5;0.2;0.4;0.4;0.2;0.3;0.1;0.3;0.4;0.0;0.0;0.5;0.4;0.5;0.4;0.0;0.5;0.5;0.7;0.6;0.0;0.3;0.4;0.2;0.2;0.0;0.7;0.7;0.7;0.8;0.6;0.7;0.7;0.8;0.8;0.8;0.7;0.0;0.5;0.5;0.5;0.7;0.0;0.0;0.0
3;1100;Betrouwbaarheidsmarge;2009;0.2;0.4;0.4;0.3;0.0;0.3;0.1;0.2;0.2;0.1;0.1;0.1;0.2;0.2;0.0;0.0;0.3;0.2;0.3;0.2;0.0;0.3;0.3;0.4;0.4;0.0;0.2;0.3;0.1;0.1;0.0;0.5;0.4;0.4;0.5;0.4;0.4;0.4;0.5;0.5;0.5;0.4;0.0;0.4;0.3;0.3;0.4;0.0;0.0;0.0
4;20920;Waarde;2008;19.4;21.1;33.0;17.5;4.2;15.5;3.9;6.7;6.6;5.1;4.2;0.7;12.7;10.7;2.1;1.7;15.9;4.2;10.6;5.5;2.4;12.7;8.5;30.1;19.0;3.4;3.7;4.7;0.8;1.5;1.3;72.0;62.7;67.6;60.6;18.3;16.7;70.7;52.0;60.6;47.2;66.5;6.5;7.6;22.9;8.6;61.4;7.4;7.3;7.2
5;20920;Waarde;2009;12.7;20.3;30.3;13.8;3.9;12.1;2.9;4.3;6.7;3.4;3.1;0.7;10.5;5.8;1.9;1.5;12.6;4.0;8.7;5.0;2.3;9.0;8.3;25.9;17.0;3.2;4.0;6.1;0.9;1.4;1.3;72.2;65.3;67.4;60.2;21.6;16.9;72.4;50.9;62.3;44.1;68.4;6.5;7.1;19.1;9.3;65.6;7.3;7.3;7.1
6;20920;Betrouwbaarheidsmarge;2008;3.8;3.4;4.0;3.2;0.2;3.2;1.8;2.8;2.1;1.9;2.1;0.4;3.1;3.3;0.2;0.2;3.1;1.6;2.9;2.2;0.2;3.4;2.5;4.0;3.2;0.3;1.2;1.2;0.5;0.8;0.1;3.9;4.2;4.0;4.1;3.0;3.4;3.9;4.2;4.2;4.2;4.2;0.2;2.2;3.6;1.7;4.1;0.1;0.1;0.1
7;20920;Betrouwbaarheidsmarge;2009;1.5;1.8;2.0;1.6;0.1;1.4;0.6;0.9;1.1;0.7;0.8;0.3;1.4;0.9;0.1;0.1;1.5;1.0;1.2;1.0;0.1;1.3;1.3;2.0;1.7;0.1;0.8;1.0;0.3;0.5;0.1;1.9;2.1;2.1;2.2;2.0;1.6;1.9;2.2;2.1;2.2;2.0;0.1;1.1;1.8;1.2;2.1;0.0;0.0;0.1
8;20930;Waarde;2008;13.9;19.9;28.0;18.0;3.9;17.5;4.1;6.1;11.8;4.5;4.4;1.5;9.7;8.4;2.3;1.7;17.7;7.8;11.6;6.5;2.8;11.8;10.5;28.8;27.0;3.7;6.7;10.0;1.8;2.3;1.7;70.3;68.6;69.6;52.5;21.3;29.0;66.1;41.8;53.5;33.9;66.7;6.0;6.9;17.2;12.2;62.3;7.2;7.2;7.0
9;20930;Waarde;2009;11.6;19.8;26.6;14.1;3.7;16.0;4.3;6.9;11.7;4.2;3.9;1.2;8.6;7.7;2.2;1.6;16.7;6.5;11.4;7.2;2.7;12.3;11.4;27.7;25.6;3.6;6.9;10.0;2.4;2.1;1.6;71.3;69.4;69.8;54.7;20.4;27.9;67.6;39.7;53.4;31.8;67.9;6.0;8.3;16.8;11.8;63.1;7.3;7.2;6.9
