ID;Perioden;Prijsindexcijfers_1;Kwartaalmutatie_2;Jaarmutatie_3
0;2006 1e kwartaal;100,0;     ;     
1;2006 2e kwartaal;101,1;  1,1;     
2;2006 3e kwartaal;100,7; -0,4;     
3;2006 4e kwartaal;101,9;  1,2;     
4;2006 jaargemiddelde;100,9;     ;     
5;2007 1e kwartaal;102,0;  0,1;  2,0
6;2007 2e kwartaal;102,7;  0,7;  1,6
7;2007 3e kwartaal;102,7;  0,0;  2,0
8;2007 4e kwartaal;101,3; -1,4; -0,6
9;2007 jaargemiddelde;102,2;     ;  1,3
