ID;MethodenVanSlibontwatering;Perioden;VoorOntwatering_1;NaOntwatering_2;DrogeStofNaOntwatering_3;IngaandRekenkundig_4;UitgaandRekenkundig_5;IngaandLandelijk_6;UitgaandLandelijk_7
0;Droogbedden;1981;373.0;74.0;16.0;5.2;25.6;4.2;21.4
1;Droogbedden;1985;421.0;67.0;16.0;4.0;26.0;3.7;22.6
2;Droogbedden;1990;157.0;22.0;6.0;3.7;33.5;3.7;26.7
3;Droogbedden;1991;127.0;17.0;4.0;3.5;31.9;3.4;25.2
4;Droogbedden;1992;72.0;9.0;3.0;3.5;28.5;3.6;25.6
5;Droogbedden;1993;54.0;7.0;2.0;3.6;30.5;3.6;26.4
6;Droogbedden;1994;185.0;14.0;6.0;4.0;45.4;3.1;27.5
7;Droogbedden;1995;18.0;2.0;1.0;4.1;44.1;4.1;42.2
8;Droogbedden;1996;91.0;12.0;3.0;5.3;54.3;3.5;26.0
9;Droogbedden;1997;370.0;50.0;12.0;3.2;23.8;3.2;14.4
10;Droogbedden;1998;311.0;19.0;5.0;3.7;34.9;1.7;29.1
11;Droogbedden;1999;13.0;9.0;0.0;2.8;27.0;2.9;4.1
12;Droogbedden;2000;10.0;1.0;0.0;3.0;54.9;3.2;56.7
13;Droogbedden;2001;9.0;1.0;0.0;3.0;41.6;2.7;34.9
14;Droogbedden;2002;4.0;0.0;0.0;3.4;42.5;3.1;41.1
15;Droogbedden;2003;57.0;6.0;2.0;3.0;40.9;2.9;28.5
16;Droogbedden;2004;28.0;4.0;1.0;2.6;36.7;2.8;21.9
17;Droogbedden;2005;8.0;1.0;0.0;2.5;41.2;2.7;39.4
18;Droogbedden;2006;10.0;1.0;0.0;2.8;49.8;2.6;43.6
19;Droogbedden;2007;62.0;8.0;2.0;2.1;26.1;2.7;20.0
20;Droogbedden;2008;0.0;0.0;0.0;;;;
21;Droogbedden;2009;8.0;0.0;0.0;2.2;36.9;2.2;36.9
22;Droogbedden;2010;5.0;0.0;0.0;2.2;36.6;2.2;36.6
23;Droogbedden;2011;0.0;0.0;0.0;;;;
24;Droogbedden;2012;0.0;0.0;0.0;;;;
25;Droogbedden;2013;11.0;1.0;0.0;2.5;47.4;2.2;43.6
26;Droogbedden;2014;7.0;1.0;0.0;2.2;34.0;2.2;33.8
27;Droogbedden;2015;3.0;0.0;0.0;2.1;35.7;2.4;34.5
28;Droogbedden;2016;0.0;0.0;0.0;;;;
29;Droogbedden;2018;0.0;0.0;0.0;;;;
30;Droogbedden;2020;0.0;0.0;0.0;;;;
31;Droogbedden;2022;0.0;0.0;0.0;;;;
32;Lagunes;1981;1000.0;500.0;31.0;4.1;9.0;3.1;5.9
33;Lagunes;1985;905.0;282.0;30.0;3.5;10.4;3.3;8.0
34;Lagunes;1990;264.0;49.0;10.0;4.1;19.9;3.8;14.7
35;Lagunes;1991;222.0;69.0;7.0;4.0;20.9;3.0;11.4
36;Lagunes;1992;433.0;132.0;12.0;3.0;13.8;2.8;7.5
37;Lagunes;1993;46.0;7.0;2.0;3.7;16.1;3.5;11.6
38;Lagunes;1994;13.0;3.0;0.0;3.8;18.1;3.8;18.1
39;Lagunes;1995;30.0;4.0;1.0;3.5;27.5;3.9;28.7
40;Lagunes;1996;23.0;3.0;1.0;3.9;29.8;3.9;29.8
41;Lagunes;1997;31.0;6.0;1.0;3.7;20.3;3.6;18.5
42;Lagunes;1998;0.0;0.0;0.0;;;;
43;Lagunes;1999;0.0;0.0;0.0;;;;
44;Lagunes;2000;36.0;5.0;1.0;3.2;24.5;3.2;24.5
45;Lagunes;2001;23.0;4.0;1.0;3.8;22.0;3.7;22.0
46;Lagunes;2002;52.0;4.0;1.0;2.7;23.2;1.6;23.2
47;Lagunes;2003;0.0;0.0;0.0;;;;
48;Lagunes;2004;0.0;0.0;0.0;;;;
49;Lagunes;2005;0.0;0.0;0.0;;;;
50;Lagunes;2006;0.0;0.0;0.0;;;;
51;Lagunes;2007;0.0;0.0;0.0;;;;
52;Lagunes;2008;0.0;0.0;0.0;;;;
53;Lagunes;2009;0.0;0.0;0.0;;;;
54;Lagunes;2010;0.0;0.0;0.0;;;;
55;Lagunes;2011;0.0;0.0;0.0;;;;
56;Lagunes;2012;0.0;0.0;0.0;;;;
57;Lagunes;2013;0.0;0.0;0.0;;;;
58;Lagunes;2014;0.0;0.0;0.0;;;;
59;Lagunes;2015;0.0;0.0;0.0;;;;
60;Lagunes;2016;0.0;0.0;0.0;;;;
61;Lagunes;2018;0.0;0.0;0.0;;;;
62;Lagunes;2020;0.0;0.0;0.0;;;;
63;Lagunes;2022;0.0;0.0;0.0;;;;
64;Natte afvoer;1981;2187.0;1758.0;87.0;4.6;6.8;4.0;4.9
65;Natte afvoer;1985;4087.0;2017.0;95.0;4.0;4.9;2.3;4.6
66;Natte afvoer;1990;4348.0;3914.0;97.0;3.7;4.5;2.2;2.5
67;Natte afvoer;1991;2380.0;1970.0;88.0;3.8;4.3;3.7;4.5
68;Natte afvoer;1992;1751.0;1509.0;64.0;3.7;4.3;3.7;4.2
69;Natte afvoer;1993;1196.0;960.0;45.0;3.7;4.5;3.7;4.6
70;Natte afvoer;1994;1032.0;960.0;45.0;4.2;4.5;4.3;4.7
71;Natte afvoer;1995;926.0;918.0;44.0;4.1;4.4;4.7;4.8
72;Natte afvoer;1996;574.0;474.0;24.0;3.8;4.0;4.1;5.0
73;Natte afvoer;1997;386.0;349.0;18.0;4.1;4.7;4.7;5.2
74;Natte afvoer;1998;468.0;432.0;14.0;4.2;4.7;3.0;3.3
75;Natte afvoer;1999;1025.0;614.0;31.0;3.1;5.0;3.0;5.0
76;Natte afvoer;2000;408.0;328.0;16.0;3.5;4.8;3.8;4.7
77;Natte afvoer;2001;330.0;237.0;16.0;4.2;5.2;4.9;6.8
78;Natte afvoer;2002;392.0;376.0;19.0;4.1;4.7;5.0;5.2
79;Natte afvoer;2003;553.0;552.0;40.0;4.9;5.4;7.2;7.2
80;Natte afvoer;2004;495.0;495.0;24.0;4.2;5.0;4.8;4.8
81;Natte afvoer;2005;461.0;461.0;22.0;4.2;5.1;4.8;4.8
82;Natte afvoer;2006;451.0;451.0;22.0;4.5;5.2;4.9;4.9
83;Natte afvoer;2007;297.0;296.0;14.0;3.9;5.0;4.6;4.6
84;Natte afvoer;2008;0.0;0.0;0.0;;;;
85;Natte afvoer;2009;1.0;1.0;0.0;2.8;4.2;4.2;4.2
86;Natte afvoer;2010;36.0;36.0;1.0;4.0;5.1;3.9;3.9
87;Natte afvoer;2011;14.0;14.0;1.0;3.4;4.0;4.1;4.1
88;Natte afvoer;2012;182.0;127.0;5.0;2.6;3.0;3.0;3.5
89;Natte afvoer;2013;3.0;3.0;0.0;2.4;2.1;2.1;2.1
90;Natte afvoer;2014;0.0;0.0;0.0;2.3;2.1;0.0;0.0
91;Natte afvoer;2015;0.0;0.0;0.0;2.5;2.1;0.0;0.0
92;Natte afvoer;2016;0.0;0.0;0.0;2.5;2.1;;
93;Natte afvoer;2018;0.0;0.0;0.0;2.5;2.1;;
94;Natte afvoer;2020;26.0;32.0;1.0;3.9;4.42;3.36;2.73
95;Natte afvoer;2022;115.0;117.0;4.0;4.19;4.66;3.36;3.31
96;Vacuümfilter;1981;36.0;9.0;3.0;5.9;22.5;7.1;28.5
97;Vacuümfilter;1985;162.0;18.0;6.0;4.6;25.0;3.9;29.4
98;Vacuümfilter;1990;0.0;0.0;0.0;;;;
99;Vacuümfilter;1991;0.0;0.0;0.0;;;;
100;Vacuümfilter;1992;0.0;0.0;0.0;;;;
101;Vacuümfilter;1993;0.0;0.0;0.0;;;;
102;Vacuümfilter;1994;0.0;0.0;0.0;;;;
103;Vacuümfilter;1995;0.0;0.0;0.0;;;;
104;Vacuümfilter;1996;0.0;0.0;0.0;;;;
105;Vacuümfilter;1997;0.0;0.0;0.0;;;;
106;Vacuümfilter;1998;0.0;0.0;0.0;;;;
107;Vacuümfilter;1999;0.0;0.0;0.0;;;;
108;Vacuümfilter;2000;0.0;0.0;0.0;;;;
109;Vacuümfilter;2001;0.0;0.0;0.0;;;;
110;Vacuümfilter;2002;0.0;0.0;0.0;;;;
111;Vacuümfilter;2003;0.0;0.0;0.0;;;;
112;Vacuümfilter;2004;0.0;0.0;0.0;;;;
113;Vacuümfilter;2005;0.0;0.0;0.0;;;;
114;Vacuümfilter;2006;0.0;0.0;0.0;;;;
115;Vacuümfilter;2007;0.0;0.0;0.0;;;;
116;Vacuümfilter;2008;0.0;0.0;0.0;;;;
117;Vacuümfilter;2009;0.0;0.0;0.0;;;;
118;Vacuümfilter;2010;0.0;0.0;0.0;;;;
119;Vacuümfilter;2011;0.0;0.0;0.0;;;;
120;Vacuümfilter;2012;0.0;0.0;0.0;;;;
121;Vacuümfilter;2013;0.0;0.0;0.0;;;;
