ID;Migratieachtergrond;Perioden;TotaalLevendGeborenKinderen_1;GemiddeldKindertalPerVrouw_2
118;Ned. achtergrond/2e gen migratieachte...;2036;153130;1.74
119;Ned. achtergrond/2e gen migratieachte...;2037;151666;1.74
120;Ned. achtergrond/2e gen migratieachte...;2038;150111;1.74
121;Ned. achtergrond/2e gen migratieachte...;2039;148506;1.74
122;Ned. achtergrond/2e gen migratieachte...;2040;146888;1.74
123;Ned. achtergrond/2e gen migratieachte...;2041;145277;1.74
124;Ned. achtergrond/2e gen migratieachte...;2042;143734;1.74
125;Ned. achtergrond/2e gen migratieachte...;2043;142331;1.75
126;Ned. achtergrond/2e gen migratieachte...;2044;141062;1.75
127;Ned. achtergrond/2e gen migratieachte...;2045;139903;1.75
128;Ned. achtergrond/2e gen migratieachte...;2046;138850;1.75
129;Ned. achtergrond/2e gen migratieachte...;2047;137925;1.75
130;Ned. achtergrond/2e gen migratieachte...;2048;137181;1.75
131;Ned. achtergrond/2e gen migratieachte...;2049;136698;1.75
132;Ned. achtergrond/2e gen migratieachte...;2050;136515;1.75
133;Ned. achtergrond/2e gen migratieachte...;2051;136626;1.75
134;Ned. achtergrond/2e gen migratieachte...;2052;137041;1.75
135;Ned. achtergrond/2e gen migratieachte...;2053;137774;1.75
136;Ned. achtergrond/2e gen migratieachte...;2054;138825;1.75
137;Ned. achtergrond/2e gen migratieachte...;2055;140159;1.74
138;Ned. achtergrond/2e gen migratieachte...;2056;141729;1.74
139;Ned. achtergrond/2e gen migratieachte...;2057;143455;1.74
140;Ned. achtergrond/2e gen migratieachte...;2058;145301;1.74
141;Ned. achtergrond/2e gen migratieachte...;2059;147208;1.74
142;Ned. achtergrond/2e gen migratieachte...;2060;149044;1.74
143;Ned. achtergrond/2e gen migratieachte...;2061;150682;1.73
144;Ned. achtergrond/2e gen migratieachte...;2062;152058;1.73
145;Ned. achtergrond/2e gen migratieachte...;2063;153152;1.73
146;Ned. achtergrond/2e gen migratieachte...;2064;153961;1.73
147;Ned. achtergrond/2e gen migratieachte...;2065;154490;1.73
148;Ned. achtergrond/2e gen migratieachte...;2066;154746;1.73
149;Ned. achtergrond/2e gen migratieachte...;2067;154757;1.73
150;Ned. achtergrond/2e gen migratieachte...;2068;154566;1.73
151;Ned. achtergrond/2e gen migratieachte...;2069;154206;1.73
152;Ned. achtergrond/2e gen migratieachte...;2070;153738;1.73
153;Westerse migratieachtergrond;2020;13322;1.31
154;Westerse migratieachtergrond;2021;13050;1.25
155;Westerse migratieachtergrond;2022;13827;1.27
156;Westerse migratieachtergrond;2023;14818;1.3
157;Westerse migratieachtergrond;2024;15846;1.33
158;Westerse migratieachtergrond;2025;16620;1.35
159;Westerse migratieachtergrond;2026;17362;1.36
160;Westerse migratieachtergrond;2027;17932;1.37
161;Westerse migratieachtergrond;2028;18433;1.37
162;Westerse migratieachtergrond;2029;18860;1.37
163;Westerse migratieachtergrond;2030;19224;1.37
164;Westerse migratieachtergrond;2031;19553;1.38
165;Westerse migratieachtergrond;2032;19843;1.38
166;Westerse migratieachtergrond;2033;20096;1.38
