ID;Componenten;Perioden;InputprijsindexBouwkosten_1;OntwikkelingTOVEenJaarEerder_2
0;Bouwkosten totaal;2018 januari;90.5;
1;Bouwkosten totaal;2018 februari;90.6;
2;Bouwkosten totaal;2018 maart;90.4;
3;Bouwkosten totaal;2018 april;90.6;
4;Bouwkosten totaal;2018 mei;90.7;
5;Bouwkosten totaal;2018 juni;90.9;
6;Bouwkosten totaal;2018 juli;91.5;
7;Bouwkosten totaal;2018 augustus;92.0;
8;Bouwkosten totaal;2018 september;92.3;
9;Bouwkosten totaal;2018 oktober;92.1;
10;Bouwkosten totaal;2018 november;92.0;
11;Bouwkosten totaal;2018 december;92.3;
12;Bouwkosten totaal;2018;91.3;
13;Bouwkosten totaal;2019  januari;93.1;2.9
14;Bouwkosten totaal;2019  februari;93.1;2.7
15;Bouwkosten totaal;2019  maart;93.2;3.2
16;Bouwkosten totaal;2019 april;93.3;2.9
17;Bouwkosten totaal;2019 mei;93.3;2.9
18;Bouwkosten totaal;2019  juni;93.4;2.7
19;Bouwkosten totaal;2019 juli;94.4;3.2
20;Bouwkosten totaal;2019 augustus;94.2;2.4
21;Bouwkosten totaal;2019  september;94.3;2.1
22;Bouwkosten totaal;2019 oktober;94.2;2.2
23;Bouwkosten totaal;2019 november;94.2;2.3
24;Bouwkosten totaal;2019 december;94.9;2.8
25;Bouwkosten totaal;2019;93.8;2.7
26;Bouwkosten totaal;2020 januari;95.6;2.6
27;Bouwkosten totaal;2020 februari;95.5;2.6
28;Bouwkosten totaal;2020 maart;95.5;2.4
29;Bouwkosten totaal;2020 april;95.1;2.0
30;Bouwkosten totaal;2020 mei;95.0;1.8
31;Bouwkosten totaal;2020 juni;95.0;1.7
32;Bouwkosten totaal;2020 juli;95.9;1.5
33;Bouwkosten totaal;2020 augustus;96.1;2.0
34;Bouwkosten totaal;2020 september;96.0;1.8
35;Bouwkosten totaal;2020 oktober;95.9;1.8
36;Bouwkosten totaal;2020 november;95.9;1.9
37;Bouwkosten totaal;2020 december;96.7;1.9
38;Bouwkosten totaal;2020;95.7;2.0
39;Bouwkosten totaal;2021 januari;97.4;1.9
40;Bouwkosten totaal;2021 februari;97.5;2.1
41;Bouwkosten totaal;2021 maart;97.7;2.3
42;Bouwkosten totaal;2021 april;98.6;3.6
43;Bouwkosten totaal;2021 mei;99.2;4.4
44;Bouwkosten totaal;2021 juni;100.0;5.2
45;Bouwkosten totaal;2021 juli;101.2;5.5
46;Bouwkosten totaal;2021 augustus;101.0;5.1
47;Bouwkosten totaal;2021 september;101.1;5.4
48;Bouwkosten totaal;2021 oktober;101.9;6.3
49;Bouwkosten totaal;2021 november;102.1;6.4
50;Bouwkosten totaal;2021 december;102.3;5.8
51;Bouwkosten totaal;2021;100.0;4.5
52;Bouwkosten totaal;2022 januari;104.9;7.7
53;Bouwkosten totaal;2022 februari;105.4;8.1
54;Bouwkosten totaal;2022 maart;107.1;9.5
55;Bouwkosten totaal;2022 april;108.9;10.5
56;Bouwkosten totaal;2022 mei;109.5;10.4
57;Bouwkosten totaal;2022 juni;109.1;9.1
58;Bouwkosten totaal;2022 juli;110.2;8.9
59;Bouwkosten totaal;2022 augustus;110.2;9.2
60;Bouwkosten totaal;2022 september;111.0;9.8
61;Bouwkosten totaal;2022 oktober;111.6;9.4
62;Bouwkosten totaal;2022 november;111.3;9.1
63;Bouwkosten totaal;2022 december;111.2;8.7
64;Bouwkosten totaal;2022;109.2;9.2
65;Bouwkosten totaal;2023 januari;114.1;8.7
66;Bouwkosten totaal;2023 februari;114.4;8.5
