ID;SITC;Perioden;Invoer_1;TotaleUitvoer_2;Wederuitvoer_3;UitvoerNederlandsProduct_4
0;Totaal goederen;2002 januari;16647223;18341237;7708758;10632479
1;Totaal goederen;2002 februari;16157360;18364285;7763983;10600302
2;Totaal goederen;2002 maart;18179909;20783028;9133319;11649709
3;Totaal goederen;2002 april;17649966;18939002;7790285;11148717
4;Totaal goederen;2002 mei;17127043;19665784;8125815;11539969
5;Totaal goederen;2002 juni;17123835;19600280;8296391;11303889
6;Totaal goederen;2002 juli;16507998;18771123;7683051;11088072
7;Totaal goederen;2002 augustus;15786587;17808715;7482978;10325737
8;Totaal goederen;2002 september;17507577;20392983;8696875;11696108
9;Totaal goederen;2002 oktober;18677081;20820013;8677963;12142050
10;Totaal goederen;2002 november;17512854;20096373;8623652;11472721
11;Totaal goederen;2002 december;16697191;19119068;8113532;11005536
12;Totaal goederen;2002;205574624;232701891;98096602;134605289
13;Totaal goederen;2003 januari;17502845;19788203;8205307;11582896
14;Totaal goederen;2003 februari;17135990;19420583;7984734;11435849
15;Totaal goederen;2003 maart;18499843;21024850;8816712;12208138
16;Totaal goederen;2003 april;16934106;18803350;7596213;11207137
17;Totaal goederen;2003 mei;16567257;18882153;7519278;11362875
18;Totaal goederen;2003 juni;16267355;18783149;7811769;10971380
19;Totaal goederen;2003 juli;16624427;18613174;7702181;10910993
20;Totaal goederen;2003 augustus;15130132;16784383;7090171;9694212
21;Totaal goederen;2003 september;17532093;20795077;8820177;11974900
22;Totaal goederen;2003 oktober;18897046;21561045;9203441;12357604
23;Totaal goederen;2003 november;17638960;19996486;8786073;11210413
24;Totaal goederen;2003 december;18136733;19713638;8425611;11288027
25;Totaal goederen;2003;206866787;234166091;97961667;136204424
26;Totaal goederen;2004 januari;16970453;19109014;8148400;10960615
27;Totaal goederen;2004 februari;17337842;19302541;8312526;10990015
28;Totaal goederen;2004 maart;20234629;22748967;9776205;12972762
29;Totaal goederen;2004 april;18218524;20337329;8425793;11911536
30;Totaal goederen;2004 mei;17818581;19707844;8410150;11297694
31;Totaal goederen;2004 juni;19679844;22368500;9533439;12835061
32;Totaal goederen;2004 juli;18387031;20795061;8822378;11972683
33;Totaal goederen;2004 augustus;18183015;19578765;8567644;11011121
34;Totaal goederen;2004 september;19893631;23189239;10167514;13021725
35;Totaal goederen;2004 oktober;20185997;22816889;10080582;12736307
36;Totaal goederen;2004 november;20736196;23118555;10372856;12745698
37;Totaal goederen;2004 december;20553802;22395488;9697864;12697624
38;Totaal goederen;2004;228199545;255468193;110315350;145152842
39;Totaal goederen;2005 januari;18711993;21088786;9063571;12025215
40;Totaal goederen;2005 februari;18699683;21257587;9153954;12103633
41;Totaal goederen;2005 maart;21072548;24199801;10345789;13854011
42;Totaal goederen;2005 april;20286117;23109276;9751893;13357383
43;Totaal goederen;2005 mei;19332066;22214819;9080861;13133958
44;Totaal goederen;2005 juni;20864929;23695607;10288566;13407041
45;Totaal goederen;2005 juli;20147075;22139554;9444287;12695267
46;Totaal goederen;2005 augustus;20403815;22299631;9817855;12481776
47;Totaal goederen;2005 september;22327236;25408216;11381654;14026561
48;Totaal goederen;2005 oktober;22280144;24896132;11384657;13511475
49;Totaal goederen;2005 november;23041581;25896555;11446191;14450364
50;Totaal goederen;2005 december;22631061;24891412;10702608;14188804
51;Totaal goederen;2005;249798248;281097376;121861889;159235488
52;Totaal goederen;2006 januari;22776195;24921756;10985725;13936031
53;Totaal goederen;2006 februari;21509706;24702372;10808095;13894277
54;Totaal goederen;2006 maart;25392847;29255921;12821653;16434268
55;Totaal goederen;2006 april;22442364;24908761;10594568;14314193
56;Totaal goederen;2006 mei;24215287;26421087;10942770;15478317
57;Totaal goederen;2006 juni;24103725;27202848;11502118;15700731
58;Totaal goederen;2006 juli;22782535;24362257;10378466;13983791
59;Totaal goederen;2006 augustus;23178303;25404615;11119774;14284841
60;Totaal goederen;2006 september;24147800;27461019;12439275;15021743
61;Totaal goederen;2006 oktober;25645268;28187462;12889830;15297632
62;Totaal goederen;2006 november;25550722;29212384;13596078;15616306
63;Totaal goederen;2006 december;23628555;26920628;11846999;15073629
64;Totaal goederen;2006;285373308;318961110;139925352;179035758
65;Totaal goederen;2007 januari;24469590;27369699;12493169;14876530
66;Totaal goederen;2007 februari;23763628;26723958;12096181;14627777
67;Totaal goederen;2007 maart;26469944;30758681;13931797;16826884
68;Totaal goederen;2007 april;24262517;26723012;11745755;14977257
69;Totaal goederen;2007 mei;26003576;28336250;12532890;15803360
70;Totaal goederen;2007 juni;25730157;29257426;13084968;16172458
71;Totaal goederen;2007 juli;25094765;27865022;12281360;15583661
72;Totaal goederen;2007 augustus;24879893;27639574;12290310;15349264
73;Totaal goederen;2007 september;25436931;29306472;13137882;16168589
74;Totaal goederen;2007 oktober;27745489;31916977;14337184;17579793
75;Totaal goederen;2007 november;28232843;32910902;14761497;18149405
76;Totaal goederen;2007 december;25189452;28702224;12490555;16211669
77;Totaal goederen;2007;307278784;347510195;155183548;192326647
78;Totaal goederen;2008 januari;28099547;31024727;13630326;17394401
79;Totaal goederen;2008 februari;27899694;31068191;13294717;17773475
80;Totaal goederen;2008 maart;28077725;31618684;13509432;18109252
81;Totaal goederen;2008 april;28478877;32019599;13478821;18540778
82;Totaal goederen;2008 mei;28155890;30466953;12642607;17824346
83;Totaal goederen;2008 juni;29218846;31960390;13215814;18744575
84;Totaal goederen;2008 juli;28781756;31389239;13011867;18377372
85;Totaal goederen;2008 augustus;27078353;28862561;11904855;16957706
86;Totaal goederen;2008 september;30031195;33143393;13809796;19333597
87;Totaal goederen;2008 oktober;29578699;33350298;14504979;18845319
88;Totaal goederen;2008 november;26531542;29079262;13249712;15829549
89;Totaal goederen;2008 december;23994792;26505484;11688251;14817232
90;Totaal goederen;2008;335926917;370488781;157941179;212547603
91;Totaal goederen;2009 januari;22066864;24974984;11175720;13799264
92;Totaal goederen;2009 februari;21817733;24643641;11315076;13328565
93;Totaal goederen;2009 maart;23786694;26626182;11844792;14781390
94;Totaal goederen;2009 april;21550722;23976754;10728670;13248083
95;Totaal goederen;2009 mei;21309460;23898135;10467218;13430917
96;Totaal goederen;2009 juni;22394704;25582955;11551648;14031307
97;Totaal goederen;2009 juli;22906005;25974227;11616396;14357832
98;Totaal goederen;2009 augustus;21430131;23529477;10752291;12777186
99;Totaal goederen;2009 september;23492043;27490712;12452244;15038469
100;Totaal goederen;2009 oktober;24143502;28053377;13027890;15025487
101;Totaal goederen;2009 november;24437866;27912808;12995462;14917346
102;Totaal goederen;2009 december;24689304;26705942;12014392;14691550
103;Totaal goederen;2009;274025029;309369194;139941799;169427395
104;Totaal goederen;2010 januari;24569215;26788302;12881199;13907103
105;Totaal goederen;2010 februari;23754062;27599687;12718371;14881316
106;Totaal goederen;2010 maart;28472649;32769917;15021857;17748059
107;Totaal goederen;2010 april;27050980;29622683;13495824;16126859
108;Totaal goederen;2010 mei;27081159;29299625;13318771;15980854
109;Totaal goederen;2010 juni;29634575;32152298;15197600;16954698
110;Totaal goederen;2010 juli;27715311;30699539;14241260;16458279
111;Totaal goederen;2010 augustus;26372545;29462516;13489337;15973179
112;Totaal goederen;2010 september;28008797;32708553;15235505;17473048
113;Totaal goederen;2010 oktober;29471972;32822926;15334540;17488387
114;Totaal goederen;2010 november;30005323;34072654;15608147;18464507
115;Totaal goederen;2010 december;29776961;33550513;15095251;18455262
116;Totaal goederen;2010;331913549;371549213;171637663;199911550
117;Totaal goederen;2011 januari;28886499;32168245;14156788;18011457
118;Totaal goederen;2011 februari;28548946;32832709;14294853;18537856
119;Totaal goederen;2011 maart;33347678;37340813;16385561;20955253
120;Totaal goederen;2011 april;29017319;33746804;14435422;19311382
121;Totaal goederen;2011 mei;30923797;34481916;14431162;20050754
122;Totaal goederen;2011 juni;30434643;33308904;14592007;18716897
123;Totaal goederen;2011 juli;29430893;33057424;14318259;18739164
124;Totaal goederen;2011 augustus;30290242;32808861;14076138;18732723
125;Totaal goederen;2011 september;31286062;35316115;15621959;19694155
126;Totaal goederen;2011 oktober;30622479;33989138;15304744;18684394
127;Totaal goederen;2011 november;31741813;35799234;15666039;20133194
128;Totaal goederen;2011 december;30391208;34508044;15011246;19496798
129;Totaal goederen;2011;364921580;409358207;178294179;231064028
130;Totaal goederen;2012 januari;30739723;34646257;15687942;18958315
131;Totaal goederen;2012 februari;32085796;35203354;15687072;19516282
132;Totaal goederen;2012 maart;33947220;38084100;16839118;21244982
133;Totaal goederen;2012 april;31312485;35004921;15315780;19689141
134;Totaal goederen;2012 mei;33239306;36734133;16267919;20466214
135;Totaal goederen;2012 juni;32361755;35716272;16303178;19413094
136;Totaal goederen;2012 juli;32170288;34543188;16347085;18196103
137;Totaal goederen;2012 augustus;32665079;34339775;15791470;18548305
138;Totaal goederen;2012 september;31411563;35093694;16547970;18545724
139;Totaal goederen;2012 oktober;34890588;38730133;18195077;20535057
140;Totaal goederen;2012 november;33919201;37805478;17719681;20085797
141;Totaal goederen;2012 december;30705975;33815286;15331136;18484150
142;Totaal goederen;2012;389448980;429716592;196033427;233683165
143;Totaal goederen;2013 januari;32846268;36486055;16920818;19565237
144;Totaal goederen;2013 februari;31368075;34960115;16018340;18941774
145;Totaal goederen;2013 maart;33130144;38053903;17524737;20529166
146;Totaal goederen;2013 april;31664888;35282969;16188443;19094526
147;Totaal goederen;2013 mei;33138881;37361106;16773202;20587904
148;Totaal goederen;2013 juni;32200984;35536235;16964203;18572032
149;Totaal goederen;2013 juli;32229699;36102722;16723687;19379034
150;Totaal goederen;2013 augustus;30287254;33885542;15465975;18419568
