ID;SBI93;Grootteklasse;Perioden;AantalOndernemingen_1;TotaalNettoOmzet_2;RechtskundigAdviesEnInformatie_3;ActiviteitenBetreffendeDeAdvocatuur_4;OpmakenVanNotarieleAkten_5;AmbtelijkeActiviteitenVanDeurwaarders_6;WerkBetrOctrooienMerkenEnModellen_7;OverigeRechtskundigeDiensten_8;Incassodiensten_9;OverigeNietRechtskundigeActiviteit_10;TotaalBedrijfskosten_11;Personeelskosten_12;Afschrijvingen_13;AlgemeneKosten_14;Bedrijfsresultaat_15;OverigeLasten_16;OverigeBaten_17;ResultaatVoorBelasting_18;TotaalWerkzamePersonen_19;WerknemersOpDeLoonlijst_20;EigenarenMaten_21;MeewerkendeGezinsleden_22;Freelancers_23;Uitzendkrachten_24;Vrijwilligers_25
0;7411 Totaal rechtskundige diensten;Alle ondernemingen;1997;2238.0;2230.9;5.0;49.0;34.0;3.0;3.0;2.0;2.0;1.0;1408.9;858.1;93.3;457.4;821.9;50.6;46.5;818.0;32781.0;25946.0;5577.0;261.0;356.0;641.0;0.0
1;7411 Totaal rechtskundige diensten;Alle ondernemingen;1998;2797.0;2316.9;6.0;48.0;32.0;3.0;3.0;3.0;3.0;1.0;1497.0;904.8;100.6;491.6;819.8;60.6;40.2;799.4;35338.0;27650.0;6363.0;349.0;304.0;654.0;18.0
2;7411 Totaal rechtskundige diensten;Alle ondernemingen;1999;2675.0;2564.7;7.0;48.0;32.0;3.0;3.0;3.0;3.0;1.0;1664.4;1010.2;111.3;542.9;900.3;63.8;45.7;882.2;36703.0;29376.0;6084.0;230.0;192.0;812.0;9.0
3;7411 Totaal rechtskundige diensten;Alle ondernemingen;2000;2790.0;2724.7;7.0;50.0;30.0;3.0;3.0;3.0;3.0;1.0;1858.1;1120.0;113.0;625.1;866.7;74.7;60.6;852.5;38585.0;30888.0;6559.0;249.0;223.0;655.0;11.0
4;7411 Totaal rechtskundige diensten;Alle ondernemingen;2001;2744.0;2865.4;8.0;49.0;27.0;3.0;5.0;3.0;3.0;2.0;1984.8;1185.6;120.0;679.8;889.3;72.2;63.8;880.9;37467.0;31334.0;5372.0;99.0;257.0;401.0;5.0
5;7411 Totaal rechtskundige diensten;2 tot 10 werkzame personen;1997;1287.0;445.6;6.0;46.0;36.0;5.0;1.0;3.0;3.0;2.0;296.8;170.1;21.0;105.5;148.8;8.9;9.1;149.2;7885.0;5518.0;1937.0;188.0;107.0;135.0;0.0
6;7411 Totaal rechtskundige diensten;2 tot 10 werkzame personen;1998;1924.0;532.3;9.0;50.0;31.0;4.0;1.0;2.0;3.0;1.0;340.1;185.9;27.1;127.2;192.0;14.5;10.1;187.6;10071.0;6495.0;2978.0;304.0;156.0;138.0;0.0
7;7411 Totaal rechtskundige diensten;2 tot 10 werkzame personen;1999;1815.0;553.8;12.0;47.0;31.0;3.0;1.0;2.0;3.0;1.0;363.4;200.9;28.3;134.1;190.4;14.0;11.8;188.1;9851.0;6744.0;2669.0;191.0;78.0;169.0;0.0
8;7411 Totaal rechtskundige diensten;2 tot 10 werkzame personen;2000;1861.0;551.9;11.0;49.0;30.0;3.0;1.0;3.0;2.0;1.0;379.7;206.2;30.5;143.0;172.3;14.5;9.8;167.6;9292.0;6219.0;2714.0;212.0;64.0;83.0;0.0
9;7411 Totaal rechtskundige diensten;2 tot 10 werkzame personen;2001;1700.0;414.9;9.0;43.0;36.0;3.0;2.0;3.0;3.0;2.0;283.5;161.9;21.0;100.6;130.9;12.7;10.9;129.1;6452.0;4834.0;1435.0;66.0;56.0;61.0;0.0
10;7411 Totaal rechtskundige diensten;10 en meer werkzame personen;1997;951.0;1785.4;4.0;50.0;34.0;3.0;4.0;2.0;2.0;1.0;1112.1;687.9;72.2;351.8;673.3;41.8;37.3;668.9;24896.0;20428.0;3640.0;73.0;249.0;506.0;0.0
11;7411 Totaal rechtskundige diensten;10 en meer werkzame personen;1998;873.0;1784.5;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1157.0;718.9;73.6;364.3;627.7;46.0;30.1;611.7;25267.0;21155.0;3385.0;45.0;148.0;516.0;18.0
12;7411 Totaal rechtskundige diensten;10 en meer werkzame personen;1999;860.0;2011.0;3.0;0.0;83.0;0.0;12.0;2.0;0.0;1.0;1301.0;809.2;82.9;408.8;710.0;49.7;33.7;694.0;26852.0;22632.0;3415.0;39.0;114.0;643.0;9.0
13;7411 Totaal rechtskundige diensten;10 en meer werkzame personen;2000;929.0;2172.8;6.0;50.0;30.0;3.0;4.0;3.0;3.0;1.0;1478.4;913.8;82.5;482.1;694.4;60.2;50.7;685.0;29293.0;24669.0;3845.0;37.0;159.0;572.0;11.0
14;7411 Totaal rechtskundige diensten;10 en meer werkzame personen;2001;1044.0;2451.5;8.0;50.0;26.0;3.0;6.0;3.0;3.0;2.0;1701.2;1023.8;98.9;579.2;758.4;59.5;52.9;751.8;31015.0;26500.0;3937.0;33.0;201.0;340.0;5.0
15;7411 Totaal rechtskundige diensten;10 tot 100 werkzame personen;1997;;;;;;;;;;;;;;;;;;;;;;;;;
16;7411 Totaal rechtskundige diensten;10 tot 100 werkzame personen;1998;;;;;;;;;;;;;;;;;;;;;;;;;
17;7411 Totaal rechtskundige diensten;10 tot 100 werkzame personen;1999;;;;;;;;;;;;;;;;;;;;;;;;;
18;7411 Totaal rechtskundige diensten;10 tot 100 werkzame personen;2000;;;;;;;;;;;;;;;;;;;;;;;;;
19;7411 Totaal rechtskundige diensten;10 tot 100 werkzame personen;2001;;;;;;;;;;;;;;;;;;;;;;;;;
20;7411 Totaal rechtskundige diensten;100 en meer werkzame personen;1997;;;;;;;;;;;;;;;;;;;;;;;;;
21;7411 Totaal rechtskundige diensten;100 en meer werkzame personen;1998;;;;;;;;;;;;;;;;;;;;;;;;;
22;7411 Totaal rechtskundige diensten;100 en meer werkzame personen;1999;;;;;;;;;;;;;;;;;;;;;;;;;
23;7411 Totaal rechtskundige diensten;100 en meer werkzame personen;2000;;;;;;;;;;;;;;;;;;;;;;;;;
24;7411 Totaal rechtskundige diensten;100 en meer werkzame personen;2001;;;;;;;;;;;;;;;;;;;;;;;;;
25;7411.1 Advocatenkantoren;Alle ondernemingen;1997;1204.0;1284.7;3.0;86.0;8.0;;;2.0;1.0;1.0;785.8;452.8;54.0;279.1;498.8;34.7;20.0;484.1;18650.0;14166.0;3859.0;105.0;165.0;355.0;0.0
26;7411.1 Advocatenkantoren;Alle ondernemingen;1998;1647.0;1351.8;5.0;83.0;7.0;;;3.0;1.0;1.0;841.0;478.5;58.2;304.2;510.8;35.9;17.0;492.0;20106.0;14790.0;4519.0;210.0;125.0;462.0;0.0
27;7411.1 Advocatenkantoren;Alle ondernemingen;1999;1571.0;1523.6;6.0;81.0;8.0;;;3.0;1.0;1.0;962.7;554.0;66.0;342.7;560.9;40.2;19.8;540.5;21230.0;16155.0;4310.0;130.0;89.0;546.0;0.0
28;7411.1 Advocatenkantoren;Alle ondernemingen;2000;1667.0;1644.9;5.0;83.0;8.0;;;3.0;1.0;1.0;1062.3;636.2;63.9;362.2;582.5;53.4;26.0;555.1;22049.0;16665.0;4725.0;144.0;78.0;437.0;0.0
29;7411.1 Advocatenkantoren;Alle ondernemingen;2001;1589.0;1686.8;6.0;83.0;6.0;;;3.0;1.0;1.0;1076.0;629.5;67.8;378.7;610.5;45.9;21.0;585.6;20487.0;16489.0;3604.0;50.0;91.0;254.0;0.0
30;7411.1 Advocatenkantoren;2 tot 10 werkzame personen;1997;762.0;228.3;6.0;89.0;0.0;;;3.0;1.0;1.0;155.6;84.0;11.0;60.5;72.7;4.3;4.3;72.7;4478.0;3019.0;1269.0;89.0;50.0;51.0;0.0
