ID;RegioS;Code_1;Naam_2;SorteringNaam_3;Code_4;Naam_5;Code_6;Naam_7;Code_8;Naam_9;Code_10;Naam_11;Code_12;Naam_13;Code_14;Naam_15;Code_16;Naam_17;Code_18;Naam_19;Code_20;Naam_21;Code_22;Naam_23;Code_24;Naam_25;Code_26;Naam_27;Code_28;Naam_29;Code_30;Naam_31;Code_32;Naam_33;Code_34;Naam_35;Code_36;Naam_37;Code_38;Naam_39;Code_40;Naam_41;Code_42;Naam_43;Code_44;Naam_45;Code_46;Naam_47;Code_48;Naam_49;Code_50;Naam_51;Code_52;Naam_53;Code_54;Naam_55;Code_56;Naam_57;Code_58;Naam_59;Code_60;Code_61;Naam_62;Code_63;Naam_64;Code_65;Omschrijving_66;Code_67;Naam_68;Inwonertal_69;Omgevingsadressendichtheid_70
0;Aa en Hunze;1680;Aa en Hunze                            ;Aa en Hunze                ;19;Assen           ;71;Drenthe                   ;7;Assen-Hoogeveen                ;7;Noord-Drenthe                      ;70;Noord-Drenthe                      ;700;Noord-Drenthe                              ;16;Overige gemeenten Drentse Veenkoloniën  ;1;Groningen-Drenthe ;3;Drenthe          ;7;GGD Drenthe                       ;60;Assen                    ;3;Assen           ;2205;Drentse Veenkoloniën en Hondsrug        ;2;Veenkoloniën en Oldambt      ;1;Noord-Nederland;11;Assen                 ; NL1;Noord-Nederland;NL13;Drenthe      ;NL131;Noord-Drenthe                      ;4;Assen-Hoogeveen-Emmen           ;3;Drenthe                  ;22;Drenthe      ;5;Leeuwarden      ;3;Centraal Groningen     ;12;Groningse, Friese en Drentse zandgronden;7;Noord- en midden-Drenthe       ;5;Noord- en Midden-Drenthe                ;5;Noord- en Midden-Drenthe                ;071;0;                ;0;                ;4;  20 000 - < 50 000 inwoners  ;5;Niet stedelijk      ;25329;254
1;738;738;Aalburg                                ;Aalburg                    ;2;Breda           ;1;Midden- en West-Brabant   ;41;'s-Hertogenbosch               ;34;Midden-Noord-Brabant               ;340;Midden-Noord-Brabant               ;3400;Midden-Noord-Brabant                       ;105;Land van Altena                         ;20;Breda             ;22;Breda            ;52;GGD West-Brabant                  ;5;Breda                    ;18;'s-Hertogenbosch;3004;Oostelijke Langstraat                   ;10;Rivierengebied               ;4;Zuid-Nederland ;67;Waalwijk              ; NL4;Zuid-Nederland ;NL41;Noord-Brabant;NL412;Midden-Noord-Brabant               ;12;Noord-Noord-Brabant             ;20;Midden- en West-Brabant  ;30;Noord-Brabant;1;'s-Hertogenbosch;25;West Brabant           ;13;West- en Midden-Brabant                 ;35;Midden-Brabant                 ;25;Roosendaal/Breda                        ;35;Breda e.o.                              ;414;0;                ;0;                ;3;  10 000 - < 20 000 inwoners  ;5;Niet stedelijk      ;12164;290
2;358;358;Aalsmeer                               ;Aalsmeer                   ;13;Amsterdam       ;51;Amsterdam en omstreken    ;21;Amsterdam-Purmerend            ;23;Groot-Amsterdam                    ;232;Overig Groot-Amsterdam             ;2323;Haarlemmermeer en omgeving                 ;62;Noordhollandse Meerlanden               ;13;Amsterdam         ;14;Amsterdam        ;35;GGD Amstelland - De Meerlanden    ;44;Amsterdam                ;11;Haarlem         ;2703;Amstelland en Aalsmeer                  ;7;Westelijk Holland            ;3;West-Nederland ;44;Amsterdam             ; NL3;West-Nederland ;NL32;Noord-Holland;NL326;Groot-Amsterdam                    ;15;Zuid-Noord-Holland              ;13;Amsterdam-Amstelland     ;27;Noord-Holland;4;Amsterdam       ;20;Zuidelijk Noord-Holland;6;Hollands-Utrechtse meren                ;21;Agglomeratie Amsterdam         ;16;Zaanstreek/Waterland/Amstelland/Meerland;23;Amstelland/Meerlanden                   ;211;0;                ;0;                ;4;  20 000 - < 50 000 inwoners  ;4;Weinig stedelijk    ;23296;634
3;197;197;Aalten                                 ;Aalten                     ;6;Zutphen         ;31;Noord- en Oost-Gelderland ;16;Winterswijk-Zutphen            ;14;Achterhoek                         ;140;Achterhoek                         ;1400;Achterhoek                                 ;30;Overige gemeenten oostelijke Achterhoek ;6;Arnhem            ;7;Arnhem           ;18;GGD Regio Achterhoek              ;21;Groenlo                  ;6;Apeldoorn       ;2508;Achterhoek                              ;4;Oostelijk Veehouderijgebied  ;2;Oost-Nederland ;24;Winterswijk           ; NL2;Oost-Nederland ;NL22;Gelderland   ;NL222;Achterhoek                         ;8;Zuidelijke Achterhoek           ;6;Noord- en Oost-Gelderland;25;Gelderland   ;2;Arnhem          ;12;Achterhoek             ;10;Achterhoek                              ;13;Oost-Gelderland                ;11;Achterhoek                              ;12;Achterhoek                              ;162;0;                ;0;                ;4;  20 000 - < 50 000 inwoners  ;4;Weinig stedelijk    ;27446;690
4;480;480;Ter Aar                                ;Aar Ter                    ;9;'s-Gravenhage   ;16;Hollands-Midden           ;31;Leiden-Alphen aan den Rijn     ;28;Oost-Zuid-Holland                  ;280;Oost-Zuid-Holland                  ;2800;Oost-Zuid-Holland                          ;72;Noordelijke veenstreek in Zuid-Holland  ;14;Leiden            ;15;Leiden           ;37;GGD Zuid-Holland Noord            ;31;Alphen aan den Rijn      ;12;Leiden          ;2804;Westelijk Rijnland                      ;7;Westelijk Holland            ;3;West-Nederland ;47;Alphen aan den Rijn   ; NL3;West-Nederland ;NL33;Zuid-Holland ;NL334;Oost-Zuid-Holland                  ;16;Noord-Zuid-Holland              ;16;Hollands Midden          ;28;Zuid-Holland ;3;'s-Gravenhage   ;21;Rijn-Gouwe             ;17;Overig Nederland                        ;27;Zuid-Holland-Oost              ;21;Rijnstreek/Midden-Holland/Alblasserwaard;29;Rijnstreek/Midden-Holland/Alblasserwaard;312;0;                ;0;                ;2;  5 000 - < 10 000 inwoners   ;5;Niet stedelijk      ;8999;360
5;305;305;Abcoude                                ;Abcoude                    ;16;Utrecht         ;50;Utrechtsland              ;21;Amsterdam-Purmerend            ;17;Utrecht                            ;170;Utrecht                            ;1701;Utrecht-West                               ;48;Vechtstreek en Plassengebied in Utrecht ;9;Utrecht           ;9;Utrecht          ;25;GGD Midden-Nederland              ;51;Utrecht                  ;8;Utrecht         ;2602;Westelijk weidegebied in Utrecht        ;9;Hollands/Utrechts weidegebied;3;West-Nederland ;44;Amsterdam             ; NL3;West-Nederland ;NL31;Utrecht      ;NL310;Utrecht                            ;15;Zuid-Noord-Holland              ;9;Utrecht                  ;26;Utrecht      ;4;Amsterdam       ;20;Zuidelijk Noord-Holland;6;Hollands-Utrechtse meren                ;19;Utrecht                        ;14;West-Utrecht                            ;17;West-Utrecht                            ;211;0;                ;10;Amsterdam       ;2;  5 000 - < 10 000 inwoners   ;4;Weinig stedelijk    ;8603;658
6;59;59;Achtkarspelen                          ;Achtkarspelen              ;17;Leeuwarden      ;23;Fryslân                   ;3;Leeuwarden-Franeker-Dongeradeel;4;Noord-Friesland                    ;40;Noord-Friesland                    ;400;Noord-Friesland                            ;9;Fries zandgebied                        ;2;Friesland         ;2;Friesland        ;72;GGD Friesland                     ;53;Leeuwarden               ;2;Leeuwarden      ;2103;De Wouden                               ;3;Noordelijk Weidegebied       ;1;Noord-Nederland;10;Leeuwarden            ; NL1;Noord-Nederland;NL12;Friesland    ;NL121;Noord-Friesland                    ;3;Friesland                       ;2;Friesland                ;21;Friesland    ;5;Leeuwarden      ;4;Fryslân                ;17;Overig Nederland                        ;6;Friesland-oost                 ;4;Oost-Friesland/Zuidwest-Friesland       ;4;Oost-Friesland/Zuidwest Friesland       ;   ;0;                ;0;                ;4;  20 000 - < 50 000 inwoners  ;5;Niet stedelijk      ;28134;372
7;482;482;Alblasserdam                           ;Alblasserdam               ;11;Dordrecht       ;10;Zuid-Holland Zuid         ;32;Dordrecht                      ;30;Zuidoost-Zuid-Holland              ;300;Zuidoost Zuid-Holland              ;3002;Overig Zuidoost-Zuid-Holland               ;76;Industriegebied Alblasserwaard          ;18;Dordrecht         ;20;Dordrecht        ;48;GGD Regio Zuid-Holland Zuid       ;37;Dordrecht                ;15;Dordrecht       ;2807;Alblasserwaard en Vijfherenlanden       ;9;Hollands/Utrechts weidegebied;3;West-Nederland ;53;Dordrecht/Zwijndrecht ; NL3;West-Nederland ;NL33;Zuid-Holland ;NL336;Zuidoost-Zuid-Holland              ;18;Dordrecht-Gorinchem             ;18;Zuid-Holland-Zuid        ;28;Zuid-Holland ;3;'s-Gravenhage   ;23;Rijnmond               ;17;Overig Nederland                        ;30;Zuid-Holland-Zuid              ;22;Drechtsteden/Hoekse Waard/Goeree Overfl.;30;Drechtsteden/Hoekse Waard/Goeree Overfl.;   ;0;                ;15;Dordrecht       ;3;  10 000 - < 20 000 inwoners  ;3;Matig stedelijk     ;18356;1327
8;613;613;Albrandswaard                          ;Albrandswaard              ;10;Rotterdam       ;20;Rotterdam-Rijnmond        ;28;Rotterdam-Schiedam             ;29;Groot-Rijnmond                     ;291;Rijnmond                           ;2910;Rijnmond                                   ;86;Westelijk IJsselmonde                   ;17;Rijnmond          ;19;Rijnmond         ;46;GGD Rotterdam e.o.                ;32;Rotterdam                ;15;Dordrecht       ;2802;Rotterdam en omgeving                   ;7;Westelijk Holland            ;3;West-Nederland ;54;Rotterdam             ; NL3;West-Nederland ;NL33;Zuid-Holland ;NL335;Groot-Rijnmond                     ;17;Rijnmond groot                  ;17;Rotterdam-Rijnmond       ;28;Zuid-Holland ;3;'s-Gravenhage   ;23;Rijnmond               ;4;Deltagebied                             ;29;Rijnmond                       ;23;Rijnmond                                ;31;Rijnmond                                ;281;0;                ;14;Rotterdam       ;4;  20 000 - < 50 000 inwoners  ;4;Weinig stedelijk    ;20606;873
9;483;483;Alkemade                               ;Alkemade                   ;9;'s-Gravenhage   ;16;Hollands-Midden           ;31;Leiden-Alphen aan den Rijn     ;25;Agglomeratie Leiden en Bollenstreek;250;Agglomeratie Leiden en Bollenstreek;2500;Agglomeratie Leiden en Bollenstreek        ;72;Noordelijke veenstreek in Zuid-Holland  ;14;Leiden            ;15;Leiden           ;37;GGD Zuid-Holland Noord            ;30;Leiden                   ;12;Leiden          ;2804;Westelijk Rijnland                      ;7;Westelijk Holland            ;3;West-Nederland ;46;Leiden                ; NL3;West-Nederland ;NL33;Zuid-Holland ;NL331;Agglomeratie Leiden en Bollenstreek;16;Noord-Zuid-Holland              ;16;Hollands Midden          ;28;Zuid-Holland ;3;'s-Gravenhage   ;21;Rijn-Gouwe             ;6;Hollands-Utrechtse meren                ;26;Zuid-Holland-Noord             ;19;Bollenstreek/Leiden                     ;26;Bollenstreek/Leiden                     ;311;0;                ;0;                ;3;  10 000 - < 20 000 inwoners  ;4;Weinig stedelijk    ;14501;552
