ID;Opleidingsniveau;Marges;WijkenEnBuurten;RegiocodeGemeenteWijkBuurt_1;Bevolking15Tot75Jaar_2
84;Laag;Ondergrens 95%-interval;Kudelstaart;          ;1710.0
85;Laag;Ondergrens 95%-interval;Wijk 02 Oosteinde;          ;1880.0
86;Laag;Ondergrens 95%-interval;Bovenlanden;          ;160.0
87;Laag;Ondergrens 95%-interval;Greenpark;          ;130.0
88;Laag;Ondergrens 95%-interval;Oosteinde;          ;1410.0
89;Laag;Ondergrens 95%-interval;Schinkelpolder;          ;60.0
90;Laag;Ondergrens 95%-interval;Aalten;          ;5550.0
91;Laag;Ondergrens 95%-interval;Wijk 01 Buitengebied Aalten;          ;680.0
92;Laag;Ondergrens 95%-interval;Barlo-Kern;          ;10.0
93;Laag;Ondergrens 95%-interval;Verspreide huizen Barlo;          ;90.0
94;Laag;Ondergrens 95%-interval;Verspreide huizen Heurne;          ;50.0
95;Laag;Ondergrens 95%-interval;Verspreide huizen IJzerlo;          ;50.0
96;Laag;Ondergrens 95%-interval;IJzerlo-kern;          ;20.0
97;Laag;Ondergrens 95%-interval;Lintelo-kern;          ;10.0
98;Laag;Ondergrens 95%-interval;Verspreide huizen ten westen van Aalten;          ;40.0
99;Laag;Ondergrens 95%-interval;Verspreide huizen Lintelo;          ;80.0
100;Laag;Ondergrens 95%-interval;Verspreide huizen Dalese Veld;          ;10.0
101;Laag;Ondergrens 95%-interval;Verspreide huizen Dale;          ;90.0
102;Laag;Ondergrens 95%-interval;Verspreide huizen Haart;          ;80.0
103;Laag;Ondergrens 95%-interval;Haart-kern;          ;10.0
104;Laag;Ondergrens 95%-interval;Wijk 02 Bredevoort;          ;300.0
105;Laag;Ondergrens 95%-interval;Verspreide huizen Bredevoort;          ;30.0
106;Laag;Ondergrens 95%-interval;Verspreide huizen Hollenberg;          ;30.0
107;Laag;Ondergrens 95%-interval;Verspreide huizen Het Zwanenbroek;          ;10.0
108;Laag;Ondergrens 95%-interval;Bredevoort;          ;220.0
109;Laag;Ondergrens 95%-interval;Wijk 03 Aalten Kern;          ;2560.0
110;Laag;Ondergrens 95%-interval;Aalten-kern West;          ;400.0
111;Laag;Ondergrens 95%-interval;Aalten-kern Zuid 1;          ;480.0
112;Laag;Ondergrens 95%-interval;Aalten-kern Zuid 2;          ;250.0
113;Laag;Ondergrens 95%-interval;Aalten-kern Noord/Noordoost;          ;480.0
114;Laag;Ondergrens 95%-interval;Aalten Kern 't Kobus;          ;100.0
115;Laag;Ondergrens 95%-interval;Aalten-kern Oost;          ;150.0
116;Laag;Ondergrens 95%-interval;Aalten-kern Centrum;          ;390.0
117;Laag;Ondergrens 95%-interval;Wijk 04 Dinxperlo;          ;1760.0
118;Laag;Ondergrens 95%-interval;Dinxperlo Centrum/Oost;          ;620.0
119;Laag;Ondergrens 95%-interval;Dinxperlo Noord;          ;340.0
120;Laag;Ondergrens 95%-interval;Dinxperlo West;          ;480.0
121;Laag;Ondergrens 95%-interval;De Heurne-kern;          ;50.0
122;Laag;Ondergrens 95%-interval;Verspreide huizen Dinxperlo;          ;30.0
123;Laag;Ondergrens 95%-interval;Verspreide huizen De Heurne;          ;80.0
124;Laag;Ondergrens 95%-interval;Achtkarspelen;          ;6930.0
125;Laag;Ondergrens 95%-interval;Wijk 00 Noord;          ;2770.0
126;Laag;Ondergrens 95%-interval;Buitenpost;          ;940.0
127;Laag;Ondergrens 95%-interval;Twijzel;          ;260.0
128;Laag;Ondergrens 95%-interval;Kootstertille;          ;530.0
129;Laag;Ondergrens 95%-interval;Twijzelerheide;          ;440.0
130;Laag;Ondergrens 95%-interval;Gerkesklooster;          ;110.0
131;Laag;Ondergrens 95%-interval;Verspreide huizen Buitenpost;          ;140.0
132;Laag;Ondergrens 95%-interval;Verspreide huizen Twijzel;          ;10.0
133;Laag;Ondergrens 95%-interval;Verspreide huizen Kootstertille;          ;60.0
134;Laag;Ondergrens 95%-interval;Verspreide huizen Twijzelerheide;          ;40.0
135;Laag;Ondergrens 95%-interval;Verspreide huizen Gerkesklooster;          ;0.0
136;Laag;Ondergrens 95%-interval;Wijk 01 Centrum;          ;740.0
137;Laag;Ondergrens 95%-interval;Stroobos;          ;70.0
138;Laag;Ondergrens 95%-interval;Drogeham;          ;330.0
139;Laag;Ondergrens 95%-interval;Augustinusga;          ;230.0
