ID;TypeOfDelivery;Periods;TotalTransport_1;TotalRoadTransport_2;AutomotiveLPG_3;TotalMotorGasoline_4;Unleaded95_5;SuperUnleaded98_6;NormalLeaded_7;SuperLeaded_8;TotalTransportDiesel_9;LowSulphurDiesel_10;HighSulphurDiesel_11;NaturalGas_12;Electricity_13;TotalWaterTransport_14;TotalHeatingAndOtherGasoil_15;DeliveriesToInlandWaterTransport_16;DeliveriesToSeaTransport_17;DeliveriesToWaterTransportTraders_18;TotalFuelOil_19;LowSulphurFuelOil_20;HighSulphurFuelOil_21;TotalAirTransport_22;KeroseneTypeJetFuel_23;AviationGasoline_24;GasolineTypeJetFuel_25;TotalRailTransport_26;HeatingAndOtherGasoil_27;Electricity_28;AutomotiveLPG_29;TotalMotorGasoline_30;Unleaded95_31;SuperUnleaded98_32;NormalLeaded_33;SuperLeaded_34;TotalTransportDiesel_35;LowSulphurDiesel_36;HighSulphurDiesel_37;NaturalGas_38;Electricity_39;TotalHeatingAndOtherGasoil_40;DeliveriesToInlandWaterTransport_41;DeliveriesToSeaTransport_42;DeliveriesToWaterTransportTraders_43;TotalFuelOil_44;LowSulphurFuelOil_45;HighSulphurFuelOil_46;KeroseneTypeJetFuel_47;AviationGasoline_48;GasolineTypeJetFuel_49;HeatingOilAndOtherGasoil_50;Electricity_51;AutomotiveLPG_52;TotalMotorGasoline_53;Unleaded95_54;SuperUnleaded98_55;NormalLeaded_56;SuperLeaded_57;TotalTransportDiesel_58;LowSulphurDiesel_59;HighSulphurDiesel_60
0;Total deliveries;1946;;;;17.8;;;17.8;;;;;0.0;;;;;;;;;;;;;;;;;;405.0;;;405.0;;;;;0.0;;;;;;;;;;;;;;;545.0;;;545.0;;;;
1;Total deliveries;1947;;;;23.8;;;23.8;;;;;0.0;;;;;;;;;;;;;;;;;;540.0;;;540.0;;;;;0.0;;;;;;;;;;;;;;;728.0;;;728.0;;;;
2;Total deliveries;1948;;;;25.3;;;25.3;;;;;0.0;;;;;;;;;;;;;;;;;;575.0;;;575.0;;;;;0.0;;;;;;;;;;;;;;;778.0;;;778.0;;;;
3;Total deliveries;1949;;;;28.2;;;28.2;;;;;0.0;;;;;;;;;;;;;;;;;;640.0;;;640.0;;;;;0.0;;;;;;;;;;;;;;;865.0;;;865.0;;;;
4;Total deliveries;1950;;;;29.0;;;29.0;;0.9;;0.9;0.0;;;;;;;;;;;;;;;;;;660.0;;;660.0;;21.0;;21.0;0.0;;;;;;;;;;;;;;;890.0;;;890.0;;25.0;;25.0
5;Total deliveries;1951;;;;29.7;;;29.7;;1.8;;1.8;0.0;;;;;;;;;;;;;;;;;;675.0;;;675.0;;42.0;;42.0;0.0;;;;;;;;;;;;;;;906.0;;;906.0;;50.0;;50.0
6;Total deliveries;1952;;;;29.9;;;29.9;;2.9;;2.9;0.0;;;;;;;;;;;;;;;;;;680.0;;;680.0;;67.0;;67.0;0.0;;;;;;;;;;;;;;;910.0;;;910.0;;80.0;;80.0
7;Total deliveries;1953;;;;32.8;;;32.8;;5.3;;5.3;0.0;;;;;;;;;;;;;;;;;;745.0;;;745.0;;125.0;;125.0;0.0;;;;;;;;;;;;;;;999.0;;;999.0;;150.0;;150.0
8;Total deliveries;1954;;;;35.9;;;35.9;;7.1;;7.1;0.0;;;;;;;;;;;;;;;;;;817.0;;;817.0;;167.0;;167.0;0.0;;;;;;;;;;;;;;;1097.0;;;1097.0;;200.0;;200.0
9;Total deliveries;1955;;48.9;0.7;39.1;;;36.0;3.1;9.2;;9.2;0.0;;;;;;;;;;6.9;;1.6;;;;;15.0;888.0;;;818.0;70.0;215.0;;215.0;0.0;;;;;;1535.0;;;;37.0;;;;27.0;1208.0;;;1113.0;95.0;259.0;;259.0
10;Total deliveries;1956;176.1;55.5;0.9;43.5;;;35.6;7.9;11.1;;11.1;0.0;;;;;;40.7;72.7;;;7.2;;;;;;;20.0;989.0;;;809.0;180.0;260.0;;260.0;0.0;;;;;953.0;1773.0;;;;;;;;36.0;1346.0;;;1101.0;245.0;313.0;;313.0
11;Total deliveries;1957;167.1;56.6;1.4;43.0;;;32.3;10.7;12.3;;12.3;0.0;;;;;;38.3;63.6;;;8.6;;;;;;;30.0;977.0;;;734.0;243.0;287.0;;287.0;0.0;;;;;898.0;1551.0;;;;;;;;55.0;1329.0;;;999.0;330.0;346.0;;346.0
12;Total deliveries;1958;173.8;61.2;1.9;45.6;;;31.6;14.0;13.7;;13.7;0.0;;;;;;40.5;62.1;;;10.0;;;;;;;42.0;1037.0;;;718.0;319.0;320.0;;320.0;0.0;;;;;948.0;1515.0;;;;;;;;76.0;1410.0;;;970.0;440.0;386.0;;386.0
13;Total deliveries;1959;171.2;67.1;2.5;48.7;;;31.3;17.4;15.9;;15.9;0.0;;;;;;36.9;55.2;;;12.0;;;;;;;55.0;1107.0;;;712.0;395.0;372.0;;372.0;0.0;;;;;865.0;1347.0;;;;;;;;100.0;1496.0;;;962.0;534.0;448.0;;448.0
14;Total deliveries;1960;208.9;74.4;2.8;53.5;;;31.5;21.9;18.1;;18.1;0.0;;;;;;42.2;80.0;;;12.3;3.1;2.3;7.0;;;;63.0;1215.0;;;717.0;498.0;424.0;;424.0;0.0;;;;;988.0;1950.0;;;71.0;52.0;160.0;;;115.0;1615.0;;;950.0;665.0;511.0;;511.0
15;Total deliveries;1961;256.0;81.4;2.4;57.9;;;29.7;28.2;21.2;;21.2;0.0;;;;5.1;;44.1;112.6;;;12.8;;1.8;;;;;52.0;1315.0;;;675.0;640.0;496.0;;496.0;0.0;;;119.0;;1032.0;2747.0;;;;40.0;;;;95.0;1746.0;;;896.0;850.0;598.0;;598.0
16;Total deliveries;1962;279.7;90.2;2.3;62.8;;;26.6;36.2;25.2;;25.2;0.0;;;;6.2;;46.1;123.8;;;13.4;5.4;1.6;6.4;;;;50.0;1427.0;;;605.0;822.0;589.0;;589.0;0.0;;;145.0;;1080.0;3018.0;;;124.0;37.0;147.0;;;91.0;1907.0;;;807.0;1100.0;710.0;;710.0
17;Total deliveries;1963;293.1;98.3;2.1;67.8;;;25.3;42.5;28.4;;28.4;0.0;;;;6.6;;47.5;126.3;;;14.4;6.7;1.5;6.2;;;;46.0;1541.0;;;575.0;966.0;665.0;;665.0;0.0;;;155.0;;1113.0;3081.0;;;155.0;33.0;142.0;;;84.0;2082.0;;;777.0;1305.0;801.0;;801.0
18;Total deliveries;1964;330.5;110.8;2.1;78.2;;;26.7;51.6;30.4;;30.4;0.0;;;;6.1;;50.3;149.4;;;13.8;7.4;1.4;5.0;;;;47.0;1778.0;;;606.0;1172.0;713.0;;713.0;0.0;;;144.0;;1178.0;3645.0;;;171.0;32.0;114.0;;;85.0;2393.0;;;816.0;1577.0;860.0;;860.0
19;Total deliveries;1965;370.7;121.1;2.2;86.2;;;25.4;60.9;32.7;;32.7;0.0;;;;5.9;;54.1;174.4;;;15.2;5.8;1.2;8.2;;;;48.0;1960.0;;;577.0;1383.0;765.0;;765.0;0.0;;;139.0;;1266.0;4254.0;;;133.0;28.0;189.0;;;87.0;2670.0;;;786.0;1884.0;910.0;;910.0
20;Total deliveries;1966;383.2;131.7;2.4;95.3;;;25.8;69.6;34.0;;34.0;0.0;;;;4.8;;57.9;171.0;;;17.8;4.1;1.3;12.4;;;;52.0;2167.0;;;586.0;1581.0;796.0;;796.0;0.0;;;113.0;;1357.0;4171.0;;;95.0;29.0;284.0;;;95.0;2954.0;;;799.0;2155.0;961.0;;961.0
21;Total deliveries;1967;405.5;140.5;2.2;104.3;;;26.7;77.6;34.0;;34.0;0.0;;;;5.9;;63.4;176.6;;;19.0;5.7;1.3;11.9;;;;49.0;2370.0;;;606.0;1764.0;797.0;;797.0;0.0;;;139.0;;1485.0;4308.0;;;132.0;30.0;274.0;;;93.0;3216.0;;;823.0;2393.0;959.0;;959.0
22;Total deliveries;1968;478.2;153.5;2.2;115.2;;;26.5;88.7;36.1;;36.1;0.0;;;;4.9;;71.5;225.5;;;22.8;7.1;1.2;14.5;;;;49.0;2618.0;;;602.0;2016.0;845.0;;845.0;0.0;;;115.0;;1674.0;5500.0;;;164.0;27.0;333.0;;;89.0;3544.0;;;815.0;2729.0;1021.0;;1021.0
23;Total deliveries;1969;560.2;161.4;2.4;121.4;;;25.8;95.5;37.6;;37.6;0.0;;;;5.5;;84.9;281.6;;;26.8;10.7;0.6;15.4;;;;54.0;2758.0;;;587.0;2171.0;881.0;;881.0;0.0;;;128.0;;1989.0;6867.0;;;247.0;14.0;355.0;;;98.0;3726.0;;;794.0;2932.0;1064.0;;1064.0
24;Total deliveries;1970;608.2;177.6;2.7;133.5;;;24.0;109.6;41.4;;41.4;0.0;;;;7.6;;87.7;304.5;;;30.7;22.4;0.6;7.7;;;;59.0;3035.0;;;545.0;2490.0;970.0;;970.0;0.0;;;179.0;;2053.0;7427.0;;;515.0;14.0;177.0;;;107.0;4097.0;;;736.0;3361.0;1167.0;;1167.0
25;Total deliveries;1971;641.0;192.6;2.8;142.6;;;22.9;119.8;47.2;;47.2;0.0;;;;7.0;;83.8;323.8;;;33.8;28.2;0.4;5.2;;;;61.0;3242.0;;;520.0;2722.0;1105.0;;1105.0;0.0;;;163.0;;1963.0;7898.0;;;649.0;10.0;119.0;;;111.0;4369.0;;;702.0;3667.0;1331.0;;1331.0
26;Total deliveries;1972;749.7;205.5;3.8;150.4;;;22.0;128.3;51.4;;51.4;0.0;;;;8.3;;104.2;396.7;;;34.9;30.8;0.4;3.7;;;;83.0;3418.0;;;501.0;2917.0;1203.0;;1203.0;0.0;;;195.0;;2440.0;9676.0;;;707.0;10.0;86.0;;;151.0;4585.0;;;671.0;3914.0;1448.0;;1448.0
27;Total deliveries;1973;789.1;214.7;4.7;156.5;;;21.9;134.6;53.5;;53.5;0.0;;;;9.4;;106.7;420.8;;;37.6;32.9;0.4;4.4;;;;103.0;3556.0;;;497.0;3059.0;1254.0;;1254.0;0.0;;;219.0;;2498.0;10264.0;;;756.0;9.0;100.0;;;187.0;4792.0;;;670.0;4122.0;1506.0;;1506.0
28;Total deliveries;1974;671.1;204.2;5.7;140.9;;;18.6;122.3;57.6;;57.6;0.0;;;;8.3;;86.2;335.1;;;37.3;32.2;0.4;4.8;;;;126.0;3202.0;;;423.0;2779.0;1350.0;;1350.0;0.0;;;194.0;;2018.0;8174.0;;;740.0;8.0;110.0;;;229.0;4300.0;;;568.0;3732.0;1606.0;;1606.0
29;Total deliveries;1975;739.5;222.4;7.4;152.8;;;18.9;133.9;62.1;;62.1;0.0;;;;8.1;;93.6;375.3;;;37.0;32.0;0.4;4.6;3.2;;3.2;164.0;3473.0;;;430.0;3043.0;1455.0;;1455.0;0.0;;;190.0;;2191.0;9153.0;;;736.0;8.0;106.0;;899.0;298.0;4675.0;;;586.0;4089.0;1740.0;;1740.0
30;Total deliveries;1976;797.5;245.9;9.5;161.0;;;21.8;139.2;75.4;;75.4;0.0;;;;9.2;;106.6;395.6;;;36.9;32.4;0.3;4.2;3.3;;3.3;211.0;3659.0;;;495.0;3164.0;1766.0;;1766.0;0.0;;;215.0;;2497.0;9648.0;;;745.0;7.0;96.0;;917.0;384.0;4931.0;;;676.0;4255.0;2114.0;;2114.0
31;Total deliveries;1977;799.1;256.6;12.2;167.2;;;23.5;143.7;77.2;;77.2;0.0;;;;13.0;;105.0;382.6;;;38.7;34.4;0.3;4.0;3.3;;3.3;269.0;3800.0;;;534.0;3266.0;1809.0;;1809.0;0.0;;;305.0;;2458.0;9332.0;;;790.0;7.0;92.0;;905.0;490.0;5124.0;;;728.0;4396.0;2167.0;;2167.0
32;Total deliveries;1978;812.1;273.3;16.0;174.0;;;25.8;148.2;83.3;;83.3;0.0;;;;11.8;;102.3;384.3;;;37.1;32.9;0.2;4.0;3.3;;3.3;355.0;3954.0;;;586.0;3368.0;1951.0;;1951.0;0.0;;;276.0;;2395.0;9374.0;;;756.0;5.0;92.0;;921.0;645.0;5332.0;;;798.0;4534.0;2350.0;;2350.0
33;Total deliveries;1979;765.2;281.7;20.2;175.1;;;27.1;148.0;86.4;;86.4;0.0;;438.1;103.0;16.9;45.6;40.5;335.1;;;42.0;38.5;0.3;3.2;3.4;;3.4;446.0;3979.0;;;616.0;3363.0;2024.0;;2024.0;0.0;;2412.0;397.0;1067.0;948.0;8173.0;;;886.0;6.0;74.0;;952.0;811.0;5343.0;;;834.0;4509.0;2408.0;;2408.0
