ID;Geslacht;Persoonskenmerken;GeboortelandOuders;Herkomstland;RegioS;Perioden;BeroepsEnNietBeroepsbevolking_1;WerkzameBeroepsbevolking_2;NettoArbeidsparticipatie_3;Werknemer_4;WerknemerMetVasteArbeidsrelatie_5;WerknemerMetFlexibeleArbeidsrelatie_6;Zelfstandige_7;ZelfstandigeZonderPersoneelZzp_8;ZelfstMetPersoneelEnMeewGezinslid_9
0;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2014;12638690;8227790;65.0;84.0;56.0;27.0;16.0;12.0;4.0
1;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2015;12688490;8305330;65.0;84.0;55.0;29.0;16.0;12.0;4.0
2;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2016;12777150;8426530;66.0;84.0;54.0;30.0;16.0;12.0;4.0
3;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2017;12864110;8609820;67.0;84.0;53.0;30.0;16.0;12.0;4.0
4;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2018;12951260;8817980;68.0;84.0;53.0;31.0;16.0;12.0;4.0
5;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2019;13034610;9004600;69.0;84.0;53.0;31.0;16.0;13.0;3.0
6;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2020;13102230;8979920;69.0;84.0;57.0;27.0;16.0;13.0;3.0
7;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2021;13140640;9116980;69.0;83.0;56.0;27.0;17.0;13.0;4.0
8;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2022;13219140;9386470;71.0;83.0;55.0;28.0;17.0;13.0;4.0
9;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Nederland;2023;13315630;9519120;71.0;83.0;55.0;28.0;17.0;14.0;3.0
10;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2014;1281260;802100;63.0;83.0;55.0;29.0;17.0;13.0;4.0
11;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2015;1280470;805420;63.0;83.0;53.0;30.0;17.0;13.0;4.0
12;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2016;1283780;813400;63.0;83.0;52.0;31.0;17.0;13.0;4.0
13;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2017;1286720;827160;64.0;83.0;52.0;31.0;17.0;13.0;4.0
14;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2018;1289240;844430;65.0;84.0;52.0;32.0;16.0;12.0;4.0
15;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2019;1291410;859290;67.0;84.0;52.0;32.0;16.0;12.0;4.0
16;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2020;1292780;854810;66.0;84.0;56.0;27.0;16.0;13.0;3.0
17;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2021;1293870;869870;67.0;84.0;56.0;28.0;16.0;13.0;3.0
18;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2022;1297270;892450;69.0;84.0;55.0;29.0;16.0;13.0;3.0
19;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Nederland (LD);2023;1302250;902970;69.0;84.0;55.0;29.0;16.0;13.0;3.0
20;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Oost-Nederland (LD);2014;2641760;1741940;66.0;84.0;57.0;27.0;16.0;12.0;4.0
21;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Oost-Nederland (LD);2015;2650890;1757330;66.0;84.0;55.0;29.0;16.0;12.0;4.0
22;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Oost-Nederland (LD);2016;2671560;1781930;67.0;84.0;55.0;29.0;16.0;12.0;4.0
23;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Oost-Nederland (LD);2017;2690720;1821930;68.0;84.0;54.0;30.0;16.0;12.0;4.0
24;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Oost-Nederland (LD);2018;2710060;1867500;69.0;84.0;53.0;31.0;16.0;12.0;4.0
25;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Oost-Nederland (LD);2019;2729080;1909630;70.0;84.0;53.0;31.0;16.0;12.0;4.0
26;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Oost-Nederland (LD);2020;2746710;1909960;70.0;84.0;57.0;27.0;16.0;12.0;4.0
27;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Oost-Nederland (LD);2021;2759920;1946000;71.0;84.0;57.0;28.0;16.0;12.0;4.0
28;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Oost-Nederland (LD);2022;2776700;2001940;72.0;84.0;56.0;28.0;16.0;12.0;4.0
29;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Oost-Nederland (LD);2023;2795760;2029720;73.0;84.0;56.0;28.0;16.0;13.0;3.0
30;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;West-Nederland (LD);2014;5993870;3915720;65.0;84.0;56.0;28.0;16.0;13.0;3.0
31;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;West-Nederland (LD);2015;6031590;3963670;66.0;84.0;55.0;29.0;16.0;13.0;3.0
32;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;West-Nederland (LD);2016;6083930;4028670;66.0;83.0;54.0;30.0;17.0;13.0;4.0
33;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;West-Nederland (LD);2017;6135980;4121250;67.0;83.0;53.0;31.0;17.0;13.0;4.0
34;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;West-Nederland (LD);2018;6189600;4227110;68.0;83.0;52.0;31.0;17.0;13.0;4.0
35;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;West-Nederland (LD);2019;6240170;4322280;69.0;83.0;52.0;31.0;17.0;13.0;4.0
36;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;West-Nederland (LD);2020;6281310;4310600;69.0;83.0;56.0;27.0;17.0;14.0;3.0
37;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;West-Nederland (LD);2021;6301900;4371810;69.0;83.0;55.0;27.0;17.0;14.0;3.0
38;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;West-Nederland (LD);2022;6346640;4511830;71.0;82.0;54.0;28.0;18.0;14.0;4.0
39;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;West-Nederland (LD);2023;6403650;4582040;72.0;82.0;54.0;28.0;18.0;15.0;3.0
40;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Nederland (LD);2014;2721780;1768030;65.0;84.0;57.0;27.0;16.0;12.0;4.0
41;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Nederland (LD);2015;2725550;1778900;65.0;84.0;56.0;28.0;16.0;12.0;4.0
42;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Nederland (LD);2016;2737890;1802540;66.0;84.0;55.0;29.0;16.0;12.0;4.0
43;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Nederland (LD);2017;2750690;1839470;67.0;84.0;54.0;30.0;16.0;12.0;4.0
44;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Nederland (LD);2018;2762370;1878960;68.0;85.0;54.0;30.0;15.0;11.0;4.0
45;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Nederland (LD);2019;2773940;1913400;69.0;85.0;54.0;30.0;15.0;12.0;3.0
46;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Nederland (LD);2020;2781430;1904560;68.0;84.0;58.0;27.0;16.0;12.0;4.0
47;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Nederland (LD);2021;2784920;1929290;69.0;84.0;58.0;27.0;16.0;12.0;4.0
48;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Nederland (LD);2022;2798520;1980260;71.0;84.0;57.0;28.0;16.0;12.0;4.0
49;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Nederland (LD);2023;2813970;2004390;71.0;84.0;57.0;27.0;16.0;12.0;4.0
50;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Groningen (PV);2014;445850;271150;61.0;85.0;54.0;31.0;15.0;12.0;3.0
51;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Groningen (PV);2015;446170;272060;61.0;85.0;52.0;33.0;15.0;12.0;3.0
52;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Groningen (PV);2016;446690;274300;61.0;85.0;51.0;34.0;15.0;12.0;3.0
53;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Groningen (PV);2017;447410;278480;62.0;85.0;51.0;34.0;15.0;12.0;3.0
54;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Groningen (PV);2018;448180;283790;63.0;85.0;51.0;34.0;15.0;11.0;4.0
55;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Groningen (PV);2019;448720;288620;64.0;85.0;52.0;34.0;15.0;11.0;4.0
56;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Groningen (PV);2020;449020;287180;64.0;85.0;55.0;30.0;15.0;12.0;3.0
57;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Groningen (PV);2021;448960;292830;65.0;85.0;54.0;31.0;15.0;12.0;3.0
58;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Groningen (PV);2022;450490;300540;67.0;86.0;53.0;32.0;14.0;11.0;3.0
59;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Groningen (PV);2023;453570;305070;67.0;85.0;54.0;32.0;15.0;11.0;4.0
60;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Fryslân (PV);2014;476810;303670;64.0;81.0;54.0;28.0;19.0;14.0;5.0
61;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Fryslân (PV);2015;476340;305580;64.0;81.0;52.0;29.0;19.0;14.0;5.0
62;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Fryslân (PV);2016;477580;309130;65.0;82.0;52.0;30.0;18.0;14.0;4.0
63;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Fryslân (PV);2017;478470;314360;66.0;82.0;52.0;30.0;18.0;14.0;4.0
64;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Fryslân (PV);2018;479100;321060;67.0;82.0;51.0;31.0;18.0;13.0;5.0
65;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Fryslân (PV);2019;479920;326930;68.0;82.0;52.0;30.0;18.0;13.0;5.0
66;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Fryslân (PV);2020;480300;325020;68.0;82.0;56.0;26.0;18.0;14.0;4.0
67;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Fryslân (PV);2021;480740;330700;69.0;82.0;56.0;27.0;18.0;14.0;4.0
68;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Fryslân (PV);2022;481790;339510;70.0;82.0;55.0;28.0;18.0;14.0;4.0
69;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Fryslân (PV);2023;483100;342920;71.0;82.0;55.0;27.0;18.0;14.0;4.0
70;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Drenthe (PV);2014;358610;227280;63.0;84.0;57.0;26.0;16.0;12.0;4.0
71;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Drenthe (PV);2015;357960;227770;64.0;83.0;56.0;28.0;17.0;12.0;5.0
72;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Drenthe (PV);2016;359510;229970;64.0;83.0;54.0;29.0;17.0;12.0;5.0
73;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Drenthe (PV);2017;360840;234320;65.0;84.0;54.0;30.0;16.0;12.0;4.0
74;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Drenthe (PV);2018;361960;239580;66.0;84.0;53.0;31.0;16.0;12.0;4.0
75;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Drenthe (PV);2019;362770;243740;67.0;84.0;53.0;31.0;16.0;12.0;4.0
76;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Drenthe (PV);2020;363460;242600;67.0;84.0;58.0;26.0;16.0;12.0;4.0
77;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Drenthe (PV);2021;364180;246330;68.0;84.0;58.0;26.0;16.0;12.0;4.0
78;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Drenthe (PV);2022;365000;252400;69.0;84.0;57.0;27.0;16.0;12.0;4.0
79;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Drenthe (PV);2023;365580;254980;70.0;84.0;57.0;27.0;16.0;12.0;4.0
80;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Overijssel (PV);2014;838960;554420;66.0;85.0;57.0;28.0;15.0;11.0;4.0
81;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Overijssel (PV);2015;840700;558650;66.0;85.0;55.0;30.0;15.0;11.0;4.0
82;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Overijssel (PV);2016;845950;565630;67.0;85.0;54.0;31.0;15.0;11.0;4.0
83;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Overijssel (PV);2017;850430;577330;68.0;85.0;54.0;31.0;15.0;11.0;4.0
84;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Overijssel (PV);2018;854710;591140;69.0;85.0;54.0;32.0;15.0;11.0;4.0
85;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Overijssel (PV);2019;860030;603510;70.0;85.0;54.0;32.0;15.0;11.0;4.0
86;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Overijssel (PV);2020;864840;603200;70.0;85.0;58.0;27.0;15.0;11.0;4.0
87;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Overijssel (PV);2021;867890;614830;71.0;85.0;57.0;28.0;15.0;11.0;4.0
88;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Overijssel (PV);2022;872400;631610;72.0;85.0;57.0;29.0;15.0;11.0;4.0
89;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Overijssel (PV);2023;876550;639580;73.0;85.0;57.0;28.0;15.0;11.0;4.0
90;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Flevoland (PV);2014;298410;198870;67.0;85.0;56.0;28.0;15.0;12.0;3.0
91;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Flevoland (PV);2015;300210;201440;67.0;85.0;55.0;30.0;15.0;12.0;3.0
92;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Flevoland (PV);2016;303460;205250;68.0;85.0;53.0;31.0;15.0;12.0;3.0
93;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Flevoland (PV);2017;307290;210910;69.0;85.0;52.0;33.0;15.0;12.0;3.0
94;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Flevoland (PV);2018;311500;217460;70.0;85.0;51.0;34.0;15.0;12.0;3.0
95;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Flevoland (PV);2019;316070;223980;71.0;85.0;51.0;34.0;15.0;12.0;3.0
96;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Flevoland (PV);2020;320250;224340;70.0;85.0;55.0;29.0;15.0;12.0;3.0
97;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Flevoland (PV);2021;324620;229810;71.0;84.0;55.0;30.0;16.0;12.0;4.0
98;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Flevoland (PV);2022;329900;239680;73.0;84.0;53.0;31.0;16.0;13.0;3.0
99;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Flevoland (PV);2023;335340;244680;73.0;84.0;54.0;31.0;16.0;13.0;3.0
100;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Gelderland (PV);2014;1504400;988640;66.0;84.0;57.0;26.0;16.0;12.0;4.0
101;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Gelderland (PV);2015;1509980;997250;66.0;83.0;56.0;28.0;17.0;12.0;5.0
102;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Gelderland (PV);2016;1522150;1011050;66.0;83.0;55.0;28.0;17.0;12.0;5.0
103;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Gelderland (PV);2017;1533000;1033700;67.0;83.0;54.0;29.0;17.0;12.0;5.0
104;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Gelderland (PV);2018;1543850;1058900;69.0;84.0;54.0;30.0;16.0;12.0;4.0
105;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Gelderland (PV);2019;1552980;1082140;70.0;84.0;54.0;30.0;16.0;12.0;4.0
106;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Gelderland (PV);2020;1561620;1082420;69.0;83.0;57.0;27.0;17.0;13.0;4.0
107;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Gelderland (PV);2021;1567410;1101360;70.0;83.0;56.0;27.0;17.0;13.0;4.0
108;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Gelderland (PV);2022;1574400;1130640;72.0;83.0;55.0;28.0;17.0;13.0;4.0
109;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Gelderland (PV);2023;1583870;1145460;72.0;83.0;56.0;27.0;17.0;13.0;4.0
110;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Utrecht (PV);2014;961800;656240;68.0;84.0;57.0;27.0;16.0;13.0;3.0
111;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Utrecht (PV);2015;968820;664200;69.0;83.0;55.0;28.0;17.0;13.0;4.0
112;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Utrecht (PV);2016;979300;675090;69.0;83.0;54.0;29.0;17.0;13.0;4.0
113;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Utrecht (PV);2017;989250;691210;70.0;83.0;53.0;30.0;17.0;13.0;4.0
114;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Utrecht (PV);2018;998410;709000;71.0;83.0;53.0;30.0;17.0;13.0;4.0
115;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Utrecht (PV);2019;1008350;725630;72.0;83.0;53.0;30.0;17.0;13.0;4.0
116;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Utrecht (PV);2020;1016400;726430;71.0;83.0;56.0;27.0;17.0;14.0;3.0
117;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Utrecht (PV);2021;1019990;737810;72.0;83.0;56.0;27.0;17.0;14.0;3.0
118;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Utrecht (PV);2022;1026810;758330;74.0;83.0;55.0;28.0;17.0;14.0;3.0
119;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Utrecht (PV);2023;1036400;770150;74.0;83.0;55.0;27.0;17.0;14.0;3.0
120;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Holland (PV);2014;2085250;1372070;66.0;82.0;54.0;28.0;18.0;14.0;4.0
121;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Holland (PV);2015;2101990;1394760;66.0;82.0;52.0;30.0;18.0;14.0;4.0
122;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Holland (PV);2016;2122320;1420870;67.0;82.0;51.0;31.0;18.0;14.0;4.0
123;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Holland (PV);2017;2141840;1451910;68.0;82.0;51.0;31.0;18.0;14.0;4.0
124;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Holland (PV);2018;2161270;1487370;69.0;82.0;50.0;31.0;18.0;15.0;3.0
125;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Holland (PV);2019;2179010;1519290;70.0;82.0;50.0;31.0;18.0;15.0;3.0
126;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Holland (PV);2020;2192030;1509920;69.0;81.0;54.0;27.0;19.0;15.0;4.0
127;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Holland (PV);2021;2195690;1525470;69.0;81.0;54.0;28.0;19.0;16.0;3.0
128;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Holland (PV);2022;2215660;1579630;71.0;81.0;52.0;29.0;19.0;16.0;3.0
129;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Noord-Holland (PV);2023;2238110;1605740;72.0;81.0;52.0;29.0;19.0;16.0;3.0
130;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Holland (PV);2014;2665830;1703420;64.0;85.0;58.0;28.0;15.0;11.0;4.0
131;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Holland (PV);2015;2679790;1720820;64.0;85.0;56.0;29.0;15.0;12.0;3.0
132;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Holland (PV);2016;2700400;1747490;65.0;85.0;55.0;30.0;15.0;12.0;3.0
133;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Holland (PV);2017;2722670;1790290;66.0;85.0;54.0;31.0;15.0;12.0;3.0
134;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Holland (PV);2018;2747050;1839510;67.0;85.0;54.0;31.0;15.0;12.0;3.0
135;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Holland (PV);2019;2769970;1883080;68.0;84.0;53.0;31.0;16.0;12.0;4.0
136;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Holland (PV);2020;2789820;1881020;67.0;84.0;57.0;27.0;16.0;13.0;3.0
137;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Holland (PV);2021;2802950;1913240;68.0;84.0;56.0;27.0;16.0;13.0;3.0
138;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Holland (PV);2022;2820500;1974150;70.0;83.0;55.0;29.0;17.0;14.0;3.0
139;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zuid-Holland (PV);2023;2845260;2005120;70.0;83.0;55.0;28.0;17.0;14.0;3.0
140;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zeeland (PV);2014;281000;183990;65.0;83.0;57.0;25.0;17.0;12.0;5.0
141;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zeeland (PV);2015;280980;183890;65.0;82.0;57.0;26.0;18.0;13.0;5.0
142;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zeeland (PV);2016;281910;185220;66.0;82.0;56.0;26.0;18.0;12.0;6.0
143;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zeeland (PV);2017;282210;187840;67.0;82.0;56.0;27.0;18.0;12.0;6.0
144;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zeeland (PV);2018;282870;191230;68.0;83.0;55.0;27.0;17.0;12.0;5.0
145;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zeeland (PV);2019;282840;194290;69.0;83.0;55.0;28.0;17.0;12.0;5.0
146;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zeeland (PV);2020;283070;193230;68.0;83.0;58.0;24.0;17.0;13.0;4.0
147;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zeeland (PV);2021;283270;195290;69.0;82.0;58.0;24.0;18.0;13.0;5.0
148;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zeeland (PV);2022;283670;199710;70.0;82.0;57.0;25.0;18.0;13.0;5.0
149;Totaal mannen en vrouwen;Totaal personen;Totaal;Totaal;Zeeland (PV);2023;283880;201030;71.0;82.0;57.0;25.0;18.0;13.0;5.0
