ID;PrognoseInterval;Generatie;Perioden;Allochtonen_1;TotaalNietWesters_2;Afrika_3;Azie_4;LatijnsAmerika_5;Marokko_6;NederlandseAntillenEnAruba_7;Suriname_8;Turkije_9;TotaalWesters_10;Indonesie_11;Overig_12
0;Prognose;Totaal 1e en 2e generatie;2001;2863287;1475579;163080;243725;53849;272277;116344;307929;318375;1387708;403719;983989
1;Prognose;Totaal 1e en 2e generatie;2002;2950204;1540563;174433;262262;57168;282334;125286;312801;326279;1409641;402163;1007478
2;Prognose;Totaal 1e en 2e generatie;2003;3037077;1605176;185672;281289;60543;292376;133846;317504;333946;1431901;400592;1031309
3;Prognose;Totaal 1e en 2e generatie;2004;3123268;1668964;196831;300702;63954;302294;141835;321979;341369;1454304;399005;1055299
4;Prognose;Totaal 1e en 2e generatie;2005;3208836;1731969;207953;320558;67417;312063;149191;326244;348543;1476867;397396;1079471
5;Prognose;Totaal 1e en 2e generatie;2006;3293386;1794123;219084;340805;70939;321725;155846;330282;355442;1499263;395742;1103521
6;Prognose;Totaal 1e en 2e generatie;2007;3376738;1855337;230169;361400;74521;331248;161811;334085;362103;1521401;394029;1127372
7;Prognose;Totaal 1e en 2e generatie;2008;3458934;1915622;241227;382343;78134;340600;167155;337676;368487;1543312;392260;1151052
8;Prognose;Totaal 1e en 2e generatie;2009;3539875;1974986;252218;403599;81800;349744;171951;341034;374640;1564889;390419;1174470
9;Prognose;Totaal 1e en 2e generatie;2010;3619722;2033635;263163;425173;85505;358674;176397;344189;380534;1586087;388486;1197601
10;Prognose;Totaal 1e en 2e generatie;2011;3698513;2091751;274029;447046;89245;367377;180716;347157;386181;1606762;386484;1220278
11;Prognose;Totaal 1e en 2e generatie;2012;3776160;2149372;284827;469170;93033;375821;185005;349918;391598;1626788;384363;1242425
12;Prognose;Totaal 1e en 2e generatie;2013;3852609;2206498;295507;491533;96860;384017;189285;352505;396791;1646111;382145;1263966
13;Prognose;Totaal 1e en 2e generatie;2014;3927751;2263103;306070;514131;100697;391946;193535;354926;401798;1664648;379806;1284842
14;Prognose;Totaal 1e en 2e generatie;2015;4001644;2319206;316519;536930;104585;399632;197743;357201;406596;1682438;377354;1305084
15;Prognose;Totaal 1e en 2e generatie;2016;4074116;2374702;326822;559898;108482;407049;201908;359319;411224;1699414;374775;1324639
16;Prognose;Totaal 1e en 2e generatie;2017;4145292;2429697;336989;583041;112413;414221;206021;361324;415688;1715595;372084;1343511
17;Prognose;Totaal 1e en 2e generatie;2018;4215078;2484096;346997;606340;116369;421148;210062;363176;420004;1730982;369247;1361735
18;Prognose;Totaal 1e en 2e generatie;2019;4283562;2537950;356846;629765;120340;427844;214054;364918;424183;1745612;366295;1379317
19;Prognose;Totaal 1e en 2e generatie;2020;4350752;2591201;366518;653301;124320;434317;217982;366534;428229;1759551;363208;1396343
20;Prognose;Totaal 1e en 2e generatie;2021;4416731;2643894;376025;676932;128321;440592;221843;368038;432143;1772837;359990;1412847
21;Prognose;Totaal 1e en 2e generatie;2022;4481546;2695921;385400;700529;132313;446672;225651;369414;435942;1785625;356674;1428951
22;Prognose;Totaal 1e en 2e generatie;2023;4545254;2747358;394652;724113;136297;452581;229394;370686;439635;1797896;353221;1444675
23;Prognose;Totaal 1e en 2e generatie;2024;4607884;2798187;403768;747660;140286;458335;233080;371840;443218;1809697;349660;1460037
24;Prognose;Totaal 1e en 2e generatie;2025;4669454;2848410;412758;771151;144261;463941;236717;372884;446698;1821044;345981;1475063
25;Prognose;Totaal 1e en 2e generatie;2026;4729953;2898027;421597;794572;148232;469407;240309;373818;450092;1831926;342159;1489767
26;Prognose;Totaal 1e en 2e generatie;2027;4789418;2947025;430302;817907;152190;474760;243843;374624;453399;1842393;338211;1504182
27;Prognose;Totaal 1e en 2e generatie;2028;4847859;2995413;438880;841137;156142;479984;247330;375328;456612;1852446;334110;1518336
28;Prognose;Totaal 1e en 2e generatie;2029;4905326;3043232;447336;864258;160078;485112;250760;375934;459754;1862094;329867;1532227
29;Prognose;Totaal 1e en 2e generatie;2030;4961770;3090401;455636;887261;164007;490132;254137;376421;462807;1871369;325467;1545902
30;Prognose;Totaal 1e en 2e generatie;2031;5017303;3136965;463807;910127;167918;495057;257454;376811;465791;1880338;320913;1559425
31;Prognose;Totaal 1e en 2e generatie;2032;5071861;3182933;471863;932857;171820;499903;260716;377079;468695;1888928;316192;1572736
32;Prognose;Totaal 1e en 2e generatie;2033;5125476;3228253;479791;955426;175690;504654;263899;377265;471528;1897223;311293;1585930
33;Prognose;Totaal 1e en 2e generatie;2034;5178177;3272936;487579;977837;179554;509326;267031;377323;474286;1905241;306230;1599011
34;Prognose;Totaal 1e en 2e generatie;2035;5229946;3316967;495251;1000081;183388;513910;270091;377276;476970;1912979;300991;1611988
35;Prognose;Totaal 1e en 2e generatie;2036;5280815;3360371;502797;1022152;187203;518408;273087;377140;479584;1920444;295565;1624879
36;Prognose;Totaal 1e en 2e generatie;2037;5330797;3403113;510213;1044046;191002;522819;276026;376892;482115;1927684;289971;1637713
37;Prognose;Totaal 1e en 2e generatie;2038;5379878;3445160;517508;1065737;194776;527138;278900;376547;484554;1934718;284213;1650505
38;Prognose;Totaal 1e en 2e generatie;2039;5428061;3486527;524687;1087247;198521;531365;281701;376092;486914;1941534;278269;1663265
39;Prognose;Totaal 1e en 2e generatie;2040;5475426;3527217;531714;1108572;202249;535491;284460;375554;489177;1948209;272200;1676009
