ID;SBI93;Grootteklasse;Perioden;Bedrijven_1;AantalWerkzamePersonenEindSeptember_2;TotWerkzamePersonenFTEEindSeptember_3;AantalWerknemersVanDeEigenLoonlijst_4;AantalFTEWerknemersOpEigenLoonlijst_5;TotaleBedrijfsopbrengsten_6;NettoOmzetTotaal_7;NettoOmzetUitHoofdactiviteiten_8;NettoOmzetUitNevenactiviteiten_9;TotaalOverigeBedrijfsopbrengsten_10;TotaleBedrijfslasten_11;InkoopwaardeOmzet_12;InkoopwaardeGrondEnHulpstoffen_13;BeginvoorraadGrondEnHulpstoffen_14;InkopenGrondEnHulpstoffen_15;EindvoorraadGrondEnHulpstoffen_16;InkoopwaardeHandelsgoederen_17;BeginvoorraadHandelsgoederen_18;InkoopkostenVanHandelsgoederen_19;EindvoorraadHandelsgoederen_20;TotaalOverigeInkoopwaarde_21;KostenUitbesteedWerk_22;InkoopwaardeNietEldersGenoemd_23;ArbeidskostenTotaal_24;BrutoLonenEnSalarissen_25;WerkgeversdeelSocVerzekeringspremies_26;PremiesPensioenVUTInkoopsommenEnz_27;OverigeSocialeLasten_28;OverigeBedrijfslastenTotaal_29;OverigeKostenMBTPersoneel_30;KostenVervoermiddelen_31;KostenEnergieverbruik_32;KostenVanHuisvesting_33;KostenMachinesInstallatiesED_34;Verkoopkosten_35;Communicatiekosten_36;KostenVanDienstverleningDoorDerden_37;OverigeBedrijfslasten_38;AfschrijvingenOpVasteActiva_39;Bedrijfsresultaat_40;FinancieelResultaat_41;FinancieleBaten_42;FinancieleLasten_43;SaldoVoorzieningen_44;OnttrekkingenVrijvalVanVoorzieningen_45;ToevoegingenAanVoorzieningen_46;SaldoBuitengewoneBatenMinusLasten_47;BuitengewoneBaten_48;BuitengewoneLasten_49;ResultaatVoorBelastingen_50
0;D Industrie (excl. 36631 sociale..;Totaal grootteklasse;2000;45290.0;9666.0;8944.0;8709.0;8061.0;237031.0;229188.0;200704.0;28484.0;7843.0;220198.0;139009.0;105387.0;9364.0;105984.0;9960.0;23886.0;1944.0;24065.0;2123.0;9736.0;7823.0;1912.0;32106.0;26026.0;3359.0;1751.0;969.0;41073.0;5382.0;1269.0;4411.0;2977.0;3560.0;7842.0;588.0;3701.0;11343.0;8008.0;16832.0;-1142.0;1816.0;2958.0;-334.0;720.0;1053.0;1153.0;3061.0;1907.0;16509.0
1;D Industrie (excl. 36631 sociale..;Totaal grootteklasse;2001;46925.0;9541.0;8853.0;8558.0;7953.0;233643.0;227717.0;197559.0;30155.0;5926.0;220078.0;138097.0;104475.0;9434.0;104526.0;9485.0;23945.0;1923.0;24032.0;2025.0;9691.0;8221.0;1470.0;32824.0;26825.0;3426.0;1858.0;713.0;41295.0;5459.0;1253.0;4536.0;3109.0;3592.0;7478.0;604.0;3705.0;11559.0;7859.0;13556.0;-1358.0;1768.0;3125.0;-334.0;966.0;1300.0;-1337.0;1668.0;3005.0;10526.0
2;D Industrie (excl. 36631 sociale..;Totaal grootteklasse;2002;46305.0;9256.0;8568.0;8311.0;7703.0;230596.0;223425.0;191750.0;31675.0;7171.0;217505.0;134601.0;99963.0;9683.0;100321.0;10042.0;24986.0;1977.0;25216.0;2207.0;9657.0;8406.0;1251.0;33593.0;27056.0;3474.0;2386.0;678.0;41453.0;5365.0;1261.0;4466.0;3311.0;3882.0;7140.0;633.0;3909.0;11486.0;7858.0;13087.0;-2107.0;1811.0;3918.0;-344.0;954.0;1298.0;-449.0;1184.0;1633.0;10187.0
3;D Industrie (excl. 36631 sociale..;Totaal grootteklasse;2003;45895.0;8842.0;8130.0;7958.0;7313.0;223443.0;218468.0;189191.0;29277.0;4976.0;210629.0;129591.0;98614.0;10179.0;98414.0;9979.0;21561.0;2233.0;21492.0;2163.0;9421.0;8333.0;1089.0;33241.0;26744.0;3293.0;2584.0;621.0;39713.0;5230.0;1295.0;4590.0;3442.0;3785.0;6584.0;637.0;3646.0;10504.0;8081.0;12811.0;-1385.0;2270.0;3655.0;-403.0;761.0;1164.0;-256.0;1131.0;1387.0;10766.0
4;D Industrie (excl. 36631 sociale..;Totaal grootteklasse;2004;46500.0;8691.0;7961.0;7779.0;7100.0;239630.0;235026.0;202205.0;32821.0;4604.0;223948.0;142635.0;110911.0;9918.0;111414.0;10420.0;21945.0;2153.0;21931.0;2138.0;9784.0;8550.0;1234.0;33369.0;26947.0;3311.0;2474.0;637.0;40268.0;5145.0;1370.0;4938.0;3697.0;4308.0;5813.0;601.0;3826.0;10570.0;7675.0;15678.0;-1830.0;3087.0;4917.0;-318.0;821.0;1139.0;-332.0;1144.0;1476.0;13198.0
5;D Industrie (excl. 36631 sociale..;Totaal grootteklasse;2005;45505.0;8470.0;7751.0;7574.0;6901.0;257894.0;252594.0;215176.0;37423.0;5307.0;241128.0;156863.0;118247.0;9866.0;118390.0;10011.0;28626.0;2099.0;28973.0;2446.0;9997.0;9013.0;983.0;33411.0;27083.0;3294.0;2512.0;522.0;43310.0;5403.0;1468.0;5556.0;3729.0;4273.0;6301.0;597.0;4209.0;11774.0;7543.0;16762.0;-1399.0;3168.0;4568.0;-272.0;972.0;1244.0;262.0;1597.0;1335.0;15353.0
6;D Industrie (excl. 36631 sociale..;0 tot 19 werknemers;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;D Industrie (excl. 36631 sociale..;0 tot 19 werknemers;2001;40290.0;2108.0;1824.0;1819.0;1567.0;23465.0;23410.0;21385.0;2024.0;55.0;21216.0;11378.0;8731.0;1172.0;8798.0;1240.0;1417.0;244.0;1461.0;287.0;1229.0;916.0;313.0;4888.0;4033.0;537.0;223.0;95.0;3906.0;506.0;323.0;275.0;599.0;449.0;507.0;118.0;342.0;787.0;1041.0;2249.0;-262.0;128.0;390.0;-13.0;25.0;38.0;13.0;80.0;66.0;1987.0
8;D Industrie (excl. 36631 sociale..;0 tot 19 werknemers;2002;39675.0;2040.0;1754.0;1756.0;1499.0;23030.0;22909.0;20734.0;2175.0;122.0;20893.0;11168.0;8383.0;1232.0;8403.0;1252.0;1444.0;250.0;1459.0;265.0;1340.0;1224.0;117.0;4929.0;4054.0;530.0;249.0;97.0;3822.0;509.0;303.0;258.0;635.0;422.0;480.0;130.0;337.0;748.0;973.0;2137.0;-275.0;105.0;380.0;-13.0;23.0;36.0;-15.0;64.0;79.0;1834.0
9;D Industrie (excl. 36631 sociale..;0 tot 19 werknemers;2003;39290.0;1811.0;1522.0;1536.0;1270.0;20372.0;20306.0;18495.0;1810.0;67.0;18530.0;9712.0;7150.0;1085.0;7164.0;1099.0;1157.0;198.0;1178.0;219.0;1404.0;1265.0;138.0;4387.0;3606.0;465.0;232.0;84.0;3544.0;527.0;292.0;247.0;589.0;375.0;429.0;125.0;300.0;660.0;885.0;1842.0;-251.0;108.0;359.0;-17.0;19.0;36.0;-6.0;74.0;79.0;1568.0
10;D Industrie (excl. 36631 sociale..;0 tot 19 werknemers;2004;40250.0;1866.0;1563.0;1594.0;1305.0;21724.0;21470.0;19779.0;1691.0;254.0;20039.0;10677.0;8254.0;1268.0;8250.0;1265.0;1026.0;202.0;1031.0;206.0;1397.0;1257.0;139.0;4694.0;3851.0;513.0;241.0;89.0;3800.0;474.0;319.0;250.0;764.0;377.0;437.0;122.0;317.0;740.0;869.0;1685.0;-480.0;726.0;1206.0;3.0;31.0;28.0;7.0;99.0;92.0;1215.0
11;D Industrie (excl. 36631 sociale..;0 tot 19 werknemers;2005;39560.0;1916.0;1612.0;1650.0;1362.0;23191.0;22891.0;21152.0;1739.0;300.0;21275.0;11332.0;8669.0;1286.0;8663.0;1280.0;1269.0;229.0;1303.0;264.0;1394.0;1243.0;152.0;5067.0;4163.0;551.0;262.0;91.0;4017.0;579.0;351.0;268.0;799.0;413.0;472.0;123.0;298.0;714.0;859.0;1916.0;-218.0;102.0;320.0;-8.0;67.0;75.0;44.0;111.0;67.0;1734.0
12;D Industrie (excl. 36631 sociale..;20 tot 100 werknemers;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;D Industrie (excl. 36631 sociale..;20 tot 100 werknemers;2001;5215.0;2353.0;2208.0;2198.0;2066.0;42333.0;41765.0;38574.0;3189.0;569.0;39816.0;24699.0;19854.0;2058.0;19893.0;2097.0;2285.0;299.0;2285.0;314.0;2574.0;2290.0;284.0;7649.0;6283.0;830.0;403.0;133.0;6134.0;1086.0;347.0;489.0;778.0;722.0;768.0;122.0;581.0;1241.0;1335.0;2512.0;-411.0;173.0;584.0;-28.0;88.0;116.0;6.0;235.0;229.0;2079.0
14;D Industrie (excl. 36631 sociale..;20 tot 100 werknemers;2002;5150.0;2290.0;2139.0;2141.0;1998.0;41704.0;41074.0;37677.0;3397.0;630.0;39734.0;24493.0;19669.0;2299.0;19775.0;2406.0;2383.0;366.0;2389.0;372.0;2446.0;2161.0;284.0;7632.0;6256.0;830.0;424.0;122.0;6313.0;1117.0;352.0;496.0;829.0;737.0;768.0;122.0;594.0;1298.0;1296.0;1966.0;-332.0;185.0;518.0;-41.0;76.0;117.0;76.0;243.0;167.0;1668.0
