ID;Geslacht;Leeftijd;Beroepen;Perioden;GemiddeldeWinst_1;Zelfstandigen_2
0;1100;Totaal leeftijd;1;2001;80.8;6215.0
1;1100;Totaal leeftijd;1;2002;94.8;6170.0
2;1100;Totaal leeftijd;1;2003;103.1;6230.0
3;1100;Totaal leeftijd;1;2004;98.0;6250.0
4;1100;Totaal leeftijd;1;2005;98.3;6355.0
5;1100;Totaal leeftijd;1;2006;123.5;6680.0
6;1100;Totaal leeftijd;1;2007;128.1;6595.0
7;1100;Totaal leeftijd;1;2008;122.6;6820.0
8;1100;Totaal leeftijd;1;2009;124.9;6915.0
9;1100;Totaal leeftijd;1;2010;120.9;7455.0
10;1100;Totaal leeftijd;1;2011;124.5;7780.0
11;1100;Totaal leeftijd;1;2012;117.0;8085.0
12;1100;Totaal leeftijd;1;2013;111.1;8330.0
13;1100;Totaal leeftijd;1;2014;113.4;8645.0
14;1100;Totaal leeftijd;1;2015;108.2;8950.0
15;1100;Totaal leeftijd;2;2001;84.7;4410.0
16;1100;Totaal leeftijd;2;2002;101.7;4435.0
17;1100;Totaal leeftijd;2;2003;106.9;4415.0
18;1100;Totaal leeftijd;2;2004;103.5;4415.0
19;1100;Totaal leeftijd;2;2005;105.1;4530.0
20;1100;Totaal leeftijd;2;2006;108.9;4760.0
21;1100;Totaal leeftijd;2;2007;118.2;4710.0
22;1100;Totaal leeftijd;2;2008;122.5;4805.0
23;1100;Totaal leeftijd;2;2009;119.3;4810.0
24;1100;Totaal leeftijd;2;2010;118.5;5050.0
25;1100;Totaal leeftijd;2;2011;113.5;5235.0
26;1100;Totaal leeftijd;2;2012;114.4;5400.0
27;1100;Totaal leeftijd;2;2013;107.0;5480.0
28;1100;Totaal leeftijd;2;2014;114.8;5550.0
29;1100;Totaal leeftijd;2;2015;112.4;5710.0
30;1100;Totaal leeftijd;3;2001;136.7;3685.0
31;1100;Totaal leeftijd;3;2002;148.1;3805.0
