ID;BedrijfsactiviteitenSBI93;Perioden;OrdersZijnToegenomen_1;OrdersZijnGelijkGebleven_2;OrdersZijnAfgenomen_3;OrdersSaldo_4;VerwachteOrderontvangstToenemen_5;VerwachteOrderontvangstGelijkBlijven_6;VerwachteProductieAfnemen_7;VerwachteOrderontvangstSaldo_8;OordeelOrderontvangstIsGroot_9;OordeelOrderontvangstIsNormaal_10;OordeelOrderontvangstIsKlein_11;SaldoOordeelOrderontvangst_12;OmzetIsToegenomen_13;OmzetIsGelijkGebleven_14;OmzetIsAfgenomen_15;SaldoOmzetontwikkeling_16;OmzetZalToenemen_17;OmzetZalGelijkBlijven_18;OmzetZalAfnemen_19;SaldoVerwachteOmzet_20;PrijzenTarievenZijnGestegen_21;PrijzenTarievenZijnGelijkGebleven_22;PrijzenTarievenZijnGedaald_23;SaldoOntwikkelingPrijzenTarieven_24;PrijzenTarievenZullenStijgen_25;PrijzenTarievenZullenGelijkBlijven_26;PrijzenTarievenZullenDalen_27;SaldoVerwachteOntwikkelingPrijzen_28;PersoneelssterkteIsToegenomen_29;PersoneelssterkteIsGelijkBlijven_30;PersoneelssterkteIsAfgenomen_31;PersoneelssterkteSaldo_32;PersoneelssterkteZalToenemen_33;PersoneelssterkteZalGelijkBlijven_34;PersoneelssterkteZalAfnemen_35;VerwachtePersoneelssterkteSaldo_36;BeoordelingGoed_37;BeoordelingNormaalBevredigend_38;BeoordelingSlecht_39;SaldoBeoordelingGoedSlecht_40;GeenBelemmeringen_41;OnvoldoendeVraag_42;TekortAanArbeidskrachten_43;GebrekAanRuimteEnOfApparatuur_44;FinancieleBeperkingen_45;AndereOorzaken_46;OntvangstOpdrachtenOrders_47;OordeelOrderontvangst_48;VerwachtingOntvangstOrders_49;OntwikkelingOmzet_50;VerwachteOntwikkelingOmzet_51;OntwikkelingPrijzenTarieven_52;VerwachteOntwikkelingPrijzenTarieven_53;OntwikkelingPersoneelssterkte_54;VerwachteOntwikkelingPersoneelssterkte_55;OordeelEconomischKlimaat_56
15;5500;1995 oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;5500;1996 januari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;5500;1996 april;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;5500;1996 juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;5500;1996 oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;5500;1997 januari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;5500;1997 april;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;5500;1997 juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;5500;1997 oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;5500;1998 januari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;5500;1998 april;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;5500;1998 juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;5500;1998 oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;5500;1999 januari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;5500;1999 april;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;5500;1999 juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;5500;1999 oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;5500;2000 januari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;5500;2000 april;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;5500;2000 juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;5500;2000 oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;5500;2001 januari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;5500;2001 april;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;5500;2001 juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;5500;2001 oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;5500;2002 januari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;5500;2002 april;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;5500;2002 juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;5500;2002 oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;5500;2003 januari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;5500;2003 april;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;5500;2003 juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;5500;2003 oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;5500;2004 januari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;5500;2004 april;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;5500;2004 juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;5500;2004 oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;5500;2005 januari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;5500;2005 april;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;5500;2005 juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;5500;2005 oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;5500;2006 januari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;5500;2006 april;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;5500;2006 juli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;5500;2006 oktober;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;5500;2007 januari;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;5500;2007 februari;37.0;52.0;11.0;26.0;57.0;40.0;3.0;54.0;41.0;57.0;2.0;39.0;41.0;46.0;13.0;28.0;63.0;35.0;2.0;61.0;43.0;55.0;2.0;41.0;24.0;74.0;2.0;22.0;28.0;64.0;8.0;20.0;35.0;61.0;4.0;31.0;48.0;50.0;2.0;46.0;65.0;3.0;25.0;1.0;1.0;5.0;26.0;39.0;54.0;28.0;61.0;41.0;22.0;20.0;31.0;46.0
