ID;BedrijfstakkenBranchesSBI2008;Perioden;AantalInstellingen_1;AantalPersonen_2;AantalMensjaren_3;TotaalBaten_4;Bedrijfsopbrengsten_5;OverigeBaten_6;TotaalLasten_7;PersoneelInLoondienst_8;Afschrijvingen_9;OverigeLasten_10
0;Exploitatie van speelautomaten;1996;435.0;;;386.0;94.0;6.0;245.0;31.0;21.0;48.0
1;Exploitatie van speelautomaten;1998;420.0;2970.0;2715.0;458.0;97.0;3.0;277.0;30.0;18.0;52.0
2;Exploitatie van speelautomaten;2002;345.0;3240.0;2735.0;472.0;96.0;4.0;379.0;29.0;20.0;51.0
3;Exploitatie van speelautomaten;2004;345.0;3280.0;2730.0;465.0;97.0;3.0;364.0;31.0;20.0;49.0
4;Exploitatie van speelautomaten;2006;340.0;3245.0;2690.0;461.0;98.0;2.0;358.0;32.0;20.0;48.0
5;Exploitatie van speelautomaten;2008;325.0;2910.0;2385.0;414.0;94.0;6.0;319.0;32.0;19.0;49.0
6;Exploitatie van speelautomaten;2010;235.0;3155.0;2495.0;367.0;89.0;11.0;344.0;31.0;25.0;44.0
7;Exploitatie van speelautomaten;2012;225.0;3345.0;2635.0;407.0;89.0;11.0;367.0;31.0;23.0;46.0
8;Exploitatie van speelautomaten;2014;210.0;3170.0;2500.0;411.0;89.0;11.0;354.0;33.0;21.0;46.0
9;Exploitatie van speelautomaten;2016;185.0;3335.0;2525.0;441.0;91.0;9.0;365.0;33.0;21.0;46.0
10;Exploitatie van speelautomaten;2018;180.0;3755.0;2745.0;458.0;90.0;10.0;410.0;29.0;24.0;47.0
11;Loterijen en kansspelen;1996;;;;;;;;;;
12;Loterijen en kansspelen;1998;40.0;4515.0;3740.0;1516.0;98.0;2.0;1513.0;11.0;3.0;86.0
13;Loterijen en kansspelen;2002;35.0;5390.0;3940.0;2018.0;99.0;1.0;2011.0;13.0;3.0;84.0
14;Loterijen en kansspelen;2004;30.0;5345.0;3890.0;2115.0;99.0;1.0;2109.0;12.0;4.0;84.0
15;Loterijen en kansspelen;2006;25.0;5475.0;3970.0;2238.0;99.0;1.0;2183.0;12.0;3.0;85.0
16;Loterijen en kansspelen;2008;20.0;5770.0;4240.0;2398.0;99.0;1.0;2362.0;12.0;3.0;85.0
17;Loterijen en kansspelen;2010;20.0;5255.0;3985.0;2453.0;98.0;2.0;2442.0;11.0;2.0;87.0
18;Loterijen en kansspelen;2012;15.0;4960.0;3805.0;2387.0;96.0;4.0;2356.0;11.0;2.0;87.0
19;Loterijen en kansspelen;2014;10.0;4100.0;3190.0;2376.0;97.0;3.0;2332.0;10.0;3.0;87.0
20;Loterijen en kansspelen;2016;10.0;4450.0;3240.0;2544.0;98.0;2.0;2489.0;9.0;2.0;89.0
21;Loterijen en kansspelen;2018;10.0;5050.0;3670.0;2757.0;98.0;2.0;2645.0;10.0;2.0;88.0
22;Overige recreatie (geen havens);1996;;;;;;;;;;
23;Overige recreatie (geen havens);1998;;;;;;;;;;
24;Overige recreatie (geen havens);2002;310.0;1130.0;690.0;123.0;93.0;7.0;121.0;19.0;6.0;75.0
25;Overige recreatie (geen havens);2004;340.0;1165.0;665.0;128.0;90.0;10.0;120.0;21.0;5.0;74.0
26;Overige recreatie (geen havens);2006;390.0;1230.0;675.0;145.0;93.0;7.0;129.0;20.0;4.0;76.0
27;Overige recreatie (geen havens);2008;460.0;1505.0;770.0;192.0;93.0;7.0;178.0;17.0;3.0;80.0
28;Overige recreatie (geen havens);2010;645.0;2115.0;920.0;186.0;94.0;6.0;171.0;18.0;4.0;78.0
29;Overige recreatie (geen havens);2012;715.0;2095.0;880.0;195.0;95.0;5.0;186.0;18.0;3.0;79.0
30;Overige recreatie (geen havens);2014;;;;;;;;;;
31;Overige recreatie (geen havens);2016;;;;;;;;;;
32;Overige recreatie (geen havens);2018;;;;;;;;;;
