ID;BedrijfstakkenBranchesSBI2008;TotaalArbeidskosten_1;ArbeidskostenPerVoltijdeenheid_2;ArbeidskostenPerGewerktUur_3;ArbeidskostenPerBetaaldUur_4;GewerkteUrenPerVoltijdeenheid_5;TotaalOpbouwArbeidskosten_6;DirectLoon_7;BijzondereBeloningen_8;LoonVoorNietGewerkteTijd_9;LoonInNatura_10;PremieWIA_11;PremieZVW_12;PremieWW_13;Pensioenpremies_14;OverigePremies_15;LoonBijZiekte_16;Ontslagvergoedingen_17;Opleidingskosten_18;OverigeUitgaven_19;Subsidies_20;PotentieleArbeidsduur_21;VerlofurenEnUrenVanFeestdagen_22;ZiekteUrenEnOverigNietGewerkteUren_23;GewerkteUrenExclOverwerkuren_24;GewerkteUren_25
0;A-U Alle economische activiteiten;305.4;50.8;30.08;25.45;1689;100;56.3;10.3;8.7;1.5;3.2;3.8;1.5;7.2;0.3;3.2;0.9;1.3;2.3;-0.6;100;12.6;5.0;82.4;85
1;A Landbouw, bosbouw en visserij;2.6;35.2;20.14;17.17;1748;100;62.4;7.0;9.3;1.2;3.5;4.6;2.4;6.2;0.5;2.2;0.1;0.4;1.2;-0.9;100;12.8;3.2;84.0;86
2;B Delfstoffenwinning;0.7;101.3;56.06;48.35;1808;100;54.0;16.2;8.2;1.0;2.2;2.1;1.7;9.1;0.1;2.0;0.2;1.7;2.0;-0.6;100;12.6;3.4;84.0;87
3;C Industrie;38.7;52.3;30.01;25.59;1744;100;56.3;11.0;8.6;1.1;3.3;3.8;2.1;8.3;0.3;3.1;0.2;0.7;1.9;-0.8;100;12.5;4.9;82.7;86
4;D Energievoorziening;1.4;72.1;42.21;35.51;1709;100;53.8;12.0;8.7;1.5;2.7;3.1;0.7;9.2;0.1;2.7;1.9;2.2;1.8;-0.4;100;13.1;4.3;82.6;85
5;E Waterbedrijven en afvalbeheer;1.8;55.9;29.4;26.68;1902;100;55.5;9.1;8.8;1.1;3.4;3.9;1.2;8.4;0.2;3.4;1.9;1.4;2.3;-0.5;100;13.1;5.6;81.3;95
6;F Bouwnijverheid;19.0;52.9;29.76;25.28;1779;100;59.5;6.0;9.3;2.5;3.2;3.9;2.0;7.2;1.0;3.1;0.1;1.2;1.5;-0.4;100;12.7;4.6;82.7;86
7;G Handel;39.6;43.4;24.91;21.33;1744;100;57.4;10.1;8.5;2.4;3.3;4.0;1.7;6.3;0.3;2.8;0.2;0.7;2.6;-0.3;100;12.3;4.3;83.4;87
8;H Vervoer en opslag;15.9;50.7;26.91;23.19;1883;100;58.3;9.5;8.5;0.9;3.4;4.1;1.9;7.6;0.3;3.2;0.3;0.6;2.0;-0.6;100;12.7;5.2;82.1;92
9;I Horeca;4.8;28.8;17.4;14.59;1655;100;61.9;6.4;9.6;0.9;3.9;4.9;1.9;4.0;0.5;2.7;0.1;0.6;2.7;-0.1;100;12.8;3.8;83.4;84
10;J Informatie en communicatie;14.0;65.6;37.87;32.05;1731;100;55.5;12.0;8.4;3.4;3.1;3.2;2.1;6.2;0.2;2.6;0.2;1.3;2.5;-0.7;100;12.4;4.1;83.6;85
11;K Financiële dienstverlening;19.3;80.3;48.09;40.79;1670;100;48.0;16.8;7.6;3.2;2.4;2.7;1.2;10.9;0.1;2.6;0.5;1.9;2.5;-0.3;100;12.7;4.7;82.6;85
12;L Verhuur en handel van onroerend goed;3.5;57.4;34.63;29.17;1658;100;57.5;9.7;8.8;2.7;2.8;3.4;1.6;6.2;0.2;2.9;0.2;1.6;2.7;-0.3;100;12.3;4.4;83.4;84
13;M Specialistische zakelijke diensten;28.9;65.6;37.68;32.13;1740;100;58.2;11.3;8.7;2.6;2.6;3.0;1.4;5.9;0.2;2.5;0.2;1.5;2.7;-0.6;100;12.3;3.8;83.9;85
14;N Verhuur en overige zakelijke diensten;21.2;36.5;20.38;17.94;1788;100;60.6;7.9;9.0;1.3;3.8;4.7;2.7;3.9;0.2;2.5;0.3;1.2;2.5;-0.5;100;12.5;4.4;83.1;88
15;O Openbaar bestuur en overheidsdiensten;27.8;61.8;38.95;32.22;1585;100;51.3;10.7;7.7;0.1;3.1;3.2;0.3;9.2;0.2;3.9;5.9;2.6;2.4;-0.8;100;11.7;7.2;81.1;83
16;P Onderwijs;21.8;56.2;36.58;29.54;1536;100;53.2;10.4;9.8;0.2;3.1;4.1;0.4;8.8;0.0;3.6;1.9;2.2;2.4;-0.2;100;13.7;5.9;80.4;80
17;Q Gezondheids- en welzijnszorg;36.6;44.1;29.38;23.97;1500;100;57.4;9.3;9.5;0.3;3.6;4.5;0.9;6.7;0.1;4.6;0.3;1.6;2.5;-1.1;100;12.9;6.5;80.6;81
18;R Cultuur, sport en recreatie;3.4;44.5;26.97;22.65;1648;100;60.0;8.4;9.3;0.9;3.4;4.2;1.8;5.9;0.2;3.3;0.1;0.9;2.4;-0.7;100;12.5;4.6;82.9;84
19;S Overige dienstverlening;4.5;41.8;26.01;21.77;1607;100;58.5;8.9;9.2;1.3;3.4;4.3;1.6;7.0;0.2;3.3;0.2;0.5;2.4;-0.6;100;12.7;4.8;82.5;84
