ID;Geslacht;Leeftijd;Studierichting;Opleidingsvorm;Perioden;Ingeschrevenen_1;TotaalEerstejaars_2;DiplomaVwo_3;DiplomaHboBachelor_4;PropedeuseHbo_5;OverigeOpleiding_6;DoctoraalOfMaster_7;Bachelor_8;Gepromoveerden_9
0;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;1990/'91;1414.0;126.0;32.0;66.0;4.0;24.0;135.0;;11.0
1;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;1991/'92;1358.0;155.0;33.0;82.0;10.0;30.0;120.0;;11.0
2;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;1992/'93;1192.0;130.0;38.0;49.0;13.0;30.0;129.0;;13.0
3;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;1993/'94;1186.0;139.0;25.0;76.0;5.0;33.0;111.0;;12.0
4;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;1994/'95;1173.0;143.0;42.0;60.0;18.0;26.0;125.0;;9.0
5;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;1995/'96;1064.0;93.0;23.0;42.0;6.0;22.0;88.0;;17.0
6;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;1996/'97;1059.0;171.0;51.0;78.0;17.0;25.0;93.0;;13.0
7;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;1997/'98;1007.0;97.0;29.0;43.0;6.0;19.0;93.0;;12.0
8;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;1998/'99;960.0;108.0;24.0;59.0;6.0;19.0;107.0;;9.0
9;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;1999/'00;926.0;90.0;21.0;38.0;6.0;25.0;84.0;;11.0
10;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2000/'01;881.0;89.0;28.0;43.0;4.0;14.0;77.0;;7.0
11;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2001/'02;860.0;110.0;25.0;63.0;8.0;14.0;92.0;;15.0
12;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2002/'03;870.0;138.0;28.0;85.0;7.0;18.0;112.0;;16.0
13;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2003/'04;871.0;137.0;29.0;85.0;10.0;13.0;77.0;19.0;9.0
14;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2004/'05;908.0;120.0;22.0;68.0;7.0;23.0;102.0;27.0;7.0
15;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2005/'06;862.0;145.0;21.0;91.0;10.0;23.0;39.0;23.0;6.0
16;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2006/'07;399.0;81.0;24.0;20.0;5.0;32.0;36.0;40.0;8.0
17;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2007/'08;640.0;88.0;52.0;22.0;4.0;10.0;48.0;30.0;12.0
18;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2008/'09;585.0;82.0;36.0;19.0;8.0;19.0;35.0;35.0;12.0
19;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2009/'10;522.0;55.0;18.0;15.0;5.0;17.0;113.0;30.0;12.0
20;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2010/'11;524.0;82.0;14.0;22.0;9.0;37.0;67.0;51.0;14.0
21;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2011/'12;561.0;67.0;9.0;18.0;6.0;34.0;105.0;44.0;5.0
22;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2012/'13;484.0;54.0;14.0;10.0;9.0;21.0;77.0;41.0;6.0
23;Totaal mannen en vrouwen;0;Theologie;Totaal opleidingsvorm;2013/'14;482.0;58.0;15.0;7.0;12.0;24.0;;;
24;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;1990/'91;1236.0;;;;;;;;
25;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;1991/'92;1162.0;;;;;;;;
26;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;1992/'93;829.0;;;;;;;;
27;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;1993/'94;786.0;;;;;;;;
28;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;1994/'95;784.0;;;;;;;;
29;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;1995/'96;686.0;;;;;;;;
30;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;1996/'97;652.0;;;;;;;;
31;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;1997/'98;592.0;;;;;;;;
32;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;1998/'99;536.0;;;;;;;;
33;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;1999/'00;508.0;;;;;;;;
34;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2000/'01;470.0;;;;;;;;
35;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2001/'02;443.0;;;;;;;;
36;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2002/'03;437.0;;;;;;;;
37;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2003/'04;453.0;;;;;;;;
38;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2004/'05;477.0;;;;;;;;
39;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2005/'06;461.0;;;;;;;;
40;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2006/'07;324.0;;;;;;;;
41;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2007/'08;450.0;;;;;;;;
42;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2008/'09;413.0;;;;;;;;
43;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2009/'10;404.0;;;;;;;;
44;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2010/'11;419.0;;;;;;;;
45;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2011/'12;435.0;;;;;;;;
46;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2012/'13;387.0;;;;;;;;
47;Totaal mannen en vrouwen;0;Theologie;Voltijdonderwijs;2013/'14;379.0;;;;;;;;
48;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;1990/'91;178.0;;;;;;;;
49;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;1991/'92;196.0;;;;;;;;
50;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;1992/'93;363.0;;;;;;;;
51;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;1993/'94;400.0;;;;;;;;
52;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;1994/'95;389.0;;;;;;;;
53;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;1995/'96;378.0;;;;;;;;
54;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;1996/'97;407.0;;;;;;;;
55;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;1997/'98;415.0;;;;;;;;
56;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;1998/'99;424.0;;;;;;;;
57;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;1999/'00;418.0;;;;;;;;
58;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2000/'01;411.0;;;;;;;;
59;Totaal mannen en vrouwen;0;Theologie;Deeltijdonderwijs;2001/'02;417.0;;;;;;;;
