ID;Perioden;HypothekenInMlnEuro_1;AantalHypotheken_2;HypothekenInMlnEuro_3;AantalHypotheken_4;HypothekenInMlnEuro_5;AantalHypotheken_6;HypothekenInMlnEuro_7;AantalHypotheken_8;HypothekenInMlnEuro_9;AantalHypotheken_10;Marktaandelen_11;HypothekenInMlnEuro_12;AantalHypotheken_13;Marktaandelen_14;HypothekenInMlnEuro_15;AantalHypotheken_16;Marktaandelen_17;HypothekenInMlnEuro_18;AantalHypotheken_19;Marktaandelen_20;HypothekenInMlnEuro_21;AantalHypotheken_22;Marktaandelen_23;HypothekenInMlnEuro_24;AantalHypotheken_25;Marktaandelen_26;HypothekenInMlnEuro_27;AantalHypotheken_28;Marktaandelen_29;HypothekenInMlnEuro_30;AantalHypotheken_31;HypothekenInMlnEuro_32;AantalHypotheken_33;HypothekenInMlnEuro_34;AantalHypotheken_35;HypothekenInMlnEuro_36;AantalHypotheken_37;HypothekenInMlnEuro_38;AantalHypotheken_39;HypothekenInMlnEuro_40;AantalHypotheken_41;HypothekenInMlnEuro_42;AantalHypotheken_43;HypothekenInMlnEuro_44;AantalHypotheken_45;HypothekenInMlnEuro_46;AantalHypotheken_47;HypothekenInMlnEuro_48;AantalHypotheken_49;HypothekenInMlnEuro_50;AantalHypotheken_51;HypothekenInMlnEuro_52;AantalHypotheken_53;HypothekenInMlnEuro_54;AantalHypotheken_55;HypothekenInMlnEuro_56;AantalHypotheken_57;HypothekenInMlnEuro_58;AantalHypotheken_59;HypothekenInMlnEuro_60;AantalHypotheken_61;HypothekenInMlnEuro_62;AantalHypotheken_63;HypothekenInMlnEuro_64;AantalHypotheken_65;HypothekenInMlnEuro_66;AantalHypotheken_67;HypothekenInMlnEuro_68;AantalHypotheken_69;HypothekenInMlnEuro_70;AantalHypotheken_71;HypothekenInMlnEuro_72;AantalHypotheken_73;HypothekenInMlnEuro_74;AantalHypotheken_75;HypothekenInMlnEuro_76;AantalHypotheken_77;HypothekenInMlnEuro_78;AantalHypotheken_79;HypothekenInMlnEuro_80;AantalHypotheken_81;HypothekenInMlnEuro_82;AantalHypotheken_83;HypothekenInMlnEuro_84;AantalHypotheken_85;HypothekenInMlnEuro_86;AantalHypotheken_87;HypothekenInMlnEuro_88;AantalHypotheken_89;HypothekenInMlnEuro_90;AantalHypotheken_91;HypothekenInMlnEuro_92;AantalHypotheken_93;HypothekenInMlnEuro_94;AantalHypotheken_95;HypothekenInMlnEuro_96;AantalHypotheken_97;HypothekenInMlnEuro_98;AantalHypotheken_99;HypothekenInMlnEuro_100;AantalHypotheken_101;HypothekenInMlnEuro_102;AantalHypotheken_103;HypothekenInMlnEuro_104;AantalHypotheken_105;HypothekenInMlnEuro_106;AantalHypotheken_107;HypothekenInMlnEuro_108;AantalHypotheken_109;HypothekenInMlnEuro_110;AantalHypotheken_111;HypothekenInMlnEuro_112;AantalHypotheken_113;HypothekenInMlnEuro_114;AantalHypotheken_115;HypothekenInMlnEuro_116;AantalHypotheken_117;HypothekenInMlnEuro_118;AantalHypotheken_119;HypothekenInMlnEuro_120;AantalHypotheken_121;HypothekenInMlnEuro_122;AantalHypotheken_123;HypothekenInMlnEuro_124;AantalHypotheken_125;HypothekenInMlnEuro_126;AantalHypotheken_127;HypothekenInMlnEuro_128;AantalHypotheken_129;HypothekenInMlnEuro_130;AantalHypotheken_131;HypothekenInMlnEuro_132;AantalHypotheken_133;HypothekenInMlnEuro_134;AantalHypotheken_135;HypothekenInMlnEuro_136;AantalHypotheken_137;HypothekenInMlnEuro_138;AantalHypotheken_139
0;1993 januari;1997;15143;685;488;1247;14604;65.0;51;531;3637;27;197;2306;10;51;817;3;884;7358;44;191;654;10;95;315;5;49;56;2;136;412;30;31;72;378;34.0;3;22;104;3;27;2;21;99;217;6;19;5;23;;1;957;12572;113;150;841;12378;3.0;44;228;3009;150;2046;41;714;450;6052;64;492;19;217;4;42;158;637;72;70;86;567;;0;70;183;5;30;3;19;64;319;7;45;5;36;4.0;5;559;613;367;217;165;393;27.0;3;128;126;23;31;2;14;224;341;80;62;65;32;37.0;7;187;909;37;20;83;888;27.0;1;82;215;16;172;4;49;47;429;34;36;4;7;;1
1;1993 februari;2248;20542;582;641;1645;19827;21.0;74;496;5090;22;243;3173;11;77;1007;3;1044;9888;46;252;893;11;45;402;2;91;89;4;138;516;19;40;118;475;;1;18;127;6;44;2;19;73;263;33;28;6;32;0.0;3;1298;17161;155;205;1136;16892;8.0;64;328;4278;199;2827;50;860;621;8148;62;690;29;291;9;67;238;831;110;104;128;726;;1;59;222;8;55;3;34;99;439;24;47;3;28;42.0;6;357;631;217;235;127;390;13.0;6;51;120;7;27;15;13;172;362;72;67;5;30;35.0;12;217;1403;81;57;136;1344;13.0;2;41;343;23;220;7;81;80;676;61;61;7;21;;1
2;1993 maart;2764;25450;852;736;1900;24602;12.0;112;553;6257;20;294;3648;11;78;1238;3;1317;12527;48;390;1299;14;71;377;3;61;104;2;130;750;32;47;98;701;;2;36;220;4;44;3;33;76;396;8;33;3;21;0.0;3;1510;21229;106;246;1392;20879;12.0;104;390;5323;248;3275;59;1073;691;10219;96;991;20;261;6;87;314;1011;0;128;141;878;0.0;5;48;248;11;54;5;39;166;545;43;82;5;35;37.0;8;460;736;349;266;110;470;;0;47;145;3;24;2;13;182;437;175;75;32;38;17.0;4;351;1724;193;49;158;1674;;1;32;321;27;251;9;80;202;930;68;118;12;22;;2
3;1993 april;2698;27540;582;756;2099;26704;17.0;80;681;7392;25;339;4042;13;77;1221;3;1295;12963;48;217;1369;8;56;432;2;33;121;1;170;837;36;54;133;781;;2;42;261;9;50;3;30;103;419;8;35;5;41;;1;1744;23327;191;270;1548;22984;5.0;73;478;6242;265;3661;64;1087;771;10816;133;1127;23;293;11;101;238;1198;82;127;156;1070;;1;70;357;22;81;4;40;114;598;18;72;6;46;4.0;4;359;781;228;272;119;505;12.0;4;52;158;24;44;2;15;202;440;41;80;20;31;18.0;13;188;1397;46;33;142;1364;12.0;0;39;374;19;206;5;49;106;690;17;55;2;21;;2
4;1993 mei;2603;25212;621;621;1975;24501;7.0;90;567;6571;22;294;3618;11;73;1126;3;1163;11874;45;412;1562;16;39;360;1;56;101;2;121;672;21;34;99;638;;0;34;202;3;33;3;28;66;342;11;44;4;23;;0;1550;21595;101;221;1442;21291;6.0;83;393;5623;244;3311;63;1014;688;10038;128;1269;22;259;12;81;183;923;0;89;117;831;0.0;3;51;284;8;42;2;24;87;458;28;75;5;33;1.0;7;560;667;376;248;185;418;;1;55;141;18;37;1;6;208;347;232;100;6;28;41.0;8;190;1355;58;29;132;1323;;3;34;321;21;195;5;54;114;689;14;74;2;17;1.0;5
5;1993 juni;3129;31367;663;746;2457;30514;9.0;107;756;8291;24;377;4553;12;101;1553;3;1489;14901;48;301;1565;10;54;397;2;49;107;2;206;838;80;60;125;773;1.0;5;51;219;8;74;4;41;93;415;21;51;19;32;9.0;6;1923;26843;96;241;1821;26510;7.0;92;528;7123;312;4145;84;1358;869;12613;105;1253;18;268;8;83;251;1082;95;92;156;988;;2;56;309;19;53;3;23;150;574;17;70;5;46;2.0;7;548;882;371;316;177;564;;2;67;186;10;30;1;8;285;501;146;116;9;31;30.0;10;200;1722;23;37;177;1679;;6;54;454;29;251;10;123;92;798;11;75;4;20;;1
6;1993 juli;3637;34429;892;860;2739;33528;5.0;41;905;9151;25;487;5394;13;111;1687;3;1549;15598;43;471;1990;13;43;434;1;70;175;2;195;761;62;47;134;713;;1;62;201;18;59;5;54;76;365;25;56;10;25;;1;2257;29741;141;267;2113;29440;3.0;34;620;7948;372;4971;93;1497;979;13300;150;1565;28;324;15;136;265;1200;117;143;148;1055;;2;66;324;20;91;4;31;110;586;54;121;4;39;7.0;8;645;902;486;350;158;550;;2;104;194;51;38;1;12;267;488;181;131;6;23;33.0;16;275;1825;89;53;186;1770;;2;53;484;26;235;7;93;117;859;61;117;2;23;9.0;14
7;1993 augustus;2913;29589;574;566;2325;28966;13.0;57;693;8091;24;369;4384;13;94;1536;3;1255;13687;43;336;1295;12;57;392;2;110;204;4;179;658;103;41;75;616;;1;25;180;6;58;4;45;59;317;81;38;4;20;;0;1966;26114;150;187;1812;25880;4.0;47;541;7151;310;4090;83;1399;863;11960;124;1067;25;287;21;160;220;934;80;92;141;840;;2;41;240;5;47;2;30;109;506;16;62;5;41;42.0;8;359;627;202;218;151;402;6.0;7;46;133;30;20;1;11;143;330;106;87;22;30;11.0;16;190;1256;43;28;146;1228;6.0;0;40;387;17;169;4;51;82;574;9;41;2;14;36.0;20
8;1993 september;3041;29718;757;584;2276;29099;9.0;35;798;8351;26;352;4350;12;84;1275;3;1316;13893;43;303;1249;10;55;421;2;133;179;4;104;578;29;30;75;547;;1;30;171;5;44;3;35;53;264;7;36;6;26;;2;1890;25910;90;174;1796;25702;4.0;34;544;7280;285;4003;69;1143;860;12064;86;976;27;299;19;145;275;1107;125;105;149;1002;;0;58;332;7;65;7;29;125;552;43;63;10;52;24.0;14;593;719;477;237;116;482;;0;119;164;36;44;0;6;206;366;133;102;10;25;88.0;12;180;1404;41;38;140;1366;;0;47;404;19;194;5;62;71;647;34;72;3;19;1.0;6
9;1993 oktober;3708;31467;1164;628;2538;30786;7.0;53;1175;8769;32;488;4864;13;92;1437;2;1442;14346;39;394;1461;11;52;415;1;66;175;2;167;752;24;28;143;724;;0;44;250;31;69;2;29;64;330;17;46;8;27;;1;2127;27383;197;192;1925;27140;5.0;51;550;7595;333;4449;77;1303;958;12458;149;1146;25;285;34;147;293;1110;133;110;160;1000;;0;62;302;54;91;3;33;107;523;56;105;9;51;1.0;5;929;835;770;268;157;566;;1;473;199;48;51;3;14;228;421;140;104;8;36;29.0;10;193;1387;39;30;153;1356;;1;46;423;22;204;6;58;84;614;31;60;2;16;1.0;12
