ID;SITCEnergy;Countries;Periods;ImportValue_1;ExportValue_2
0;Total SITC;Total countries;1917;440.0;373.0
1;Total SITC;Total countries;1918;280.0;175.0
2;Total SITC;Total countries;1919;1476.0;747.0
3;Total SITC;Total countries;1920;1518.0;781.0
4;Total SITC;Total countries;1921;1029.0;628.0
5;Total SITC;Total countries;1922;922.0;558.0
6;Total SITC;Total countries;1923;915.0;595.0
7;Total SITC;Total countries;1924;1074.0;766.0
8;Total SITC;Total countries;1925;1114.0;821.0
9;Total SITC;Total countries;1926;1109.0;794.0
10;Total SITC;Total countries;1927;1157.0;862.0
11;Total SITC;Total countries;1928;1220.0;903.0
12;Total SITC;Total countries;1929;1255.0;910.0
13;Total SITC;Total countries;1930;1101.0;784.0
14;Total SITC;Total countries;1931;860.0;597.0
15;Total SITC;Total countries;1932;593.0;386.0
16;Total SITC;Total countries;1933;569.0;342.0
17;Total SITC;Total countries;1934;490.0;334.0
18;Total SITC;Total countries;1935;444.0;323.0
19;Total SITC;Total countries;1936;486.0;361.0
20;Total SITC;Total countries;1937;728.0;546.0
21;Total SITC;Total countries;1938;663.0;490.0
22;Total SITC;Total countries;1939;708.0;457.0
23;Total SITC;Total countries;1940;464.0;295.0
24;Total SITC;Total countries;1941;338.0;288.0
25;Total SITC;Total countries;1942;219.0;280.0
26;Total SITC;Total countries;1943;191.0;291.0
27;Total SITC;Total countries;1944;;
28;Total SITC;Total countries;1945;;
29;Total SITC;Total countries;1946;1001.0;370.0
30;Total SITC;Total countries;1947;1942.0;859.0
31;Total SITC;Total countries;1948;2253.0;1234.0
32;Total SITC;Total countries;1949;2420.0;1748.0
33;Total SITC;Total countries;1950;3544.0;2436.0
34;Total SITC;Total countries;1951;4402.0;3362.0
35;Total SITC;Total countries;1952;3834.0;3637.0
36;Total SITC;Total countries;1953;4096.0;3712.0
37;Total SITC;Total countries;1954;4928.0;4162.0
38;Total SITC;Total countries;1955;5532.0;4634.0
39;Total SITC;Total countries;1956;6424.0;4935.0
40;Total SITC;Total countries;1957;7079.0;5341.0
41;Total SITC;Total countries;1958;6250.0;5548.0
42;Total SITC;Total countries;1959;6792.0;6218.0
43;Total SITC;Total countries;1960;7813.0;6945.0
44;Total SITC;Total countries;1961;8464.0;7130.0
45;Total SITC;Total countries;1962;8784.0;7531.0
46;Total SITC;Total countries;1963;9802.0;8151.0
47;Total SITC;Total countries;1964;11593.0;9541.0
48;Total SITC;Total countries;1965;12257.0;10502.0
49;Total SITC;Total countries;1966;13171.0;11092.0
50;Total SITC;Total countries;1967;13696.0;11971.0
51;Total SITC;Total countries;1968;15264.0;13703.0
52;Total SITC;Total countries;1969;18131.0;16429.0
53;Total SITC;Total countries;1970;22055.0;19341.0
54;Total SITC;Total countries;1971;23730.0;22133.0
55;Total SITC;Total countries;1972;24831.0;24458.0
56;Total SITC;Total countries;1973;30204.0;30348.0
57;Total SITC;Total countries;1974;39851.0;39929.0
58;Total SITC;Total countries;1975;39937.0;40230.0
59;Total SITC;Total countries;1976;47307.0;48108.0
60;Total SITC;Total countries;1977;50812.0;48643.0
61;Total SITC;Total countries;1978;51900.0;49094.0
62;Total SITC;Total countries;1979;61208.0;57943.0
63;Total SITC;Total countries;1980;69101.0;66691.0
64;Total SITC;Total countries;1981;74420.0;77493.0
65;Total SITC;Total countries;1982;75938.0;80211.0
66;Total SITC;Total countries;1983;78751.0;83655.0
67;Total SITC;Total countries;1984;90217.0;95595.0
68;Total SITC;Total countries;1985;98020.0;102562.0
69;Total SITC;Total countries;1986;83973.0;89524.0
70;Total SITC;Total countries;1987;83879.0;85318.0
71;Total SITC;Total countries;1988;88851.0;92470.0
72;Total SITC;Total countries;1989;100472.0;104101.0
73;Total SITC;Total countries;1990;104236.0;108536.0
74;Total SITC;Total countries;1991;107599.0;113014.0
75;Total SITC;Total countries;1992;107363.0;111875.0
76;Total SITC;Total countries;1993;105113.0;117230.0
77;Total SITC;Total countries;1994;116367.0;130440.0
78;Total SITC;Total countries;1995;129391.0;143468.0
79;Total SITC;Total countries;1996;139929.0;153752.0
80;Total SITC;Total countries;1997;157437.0;171421.0
81;Total SITC;Total countries;1998;168445.0;180725.0
82;Total SITC;Total countries;1999;178719.0;188599.0
83;Total SITC;Total countries;2000;216057.0;231854.0
84;Total SITC;Total countries;2001;218330.0;241339.0
85;Total SITC;Total countries;2002;205575.0;232704.0
86;Total SITC;Total countries;2003;206867.0;234166.0
87;Total SITC;Total countries;2004;228245.0;255697.0
88;Total SITC;Total countries;2005;249849.0;281307.0
89;Total SITC;Total countries;2006;285373.0;318961.0
90;Total SITC;Total countries;2007;307279.0;347510.0
91;Total SITC;Total countries;2008;335927.0;370489.0
92;Total SITC;Total countries;2009;274025.0;309369.0
93;Total SITC;Total countries;2010;331914.0;371549.0
94;Total SITC;Total countries;2011;364922.0;409358.0
95;Total SITC;Total countries;2012;389449.0;429717.0
96;Total SITC;Total countries;2013;386355.0;433106.0
97;Total SITC;Total countries;2014;382416.0;433405.0
98;Total SITC;Total countries;2015;372195.0;418982.0
99;Total SITC;Total countries;2016;368861.0;423228.0
100;Total SITC;Total countries;2017;411445.0;468517.0
101;Total SITC;Europe (excluding the Netherlands);1917;261.0;323.0
102;Total SITC;Europe (excluding the Netherlands);1918;261.0;156.0
103;Total SITC;Europe (excluding the Netherlands);1919;892.0;676.0
104;Total SITC;Europe (excluding the Netherlands);1920;933.0;560.0
105;Total SITC;Europe (excluding the Netherlands);1921;647.0;480.0
106;Total SITC;Europe (excluding the Netherlands);1922;622.0;428.0
107;Total SITC;Europe (excluding the Netherlands);1923;586.0;460.0
108;Total SITC;Europe (excluding the Netherlands);1924;687.0;631.0
109;Total SITC;Europe (excluding the Netherlands);1925;742.0;652.0
110;Total SITC;Europe (excluding the Netherlands);1926;707.0;609.0
111;Total SITC;Europe (excluding the Netherlands);1927;717.0;671.0
112;Total SITC;Europe (excluding the Netherlands);1928;766.0;680.0
113;Total SITC;Europe (excluding the Netherlands);1929;825.0;663.0
114;Total SITC;Europe (excluding the Netherlands);1930;783.0;593.0
115;Total SITC;Europe (excluding the Netherlands);1931;610.0;472.0
116;Total SITC;Europe (excluding the Netherlands);1932;409.0;307.0
117;Total SITC;Europe (excluding the Netherlands);1933;412.0;270.0
118;Total SITC;Europe (excluding the Netherlands);1934;338.0;272.0
119;Total SITC;Europe (excluding the Netherlands);1935;293.0;250.0
120;Total SITC;Europe (excluding the Netherlands);1936;309.0;268.0
121;Total SITC;Europe (excluding the Netherlands);1937;451.0;396.0
122;Total SITC;Europe (excluding the Netherlands);1938;415.0;351.0
123;Total SITC;Europe (excluding the Netherlands);1939;472.0;319.0
124;Total SITC;Europe (excluding the Netherlands);1940;313.0;249.0
125;Total SITC;Europe (excluding the Netherlands);1941;333.0;287.0
126;Total SITC;Europe (excluding the Netherlands);1942;217.0;280.0
127;Total SITC;Europe (excluding the Netherlands);1943;191.0;290.0
128;Total SITC;Europe (excluding the Netherlands);1944;;
129;Total SITC;Europe (excluding the Netherlands);1945;;
130;Total SITC;Europe (excluding the Netherlands);1946;539.0;280.0
131;Total SITC;Europe (excluding the Netherlands);1947;908.0;620.0
132;Total SITC;Europe (excluding the Netherlands);1948;1217.0;897.0
133;Total SITC;Europe (excluding the Netherlands);1949;1413.0;1259.0
134;Total SITC;Europe (excluding the Netherlands);1950;2115.0;1777.0
135;Total SITC;Europe (excluding the Netherlands);1951;2546.0;2305.0
136;Total SITC;Europe (excluding the Netherlands);1952;2203.0;2416.0
137;Total SITC;Europe (excluding the Netherlands);1953;2479.0;2448.0
138;Total SITC;Europe (excluding the Netherlands);1954;2892.0;2841.0
139;Total SITC;Europe (excluding the Netherlands);1955;3375.0;3192.0
140;Total SITC;Europe (excluding the Netherlands);1956;3933.0;3418.0
141;Total SITC;Europe (excluding the Netherlands);1957;4256.0;3798.0
142;Total SITC;Europe (excluding the Netherlands);1958;3756.0;3974.0
143;Total SITC;Europe (excluding the Netherlands);1959;4334.0;4511.0
144;Total SITC;Europe (excluding the Netherlands);1960;5020.0;5165.0
145;Total SITC;Europe (excluding the Netherlands);1961;5754.0;5381.0
146;Total SITC;Europe (excluding the Netherlands);1962;6032.0;5822.0
147;Total SITC;Europe (excluding the Netherlands);1963;6834.0;6457.0
148;Total SITC;Europe (excluding the Netherlands);1964;8100.0;7622.0
149;Total SITC;Europe (excluding the Netherlands);1965;8707.0;8431.0
150;Total SITC;Europe (excluding the Netherlands);1966;9325.0;8780.0
151;Total SITC;Europe (excluding the Netherlands);1967;9623.0;9494.0
152;Total SITC;Europe (excluding the Netherlands);1968;10786.0;10954.0
153;Total SITC;Europe (excluding the Netherlands);1969;13099.0;13407.0
154;Total SITC;Europe (excluding the Netherlands);1970;15624.0;15879.0
155;Total SITC;Europe (excluding the Netherlands);1971;16322.0;18427.0
156;Total SITC;Europe (excluding the Netherlands);1972;17417.0;20710.0
157;Total SITC;Europe (excluding the Netherlands);1973;20939.0;25683.0
158;Total SITC;Europe (excluding the Netherlands);1974;26218.0;32910.0
159;Total SITC;Europe (excluding the Netherlands);1975;26103.0;32971.0
160;Total SITC;Europe (excluding the Netherlands);1976;30147.0;39905.0
161;Total SITC;Europe (excluding the Netherlands);1977;32586.0;39654.0
162;Total SITC;Europe (excluding the Netherlands);1978;34760.0;40003.0
163;Total SITC;Europe (excluding the Netherlands);1979;40787.0;48277.0
164;Total SITC;Europe (excluding the Netherlands);1980;44378.0;55067.0
165;Total SITC;Europe (excluding the Netherlands);1981;47410.0;62832.0
166;Total SITC;Europe (excluding the Netherlands);1982;51072.0;65808.0
167;Total SITC;Europe (excluding the Netherlands);1983;53606.0;67916.0
168;Total SITC;Europe (excluding the Netherlands);1984;60416.0;77295.0
169;Total SITC;Europe (excluding the Netherlands);1985;68380.0;83841.0
170;Total SITC;Europe (excluding the Netherlands);1986;61838.0;74398.0
171;Total SITC;Europe (excluding the Netherlands);1987;62034.0;71349.0
172;Total SITC;Europe (excluding the Netherlands);1988;65318.0;77256.0
173;Total SITC;Europe (excluding the Netherlands);1989;73020.0;87678.0
174;Total SITC;Europe (excluding the Netherlands);1990;76413.0;92739.0
175;Total SITC;Europe (excluding the Netherlands);1991;78109.0;96689.0
176;Total SITC;Europe (excluding the Netherlands);1992;78958.0;94956.0
