ID;RegioS;AutochtonenAllochtonen;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal Herkomst (land);10894.4;18.2
1;Nederland;Herkomst: Nederland;9146.2;18.4
2;Nederland;Herkomst: Niet-Nederland;1748.1;17.0
3;Nederland;Herkomst: Westers land;942.0;18.8
4;Nederland;Herkomst: Niet-westers land;806.2;15.1
5;Noord-Nederland (LD);Totaal Herkomst (land);1132.9;16.6
6;Noord-Nederland (LD);Herkomst: Nederland;1045.0;16.7
7;Noord-Nederland (LD);Herkomst: Niet-Nederland;87.9;15.7
8;Noord-Nederland (LD);Herkomst: Westers land;60.6;16.6
9;Noord-Nederland (LD);Herkomst: Niet-westers land;27.3;13.7
10;Oost-Nederland (LD);Totaal Herkomst (land);2281.3;17.5
11;Oost-Nederland (LD);Herkomst: Nederland;1990.2;17.7
12;Oost-Nederland (LD);Herkomst: Niet-Nederland;291.0;16.2
13;Oost-Nederland (LD);Herkomst: Westers land;172.1;17.5
14;Oost-Nederland (LD);Herkomst: Niet-westers land;118.9;14.4
15;West-Nederland (LD);Totaal Herkomst (land);5067.6;19.1
16;West-Nederland (LD);Herkomst: Nederland;4044.6;19.4
17;West-Nederland (LD);Herkomst: Niet-Nederland;1023.0;17.7
18;West-Nederland (LD);Herkomst: Westers land;470.6;20.4
19;West-Nederland (LD);Herkomst: Niet-westers land;552.4;15.4
20;Zuid-Nederland (LD);Totaal Herkomst (land);2412.5;17.7
21;Zuid-Nederland (LD);Herkomst: Nederland;2066.3;17.9
22;Zuid-Nederland (LD);Herkomst: Niet-Nederland;346.2;16.2
23;Zuid-Nederland (LD);Herkomst: Westers land;238.6;17.1
24;Zuid-Nederland (LD);Herkomst: Niet-westers land;107.5;14.3
25;Groningen (PV);Totaal Herkomst (land);381.1;16.4
26;Groningen (PV);Herkomst: Nederland;344.1;16.5
27;Groningen (PV);Herkomst: Niet-Nederland;37.0;15.6
28;Groningen (PV);Herkomst: Westers land;23.9;16.7
29;Groningen (PV);Herkomst: Niet-westers land;13.1;13.6
30;Friesland (PV);Totaal Herkomst (land);423.9;16.6
31;Friesland (PV);Herkomst: Nederland;396.6;16.7
32;Friesland (PV);Herkomst: Niet-Nederland;27.3;15.4
33;Friesland (PV);Herkomst: Westers land;18.7;16.4
34;Friesland (PV);Herkomst: Niet-westers land;8.6;13.3
35;Drenthe (PV);Totaal Herkomst (land);327.9;16.9
36;Drenthe (PV);Herkomst: Nederland;304.2;17.0
37;Drenthe (PV);Herkomst: Niet-Nederland;23.7;16.1
38;Drenthe (PV);Herkomst: Westers land;18.0;16.6
39;Drenthe (PV);Herkomst: Niet-westers land;5.7;14.3
40;Overijssel (PV);Totaal Herkomst (land);734.6;16.9
41;Overijssel (PV);Herkomst: Nederland;646.7;17.1
42;Overijssel (PV);Herkomst: Niet-Nederland;87.9;15.4
43;Overijssel (PV);Herkomst: Westers land;52.8;16.6
44;Overijssel (PV);Herkomst: Niet-westers land;35.1;13.6
45;Flevoland (PV);Totaal Herkomst (land);229.7;17.8
46;Flevoland (PV);Herkomst: Nederland;182.0;18.0
47;Flevoland (PV);Herkomst: Niet-Nederland;47.7;16.8
48;Flevoland (PV);Herkomst: Westers land;18.2;18.3
49;Flevoland (PV);Herkomst: Niet-westers land;29.5;16.0
50;Gelderland (PV);Totaal Herkomst (land);1317.0;17.7
51;Gelderland (PV);Herkomst: Nederland;1161.6;17.9
52;Gelderland (PV);Herkomst: Niet-Nederland;155.4;16.5
53;Gelderland (PV);Herkomst: Westers land;101.2;17.7
54;Gelderland (PV);Herkomst: Niet-westers land;54.3;14.1
