ID;Vervoerstromen;Goederensoort;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometer_2;VervoerdeContainers_3
0;Totaal;Totaal;2012;342314.0;46593.0;4652.0
1;Totaal;Totaal;2013;347819.0;47618.0;4772.0
2;Totaal;Totaal;2014;357027.0;48167.0;5126.0
3;Totaal;Totaal;2015;349088.0;46839.0;5096.0
4;Totaal;Totaal;2016;354177.0;47606.0;5100.0
5;Totaal;Totaal;2017;359067.0;47926.0;5319.0
6;Totaal;Totaal;2018;349189.0;45855.0;5135.0
7;Totaal;Totaal;2019;347541.0;46174.0;5070.0
8;Totaal;Totaal;2020;335760.0;44089.0;5106.0
9;Totaal;Totaal;2021;357507.0;46578.0;5310.0
10;Totaal;Totaal;2022;345449.0;44548.0;5078.0
11;Totaal;Totaal;2023;327478.0;41630.0;4439.0
12;Totaal;01 Producten van de landbouw, jacht e...;2012;10757.0;1486.0;
13;Totaal;01 Producten van de landbouw, jacht e...;2013;10959.0;1483.0;
14;Totaal;01 Producten van de landbouw, jacht e...;2014;11803.0;1583.0;
15;Totaal;01 Producten van de landbouw, jacht e...;2015;10849.0;1452.0;
16;Totaal;01 Producten van de landbouw, jacht e...;2016;11019.0;1486.0;
17;Totaal;01 Producten van de landbouw, jacht e...;2017;11041.0;1487.0;
18;Totaal;01 Producten van de landbouw, jacht e...;2018;10366.0;1401.0;
19;Totaal;01 Producten van de landbouw, jacht e...;2019;10105.0;1390.0;
20;Totaal;01 Producten van de landbouw, jacht e...;2020;9933.0;1346.0;
21;Totaal;01 Producten van de landbouw, jacht e...;2021;9572.0;1311.0;
22;Totaal;01 Producten van de landbouw, jacht e...;2022;9660.0;1276.0;
23;Totaal;01 Producten van de landbouw, jacht e...;2023;9254.0;1192.0;
24;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2012;34104.0;4984.0;
25;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2013;39799.0;5760.0;
26;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2014;36702.0;5260.0;
27;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2015;31243.0;4399.0;
28;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2016;28935.0;4128.0;
29;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2017;27442.0;3905.0;
30;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2018;26350.0;3726.0;
31;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2019;22966.0;3266.0;
32;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2020;18480.0;2628.0;
33;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2021;25390.0;3533.0;
34;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2022;30087.0;4160.0;
35;Totaal;"02 Steenkool en bruinkool; ruwe aardo...";2023;19865.0;2743.0;
36;Totaal;03 Metaalertsen en andere delfstoffen...;2012;101330.0;12756.0;
37;Totaal;03 Metaalertsen en andere delfstoffen...;2013;98605.0;12528.0;
38;Totaal;03 Metaalertsen en andere delfstoffen...;2014;101071.0;12381.0;
39;Totaal;03 Metaalertsen en andere delfstoffen...;2015;101705.0;12520.0;
40;Totaal;03 Metaalertsen en andere delfstoffen...;2016;101715.0;12495.0;
41;Totaal;03 Metaalertsen en andere delfstoffen...;2017;103140.0;12671.0;
42;Totaal;03 Metaalertsen en andere delfstoffen...;2018;102918.0;12219.0;
43;Totaal;03 Metaalertsen en andere delfstoffen...;2019;89368.0;11174.0;
