ID;Persoonskenmerken;Perioden;Totaal_1;Totaal_2;k_1Tot12UurPerWeek_3;k_12Tot20UurPerWeek_4;k_20Tot28UurPerWeek_5;k_28Tot35UurPerWeek_6;k_35UurOfMeerPerWeek_7;GemiddeldAantalGewerkteUren_8;Totaal_9;k_1Tot12UurPerWeek_10;k_12Tot20UurPerWeek_11;k_20Tot28UurPerWeek_12;k_28Tot35UurPerWeek_13;k_35UurOfMeerPerWeek_14;Onbekend_15;GemiddeldeAantalThuiswerkuren_16;k_1Tot20ProcentVanGewerkteUren_17;k_20Tot40ProcentVanGewerkteUren_18;k_40Tot60ProcentVanGewerkteUren_19;k_60Tot80ProcentVanGewerkteUren_20;k_80TotEnMet100ProcentVanGewerkte_21;Onbekend_22;GemiddeldeThuiswerkpercentage_23;NietThuisgewerkt_24;Onbekend_25;NietGewerkt_26;GemiddelAantalGewerkteUren_27;GemiddeldeAantalThuiswerkuren_28;GemiddeldeThuiswerkpercentage_29
0;Totaal personen;2022 3e kwartaal;9573;7501;713;704;1121;1401;3561;31.4;3043;1265;685;491;271;290;42;16.7;579;649;618;398;758;42;50.9;4361;45;2072;24.6;5.2;21.3
1;Totaal personen;2022 4e kwartaal;9663;8468;923;836;1315;1543;3851;30.8;3703;1683;740;604;314;306;56;15.8;822;755;739;518;813;56;48.4;4692;45;1194;26.9;6.0;22.2
2;Totaal personen;2023 1e kwartaal;9668;8613;937;802;1312;1595;3967;30.8;3782;1809;783;608;293;237;51;14.9;911;861;705;543;711;51;45.8;4731;38;1055;27.5;5.7;20.9
3;Totaal personen;2023 2e kwartaal;9731;8623;922;894;1584;1771;3453;29.9;3535;1811;719;534;242;196;33;14.0;861;874;667;425;675;33;45.3;4960;83;1108;26.5;5.0;19.0
4;Totaal personen;2023 3e kwartaal;9752;7619;746;697;1174;1413;3590;31.2;3091;1451;634;506;228;235;38;15.5;656;718;597;400;682;38;48.2;4391;59;2133;24.4;4.9;19.9
5;Totaal personen;2023 4e kwartaal;9796;8507;936;843;1333;1564;3830;30.6;3541;1783;694;528;239;230;68;14.5;863;848;664;420;678;68;45.1;4843;61;1290;26.6;5.2;19.4
6;Totaal personen;2023;9737;8341;885;809;1351;1586;3710;30.6;3487;1714;708;544;250;225;47;14.7;823;825;658;447;686;47;46.0;4731;60;1396;26.2;5.2;19.8
7;Totaal personen;2024 1e kwartaal;9767;8620;940;834;1342;1676;3828;30.5;3528;1667;726;535;256;241;102;15.1;799;842;671;425;689;102;46.1;4975;97;1147;26.9;5.3;19.6
8;Totaal personen;2024 2e kwartaal;9822;8615;915;855;1453;1718;3674;30.4;3472;1724;754;466;240;218;71;14.5;836;856;623;420;665;71;45.3;4994;86;1208;26.6;5.0;18.8
9;Totaal personen;2024 3e kwartaal;9792;7631;738;695;1186;1465;3546;31.1;3076;1415;664;472;253;209;63;15.3;695;673;607;384;653;63;47.3;4398;78;2161;24.3;4.7;19.4
10;Totaal personen;2024 4e kwartaal;9809;8550;957;869;1335;1600;3788;30.4;3590;1760;809;500;212;230;79;14.4;854;880;700;422;655;79;44.8;4830;73;1259;26.5;5.2;19.5
11;Totaal personen;2024;9798;8354;888;813;1329;1615;3709;30.6;3417;1641;738;493;240;225;79;14.8;796;813;651;413;665;79;45.8;4799;83;1444;26.1;5.0;19.3
12;Geslacht: mannen;2022 3e kwartaal;5060;4035;327;244;332;588;2545;35.0;1645;634;365;259;158;209;20;18.2;316;345;333;206;425;20;50.9;2340;33;1025;27.9;5.9;21.0
13;Geslacht: mannen;2022 4e kwartaal;5105;4519;408;297;393;669;2753;34.4;2003;850;397;344;180;202;31;17.0;453;397;414;279;429;31;47.6;2467;24;585;30.4;6.6;21.6
14;Geslacht: mannen;2023 1e kwartaal;5105;4605;412;282;370;667;2874;34.5;2056;925;417;365;177;152;20;15.9;510;450;400;295;380;20;45.2;2497;15;500;31.1;6.3;20.3
15;Geslacht: mannen;2023 2e kwartaal;5146;4628;387;302;563;881;2494;33.5;1912;912;403;306;151;126;13;15.1;448;476;384;229;361;13;44.9;2659;31;517;30.1;5.6;18.5
16;Geslacht: mannen;2023 3e kwartaal;5157;4102;324;255;356;599;2568;34.7;1661;738;328;290;128;157;21;16.5;353;380;320;227;360;21;47.6;2354;28;1055;27.6;5.3;19.0
17;Geslacht: mannen;2023 4e kwartaal;5173;4555;410;305;432;666;2742;34.1;1939;913;376;314;142;159;34;15.8;483;449;364;247;362;34;44.7;2584;24;618;30.1;5.8;19.4
18;Geslacht: mannen;2023;5145;4473;383;286;431;703;2670;34.2;1892;872;381;319;150;149;22;15.8;449;439;367;250;366;22;45.5;2523;25;673;29.7;5.7;19.3
19;Geslacht: mannen;2024 1e kwartaal;5159;4600;409;295;392;740;2765;34.1;1917;874;380;309;158;148;48;15.9;437;452;375;242;363;48;45.6;2642;55;559;30.4;5.8;19.0
20;Geslacht: mannen;2024 2e kwartaal;5177;4614;393;301;457;816;2647;34.0;1889;893;405;271;143;140;36;15.4;451;470;342;240;350;36;44.3;2644;52;563;30.3;5.5;18.2
21;Geslacht: mannen;2024 3e kwartaal;5165;4100;317;248;355;621;2560;34.7;1660;726;360;263;148;140;24;16.1;398;336;333;220;348;24;46.4;2354;38;1064;27.6;5.1;18.5
22;Geslacht: mannen;2024 4e kwartaal;5169;4554;410;320;413;685;2725;34.0;1902;882;429;290;127;134;39;15.1;471;461;385;226;319;39;43.2;2585;32;615;29.9;5.5;18.2
23;Geslacht: mannen;2024;5167;4467;382;291;404;715;2674;34.2;1842;844;394;283;144;141;37;15.6;439;430;359;232;345;37;44.8;2556;44;700;29.5;5.5;18.5
24;Geslacht: vrouwen;2022 3e kwartaal;4512;3466;387;460;789;813;1017;27.3;1398;631;320;232;112;81;22;15.0;263;304;285;192;332;22;50.9;2021;12;1046;21.0;4.6;21.7
25;Geslacht: vrouwen;2022 4e kwartaal;4558;3949;514;539;922;875;1099;26.6;1700;832;344;261;134;104;25;14.4;369;358;325;239;384;25;49.5;2225;21;609;23.1;5.3;23.0
26;Geslacht: vrouwen;2023 1e kwartaal;4563;4008;526;520;942;928;1093;26.6;1726;885;366;244;116;85;31;13.7;400;411;305;248;331;31;46.6;2234;24;555;23.4;5.1;21.8
