ID;Kenmerken;Perioden;TotaalBevolking15Tot65Jaar_1;WerkzameBeroepsbevolking_2;WilWerkVan12UurOfMeerPerWeek_3;KanOpKorteTermijnBeginnen_4;Afgelopen4WekenGezocht_5;Afgelopen4WekenNietGezocht_6;WelAfgelopen6MaandenGezocht_7;NietAfgelopen6MaandenGezocht_8;VanwegeWeinigResultaat_9;OverigeRedenen_10;KanNietOpKorteTermijnBeginnen_11;WilGeenWerkVan12UurOfMeer_12;ZorgVoorGezinOfHuishouden_13;OpleidingStudie_14;Vut_15;ZiekteArbeidsongeschiktheid_16;AndereRedenen_17
0;Mannen en vrouwen;2000;10729;6917;718;522;270;252;64;188;66;122;196;3094;876;898.0;272.0;570;478
1;Mannen en vrouwen;2001;10801;7021;676;476;252;224;59;166;55;110;200;3104;894;880.0;299.0;612;420
2;Mannen en vrouwen;2002;10863;7035;713;516;302;214;58;156;51;104;197;3115;789;905.0;366.0;647;406
3;Mannen en vrouwen;2003;10903;7001;864;666;399;267;73;193;71;123;198;3038;698;915.0;388.0;646;391
4;Mannen en vrouwen;2004;10925;6919;1004;795;479;315;95;220;84;136;209;3003;647;937.0;400.0;643;376
5;Mannen en vrouwen;2005;10943;6918;1047;814;483;331;107;224;85;139;233;2978;586;955.0;393.0;660;385
6;Mannen en vrouwen;2006;10964;7074;970;753;413;341;105;236;83;153;217;2920;491;970.0;384.0;652;423
7;Mannen;2000;5434;4162;279;212;114;98;26;72;29;43;67;994;13;446.0;198.0;241;96
8;Mannen;2001;5470;4185;263;193;109;85;22;63;23;41;70;1022;15;442.0;211.0;256;98
9;Mannen;2002;5497;4157;301;235;147;88;26;62;23;39;66;1039;12;449.0;206.0;271;101
10;Mannen;2003;5512;4096;381;312;205;107;29;77;34;43;69;1034;11;454.0;211.0;267;91
11;Mannen;2004;5516;4019;449;368;246;121;40;81;33;48;81;1048;11;459.0;215.0;271;91
