ID;Vakantiekenmerken;Perioden;TotaalAantalKorteVakantiesNederland_1;GemiddeldeVakantieduurNederland_2;TotaalUitgavenVakantiesNederland_3;GemUitgavenPerVakantieganger_4;GemUitgavenMetEigenVervoer_5;GemUitgavenMetOverigVervoer_6
0;Totaal;2002;9510.0;3.2;956.0;101.0;97.0;143.0
1;Totaal;2003;9062.0;3.2;850.0;94.0;91.0;126.0
2;Totaal;2004;8910.0;3.2;819.0;92.0;87.0;149.0
3;Totaal;2005;8864.0;3.2;816.0;92.0;90.0;118.0
4;Totaal;2006;8951.0;3.2;847.0;95.0;93.0;119.0
5;Totaal;2007;9136.0;3.2;950.0;104.0;102.0;127.0
6;Totaal;2008;8917.0;3.2;947.0;106.0;102.0;152.0
7;Totaal;2009;9263.0;3.2;953.0;103.0;101.0;135.0
8;Totaal;2010;9233.0;3.2;995.0;108.0;105.0;145.0
9;Totaal;2011;9479.0;3.2;999.0;105.0;101.0;154.0
10;Totaal;2012;10084.0;3.1;1089.0;108.0;106.0;128.0
11;Totaal;2013;9180.0;3.1;1030.0;112.0;110.0;138.0
12;Totaal;2014;9481.0;3.1;1092.0;115.0;113.0;139.0
13;Totaal;2015;9115.0;3.1;1071.0;117.0;117.0;136.0
14;Totaal;2016;9518.0;3.1;1139.0;120.0;117.0;149.0
15;Waddeneilanden (TR);2002;369.0;3.3;;;;
16;Waddeneilanden (TR);2003;444.0;3.5;58.0;130.0;;
17;Waddeneilanden (TR);2004;334.0;;;;;
18;Waddeneilanden (TR);2005;436.0;3.4;56.0;129.0;;
19;Waddeneilanden (TR);2006;349.0;3.4;46.0;131.0;;
20;Waddeneilanden (TR);2007;443.0;3.4;61.0;138.0;;
21;Waddeneilanden (TR);2008;501.0;3.3;78.0;156.0;;
22;Waddeneilanden (TR);2009;503.0;3.4;75.0;149.0;;
23;Waddeneilanden (TR);2010;384.0;3.3;65.0;170.0;;
24;Waddeneilanden (TR);2011;363.0;3.4;57.0;158.0;;
25;Waddeneilanden (TR);2012;414.0;3.4;70.0;170.0;;
26;Waddeneilanden (TR);2013;375.0;3.3;65.0;173.0;;
27;Waddeneilanden (TR);2014;381.0;3.4;66.0;174.0;;
28;Waddeneilanden (TR);2015;433.0;3.3;73.0;168.0;;
29;Waddeneilanden (TR);2016;419.0;3.2;69.0;166.0;;
30;Noordzeebadplaatsen (TR);2002;1208.0;3.2;;;;
31;Noordzeebadplaatsen (TR);2003;1175.0;3.3;117.0;99.0;;
32;Noordzeebadplaatsen (TR);2004;1090.0;3.2;110.0;101.0;;
33;Noordzeebadplaatsen (TR);2005;963.0;3.2;91.0;95.0;;
34;Noordzeebadplaatsen (TR);2006;999.0;3.2;94.0;94.0;;
