ID;InstitutioneleBeleggers;Perioden;TotaalActiva_1;TotaalChartaalEnGiraalGeld_2;InNationaleValuta_3;InBuitenlandseValuta_4;TotaalDepositoS_5;TotaalInNationaleValuta_6;GeldscheppendeFinancieleInstellingen_7;Buitenland_8;TotaalInBuitenlandseValuta_9;GeldscheppendeFinancieleInstellingen_10;Buitenland_11;TotaalObligaties_12;TotaalOverheid_13;CentraleOverheid_14;LagereOverheid_15;TotaalFinancieleInstellingen_16;GeldscheppendeFinancieleInstellingen_17;Verzekeringsinstellingen_18;Beleggingsinstellingen_19;OverigeNietGeldscheppendeFinInst_20;TotaalOverigBinnenland_21;ParticuliereBedrijven_22;InstellingenOpGezondheidsgebied_23;Overheidsbedrijven_24;ObligatiesBuitenland_25;FinancieleDerivaten_26;TotaalAandelen_27;TotaalFinancieleInstellingen_28;Verzekeringsinstellingen_29;Beleggingsinstellingen_30;OverigeNietGeldscheppendeFinInst_31;TotaalOverigBinnenland_32;ParticuliereBedrijven_33;Overheidsbedrijven_34;AandelenBuitenland_35;TotaalWaardepapierenKorteTermijn_36;TotaalOverheid_37;CentraleOverheid_38;LagereOverheid_39;TotaalFinancieleInstellingen_40;GeldscheppendeFinancieleInstellingen_41;OverigeNietGeldscheppendeFinInst_42;TotaalOverigBinnenland_43;ParticuliereBedrijven_44;Overheidsbedrijven_45;WaardepapierenBuitenland_46;TotaalDeelnemingen_47;TotaalFinancieleInstellingen_48;Verzekeringsinstellingen_49;Beleggingsinstellingen_50;OverigeNietGeldscheppendeFinInst_51;TotaalOverigBinnenland_52;ParticuliereBedrijven_53;DeelnemingenBuitenland_54;TotaalLeningenKorteTermijn_55;TotaalOverheid_56;CentraleOverheid_57;LagereOverheid_58;WettelijkeSocialeVerzekeringsinst_59;TotaalFinancieleInstellingen_60;Verzekeringsinstellingen_61;Beleggingsinstellingen_62;OverigeNietGeldscheppendeFinInst_63;FinancieleHulpbedrijven_64;TotaalOverigBinnenland_65;ParticuliereBedrijven_66;Overheidsbedrijven_67;InstellingenZonderZakelijkDoel_68;Gezinnen_69;LeningenOpKorteTermijnBuitenland_70;TotaalLeningenOpLangeTermijn_71;TotaalOverheid_72;CentraleOverheid_73;LagereOverheid_74;WettelijkeSocialeVerzekeringsinst_75;TotaalFinancieleInstellingen_76;GeldscheppendeFinancieleInstellingen_77;Verzekeringsinstellingen_78;Beleggingsinstellingen_79;OverigeNietGeldscheppendeFinInst_80;TotaalOverigBinnenland_81;ParticuliereBedrijven_82;InstellingenOpGezondheidsgebied_83;Overheidsbedrijven_84;Woningbouwverenigingen_85;InstellingenZonderZakelijkDoel_86;Gezinnen_87;LeningenOpLangeTermijnBuitenland_88;TotaalHypotheken_89;WoningenWinkelEnKantoorgebouwen_90;LandelijkeEigendommen_91;AndereEigendommen_92;Buitenland_93;TotaalDirectVastgoed_94;Woningen_95;KantorenEnWinkelgebouwen_96;LandelijkeEigendommen_97;Overig_98;Buitenland_99;TechnischeVerzekeringsverplichtingen_100;PremieEnUitkeringsreserve_101;Transitoria_102;OverigeActiva_103;TotaalPassiva_104;Obligaties_105;AandelenEnDeelnemingen_106;WaardepapierenOpKorteTermijn_107;LeningenOpKorteTermijn_108;LeningenOpLangeTermijn_109;TechnischeVerzekeringsverplichtingen_110;PremieEnUitkeringsreserve_111;Transitoria_112;OverigePassiva_113
0;Totaal institutionele beleggers;1998;729719;4468;3670;798;14494;13887;13887;0;607;417;190;215537;95947;95355;592;28051;23281;0;53;4717;6431;4598;3;1831;85108;3952;239882;57006;0;17896;39110;53596;52808;787;129281;856;94;94;0;331;162;169;142;11;131;289;6073;4515;2542;1424;549;440;440;1119;3485;149;74;20;56;2458;1045;0;1321;93;451;280;101;0;70;427;109440;23741;13355;10369;17;42884;26403;9468;288;6725;38059;6950;5056;4682;21002;62;308;4756;38502;37428;119;951;5;47501;13915;18819;293;1462;13011;17746.0;3303.0;24147;329;729719;638;97083;0;9084;14254;560629.0;20368.0;11585;16077.0
1;Totaal institutionele beleggers;1999;843880;5407;4838;569;17333;15406;15399;8;1927;395;1532;222609;77329;76841;487;23799;18986;454;20;4339;5568;3807;5;1755;115913;5011;339914;60781;0;19243;41539;49985;49490;496;229148;859;45;45;0;233;197;36;151;151;0;430;11300;9730;3818;1947;3965;314;314;1256;3887;249;68;30;152;2794;765;0;1934;96;326;245;22;0;59;518;95225;16038;7143;8895;0;39619;22840;9110;290;7380;33934;7103;4317;4049;18193;43;230;5634;41366;40471;103;788;4;52755;15788;20156;429;1259;15122;19396.0;3579.0;24869;368;843880;1035;118253;0;12381;15238;638432.0;22648.0;17010;18882.0
2;Totaal institutionele beleggers;2000;885658;8006;6769;1237;18213;16574;16574;0;1639;531;1108;246417;69103;68933;169;25911;19112;447;27;6325;5184;4590;1;593;146219;5151;342127;61888;15;25462;36411;45750;45509;241;234488;494;57;57;0;139;128;11;9;9;0;290;13386;11480;4867;2078;4534;304;304;1602;6461;225;1;0;224;5417;600;0;4717;100;251;152;63;0;37;568;78935;11377;3490;7887;0;34064;20862;8281;300;4620;28434;5320;4091;3088;15615;50;270;5060;45238;44254;111;870;3;65633;17719;24098;607;1764;21444;19672.0;4053.0;31462;410;885658;1140;135624;0;11089;22071;666743.0;24733.0;16620;7639.0
3;Totaal institutionele beleggers;2001;878770;7144;6213;931;16903;15337;15333;4;1566;476;1090;259830;54782;54619;163;21790;14133;390;25;7242;6230;5963;2;265;177028;5339;328729;58577;30;23701;34846;38494;38493;1;231658;878;0;0;0;314;257;57;0;0;0;564;14337;11407;4847;2207;4353;395;395;2535;6355;195;37;48;110;4858;898;0;3731;229;631;344;280;1;6;671;72449;8288;2344;5944;0;36353;21061;10786;279;4227;22708;3891;3102;2358;13043;29;285;5100;47308;46322;46;926;14;71976;19761;25983;735;2271;23225;18552.0;4244.0;24309;416;878770;1054;119934;0;10420;25546;662766.0;26332.0;22154;10564.0
4;Totaal institutionele beleggers;2002;823080;9048;8301;747;24258;20858;20858;0;3400;2222;1178;280993;48652;48424;228;24503;13905;305;34;10259;6311;6039;2;270;201527;6940;263321;55344;37;23351;31956;29397;29396;1;178580;857;0;0;0;316;254;62;0;0;0;541;14357;10774;3740;2531;4503;369;369;3214;6819;326;47;156;123;4616;586;0;3760;270;473;322;143;0;8;1404;63399;6902;2116;4786;0;37830;22119;10608;230;4873;14708;4088;2046;1667;6079;596;232;3959;47760;46786;44;915;15;61697;19894;23435;731;1948;15689;12107.0;4827.0;26267;430;823080;886;98247;0;9219;21238;634812.0;27513.0;20066;11099.0
5;Totaal institutionele beleggers;2003;897907;10329;9010;1319;22882;20505;19733;772;2377;1306;1071;307945;44327;44165;162;26471;12866;249;90;13266;6963;6674;2;287;230184;10378;312743;64527;51;28079;36397;32984;32983;1;215232;1082;11;11;0;520;455;65;0;0;0;551;19235;12908;3922;3304;5682;499;499;5828;6775;142;0;8;134;5681;1004;0;4378;299;392;358;26;0;8;560;59348;4532;1966;2566;0;40331;20066;12306;217;7742;11677;3966;1374;1365;4507;241;224;2808;44180;43205;44;915;16;59990;19134;23271;628;2096;14861;11036.0;5108.0;26453;423;897907;1227;108811;0;12401;22267;696830.0;29820.0;16167;10384.0
6;Totaal institutionele beleggers;2004;971152;9008;7626;1382;23919;20089;18785;1304;3830;460;3370;361549;43945;43761;184;29265;12710;252;254;16049;6866;6597;1;268;281473;12915;350180;71823;58;32410;39355;33009;33008;1;245348;696;0;0;0;250;250;0;40;40;0;406;22058;15332;4608;4213;6511;499;499;6227;5730;152;0;18;134;3822;413;0;3135;274;269;235;26;0;8;1487;47325;3583;1770;1813;0;31173;16790;7088;191;7104;10541;4443;1196;1085;3503;89;225;2028;40339;39836;110;378;15;59245;19525;23728;743;1659;13590;8574.0;5038.0;24141;435;971152;1732;118415;0;9756;15548;761291.0;31826.0;22436;10148.0
7;Totaal institutionele beleggers;2005;1108522;10834;9427;1407;25813;22606;19000;3606;3207;1243;1964;406405;44491;44357;134;29459;11469;232;157;17601;6804;6511;1;292;325651;6097;440410;85190;0;37697;47493;29705;29704;1;325515;125;0;0;0;21;4;17;0;0;0;104;27640;15601;5183;5862;4556;815;815;11224;8955;1538;1342;59;137;5438;422;0;4724;292;271;248;15;0;8;1708;44616;2939;1612;1327;0;32272;18039;7006;184;7043;7948;2808;1083;874;2856;87;240;1457;38398;37517;113;746;22;60643;18685;23268;1034;1238;16418;8486.0;5492.0;23930;678;1108522;2394;126816;0;17292;14786;869318.0;35917.0;33029;8970.0
8;Totaal institutionele beleggers;2006;1208227;11846;10970;876;36721;33264;17995;15269;3457;1123;2334;424678;39204;39154;50;28554;10230;219;155;17950;6778;6515;0;263;350142;8612;480088;91884;0;42057;49827;33870;33869;1;354334;3233;447;447;0;611;162;449;0;0;0;2175;37580;21586;6502;7347;7737;833;833;15161;12053;545;545;0;0;2963;437;0;2498;28;157;157;0;0;0;8388;43997;2671;1431;1240;0;32521;17920;7535;179;6887;7215;2813;964;745;2176;65;452;1590;36307;35505;105;682;15;61262;15354;24259;958;1353;19338;7116.0;5531.0;38456;747;1208227;2813;142319;0;40634;15452;922816.0;33183.0;39755;11255.0
9;Totaal institutionele beleggers;2007;1236049;13766;11456;2310;37840;35594;22376;13218;2246;1815;431;436633;36939;36939;0;38596;9265;206;0;29125;3950;3942;0;8;357148;1347;492970;68870;0;34711;34159;33824;33822;2;390276;3246;193;193;0;372;127;245;13;13;0;2668;41666;20839;5631;8652;6556;1163;1163;19664;13643;466;466;0;0;10324;3286;0;7036;2;91;91;0;0;0;2762;42233;2148;1278;870;0;30429;15813;8209;0;6407;6471;2588;705;662;1818;0;698;3185;36090;35241;96;714;39;50898;16749;17985;1534;826;13804;15613.0;5544.0;42509;2051;1236049;693;121194;0;25611;19390;978098.0;30935.0;45950;14178.0
