ID;CaribischNederland;Perioden;InkomendToerismePerVliegtuig_1
0;Bonaire;2012 januari;10.7
1;Bonaire;2012 februari;9.9
2;Bonaire;2012 maart;11.0
3;Bonaire;2012 april;11.3
4;Bonaire;2012 mei;9.1
5;Bonaire;2012 juni;9.8
6;Bonaire;2012 juli;12.5
7;Bonaire;2012 augustus;11.5
8;Bonaire;2012 september;8.5
9;Bonaire;2012 oktober;11.4
10;Bonaire;2012 november;10.6
11;Bonaire;2012 december;11.2
12;Bonaire;2012;127.6
13;Bonaire;2013 januari;10.4
14;Bonaire;2013 februari;11.3
15;Bonaire;2013 maart;12.7
16;Bonaire;2013 april;12.2
17;Bonaire;2013 mei;10.0
18;Bonaire;2013 juni;10.7
19;Bonaire;2013 juli;12.0
20;Bonaire;2013 augustus;10.5
21;Bonaire;2013 september;8.7
22;Bonaire;2013 oktober;10.8
23;Bonaire;2013 november;10.2
24;Bonaire;2013 december;11.5
25;Bonaire;2013;131.0
26;Bonaire;2014 januari;11.6
27;Bonaire;2014 februari;10.8
28;Bonaire;2014 maart;11.8
29;Bonaire;2014 april;11.2
30;Bonaire;2014 mei;10.8
31;Bonaire;2014 juni;9.0
32;Bonaire;2014 juli;10.8
33;Bonaire;2014 augustus;10.7
34;Bonaire;2014 september;9.2
35;Bonaire;2014 oktober;10.6
36;Bonaire;2014 november;10.2
37;Bonaire;2014 december;12.1
38;Bonaire;2014;128.9
39;Bonaire;2015 januari;11.7
40;Bonaire;2015 februari;11.4
41;Bonaire;2015 maart;11.9
42;Bonaire;2015 april;12.1
43;Bonaire;2015 mei;10.4
44;Bonaire;2015 juni;9.1
45;Bonaire;2015 juli;11.3
46;Bonaire;2015 augustus;9.9
47;Bonaire;2015 september;10.5
48;Bonaire;2015 oktober;12.0
49;Bonaire;2015 november;11.3
50;Bonaire;2015 december;11.8
51;Bonaire;2015;133.4
52;Bonaire;2016 januari;12.2
53;Bonaire;2016 februari;11.5
54;Bonaire;2016 maart;12.5
55;Bonaire;2016 april;12.6
56;Bonaire;2016 mei;10.4
57;Bonaire;2016 juni;9.9
58;Bonaire;2016 juli;12.4
59;Bonaire;2016 augustus;10.2
60;Bonaire;2016 september;9.1
61;Bonaire;2016 oktober;11.9
62;Bonaire;2016 november;11.1
