ID;Perioden;IndexcijfersVoorraad_1;OntwikkelingTOVEenJaarEerder_2
0;2005 1e kwartaal;80.7;
1;2005 2e kwartaal;85.1;
2;2005 3e kwartaal;89.4;
3;2005 4e kwartaal;87.5;
4;2005;85.7;
5;2006 1e kwartaal;85.7;6.2
6;2006 2e kwartaal;85.2;0.2
7;2006 3e kwartaal;86.9;-2.7
8;2006 4e kwartaal;90.9;3.8
9;2006;87.2;1.8
10;2007 1e kwartaal;89.0;3.9
11;2007 2e kwartaal;93.1;9.2
12;2007 3e kwartaal;96.3;10.7
13;2007 4e kwartaal;101.2;11.4
14;2007;94.9;8.8
15;2008 1e kwartaal;97.7;9.8
16;2008 2e kwartaal;102.1;9.7
17;2008 3e kwartaal;100.6;4.5
18;2008 4e kwartaal;97.1;-4.1
19;2008;99.4;4.7
20;2009 1e kwartaal;96.6;-1.1
21;2009 2e kwartaal;94.7;-7.3
22;2009 3e kwartaal;95.6;-5.0
23;2009 4e kwartaal;93.4;-3.7
24;2009;95.1;-4.3
25;2010 1e kwartaal;96.7;0.1
26;2010 2e kwartaal;94.3;-0.4
27;2010 3e kwartaal;96.5;0.9
28;2010 4e kwartaal;101.7;8.8
29;2010;97.3;2.3
30;2011 1e kwartaal;103.1;6.6
31;2011 2e kwartaal;98.1;4.1
32;2011 3e kwartaal;100.9;4.5
33;2011 4e kwartaal;102.5;0.8
34;2011;101.1;4.0
35;2012 1e kwartaal;102.5;-0.5
36;2012 2e kwartaal;101.6;3.5
37;2012 3e kwartaal;104.8;3.9
38;2012 4e kwartaal;102.3;-0.2
39;2012;102.8;1.6
40;2013 1e kwartaal;102.0;-0.6
41;2013 2e kwartaal;97.2;-4.3
42;2013 3e kwartaal;100.6;-4.0
43;2013 4e kwartaal;101.1;-1.2
44;2013;100.2;-2.5
45;2014 1e kwartaal;97.0;-4.8
46;2014 2e kwartaal;99.7;2.6
47;2014 3e kwartaal;102.4;1.8
48;2014 4e kwartaal;101.2;0.1
49;2014;100.1;-0.1
50;2015 1e kwartaal;105.0;8.2
51;2015 2e kwartaal;102.7;3.0
52;2015 3e kwartaal;106.0;3.5
53;2015 4e kwartaal;106.8;5.5
54;2015;105.1;5.0
55;2016 1e kwartaal;109.2;4.0
56;2016 2e kwartaal;106.1;3.3
57;2016 3e kwartaal;106.4;0.4
58;2016 4e kwartaal;105.6;-1.1
59;2016;106.8;1.6
60;2017 1e kwartaal;106.8;-2.2
61;2017 2e kwartaal;102.9;-3.0
