ID;RegioS;Perioden;TotaleInvesteringenNaarTypeActiva_1;Woningen_2;Bedrijfsgebouwen_3;GWWWerken_4;Vervoermiddelen_5;MachinesEnInstallaties_6;OverigeInvesteringenInVasteActiva_7;InCultuurGebrachteActiva_8;OverdrachtskostenOpGrond_9
0;Nederland;2008;124191;37539;19641;13138;12670;17170;22405;363;1265
1;Nederland;2009;111123;32851;19007;13153;9718;15387;19245;371;1391
2;Nederland;2010;104492;28506;16218;13553;9952;14563;19518;378;1804
3;Nederland;2011;109531;28371;17075;14679;11548;15794;20490;343;1231
4;Noord-Nederland (LD);2008;10934;3446;2102;1221;784;1549;1673;46;113
5;Noord-Nederland (LD);2009;9762;2732;1956;1051;635;1661;1562;42;122
6;Noord-Nederland (LD);2010;8372;2079;1399;1110;580;1402;1609;38;156
7;Noord-Nederland (LD);2011;7919;2147;1150;942;522;1385;1637;34;103
8;Oost-Nederland (LD);2008;23515;8093;4018;2199;1951;3005;3858;133;257
9;Oost-Nederland (LD);2009;22133;7199;4379;2278;1859;2560;3465;134;259
10;Oost-Nederland (LD);2010;21309;6171;3590;2555;2577;2616;3355;124;322
11;Oost-Nederland (LD);2011;23073;6557;4281;2877;2938;2511;3582;112;214
12;West-Nederland (LD);2008;62364;17564;9453;6594;7992;7859;12144;112;645
13;West-Nederland (LD);2009;56220;15546;9044;7150;5803;7568;10268;102;738
14;West-Nederland (LD);2010;53573;14004;7726;7242;5753;7226;10510;122;988
15;West-Nederland (LD);2011;54273;13629;8082;7287;6098;7537;10854;111;676
16;Zuid-Nederland (LD);2008;25423;8436;4031;2265;1941;4100;4332;72;246
17;Zuid-Nederland (LD);2009;22202;7374;3627;2397;1417;3305;3722;92;268
18;Zuid-Nederland (LD);2010;20374;6252;3501;2333;1040;3092;3726;94;336
19;Zuid-Nederland (LD);2011;21665;6038;3527;2296;1988;3683;3812;86;235
20;Extra-Regio (LD);2008;1955;0;36;858;2;656;398;0;4
21;Extra-Regio (LD);2009;806;0;1;277;4;293;227;0;5
22;Extra-Regio (LD);2010;864;0;2;313;2;226;317;0;4
23;Extra-Regio (LD);2011;2600;0;35;1278;2;678;604;0;3
24;Groningen (PV);2008;4018;1157;634;656;313;596;617;10;36
25;Groningen (PV);2009;3647;876;606;351;286;919;560;9;40
26;Groningen (PV);2010;3095;670;469;384;191;736;586;8;50
27;Groningen (PV);2011;2644;744;410;249;140;483;577;8;34
28;Friesland (PV);2008;3975;1364;937;280;230;464;628;28;45
29;Friesland (PV);2009;3656;1092;967;359;201;429;536;24;47
30;Friesland (PV);2010;3105;816;628;441;216;380;542;21;62
31;Friesland (PV);2011;3243;853;484;489;216;554;587;18;41
32;Drenthe (PV);2008;2940;924;532;286;241;489;429;9;32
33;Drenthe (PV);2009;2459;763;383;340;148;313;466;9;36
34;Drenthe (PV);2010;2172;593;303;285;172;286;481;9;43
35;Drenthe (PV);2011;2032;549;256;204;166;349;473;8;28
36;Overijssel (PV);2008;7343;2419;1135;803;570;1061;1238;30;89
37;Overijssel (PV);2009;6152;1892;977;700;367;1002;1105;33;76
38;Overijssel (PV);2010;5677;1609;971;820;348;726;1084;21;98
39;Overijssel (PV);2011;6657;1929;1134;835;515;1023;1135;19;66
40;Flevoland (PV);2008;2747;868;566;133;417;372;351;18;21
41;Flevoland (PV);2009;3003;891;460;185;842;253;332;17;22
42;Flevoland (PV);2010;4404;888;480;197;1669;764;359;18;28
43;Flevoland (PV);2011;3686;751;341;154;1737;296;371;16;19
44;Gelderland (PV);2008;13424;4805;2317;1264;964;1572;2269;85;147
45;Gelderland (PV);2009;12978;4417;2941;1393;650;1305;2028;85;160
46;Gelderland (PV);2010;11228;3674;2139;1537;560;1126;1912;85;196
47;Gelderland (PV);2011;12731;3877;2806;1888;686;1192;2075;78;129
48;Utrecht (PV);2008;10817;2620;1560;1528;1979;881;2117;27;107
49;Utrecht (PV);2009;9559;2494;1756;1483;1263;711;1709;26;117
50;Utrecht (PV);2010;9965;2223;1434;2220;1453;749;1690;29;167
51;Utrecht (PV);2011;10494;2574;1872;1736;1263;1019;1889;26;115
52;Noord-Holland (PV);2008;20918;5935;2960;1667;2732;2459;4917;17;230
53;Noord-Holland (PV);2009;19604;5035;3034;2173;2135;2937;4009;14;266
54;Noord-Holland (PV);2010;17520;4667;2609;1657;1705;2328;4171;19;363
55;Noord-Holland (PV);2011;17316;4458;2509;1685;2135;1997;4255;17;260
56;Zuid-Holland (PV);2008;27755;8084;4566;3256;3059;3747;4738;22;283
57;Zuid-Holland (PV);2009;24404;7223;3932;3280;2090;3298;4233;20;329
58;Zuid-Holland (PV);2010;23562;6384;3369;3012;2297;3716;4337;22;425
59;Zuid-Holland (PV);2011;23456;5808;3383;3591;2186;3831;4358;20;279
60;Zeeland (PV);2008;2874;925;367;143;223;773;372;46;25
61;Zeeland (PV);2009;2653;794;321;214;315;623;318;43;25
62;Zeeland (PV);2010;2526;730;314;353;299;433;312;52;33
63;Zeeland (PV);2011;3008;789;318;276;513;689;352;48;22
64;Noord-Brabant (PV);2008;18197;6047;2913;1619;1560;2767;3071;47;174
65;Noord-Brabant (PV);2009;16325;5504;2730;1798;1035;2329;2678;64;187
66;Noord-Brabant (PV);2010;15207;4783;2522;1838;814;2216;2747;53;235
67;Noord-Brabant (PV);2011;16207;4601;2574;1925;1678;2462;2752;48;168
