ID;Sterklassen;Perioden;Accommodaties_1;Kamers_2;Slaapplaatsen_3;Accommodaties_4;Kamers_5;Slaapplaatsen_6
0;Totaal Nederlandse hotels;2012 januari;3505;110905;236823;3199;106477;227114
1;Totaal Nederlandse hotels;2012 februari;3505;110905;236823;3284;107811;230057
2;Totaal Nederlandse hotels;2012 maart;3505;110905;236823;3348;108842;232252
3;Totaal Nederlandse hotels;2012 april;3505;110905;236823;3444;110026;234770
4;Totaal Nederlandse hotels;2012 mei;3505;110905;236823;3449;110065;234821
5;Totaal Nederlandse hotels;2012 juni;3505;110905;236823;3442;110002;234669
6;Totaal Nederlandse hotels;2012 juli;3505;110905;236823;3438;109967;234636
7;Totaal Nederlandse hotels;2012 augustus;3505;110905;236823;3432;109886;234469
8;Totaal Nederlandse hotels;2012 september;3505;110905;236823;3433;109874;234298
9;Totaal Nederlandse hotels;2012 oktober;3505;110905;236823;3401;109552;233621
10;Totaal Nederlandse hotels;2012 november;3505;110905;236823;3311;108475;231265
11;Totaal Nederlandse hotels;2012 december;3505;110905;236823;3237;107433;228938
12;Totaal Nederlandse hotels;2013 januari;3510;113813;244145;3229;109315;234318
13;Totaal Nederlandse hotels;2013 februari;3510;113813;244145;3330;111428;238994
14;Totaal Nederlandse hotels;2013 maart;3510;113813;244145;3379;112003;240279
15;Totaal Nederlandse hotels;2013 april;3510;113813;244145;3454;112893;242337
16;Totaal Nederlandse hotels;2013 mei;3510;113813;244145;3464;112902;242385
17;Totaal Nederlandse hotels;2013 juni;3510;113813;244145;3451;112323;241347
18;Totaal Nederlandse hotels;2013 juli;3510;113813;244145;3438;112089;240870
19;Totaal Nederlandse hotels;2013 augustus;3510;113813;244145;3430;111906;240508
20;Totaal Nederlandse hotels;2013 september;3510;113813;244145;3428;111926;240541
21;Totaal Nederlandse hotels;2013 oktober;3510;113813;244145;3388;111653;239883
22;Totaal Nederlandse hotels;2013 november;3510;113813;244145;3295;110263;236766
23;Totaal Nederlandse hotels;2013 december;3510;113813;244145;3237;109229;234474
24;Totaal Nederlandse hotels;2014 januari;3561;117917;252115;3185;112565;240443
25;Totaal Nederlandse hotels;2014 februari;3561;117917;252115;3309;114754;245197
26;Totaal Nederlandse hotels;2014 maart;3561;117917;252115;3404;116027;248185
27;Totaal Nederlandse hotels;2014 april;3561;117917;252115;3504;117009;250405
28;Totaal Nederlandse hotels;2014 mei;3561;117917;252115;3513;116838;250062
29;Totaal Nederlandse hotels;2014 juni;3561;117917;252115;3506;116980;250190
30;Totaal Nederlandse hotels;2014 juli;3561;117917;252115;3500;116876;250007
31;Totaal Nederlandse hotels;2014 augustus;3561;117917;252115;3496;116817;249892
32;Totaal Nederlandse hotels;2014 september;3561;117917;252115;3496;116760;249790
33;Totaal Nederlandse hotels;2014 oktober;3561;117917;252115;3439;116120;248419
34;Totaal Nederlandse hotels;2014 november;3561;117917;252115;3315;114409;244578
35;Totaal Nederlandse hotels;2014 december;3561;117917;252115;3232;112664;240816
36;Totaal Nederlandse hotels;2015 januari;3525;118121;254589;3118;112496;242117
37;Totaal Nederlandse hotels;2015 februari;3525;118121;254589;3236;114527;246574
38;Totaal Nederlandse hotels;2015 maart;3525;118121;254589;3350;116094;250077
39;Totaal Nederlandse hotels;2015 april;3525;118121;254589;3452;117156;252504
40;Totaal Nederlandse hotels;2015 mei;3525;118121;254589;3477;117393;253005
41;Totaal Nederlandse hotels;2015 juni;3525;118121;254589;3474;117402;253009
42;Totaal Nederlandse hotels;2015 juli;3525;118121;254589;3464;117311;252852
43;Totaal Nederlandse hotels;2015 augustus;3525;118121;254589;3459;117251;252770
44;Totaal Nederlandse hotels;2015 september;3525;118121;254589;3462;117112;252469
45;Totaal Nederlandse hotels;2015 oktober;3525;118121;254589;3405;116659;251456
46;Totaal Nederlandse hotels;2015 november;3525;118121;254589;3267;114748;247095
47;Totaal Nederlandse hotels;2015 december;3525;118121;254589;3208;113861;245258
48;Hotels zonder ster;2012 januari;1243;14003;35099;1150;13202;33106
49;Hotels zonder ster;2012 februari;1243;14003;35099;1157;13196;33070
50;Hotels zonder ster;2012 maart;1243;14003;35099;1176;13328;33444
51;Hotels zonder ster;2012 april;1243;14003;35099;1213;13661;34152
52;Hotels zonder ster;2012 mei;1243;14003;35099;1216;13662;34157
53;Hotels zonder ster;2012 juni;1243;14003;35099;1212;13637;34110
54;Hotels zonder ster;2012 juli;1243;14003;35099;1208;13613;34061
55;Hotels zonder ster;2012 augustus;1243;14003;35099;1207;13600;34027
56;Hotels zonder ster;2012 september;1243;14003;35099;1208;13570;33838
57;Hotels zonder ster;2012 oktober;1243;14003;35099;1190;13473;33627
58;Hotels zonder ster;2012 november;1243;14003;35099;1158;13193;32994
59;Hotels zonder ster;2012 december;1243;14003;35099;1135;13035;32578
60;Hotels zonder ster;2013 januari;1250;14237;35820;1157;13294;33706
61;Hotels zonder ster;2013 februari;1250;14237;35820;1178;13440;34043
62;Hotels zonder ster;2013 maart;1250;14237;35820;1186;13466;34130
63;Hotels zonder ster;2013 april;1250;14237;35820;1220;13921;35200
64;Hotels zonder ster;2013 mei;1250;14237;35820;1226;13920;35222
65;Hotels zonder ster;2013 juni;1250;14237;35820;1219;13702;34908
66;Hotels zonder ster;2013 juli;1250;14237;35820;1214;13585;34676
67;Hotels zonder ster;2013 augustus;1250;14237;35820;1212;13513;34528
68;Hotels zonder ster;2013 september;1250;14237;35820;1215;13579;34670
69;Hotels zonder ster;2013 oktober;1250;14237;35820;1193;13480;34439
70;Hotels zonder ster;2013 november;1250;14237;35820;1159;13030;33317
71;Hotels zonder ster;2013 december;1250;14237;35820;1143;12989;33190
72;Hotels zonder ster;2014 januari;1323;16014;39865;1185;14718;36919
73;Hotels zonder ster;2014 februari;1323;16014;39865;1209;14921;37356
