ID;DienstenAccountancy;Perioden;Prijsindexcijfers_1;Jaarmutaties_2;Prijsindexcijfers_3;Jaarmutaties_4;Prijsindexcijfers_5;Jaarmutaties_6;Prijsindexcijfers_7;Jaarmutaties_8
0;6;2006;89.0;;86.9;;89.2;;90.0;
1;6;2007;92.3;3.8;93.0;7.0;94.9;6.4;94.8;5.4
2;6;2008;96.9;4.9;97.1;4.5;97.2;2.5;97.0;2.3
3;6;2009;98.9;2.1;99.3;2.2;100.2;3.1;99.2;2.3
4;6;2010;100.0;1.1;100.0;0.7;100.0;-0.2;100.0;0.8
5;6;2011;101.3;1.3;101.3;1.3;102.9;2.9;102.4;2.4
6;6;2012;102.5;1.2;102.5;1.2;104.4;1.4;103.3;0.9
7;6;2013;104.7;2.2;103.3;0.8;104.2;-0.2;104.3;0.9
8;6;2014;104.2;-0.5;102.7;-0.6;104.8;0.6;104.6;0.4
9;6;2015;103.5;-0.7;103.0;0.3;104.5;-0.4;104.4;-0.2
10;6;2016;103.6;0.1;103.6;0.5;105.7;1.1;;
11;7;2006;93.6;;93.9;;97.0;;96.6;
12;7;2007;97.9;4.6;101.9;8.5;103.0;6.2;101.2;4.8
13;7;2008;100.4;2.6;103.8;1.9;103.9;0.9;102.5;1.2
14;7;2009;100.3;-0.1;101.5;-2.3;104.0;0.1;101.8;-0.7
15;7;2010;100.0;-0.3;100.0;-1.5;100.0;-3.8;100.0;-1.7
16;7;2011;96.6;-3.4;95.3;-4.7;98.5;-1.5;99.3;-0.7
17;7;2012;96.6;0.1;94.1;-1.2;98.0;-0.5;98.4;-0.9
18;7;2013;98.3;1.7;96.0;1.9;97.4;-0.6;98.2;-0.2
19;7;2014;95.3;-3.0;93.1;-3.0;96.5;-0.9;96.5;-1.7
20;7;2015;91.7;-3.8;89.9;-3.4;92.9;-3.8;94.1;-2.5
21;7;2016;88.4;-3.6;87.7;-2.4;93.4;0.6;;
22;8;2006;92.9;;93.2;;95.8;;98.4;
23;8;2007;97.5;5.0;101.8;9.2;101.9;6.4;103.5;5.2
24;8;2008;100.1;2.6;104.9;3.0;104.0;2.0;103.9;0.3
25;8;2009;99.7;-0.4;100.8;-3.9;104.9;0.9;103.2;-0.6
26;8;2010;100.0;0.3;100.0;-0.8;100.0;-4.7;100.0;-3.1
27;8;2011;95.3;-4.7;94.2;-5.8;97.8;-2.2;100.2;0.2
28;8;2012;95.3;0.0;92.7;-1.6;97.9;0.1;99.5;-0.7
29;8;2013;98.1;2.9;95.2;2.7;97.5;-0.4;98.9;-0.6
30;8;2014;94.1;-4.1;91.6;-3.8;95.9;-1.6;96.3;-2.5
31;8;2015;90.1;-4.2;88.0;-3.9;90.9;-5.3;92.9;-3.6
32;8;2016;84.6;-6.1;83.9;-4.7;91.4;0.6;;
33;9;2006;96.1;;96.5;;100.4;;91.2;
34;9;2007;99.3;3.3;102.3;6.1;106.1;5.7;94.5;3.6
35;9;2008;101.5;2.3;100.1;-2.2;103.6;-2.4;98.3;4.1
36;9;2009;102.5;1.0;104.0;3.9;101.1;-2.3;97.5;-0.8
37;9;2010;100.0;-2.4;100.0;-3.8;100.0;-1.1;100.0;2.5
38;9;2011;101.2;1.2;99.2;-0.8;100.5;0.5;96.4;-3.6
39;9;2012;101.3;0.2;99.1;-0.1;98.3;-2.2;95.2;-1.3
40;9;2013;98.8;-2.5;98.5;-0.6;96.9;-1.4;96.3;1.2
41;9;2014;99.6;0.8;98.1;-0.4;98.1;1.2;97.2;0.9
42;9;2015;97.3;-2.3;96.5;-1.6;98.5;0.4;98.0;0.9
43;9;2016;101.8;4.6;100.9;4.5;99.1;0.6;;
44;10;2006;85.4;;80.7;;84.3;;85.6;
45;10;2007;86.5;1.3;85.5;5.9;90.3;7.2;90.2;5.4
46;10;2008;93.2;7.7;91.5;7.1;93.5;3.5;93.5;3.7
47;10;2009;97.6;4.8;97.4;6.4;99.0;5.8;98.2;5.0
48;10;2010;100.0;2.4;100.0;2.7;100.0;1.0;100.0;1.9
49;10;2011;103.9;3.9;104.2;4.2;105.6;5.6;105.6;5.6
50;10;2012;106.2;2.2;106.6;2.3;108.0;2.3;107.3;1.6
51;10;2013;110.1;3.7;106.2;-0.3;107.9;-0.1;109.3;1.9
52;10;2014;111.4;1.2;108.1;1.7;110.4;2.4;111.9;2.4
53;10;2015;113.6;2.0;110.5;2.2;111.4;0.8;112.5;0.6
54;10;2016;115.9;2.0;114.1;3.3;113.8;2.2;;
55;11;2006;86.6;;84.2;;87.5;;87.9;
56;11;2007;88.7;2.4;89.6;6.4;92.8;6.0;92.2;4.8
57;11;2008;94.2;6.2;93.5;4.4;94.7;2.1;92.7;0.6
58;11;2009;97.8;3.8;97.4;4.1;99.3;4.8;97.3;5.0
59;11;2010;100.0;2.3;100.0;2.7;100.0;0.8;100.0;2.7
60;11;2011;103.6;3.6;104.2;4.2;105.4;5.4;103.9;3.9
61;11;2012;106.8;3.1;107.2;2.9;108.5;2.9;104.8;0.9
62;11;2013;110.4;3.4;106.7;-0.5;108.5;0.0;107.2;2.3
63;11;2014;112.0;1.4;108.6;1.7;110.9;2.3;109.9;2.5
64;11;2015;114.5;2.2;110.6;1.9;111.2;0.2;110.0;0.1
65;11;2016;116.6;1.8;114.8;3.8;114.0;2.6;;
66;12;2006;82.0;;72.0;;75.2;;79.7;
67;12;2007;80.4;-1.9;75.2;4.4;83.4;10.9;85.2;6.9
68;12;2008;90.4;12.4;86.4;14.8;90.2;8.2;95.4;12.1
69;12;2009;97.3;7.6;97.2;12.6;98.2;8.8;100.3;5.0
70;12;2010;100.0;2.8;100.0;2.8;100.0;1.9;100.0;-0.3
71;12;2011;107.0;7.0;103.4;3.4;107.3;7.3;122.6;22.6
72;12;2012;100.1;-6.4;99.4;-3.8;102.9;-4.1;132.3;7.9
73;12;2013;106.3;6.2;100.8;1.4;101.1;-1.8;130.1;-1.6
74;12;2014;104.8;-1.4;102.8;1.9;104.3;3.1;131.7;1.2
75;12;2015;104.6;-0.2;109.4;6.5;113.7;9.0;137.4;4.3
76;12;2016;109.1;4.3;106.5;-2.6;110.9;-2.5;;
77;13;2006;86.8;;89.3;;89.0;;87.8;
78;13;2007;93.6;7.9;94.7;6.0;93.3;4.8;93.5;6.5
79;13;2008;97.7;4.4;98.5;4.0;95.8;2.7;94.7;1.2
80;13;2009;98.7;1.0;99.9;1.5;96.8;1.1;96.4;1.9
81;13;2010;100.0;1.3;100.0;0.1;100.0;3.3;100.0;3.7
82;13;2011;103.7;3.7;104.3;4.3;102.5;2.5;100.0;0.0
83;13;2012;104.8;1.1;106.6;2.3;104.0;1.5;102.1;2.1
84;13;2013;104.6;-0.2;108.4;1.7;104.3;0.3;102.5;0.4
85;13;2014;104.6;0.0;105.8;-2.4;102.6;-1.7;101.2;-1.3
86;13;2015;102.5;-2.0;106.8;1.0;103.3;0.7;102.4;1.2
87;13;2016;103.7;1.1;104.9;-1.8;102.6;-0.7;;
