ID;Perioden;IndexcijfersInclBTW_1;MutatiesTovK4InclBTW_2;IndexcijfersExclBTW_3;MutatiesTovK4ExclBTW_4
0;1995 1e kwartaal;99;;99;
1;1995 2e kwartaal;99;;99;
2;1995 3e kwartaal;100;;100;
3;1995 4e kwartaal;101;;101;
4;1995;100;;100;
5;1996 1e kwartaal;103;4.1;103;4.1
6;1996 2e kwartaal;104;4.8;104;4.8
7;1996 3e kwartaal;104;3.3;104;3.3
8;1996 4e kwartaal;105;3.3;105;3.3
9;1996;104;3.9;104;3.9
10;1997 1e kwartaal;106;3.1;106;3.1
11;1997 2e kwartaal;107;3.4;107;3.4
12;1997 3e kwartaal;109;4.8;109;4.8
13;1997 4e kwartaal;109;4.0;109;4.0
14;1997;108;3.8;108;3.8
15;1998 1e kwartaal;110;3.3;110;3.3
16;1998 2e kwartaal;110;3.0;110;3.0
17;1998 3e kwartaal;112;3.2;112;3.2
18;1998 4e kwartaal;115;5.5;115;5.5
19;1998;112;3.8;112;3.8
20;1999 1e kwartaal;116;5.3;116;5.3
21;1999 2e kwartaal;119;7.7;119;7.7
22;1999 3e kwartaal;120;7.0;120;7.0
23;1999 4e kwartaal;120;4.3;120;4.3
24;1999;119;6.1;119;6.1
25;2000 1e kwartaal;122;5.3;122;5.3
26;2000 2e kwartaal;122;2.6;122;2.6
27;2000 3e kwartaal;127;5.5;127;5.5
28;2000 4e kwartaal;129;7.8;129;7.8
29;2000;125;5.3;125;5.3
30;2001 1e kwartaal;130;7.1;129;5.7
31;2001 2e kwartaal;133;8.7;131;7.3
32;2001 3e kwartaal;136;7.3;134;6.0
33;2001 4e kwartaal;135;4.7;134;3.4
34;2001;134;6.9;132;5.6
35;2002 1e kwartaal;144;10.4;142;10.4
36;2002 2e kwartaal;146;10.3;145;10.3
37;2002 3e kwartaal;149;9.2;147;9.2
38;2002 4e kwartaal;154;13.7;152;13.7
39;2002;148;10.9;146;10.9
40;2003 1e kwartaal;152;5.7;150;5.7
41;2003 2e kwartaal;157;7.4;155;7.4
42;2003 3e kwartaal;154;3.9;152;3.9
43;2003 4e kwartaal;152;-1.0;150;-1.0
44;2003;154;3.9;152;3.9
45;2004 1e kwartaal;151;-0.5;150;-0.5
46;2004 2e kwartaal;148;-5.9;146;-5.9
47;2004 3e kwartaal;147;-4.7;145;-4.7
48;2004 4e kwartaal;154;1.1;152;1.1
49;2004;150;-2.5;148;-2.5
