ID;Vervoerstromen;Perioden;VervoerdLadinggewicht_1;Ladingtonkilometer_2
0;Totaal;2012;371589;38969
1;Totaal;2013;381660;41901
2;Totaal;2014;355999;36709
3;Totaal;2015;340185;32396
4;Totaal;2016;346557;32891
5;Totaal;2017;343263;31822
6;Totaal;2018;329171;29445
7;Totaal;2019;326374;27676
8;Totaal;2020;290013;23117
9;Totaal;2021;299599;23250
10;Totaal;2022;294910;23161
11;Totaal;2023;280714;19918
12;Binnenlands;2012;247450;26570
13;Binnenlands;2013;252303;28892
14;Binnenlands;2014;228838;23974
15;Binnenlands;2015;214313;19549
16;Binnenlands;2016;213730;19379
17;Binnenlands;2017;209662;17946
18;Binnenlands;2018;195470;16020
19;Binnenlands;2019;201726;14833
20;Binnenlands;2020;176653;11585
21;Binnenlands;2021;179368;11003
22;Binnenlands;2022;162379;9659
23;Binnenlands;2023;158195;7768
24;Totaal aan- en afvoer;2012;124138;12399
25;Totaal aan- en afvoer;2013;129357;13010
26;Totaal aan- en afvoer;2014;127161;12735
27;Totaal aan- en afvoer;2015;125872;12847
28;Totaal aan- en afvoer;2016;132827;13512
29;Totaal aan- en afvoer;2017;133601;13875
30;Totaal aan- en afvoer;2018;133700;13425
31;Totaal aan- en afvoer;2019;124649;12843
32;Totaal aan- en afvoer;2020;113360;11532
33;Totaal aan- en afvoer;2021;120231;12247
34;Totaal aan- en afvoer;2022;132531;13502
35;Totaal aan- en afvoer;2023;122519;12149
36;Aanvoer;2012;17947;1510
37;Aanvoer;2013;20303;1742
38;Aanvoer;2014;21513;1841
39;Aanvoer;2015;26901;2371
40;Aanvoer;2016;30709;2762
41;Aanvoer;2017;35567;3269
42;Aanvoer;2018;38942;3587
43;Aanvoer;2019;34715;3228
44;Aanvoer;2020;37366;3280
45;Aanvoer;2021;35363;3207
46;Aanvoer;2022;43111;3800
47;Aanvoer;2023;34329;2946
48;Afvoer;2012;106192;10889
49;Afvoer;2013;109055;11267
50;Afvoer;2014;105648;10894
51;Afvoer;2015;98971;10476
52;Afvoer;2016;102119;10751
53;Afvoer;2017;98034;10606
54;Afvoer;2018;94759;9838
55;Afvoer;2019;89934;9615
56;Afvoer;2020;75994;8252
57;Afvoer;2021;84867;9040
58;Afvoer;2022;89420;9703
59;Afvoer;2023;88190;9203
