ID;Producten;Perioden;TotaalBinnenlandseAfleveringen_1;Raffinaderijen_2;PetrochemischeIndustrie_3;InzetVoorBlending_4;Mineraal_5;Synthetisch_6
0;Totaal smeermiddelen;2000 1e kwartaal;53885;765;2693;11125;38225;1077
1;Totaal smeermiddelen;2000 2e kwartaal;52244;530;2267;8425;40119;903
2;Totaal smeermiddelen;2000 1e halfjaar;106129;1295;4960;19550;78344;1980
3;Totaal smeermiddelen;2000 3e kwartaal;53183;357;2046;6067;40010;4703
4;Totaal smeermiddelen;2000 4e kwartaal;70538;15860;1718;4504;43232;5224
5;Totaal smeermiddelen;2000 2e halfjaar;123721;16217;3764;10571;83242;9927
6;Totaal smeermiddelen;2000;229850;17512;8724;30121;161586;11907
7;Totaal smeermiddelen;2001 1e kwartaal;56263;610;1018;6089;42075;6471
8;Totaal smeermiddelen;2001 2e kwartaal;45885;342;930;6913;38397;-697
9;Totaal smeermiddelen;2001 1e halfjaar;102148;952;1948;13002;80472;5774
10;Totaal smeermiddelen;2001 3e kwartaal;62258;18855;888;2631;38399;1485
11;Totaal smeermiddelen;2001 4e kwartaal;58190;3429;840;5948;40497;7476
12;Totaal smeermiddelen;2001 2e halfjaar;120448;22284;1728;8579;78896;8961
13;Totaal smeermiddelen;2001;222596;23236;3676;21581;159368;14735
14;Totaal smeermiddelen;2002 1e kwartaal;64719;873;650;6518;45737;10941
15;Totaal smeermiddelen;2002 2e kwartaal;65452;4013;910;4738;46143;9648
16;Totaal smeermiddelen;2002 1e halfjaar;130171;4886;1560;11256;91880;20589
17;Totaal smeermiddelen;2002 3e kwartaal;56857;612;516;6521;39093;10115
18;Totaal smeermiddelen;2002 4e kwartaal;50419;784;665;5840;37841;5289
19;Totaal smeermiddelen;2002 2e halfjaar;107276;1396;1181;12361;76934;15404
20;Totaal smeermiddelen;2002;237447;6282;2741;23617;168814;35993
21;Totaal smeermiddelen;2003 1e kwartaal;57045;836;0;4503;34278;17428
22;Totaal smeermiddelen;2003 2e kwartaal;46902;480;777;4879;42997;-2231
23;Totaal smeermiddelen;2003 1e halfjaar;103947;1316;777;9382;77275;15197
24;Totaal smeermiddelen;2003 3e kwartaal;29808;764;629;1205;30675;-3465
25;Totaal smeermiddelen;2003 4e kwartaal;52596;915;1817;1437;43944;4483
26;Totaal smeermiddelen;2003 2e halfjaar;82404;1679;2446;2642;74619;1018
27;Totaal smeermiddelen;2003;186351;2995;3223;12024;151894;16215
28;Basisoliën;2000 1e kwartaal;80576;0;0;78812;1765;-1
29;Basisoliën;2000 2e kwartaal;85680;0;0;79229;6460;-9
30;Basisoliën;2000 1e halfjaar;166256;0;0;158041;8225;-10
31;Basisoliën;2000 3e kwartaal;81506;0;0;72915;8591;0
