ID;Airports;Periods;CrossCountryFlights_1;LocalFlights_2;TotalFlights_3;Scheduled_4;NonScheduled_5;TotalArrivalsFlights_6;Scheduled_7;NonScheduled_8;TotalDeparturesFlights_9;Scheduled_10;NonScheduled_11;TotalPassengers_12;Scheduled_13;NonScheduled_14;TotalArrivalsPassengers_15;Scheduled_16;NonScheduled_17;TotalDeparturesPassengers_18;Scheduled_19;NonScheduled_20;TotalCountryOfOriginDestination_21;EuropeTotal_22;EUCountries_23;OtherEurope_24;TotalIntercontinentalPassengers_25;Africa_26;NorthAfrica_27;WestAfrica_28;CentralAfrica_29;EastAfrica_30;SouthAfrica_31;America_32;NorthAmerica_33;CentralAmerica_34;SouthAmerica_35;Asia_36;WestAsia_37;SouthEastAsia_38;NorthEastAsia_39;Oceania_40;OtherUnknown_41;Unknown_42;TotalCargo_43;ScheduledCargo_44;NonScheduledCargo_45;TotalUnloadedCargo_46;ScheduledCargo_47;NonScheduledCargo_48;TotalLoadedCargo_49;ScheduledCargo_50;NonScheduledCargo_51;TotalCountryOfOriginDestination_52;EuropeTotalCargo_53;EUCountries_54;OtherEurope_55;TotalIntercontinentalCargo_56;Africa_57;NorthAfrica_58;WestAfrica_59;CentralAfrica_60;EastAfrica_61;SouthAfrica_62;America_63;NorthAmerica_64;CentralAmerica_65;SouthAmerica_66;Asia_67;WestAsia_68;SouthEastAsia_69;NorthEastAsia_70;Oceania_71;OtherUnknown_72;Unknown_73;TotalMail_74;ScheduledMail_75;NonScheduledCargoMail_76;TotalUnloadedMail_77;ScheduledMail_78;NonScheduledMail_79;TotalLoadedMail_80;ScheduledMail_81;NonScheduledMail_82;TotalCountryOfOriginDestination_83;EuropeTotalMail_84;EUCountries_85;OtherEurope_86;TotalIntercontinentalMail_87;Africa_88;NorthAfrica_89;WestAfrica_90;CentralAfrica_91;EastAfrica_92;SouthAfrica_93;America_94;NorthAmerica_95;CentralAmerica_96;SouthAmerica_97;Asia_98;WestAsia_99;SouthEastAsia_100;NorthEastAsia_101;Oceania_102
0;Total Dutch airports;1997;467579;206214;400118;364095.0;36023;200040;182043.0;17997;200078;182052.0;18026;32074513;28015577.0;4058936;16013919;13997389.0;2016530;16060594;14018188.0;2042406;32074513;21239558;17658777;3580781;10751804;1223391;536725;280021;550;162501;243594;6038044;4628855;765579;643610;3379017;1103362;1252522;1023133;97868;13484;83151;1196780;989669;207110;595921;483717;112204;600859;505952;94906;1196779;160063;119747;27612;1036716;93675;8434;6544;333;33673;44691;381178;282675;36549;61954;528278;197315;145468;185495;11590;21995;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Total Dutch airports;1998;485852;201265;425608;387560.0;38048;212751;193792.0;18959;212857;193768.0;19089;35129029;30680233.0;4448796;17484447;15299102.0;2185345;17644582;15381131.0;2263451;35129029;23548703;19613702;3935001;11466164;1293242;534905;294032;598;207113;256594;6367845;4915352;736103;716390;3680895;1223619;1346148;1111128;107847;16335;114162;1201848;979536;222314;593966;475063;118901;607882;504473;103413;1201848;156693;121133;26207;1045155;98492;8270;7895;35;40797;41494;400245;280188;49071;70986;515841;190770;131536;193536;10444;20133;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Total Dutch airports;1999 January;36810;14868;33145;31222.0;1923;16565;15616.0;949;16580;15606.0;974;2439980;2274958.0;165022;1226117;1141845.0;84272;1213863;1133113.0;80750;2439980;1559839;1317817;242022;876945;113309;41140;26043;0;22468;23658;455002;334326;62282;58394;298997;88737;129031;81229;8776;861;3196;90604;71066;19538;48642;36809;11833;41962;34257;7705;90606;10816;8624;1641;79788;8696;632;724;0;4462;2878;29297;19886;3984;5427;39331;15312;9092;14927;589;1875;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Total Dutch airports;1999 February;34356;11314;30912;29015.0;1897;15444;14513.0;931;15468;14502.0;966;2405830;2227552.0;178278;1194375;1108692.0;85683;1211455;1118860.0;92595;2405830;1604074;1365968;238106;798996;107207;45879;20988;0;20581;19759;408987;301060;57645;50282;274295;82654;110775;80866;7226;1281;2760;97527;77430;20097;50661;39160;11501;46866;38270;8596;97527;11659;9235;1755;85869;8511;504;709;0;4111;3187;32391;21750;4641;6000;42294;16558;10530;15206;661;2012;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Total Dutch airports;1999 March;41290;18152;35591;33278.0;2313;17802;16644.0;1158;17789;16634.0;1155;2905023;2700960.0;204063;1457675;1357159.0;100516;1447348;1343801.0;103547;2905023;1911957;1630143;281814;989194;117193;53063;22334;0;20775;21021;531834;418994;59761;53079;330139;105905;120094;104140;8318;1710;3872;111940;89160;22780;57116;44200;12916;54824;44960;9864;111941;13440;10503;2065;98500;9409;573;856;0;4196;3784;36892;25546;4774;6572;49245;20416;11396;17433;944;2010;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Total Dutch airports;1999 1st quarter;112456;44334;99648;93515.0;6133;49811;46773.0;3038;49837;46742.0;3095;7750833;7203470.0;547363;3878167;3607696.0;270471;3872666;3595774.0;276892;7750833;5075870;4313928;761942;2665135;337709;140082;69365;0;63824;64438;1395823;1054380;179688;161755;903431;277296;359900;266235;24320;3852;9828;300071;237656;62415;156419;120169;36250;143652;117487;26165;300074;35915;28362;5461;264157;26616;1709;2289;0;12769;9849;98580;67182;13399;17999;130870;52286;31018;47566;2194;5897;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;Total Dutch airports;1999 April;41338;18043;35832;33114.0;2718;17910;16552.0;1358;17922;16562.0;1360;2983754;2706365.0;277389;1468181;1346517.0;121664;1515573;1359848.0;155725;2983754;2003716;1707582;296134;975511;111309;51800;21994;71;17873;19571;524706;427737;51104;45865;331128;114182;109316;107630;7504;864;4527;100280;80943;19337;51186;40445;10741;49094;40498;8596;100281;12182;9639;1863;88099;8136;537;815;0;4087;2697;32595;23212;3840;5543;44965;18209;9809;16947;627;1776;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;Total Dutch airports;1999 May;44679;18932;38376;34138.0;4238;19200;17066.0;2134;19176;17072.0;2104;3399339;2856618.0;542721;1701169;1441077.0;260092;1698170;1415541.0;282629;3399339;2354180;1996034;358146;1033553;111085;50951;21314;0;20057;18763;588521;487429;52679;48413;326257;112851;105889;107517;6873;817;11606;100009;80879;19130;49961;39627;10334;50048;41252;8796;100008;13437;10678;1916;86571;8201;610;977;0;3817;2797;33309;23486;3635;6188;42209;15606;9526;17077;897;1955;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;Total Dutch airports;1999 June;44664;19476;37971;33966.0;4005;18991;16983.0;2008;18980;16983.0;1997;3357773;2880843.0;476930;1657203;1434619.0;222584;1700570;1446224.0;254346;3357773;2297541;1928122;369419;1047597;110111;44648;21736;0;24634;19093;614953;512995;49251;52707;314288;106125;101899;106264;7428;817;12635;95558;80356;15202;45892;38314;7578;49666;42042;7624;95560;13084;10377;1892;82476;6604;560;677;0;3156;2211;32334;23796;3272;5266;41159;14609;9933;16617;640;1739;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;Total Dutch airports;1999 2nd quarter;130681;56451;112179;101218.0;10961;56101;50601.0;5500;56078;50617.0;5461;9740866;8443826.0;1297040;4826553;4222213.0;604340;4914313;4221613.0;692700;9740866;6655437;5631738;1023699;3056661;332505;147399;65044;71;62564;57427;1728180;1428161;153034;146985;971673;333158;317104;321411;21805;2498;28768;295847;242178;53669;147039;118386;28653;148808;123792;25016;295849;38703;30694;5671;257146;22941;1707;2469;0;11060;7705;98238;70494;10747;16997;128333;48424;29268;50641;2164;5470;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
