ID;LeeftijdOp31December;BurgerlijkeStaat;Perioden;TotaalOverledenen_1;SterftePer1000Inwoners_2;OverledenMannen_3;SterftePer1000Mannen_4;OverledenVrouwen_5;SterftePer1000Vrouwen_6
0;Totaal alle leeftijden;Totaal overledenen;1950;75929.0;7.508;39121.0;7.761;36808.0;7.256
1;Totaal alle leeftijden;Totaal overledenen;1951;77560.0;7.556;40294.0;7.878;37266.0;7.237
2;Totaal alle leeftijden;Totaal overledenen;1952;76346.0;7.354;39467.0;7.631;36879.0;7.078
3;Totaal alle leeftijden;Totaal overledenen;1953;80901.0;7.71;42128.0;8.06;38773.0;7.363
4;Totaal alle leeftijden;Totaal overledenen;1954;79623.0;7.501;41970.0;7.936;37653.0;7.068
5;Totaal alle leeftijden;Totaal overledenen;1955;81708.0;7.6;43445.0;8.112;38263.0;7.092
6;Totaal alle leeftijden;Totaal overledenen;1956;84809.0;7.788;44835.0;8.264;39974.0;7.316
7;Totaal alle leeftijden;Totaal overledenen;1957;82961.0;7.524;44088.0;8.024;38873.0;7.027
8;Totaal alle leeftijden;Totaal overledenen;1958;84491.0;7.553;45184.0;8.106;39307.0;7.003
9;Totaal alle leeftijden;Totaal overledenen;1959;86072.0;7.585;46632.0;8.25;39440.0;6.925
10;Totaal alle leeftijden;Totaal overledenen;1960;87825.0;7.646;47499.0;8.304;40326.0;6.993
11;Totaal alle leeftijden;Totaal overledenen;1961;88321.0;7.589;48235.0;8.322;40086.0;6.861
12;Totaal alle leeftijden;Totaal overledenen;1962;93969.0;7.96;51866.0;8.819;42103.0;7.106
13;Totaal alle leeftijden;Totaal overledenen;1963;95734.0;8.001;53054.0;8.898;42680.0;7.109
14;Totaal alle leeftijden;Totaal overledenen;1964;93437.0;7.705;51990.0;8.599;41447.0;6.816
15;Totaal alle leeftijden;Totaal overledenen;1965;98026.0;7.973;54484.0;8.882;43542.0;7.068
16;Totaal alle leeftijden;Totaal overledenen;1966;100516.0;8.07;55638.0;8.945;44878.0;7.197
17;Totaal alle leeftijden;Totaal overledenen;1967;99792.0;7.921;55785.0;8.869;44007.0;6.976
18;Totaal alle leeftijden;Totaal overledenen;1968;104989.0;8.248;58627.0;9.233;46362.0;7.267
19;Totaal alle leeftijden;Totaal overledenen;1969;107615.0;8.357;59558.0;9.271;48057.0;7.446
20;Totaal alle leeftijden;Totaal overledenen;1970;109619.0;8.407;61052.0;9.382;48567.0;7.436
21;Totaal alle leeftijden;Totaal overledenen;1971;110243.0;8.355;61148.0;9.283;49095.0;7.43
22;Totaal alle leeftijden;Totaal overledenen;1972;113576.0;8.521;63193.0;9.503;50383.0;7.544
23;Totaal alle leeftijden;Totaal overledenen;1973;110682.0;8.236;61458.0;9.174;49224.0;7.303
24;Totaal alle leeftijden;Totaal overledenen;1974;109250.0;8.066;60605.0;8.983;48645.0;7.156
25;Totaal alle leeftijden;Totaal overledenen;1975;113737.0;8.322;63526.0;9.336;50211.0;7.317
26;Totaal alle leeftijden;Totaal overledenen;1976;114454.0;8.309;63963.0;9.332;50491.0;7.297
27;Totaal alle leeftijden;Totaal overledenen;1977;110093.0;7.945;61260.0;8.892;48833.0;7.009
28;Totaal alle leeftijden;Totaal overledenen;1978;114415.0;8.207;63623.0;9.186;50792.0;7.24
29;Totaal alle leeftijden;Totaal overledenen;1979;112565.0;8.018;62201.0;8.924;50364.0;7.125
30;Totaal alle leeftijden;Totaal overledenen;1980;114279.0;8.076;63301.0;9.015;50978.0;7.151
31;Totaal alle leeftijden;Totaal overledenen;1981;115515.0;8.108;63470.0;8.984;52045.0;7.246
32;Totaal alle leeftijden;Totaal overledenen;1982;117264.0;8.193;64146.0;9.045;53118.0;7.356
33;Totaal alle leeftijden;Totaal overledenen;1983;117761.0;8.197;64269.0;9.035;53492.0;7.374
34;Totaal alle leeftijden;Totaal overledenen;1984;119812.0;8.306;64798.0;9.079;55014.0;7.549
35;Totaal alle leeftijden;Totaal overledenen;1985;122704.0;8.467;65847.0;9.187;56857.0;7.763
36;Totaal alle leeftijden;Totaal overledenen;1986;125307.0;8.599;66653.0;9.252;58654.0;7.961
37;Totaal alle leeftijden;Totaal overledenen;1987;122199.0;8.333;64956.0;8.961;57243.0;7.719
38;Totaal alle leeftijden;Totaal overledenen;1988;124163.0;8.412;65401.0;8.965;58762.0;7.872
39;Totaal alle leeftijden;Totaal overledenen;1989;128905.0;8.681;67089.0;9.143;61816.0;8.23
40;Totaal alle leeftijden;Totaal overledenen;1990;128824.0;8.616;66628.0;9.017;62196.0;8.224
41;Totaal alle leeftijden;Totaal overledenen;1991;129958.0;8.624;66679.0;8.95;63279.0;8.305
42;Totaal alle leeftijden;Totaal overledenen;1992;129887.0;8.554;66264.0;8.826;63623.0;8.288
43;Totaal alle leeftijden;Totaal overledenen;1993;137795.0;9.012;69884.0;9.243;67911.0;8.786
44;Totaal alle leeftijden;Totaal overledenen;1994;133471.0;8.677;67028.0;8.812;66443.0;8.544
45;Totaal alle leeftijden;Totaal overledenen;1995;135675.0;8.776;68229.0;8.925;67446.0;8.631
46;Totaal alle leeftijden;Totaal overledenen;1996;137561.0;8.857;69008.0;8.986;68553.0;8.732
47;Totaal alle leeftijden;Totaal overledenen;1997;135783.0;8.698;67243.0;8.712;68540.0;8.685
48;Totaal alle leeftijden;Totaal overledenen;1998;137482.0;8.753;68209.0;8.782;69273.0;8.724
49;Totaal alle leeftijden;Totaal overledenen;1999;140487.0;8.885;68872.0;8.807;71615.0;8.961
50;Totaal alle leeftijden;Totaal overledenen;2000;140527.0;8.824;68773.0;8.73;71754.0;8.916
51;Totaal alle leeftijden;Totaal overledenen;2001;140377.0;8.748;68319.0;8.603;72058.0;8.89
52;Totaal alle leeftijden;Totaal overledenen;2002;142355.0;8.815;68998.0;8.632;73357.0;8.995
53;Totaal alle leeftijden;Totaal overledenen;2003;141936.0;8.748;69012.0;8.594;72924.0;8.899
54;Totaal alle leeftijden;Totaal overledenen;2004;136553.0;8.387;66359.0;8.237;70194.0;8.533
55;Totaal alle leeftijden;Totaal overledenen;2005;136402.0;8.358;66362.0;8.222;70040.0;8.492
56;Totaal alle leeftijden;Totaal overledenen;2006;135372.0;8.282;65294.0;8.078;70078.0;8.481
57;Totaal alle leeftijden;Totaal overledenen;2007;133022.0;8.12;64797.0;7.999;68225.0;8.238
58;Totaal alle leeftijden;Totaal overledenen;2008;135136.0;8.217;64902.0;7.979;70234.0;8.45
59;Totaal alle leeftijden;Totaal overledenen;2009;134235.0;8.12;65365.0;7.991;68870.0;8.247
60;Totaal alle leeftijden;Totaal overledenen;2010;136058.0;8.189;65977.0;8.023;70081.0;8.351
61;Totaal alle leeftijden;Totaal overledenen;2011;135741.0;8.132;65259.0;7.898;70482.0;8.361
62;Totaal alle leeftijden;Totaal overledenen;2012;140813.0;8.404;67907.0;8.186;72906.0;8.618
63;Totaal alle leeftijden;Totaal overledenen;2013;141245.0;8.405;68360.0;8.215;72885.0;8.591
64;Totaal alle leeftijden;Totaal overledenen;2014;139223.0;8.255;67121.0;8.035;72102.0;8.471
65;Totaal alle leeftijden;Ongehuwd;1950;18268.0;3.362;9710.0;3.477;8558.0;3.24
66;Totaal alle leeftijden;Ongehuwd;1951;18391.0;3.354;9745.0;3.458;8646.0;3.244
67;Totaal alle leeftijden;Ongehuwd;1952;17233.0;3.126;9043.0;3.192;8190.0;3.056
68;Totaal alle leeftijden;Ongehuwd;1953;18171.0;3.28;9636.0;3.383;8535.0;3.17
69;Totaal alle leeftijden;Ongehuwd;1954;16932.0;3.036;8776.0;3.059;8156.0;3.012
70;Totaal alle leeftijden;Ongehuwd;1955;16722.0;2.976;8733.0;3.019;7989.0;2.931
71;Totaal alle leeftijden;Ongehuwd;1956;16693.0;2.948;8650.0;2.964;8043.0;2.931
72;Totaal alle leeftijden;Ongehuwd;1957;16389.0;2.873;8502.0;2.889;7887.0;2.856
73;Totaal alle leeftijden;Ongehuwd;1958;16400.0;2.847;8483.0;2.852;7917.0;2.842
74;Totaal alle leeftijden;Ongehuwd;1959;16860.0;2.894;8830.0;2.934;8030.0;2.852
75;Totaal alle leeftijden;Ongehuwd;1960;16580.0;2.821;8669.0;2.852;7911.0;2.787
76;Totaal alle leeftijden;Ongehuwd;1961;16122.0;2.713;8477.0;2.755;7645.0;2.668
77;Totaal alle leeftijden;Ongehuwd;1962;16956.0;2.823;8935.0;2.868;8021.0;2.773
78;Totaal alle leeftijden;Ongehuwd;1963;16775.0;2.763;8759.0;2.778;8016.0;2.747
79;Totaal alle leeftijden;Ongehuwd;1964;16168.0;2.639;8544.0;2.681;7624.0;2.595
80;Totaal alle leeftijden;Ongehuwd;1965;16287.0;2.642;8459.0;2.632;7828.0;2.653
81;Totaal alle leeftijden;Ongehuwd;1966;16774.0;2.71;8799.0;2.721;7975.0;2.697
82;Totaal alle leeftijden;Ongehuwd;1967;16215.0;2.615;8580.0;2.646;7635.0;2.581
83;Totaal alle leeftijden;Ongehuwd;1968;16808.0;2.71;8731.0;2.69;8077.0;2.733
84;Totaal alle leeftijden;Ongehuwd;1969;16943.0;2.725;8749.0;2.685;8194.0;2.769
85;Totaal alle leeftijden;Ongehuwd;1970;16961.0;2.723;8810.0;2.694;8151.0;2.755
86;Totaal alle leeftijden;Ongehuwd;1971;16598.0;2.665;8636.0;2.636;7962.0;2.696
87;Totaal alle leeftijden;Ongehuwd;1972;16851.0;2.709;8673.0;2.648;8178.0;2.777
88;Totaal alle leeftijden;Ongehuwd;1973;16106.0;2.596;8280.0;2.531;7826.0;2.668
89;Totaal alle leeftijden;Ongehuwd;1974;15479.0;2.498;7885.0;2.41;7594.0;2.597
90;Totaal alle leeftijden;Ongehuwd;1975;15597.0;2.516;7900.0;2.41;7697.0;2.635
91;Totaal alle leeftijden;Ongehuwd;1976;15474.0;2.492;7912.0;2.406;7562.0;2.589
92;Totaal alle leeftijden;Ongehuwd;1977;14813.0;2.385;7646.0;2.322;7167.0;2.456
93;Totaal alle leeftijden;Ongehuwd;1978;15258.0;2.451;7767.0;2.351;7491.0;2.563
94;Totaal alle leeftijden;Ongehuwd;1979;14574.0;2.329;7447.0;2.24;7127.0;2.429
95;Totaal alle leeftijden;Ongehuwd;1980;14762.0;2.342;7635.0;2.278;7127.0;2.415
96;Totaal alle leeftijden;Ongehuwd;1981;14710.0;2.321;7428.0;2.203;7282.0;2.456
