ID;EmploymentType;SectorBranchesSIC2008;Periods;EmployedPersons_1;EmployedPersonsSeasonalAdjusted_2;Jobs_3;JobsSeasonalAdjusted_4;HoursWorked_5;HoursWorkedSeasonalAdjusted_6;EmployedPersons_7;Jobs_8;EmployedPersonsSeasonalAdjusted_9;JobsSeasonalAdjusted_10
0;Total;A-U All economic activities;1995 1st quarter;7120.0;7201.0;7857.0;7945.0;2689.0;2622.0;;;;
1;Total;A-U All economic activities;1995 2nd quarter;7261.0;7235.0;8012.0;7985.0;2593.0;2686.0;;;34.0;40.0
2;Total;A-U All economic activities;1995 3rd quarter;7351.0;7284.0;8111.0;8039.0;2529.0;2741.0;;;49.0;54.0
3;Total;A-U All economic activities;1995 4th quarter;7339.0;7349.0;8100.0;8111.0;2957.0;2807.0;;;65.0;72.0
4;Total;A-U All economic activities;1995;7268.0;;8021.0;;10768.0;;;;;
5;Total;A-U All economic activities;1996 1st quarter;7268.0;7352.0;8040.0;8130.0;2777.0;2734.0;148.0;183.0;2.0;19.0
6;Total;A-U All economic activities;1996 2nd quarter;7423.0;7395.0;8212.0;8182.0;2679.0;2770.0;162.0;200.0;43.0;52.0
7;Total;A-U All economic activities;1996 3rd quarter;7509.0;7439.0;8303.0;8228.0;2607.0;2798.0;158.0;192.0;44.0;45.0
8;Total;A-U All economic activities;1996 4th quarter;7480.0;7498.0;8267.0;8284.0;3041.0;2866.0;142.0;167.0;59.0;56.0
9;Total;A-U All economic activities;1996;7420.0;;8206.0;;11104.0;;152.0;185.0;;
10;Total;A-U All economic activities;1997 1st quarter;7473.0;7556.0;8234.0;8326.0;2827.0;2837.0;205.0;194.0;58.0;42.0
11;Total;A-U All economic activities;1997 2nd quarter;7646.0;7616.0;8418.0;8386.0;2806.0;2866.0;223.0;206.0;60.0;60.0
12;Total;A-U All economic activities;1997 3rd quarter;7754.0;7682.0;8534.0;8455.0;2663.0;2862.0;245.0;230.0;66.0;69.0
13;Total;A-U All economic activities;1997 4th quarter;7717.0;7729.0;8494.0;8508.0;3038.0;2873.0;237.0;227.0;47.0;52.0
14;Total;A-U All economic activities;1997;7648.0;;8421.0;;11334.0;;228.0;215.0;;
15;Total;A-U All economic activities;1998 1st quarter;7668.0;7762.0;8466.0;8567.0;2934.0;2904.0;195.0;232.0;34.0;59.0
16;Total;A-U All economic activities;1998 2nd quarter;7843.0;7809.0;8659.0;8623.0;2824.0;2910.0;197.0;241.0;47.0;57.0
17;Total;A-U All economic activities;1998 3rd quarter;7927.0;7855.0;8753.0;8673.0;2717.0;2927.0;173.0;219.0;46.0;50.0
