ID;ArbeidsmarktpositieBijUitstroom;PeilmomentenArbeidsmarktpositie;BaanBedrijfskenmerkenBijInstroom;Perioden;InstromersTotaal_1;InstromersVolgtRegulierOnderwijs_2;InstromersGeenRegulierOnderwijs_3
0;Totaal;Op instroommoment;Totaal;Jaar van instroom: 2007;1301.0;502.0;799.0
1;Totaal;Op instroommoment;Totaal;Jaar van instroom: 2008;1251.0;495.0;756.0
2;Totaal;Op instroommoment;Totaal;Jaar van instroom: 2009;1120.0;448.0;672.0
3;Totaal;Op instroommoment;Totaal;Jaar van instroom: 2010;1183.0;473.0;711.0
4;Totaal;Op instroommoment;Totaal;Jaar van instroom: 2011;1177.0;471.0;706.0
5;Totaal;Op instroommoment;Totaal;Jaar van instroom: 2012;1131.0;444.0;686.0
6;Totaal;Op instroommoment;Totaal;Jaar van instroom: 2013;1143.0;439.0;704.0
7;Totaal;Op instroommoment;Totaal;Jaar van instroom: 2014;1199.0;458.0;742.0
8;Totaal;Op instroommoment;Totaal;Jaar van instroom: 2015;1227.0;479.0;748.0
9;Totaal;Op instroommoment;Totaal;Jaar van instroom: 2016;1249.0;478.0;771.0
10;Totaal;Op instroommoment;Totaal;Jaar van instroom: 2017;1280.0;482.0;798.0
11;Totaal;Op instroommoment;Tijdelijk dienstverband;Jaar van instroom: 2007;668.0;199.0;470.0
12;Totaal;Op instroommoment;Tijdelijk dienstverband;Jaar van instroom: 2008;650.0;199.0;450.0
13;Totaal;Op instroommoment;Tijdelijk dienstverband;Jaar van instroom: 2009;567.0;175.0;392.0
14;Totaal;Op instroommoment;Tijdelijk dienstverband;Jaar van instroom: 2010;594.0;196.0;398.0
15;Totaal;Op instroommoment;Tijdelijk dienstverband;Jaar van instroom: 2011;576.0;191.0;386.0
16;Totaal;Op instroommoment;Tijdelijk dienstverband;Jaar van instroom: 2012;547.0;170.0;377.0
17;Totaal;Op instroommoment;Tijdelijk dienstverband;Jaar van instroom: 2013;562.0;174.0;388.0
18;Totaal;Op instroommoment;Tijdelijk dienstverband;Jaar van instroom: 2014;591.0;182.0;409.0
19;Totaal;Op instroommoment;Tijdelijk dienstverband;Jaar van instroom: 2015;625.0;204.0;421.0
20;Totaal;Op instroommoment;Tijdelijk dienstverband;Jaar van instroom: 2016;650.0;205.0;446.0
21;Totaal;Op instroommoment;Tijdelijk dienstverband;Jaar van instroom: 2017;654.0;193.0;461.0
22;Totaal;Op instroommoment;Uitzendkracht ;Jaar van instroom: 2007;286.0;102.0;185.0
23;Totaal;Op instroommoment;Uitzendkracht ;Jaar van instroom: 2008;260.0;95.0;164.0
24;Totaal;Op instroommoment;Uitzendkracht ;Jaar van instroom: 2009;221.0;79.0;142.0
25;Totaal;Op instroommoment;Uitzendkracht ;Jaar van instroom: 2010;235.0;77.0;158.0
26;Totaal;Op instroommoment;Uitzendkracht ;Jaar van instroom: 2011;237.0;75.0;162.0
27;Totaal;Op instroommoment;Uitzendkracht ;Jaar van instroom: 2012;222.0;64.0;158.0
28;Totaal;Op instroommoment;Uitzendkracht ;Jaar van instroom: 2013;212.0;54.0;157.0
29;Totaal;Op instroommoment;Uitzendkracht ;Jaar van instroom: 2014;229.0;56.0;173.0
30;Totaal;Op instroommoment;Uitzendkracht ;Jaar van instroom: 2015;242.0;60.0;183.0
31;Totaal;Op instroommoment;Uitzendkracht ;Jaar van instroom: 2016;241.0;62.0;179.0
32;Totaal;Op instroommoment;Uitzendkracht ;Jaar van instroom: 2017;246.0;68.0;179.0
33;Totaal;Op instroommoment;Oproepkracht;Jaar van instroom: 2007;195.0;114.0;81.0
34;Totaal;Op instroommoment;Oproepkracht;Jaar van instroom: 2008;193.0;113.0;80.0
35;Totaal;Op instroommoment;Oproepkracht;Jaar van instroom: 2009;189.0;108.0;81.0
36;Totaal;Op instroommoment;Oproepkracht;Jaar van instroom: 2010;192.0;106.0;85.0
37;Totaal;Op instroommoment;Oproepkracht;Jaar van instroom: 2011;201.0;110.0;91.0
38;Totaal;Op instroommoment;Oproepkracht;Jaar van instroom: 2012;215.0;119.0;96.0
39;Totaal;Op instroommoment;Oproepkracht;Jaar van instroom: 2013;211.0;115.0;95.0
40;Totaal;Op instroommoment;Oproepkracht;Jaar van instroom: 2014;226.0;123.0;103.0
41;Totaal;Op instroommoment;Oproepkracht;Jaar van instroom: 2015;220.0;125.0;95.0
42;Totaal;Op instroommoment;Oproepkracht;Jaar van instroom: 2016;225.0;125.0;100.0
43;Totaal;Op instroommoment;Oproepkracht;Jaar van instroom: 2017;256.0;141.0;114.0
44;Totaal;Op instroommoment;Stagiaire;Jaar van instroom: 2007;55.0;50.0;5.0
45;Totaal;Op instroommoment;Stagiaire;Jaar van instroom: 2008;54.0;49.0;5.0
46;Totaal;Op instroommoment;Stagiaire;Jaar van instroom: 2009;58.0;52.0;6.0
47;Totaal;Op instroommoment;Stagiaire;Jaar van instroom: 2010;63.0;57.0;7.0
48;Totaal;Op instroommoment;Stagiaire;Jaar van instroom: 2011;67.0;62.0;5.0
49;Totaal;Op instroommoment;Stagiaire;Jaar van instroom: 2012;68.0;63.0;5.0
50;Totaal;Op instroommoment;Stagiaire;Jaar van instroom: 2013;72.0;67.0;5.0
51;Totaal;Op instroommoment;Stagiaire;Jaar van instroom: 2014;76.0;69.0;6.0
52;Totaal;Op instroommoment;Stagiaire;Jaar van instroom: 2015;77.0;70.0;7.0
53;Totaal;Op instroommoment;Stagiaire;Jaar van instroom: 2016;74.0;68.0;6.0
54;Totaal;Op instroommoment;Stagiaire;Jaar van instroom: 2017;72.0;65.0;7.0
55;Totaal;Op instroommoment;Vast dienstverband < 2 maanden;Jaar van instroom: 2007;96.0;38.0;59.0
56;Totaal;Op instroommoment;Vast dienstverband < 2 maanden;Jaar van instroom: 2008;95.0;38.0;56.0
57;Totaal;Op instroommoment;Vast dienstverband < 2 maanden;Jaar van instroom: 2009;85.0;33.0;52.0
