ID;EuropeanAirportsNearCities;Periods;AviationNetworkConnectivity_1
0;Amsterdam - Schiphol;1995;183.0
1;Amsterdam - Schiphol;1996;191.0
2;Amsterdam - Schiphol;1997;197.0
3;Amsterdam - Schiphol;1998;191.0
4;Amsterdam - Schiphol;1999;201.0
5;Amsterdam - Schiphol;2000;197.0
6;Amsterdam - Schiphol;2001;190.0
7;Amsterdam - Schiphol;2002;184.0
8;Amsterdam - Schiphol;2003;201.0
9;Amsterdam - Schiphol;2004;221.0
10;Amsterdam - Schiphol;2005;223.0
11;Amsterdam - Schiphol;2006;249.0
12;Amsterdam - Schiphol;2007;230.0
13;Barcelona - El Prat;1995;
14;Barcelona - El Prat;1996;
15;Barcelona - El Prat;1997;
16;Barcelona - El Prat;1998;
17;Barcelona - El Prat;1999;
18;Barcelona - El Prat;2000;
19;Barcelona - El Prat;2001;
20;Barcelona - El Prat;2002;
21;Barcelona - El Prat;2003;
22;Barcelona - El Prat;2004;101.0
23;Barcelona - El Prat;2005;111.0
24;Barcelona - El Prat;2006;128.0
25;Barcelona - El Prat;2007;139.0
26;Frankfurt - Main;1995;217.0
27;Frankfurt - Main;1996;231.0
28;Frankfurt - Main;1997;235.0
29;Frankfurt - Main;1998;242.0
30;Frankfurt - Main;1999;245.0
31;Frankfurt - Main;2000;256.0
32;Frankfurt - Main;2001;260.0
33;Frankfurt - Main;2002;267.0
34;Frankfurt - Main;2003;257.0
35;Frankfurt - Main;2004;255.0
36;Frankfurt - Main;2005;252.0
37;Frankfurt - Main;2006;276.0
38;Frankfurt - Main;2007;258.0
39;London - Gatwick;1995;
40;London - Gatwick;1996;
41;London - Gatwick;1997;
42;London - Gatwick;1998;
43;London - Gatwick;1999;
44;London - Gatwick;2000;
45;London - Gatwick;2001;
46;London - Gatwick;2002;
47;London - Gatwick;2003;
48;London - Gatwick;2004;138.0
49;London - Gatwick;2005;140.0
50;London - Gatwick;2006;158.0
51;London - Gatwick;2007;198.0
52;London - Heathrow;1995;168.0
53;London - Heathrow;1996;172.0
54;London - Heathrow;1997;167.0
55;London - Heathrow;1998;163.0
56;London - Heathrow;1999;158.0
57;London - Heathrow;2000;156.0
58;London - Heathrow;2001;155.0
59;London - Heathrow;2002;159.0
60;London - Heathrow;2003;169.0
61;London - Heathrow;2004;176.0
62;London - Heathrow;2005;175.0
63;London - Heathrow;2006;187.0
64;London - Heathrow;2007;168.0
65;Madrid - Barajas;1995;102.0
66;Madrid - Barajas;1996;104.0
67;Madrid - Barajas;1997;103.0
68;Madrid - Barajas;1998;110.0
69;Madrid - Barajas;1999;110.0
70;Madrid - Barajas;2000;118.0
71;Madrid - Barajas;2001;118.0
72;Madrid - Barajas;2002;118.0
73;Madrid - Barajas;2003;117.0
74;Madrid - Barajas;2004;132.0
75;Madrid - Barajas;2005;143.0
76;Madrid - Barajas;2006;152.0
77;Madrid - Barajas;2007;166.0
78;Manchester - Manchester Airport;1995;
79;Manchester - Manchester Airport;1996;
80;Manchester - Manchester Airport;1997;
81;Manchester - Manchester Airport;1998;
82;Manchester - Manchester Airport;1999;
83;Manchester - Manchester Airport;2000;
84;Manchester - Manchester Airport;2001;
85;Manchester - Manchester Airport;2002;
86;Manchester - Manchester Airport;2003;
87;Manchester - Manchester Airport;2004;100.0
88;Manchester - Manchester Airport;2005;112.0
89;Manchester - Manchester Airport;2006;115.0
90;Manchester - Manchester Airport;2007;163.0
91;Milan - Linate;1995;
92;Milan - Linate;1996;
93;Milan - Linate;1997;
94;Milan - Linate;1998;
95;Milan - Linate;1999;
96;Milan - Linate;2000;
97;Milan - Linate;2001;
98;Milan - Linate;2002;
99;Milan - Linate;2003;
100;Milan - Linate;2004;32.0
101;Milan - Linate;2005;30.0
102;Milan - Linate;2006;29.0
103;Milan - Linate;2007;32.0
104;Milan - Malpensa;1995;
105;Milan - Malpensa;1996;
106;Milan - Malpensa;1997;
107;Milan - Malpensa;1998;
108;Milan - Malpensa;1999;
109;Milan - Malpensa;2000;
110;Milan - Malpensa;2001;
111;Milan - Malpensa;2002;
112;Milan - Malpensa;2003;
113;Milan - Malpensa;2004;136.0
114;Milan - Malpensa;2005;131.0
115;Milan - Malpensa;2006;152.0
116;Milan - Malpensa;2007;139.0
117;Munich - Franz Josef Strauss;1995;117.0
118;Munich - Franz Josef Strauss;1996;137.0
119;Munich - Franz Josef Strauss;1997;146.0
120;Munich - Franz Josef Strauss;1998;151.0
121;Munich - Franz Josef Strauss;1999;150.0
122;Munich - Franz Josef Strauss;2000;157.0
123;Munich - Franz Josef Strauss;2001;166.0
124;Munich - Franz Josef Strauss;2002;173.0
125;Munich - Franz Josef Strauss;2003;175.0
126;Munich - Franz Josef Strauss;2004;182.0
127;Munich - Franz Josef Strauss;2005;193.0
128;Munich - Franz Josef Strauss;2006;201.0
129;Munich - Franz Josef Strauss;2007;204.0
130;Paris - Charles de Gaulle;1995;168.0
131;Paris - Charles de Gaulle;1996;175.0
