ID;PolitiekeGroeperingen;TotaalGeldigeStemmen_1;InVanTotaalGeldigeStemmen_2;TotaalMannenEnVrouwen_3;TotaalMannenEnVrouwenRelatief_4;Mannen_5;Vrouwen_6
0;1;5242333;100.0;25;100;18;7
1;2;1814107;34.6;10;40;7;3
2;3;311990;6.0;1;4;1;0
3;4;18860;0.4;0;0;0;0
4;5;23298;0.4;0;0;0;0
5;6;40780;0.8;0;0;0;0
6;7;1609626;30.7;8;32;6;2
7;8;365535;7.0;2;8;1;1
8;9;34332;0.7;0;0;0;0
9;10;309060;5.9;1;4;1;0
10;11;714745;13.6;3;12;2;1
