ID;ImportsAndExports;Periods;Original_1;WorkingDayAdjusted_2;Price_3;Original_4;WorkingDayAdjusted_5;Original_6;WorkingDayAdjusted_7;Price_8;Original_9;WorkingDayAdjusted_10
0;Imports;1995 January;25.3;25.1;87.3;29.0;28.8;;;;;
1;Imports;1995 February;24.6;24.9;84.6;29.1;29.4;;;;;
2;Imports;1995 March;30.0;29.2;86.0;34.8;34.0;;;;;
3;Imports;1995 1st quarter;26.6;26.4;86.0;31.0;30.7;;;;;
4;Imports;1995 April;25.1;25.8;86.9;28.9;29.7;;;;;
5;Imports;1995 May;26.9;26.0;83.9;32.0;31.0;;;;;
6;Imports;1995 June;26.9;26.7;84.3;31.9;31.7;;;;;
7;Imports;1995 2nd quarter;26.3;26.2;85.0;30.9;30.8;;;;;
8;Imports;1995 July;23.3;24.1;84.0;27.8;28.6;;;;;
9;Imports;1995 August;23.9;23.3;85.9;27.8;27.2;;;;;
10;Imports;1995 September;26.0;26.3;84.7;30.7;31.0;;;;;
11;Imports;1995 3rd quarter;24.4;24.6;84.9;28.7;28.9;;;;;
12;Imports;1995 October;26.4;26.5;88.6;29.8;29.9;;;;;
13;Imports;1995 November;28.2;27.8;90.3;31.2;30.8;;;;;
14;Imports;1995 December;27.0;28.1;92.1;29.3;30.4;;;;;
15;Imports;1995 4th quarter;27.2;27.4;90.3;30.1;30.4;;;;;
16;Imports;1995;26.1;26.1;86.5;30.2;30.2;;;;;
17;Imports;1996 January;27.1;26.6;85.7;31.6;31.0;6.9;5.9;-1.8;8.9;7.8
18;Imports;1996 February;26.1;25.2;82.9;31.5;30.4;6.3;1.2;-2.1;8.5;3.6
19;Imports;1996 March;29.6;30.5;86.0;34.4;35.4;-1.1;4.3;0.0;-1.1;4.2
20;Imports;1996 1st quarter;27.6;27.4;84.9;32.5;32.3;3.7;3.8;-1.3;5.0;5.2
21;Imports;1996 April;26.5;26.3;87.7;30.2;29.9;5.6;1.8;0.9;4.6;0.9
22;Imports;1996 May;27.3;26.9;84.0;32.5;32.0;1.4;3.2;0.0;1.4;3.1
23;Imports;1996 June;26.3;27.1;84.3;31.2;32.1;-2.2;1.4;0.0;-2.2;1.4
24;Imports;1996 2nd quarter;26.7;26.7;85.3;31.3;31.4;1.5;2.1;0.4;1.2;1.8
25;Imports;1996 July;26.4;25.8;84.5;31.2;30.5;13.1;7.1;0.6;12.4;6.6
26;Imports;1996 August;25.4;25.5;86.1;29.5;29.6;6.5;9.4;0.2;6.2;9.0
27;Imports;1996 September;27.6;27.9;85.5;32.3;32.6;6.2;6.2;1.0;5.2;5.2
28;Imports;1996 3rd quarter;26.5;26.4;85.4;31.0;30.9;8.5;7.5;0.6;7.8;6.9
29;Imports;1996 October;29.9;29.3;91.0;32.9;32.2;13.6;10.6;2.8;10.6;7.7
30;Imports;1996 November;29.4;29.7;92.1;31.9;32.3;4.3;7.1;2.0;2.2;4.9
31;Imports;1996 December;29.6;30.0;94.4;31.4;31.8;9.9;7.0;2.4;7.3;4.6
32;Imports;1996 4th quarter;29.7;29.7;92.5;32.1;32.1;9.2;8.2;2.4;6.6;5.7
33;Imports;1996;27.6;27.6;87.0;31.7;31.7;5.7;5.4;0.6;5.1;4.9
34;Imports;1997 January;29.5;29.0;88.2;33.4;32.9;9.0;9.0;3.0;5.8;5.8
35;Imports;1997 February;29.1;29.4;85.3;34.1;34.4;11.2;16.8;2.9;8.1;13.2
36;Imports;1997 March;31.8;33.3;87.0;36.6;38.3;7.4;9.3;1.2;6.2;8.0
37;Imports;1997 1st quarter;30.1;30.6;86.8;34.7;35.2;9.1;11.5;2.3;6.7;8.9
38;Imports;1997 April;31.0;30.2;87.9;35.3;34.4;17.0;15.0;0.2;16.7;14.8
39;Imports;1997 May;29.5;29.8;85.0;34.6;35.0;8.1;11.0;1.3;6.7;9.5
40;Imports;1997 June;30.5;30.6;85.7;35.6;35.7;16.1;13.0;1.7;14.2;11.3
