ID;SBI;WerkzamePersonen_1;FullTimeWerknemers_2;Werknemers_3;PartTimeWerknemers_4;EigenarenGezinsledenFirmanten_5;Uitzendkrachten_6;OverigIngeleendPersoneel_7;UitgeleendPersoneel_8
0;512 t/m 517 Totaal Groothandel;338.5;289.4;93.7;12.5;0.3;5.5;0.8;0.3
1;512,5151/2/5-7  Grondstoffen en halffabr;49.6;41.3;93.2;13.3;0.3;6.4;0.9;0.8
2;512 Landbouwproducten en levende dieren;24.3;18.7;91.3;16.2;0.4;9.0;0.7;1.3
3;5151/2/5-7 Ov. grondstoffen en halffabr.;25.3;22.6;95.1;10.4;0.3;3.9;1.1;0.3
4;513,514,51715,5172 Consumentengoederen;133.1;108.2;92.4;17.3;0.3;6.5;0.9;0.2
5;513  Voedings- en genotmiddelen;59.6;47.1;91.0;17.0;0.4;7.4;1.3;0.1
6;514,51715,5172 Non-food consumentengoed.;73.5;61.2;93.6;17.6;0.2;5.9;0.6;0.3
7;5153 en 5154 Bouwmaterialen;38.5;34.8;96.3;9.3;0.3;3.5;0.2;0.2
8;5153 Hout en bouwmaterialen;28.5;25.7;96.1;9.4;0.3;3.7;0.2;0.3
9;5154 IJzer- en metaalwaren;10.0;9.1;96.8;9.1;0.1;3.0;0.1;0.0
10;516, 51711-51714 Kapitaalgoederen;117.2;105.0;94.5;7.6;0.3;4.6;0.9;0.3
11;516 Machines, apparaten en toebehoren;107.8;96.7;94.6;7.4;0.3;4.5;0.9;0.3
12;51711-51714 Bedrijfsmeubels,emballage;9.4;8.3;93.4;9.7;0.2;5.1;1.4;0.1
