ID;Stichtingskostenklasse;Opdrachtgever;Periode;VerleendeBouwvergunningen_1;BegonnenWoningen_2;WoningenInUitvoering_3;Totaal_4;Huurwoningen_5;Koopwoningen_6;Eengezinswoningen_7;Meergezinswoningen_8;k_3Kamers_9;k_3Kamers_10;k_4Kamers_11;k_4OfMeerKamers_12
0;Totaal;Opdrachtgevers totaal;1994 Januari;8391.0;9308.0;78361.0;2951.0;821.0;2130.0;2349.0;602.0;241.0;564.0;1781.0;365.0
1;Totaal;Opdrachtgevers totaal;1994 Februari;9772.0;6379.0;79267.0;5128.0;1740.0;3388.0;3723.0;1405.0;278.0;1497.0;2689.0;664.0
2;Totaal;Opdrachtgevers totaal;1994 Maart;7749.0;7043.0;81401.0;4835.0;1604.0;3231.0;3486.0;1349.0;254.0;965.0;3086.0;530.0
3;Totaal;Opdrachtgevers totaal;1994 1e kwartaal;25912.0;22730.0;81401.0;12914.0;4165.0;8749.0;9558.0;3356.0;773.0;3026.0;7556.0;1559.0
4;Totaal;Opdrachtgevers totaal;1994 April;8200.0;8755.0;84530.0;5258.0;1313.0;3945.0;3663.0;1595.0;201.0;1570.0;2858.0;629.0
5;Totaal;Opdrachtgevers totaal;1994 Mei;7896.0;8795.0;85982.0;7091.0;2457.0;4634.0;5076.0;2015.0;491.0;1974.0;3660.0;966.0
6;Totaal;Opdrachtgevers totaal;1994 Juni;9051.0;7983.0;86242.0;7646.0;2591.0;5055.0;5852.0;1794.0;287.0;1870.0;4457.0;1032.0
7;Totaal;Opdrachtgevers totaal;1994 2e kwartaal;25147.0;25533.0;86242.0;19995.0;6361.0;13634.0;14591.0;5404.0;979.0;5414.0;10975.0;2627.0
8;Totaal;Opdrachtgevers totaal;1994 Juli;9094.0;7897.0;86947.0;6820.0;2095.0;4725.0;5164.0;1656.0;292.0;1873.0;3809.0;846.0
9;Totaal;Opdrachtgevers totaal;1994 Augustus;9428.0;6271.0;87109.0;6044.0;1913.0;4131.0;4488.0;1556.0;438.0;1451.0;3288.0;867.0
10;Totaal;Opdrachtgevers totaal;1994 September;9563.0;10507.0;90175.0;6862.0;1943.0;4919.0;5354.0;1508.0;250.0;1575.0;4179.0;858.0
11;Totaal;Opdrachtgevers totaal;1994 3e kwartaal;28085.0;24675.0;90175.0;19726.0;5951.0;13775.0;15006.0;4720.0;980.0;4899.0;11276.0;2571.0
12;Totaal;Opdrachtgevers totaal;1994 Oktober;10478.0;10351.0;89941.0;10413.0;3531.0;6882.0;7955.0;2458.0;427.0;2461.0;6081.0;1444.0
13;Totaal;Opdrachtgevers totaal;1994 November;8968.0;10651.0;89936.0;10374.0;3717.0;6657.0;7442.0;2932.0;790.0;2546.0;5882.0;1156.0
14;Totaal;Opdrachtgevers totaal;1994 December;9174.0;8989.0;84899.0;13947.0;4549.0;9398.0;10815.0;3132.0;940.0;3150.0;7662.0;2195.0
15;Totaal;Opdrachtgevers totaal;1994 4e kwartaal;28620.0;29991.0;84899.0;34734.0;11797.0;22937.0;26212.0;8522.0;2157.0;8157.0;19625.0;4795.0
16;Totaal;Opdrachtgevers totaal;1994;107764.0;102929.0;84899.0;87369.0;28274.0;59095.0;65367.0;22002.0;4889.0;21496.0;49432.0;11552.0
17;Totaal;Opdrachtgevers totaal;1995 Januari;7913.0;7077.0;87573.0;4270.0;1183.0;3087.0;3179.0;1091.0;134.0;1177.0;2226.0;733.0
18;Totaal;Opdrachtgevers totaal;1995 Februari;8004.0;8035.0;90908.0;4514.0;1281.0;3233.0;3344.0;1170.0;321.0;1311.0;2347.0;535.0
19;Totaal;Opdrachtgevers totaal;1995 Maart;7939.0;6710.0;91076.0;6603.0;1819.0;4784.0;5251.0;1352.0;486.0;1556.0;3710.0;851.0
20;Totaal;Opdrachtgevers totaal;1995 1e kwartaal;23856.0;21822.0;91076.0;15387.0;4283.0;11104.0;11774.0;3613.0;941.0;4044.0;8283.0;2119.0
21;Totaal;Opdrachtgevers totaal;1995 April;6486.0;7552.0;92845.0;5835.0;1945.0;3890.0;4387.0;1448.0;157.0;1636.0;3161.0;881.0
22;Totaal;Opdrachtgevers totaal;1995 Mei;9559.0;10486.0;96349.0;6753.0;1770.0;4983.0;5350.0;1403.0;311.0;1558.0;3863.0;1021.0
23;Totaal;Opdrachtgevers totaal;1995 Juni;9199.0;7264.0;96102.0;7752.0;2985.0;4767.0;5115.0;2637.0;297.0;2281.0;4126.0;1048.0
24;Totaal;Opdrachtgevers totaal;1995 2e kwartaal;25244.0;25302.0;96102.0;20340.0;6700.0;13640.0;14852.0;5488.0;765.0;5475.0;11150.0;2950.0
25;Totaal;Opdrachtgevers totaal;1995 Juli;6806.0;6716.0;93751.0;8876.0;2947.0;5929.0;6380.0;2496.0;617.0;2348.0;4813.0;1098.0
