ID;Landen;BedrijfstakkenBranchesSBI2008;Perioden;BuitenlandseDochterondernemingen_1;WerkzamePersonenFTE_2;Omzet_3;Personeelskosten_4;Investeringen_5
0;Totaal landen;305700;2021;187.0;47.0;15047.0;1484.0;4631.0
1;Totaal landen;305700;2022;157.0;32.0;5245.0;569.0;1693.0
2;Totaal landen;800012;2021;20335.0;2044.0;998513.0;91073.0;59732.0
3;Totaal landen;800012;2022;22687.0;2287.0;1244863.0;108410.0;54559.0
4;Totaal landen;305800;2021;60.0;11.0;8340.0;719.0;3964.0
5;Totaal landen;305800;2022;6.0;3.0;1414.0;94.0;1299.0
6;Totaal landen;306300;2021;60.0;29.0;3796.0;427.0;258.0
7;Totaal landen;306300;2022;71.0;26.0;2621.0;325.0;
8;Totaal landen;307000;2021;67.0;8.0;2911.0;338.0;409.0
9;Totaal landen;307000;2022;79.0;4.0;1210.0;150.0;47.0
10;Totaal landen;307500;2021;3931.0;605.0;361506.0;27599.0;15137.0
11;Totaal landen;307500;2022;4322.0;780.0;411405.0;36594.0;14646.0
12;Totaal landen;307610;2021;948.0;179.0;60204.0;6965.0;3250.0
13;Totaal landen;307610;2022;1080.0;200.0;76462.0;8094.0;4403.0
14;Totaal landen;307600;2021;782.0;87.0;34783.0;3569.0;1398.0
15;Totaal landen;307600;2022;832.0;101.0;43706.0;4038.0;1713.0
16;Totaal landen;311300;2021;166.0;92.0;25421.0;3395.0;1852.0
17;Totaal landen;311300;2022;248.0;99.0;32755.0;4057.0;2690.0
18;Totaal landen;312200;2021;;;;;
19;Totaal landen;312200;2022;;;;;
20;Totaal landen;312500;2021;59.0;7.0;570.0;120.0;
21;Totaal landen;312500;2022;66.0;6.0;540.0;110.0;35.0
22;Totaal landen;312505;2021;123.0;10.0;698.0;158.0;39.0
23;Totaal landen;312505;2022;102.0;8.0;664.0;138.0;151.0
24;Totaal landen;314000;2021;28.0;2.0;45.0;15.0;
25;Totaal landen;314000;2022;16.0;1.0;40.0;8.0;111.0
26;Totaal landen;315200;2021;36.0;2.0;83.0;23.0;10.0
27;Totaal landen;315200;2022;19.0;1.0;85.0;20.0;5.0
28;Totaal landen;315810;2021;126.0;10.0;1684.0;330.0;60.0
29;Totaal landen;315810;2022;141.0;12.0;2333.0;367.0;179.0
30;Totaal landen;315800;2021;53.0;3.0;446.0;54.0;8.0
31;Totaal landen;315800;2022;51.0;4.0;723.0;81.0;25.0
32;Totaal landen;317100;2021;40.0;5.0;915.0;198.0;33.0
33;Totaal landen;317100;2022;38.0;6.0;1210.0;182.0;116.0
34;Totaal landen;318600;2021;33.0;2.0;323.0;79.0;19.0
35;Totaal landen;318600;2022;51.0;2.0;399.0;105.0;37.0
36;Totaal landen;320000;2021;199.0;73.0;185336.0;4967.0;3812.0
37;Totaal landen;320000;2022;11.0;17.0;6481.0;188.0;1004.0
38;Totaal landen;320700;2021;321.0;46.0;40371.0;3014.0;3320.0
39;Totaal landen;320700;2022;249.0;34.0;15479.0;1869.0;430.0
40;Totaal landen;323200;2021;47.0;4.0;762.0;155.0;465.0
41;Totaal landen;323200;2022;73.0;7.0;3063.0;358.0;489.0
42;Totaal landen;323705;2021;231.0;13.0;2642.0;352.0;588.0
43;Totaal landen;323705;2022;165.0;10.0;2814.0;358.0;431.0
44;Totaal landen;323700;2021;207.0;10.0;2134.0;276.0;98.0
45;Totaal landen;323700;2022;142.0;8.0;2141.0;291.0;
46;Totaal landen;324600;2021;24.0;3.0;508.0;76.0;491.0
47;Totaal landen;324600;2022;23.0;3.0;673.0;67.0;
48;Totaal landen;328100;2021;52.0;18.0;4287.0;347.0;163.0
49;Totaal landen;328100;2022;118.0;18.0;4021.0;366.0;211.0
50;Totaal landen;328105;2021;463.0;45.0;9811.0;1393.0;979.0
51;Totaal landen;328105;2022;605.0;47.0;10268.0;1552.0;504.0
52;Totaal landen;330300;2021;411.0;26.0;5523.0;1046.0;816.0
53;Totaal landen;330300;2022;487.0;28.0;6247.0;1186.0;293.0
54;Totaal landen;332900;2021;94.0;28.0;14409.0;1812.0;855.0
55;Totaal landen;332900;2022;123.0;32.0;18142.0;2165.0;711.0
56;Totaal landen;334800;2021;212.0;39.0;6978.0;1564.0;155.0
57;Totaal landen;334800;2022;185.0;38.0;7547.0;1736.0;149.0
58;Totaal landen;336500;2021;391.0;37.0;13045.0;2561.0;435.0
59;Totaal landen;336500;2022;428.0;43.0;14451.0;3003.0;576.0
60;Totaal landen;339200;2021;38.0;5.0;724.0;141.0;26.0
61;Totaal landen;339200;2022;457.0;249.0;232120.0;13727.0;4949.0
62;Totaal landen;339205;2021;97.0;13.0;2469.0;364.0;42.0
63;Totaal landen;339205;2022;553.0;258.0;234553.0;13989.0;4962.0
64;Totaal landen;340200;2021;59.0;8.0;1745.0;223.0;16.0
65;Totaal landen;340200;2022;96.0;8.0;2434.0;262.0;13.0
66;Totaal landen;341600;2021;70.0;22.0;449.0;516.0;165.0
67;Totaal landen;341600;2022;52.0;21.0;1093.0;484.0;165.0
68;Totaal landen;342400;2021;258.0;53.0;12229.0;2457.0;753.0
69;Totaal landen;342400;2022;221.0;29.0;7818.0;1543.0;424.0
70;Totaal landen;344400;2021;350.0;32.0;10419.0;992.0;219.0
71;Totaal landen;344400;2022;336.0;26.0;10237.0;749.0;69.0
72;Totaal landen;346600;2021;240.0;4.0;7651.0;240.0;3065.0
73;Totaal landen;346600;2022;365.0;6.0;12613.0;298.0;
74;Totaal landen;346700;2021;240.0;4.0;7651.0;240.0;3065.0
75;Totaal landen;346700;2022;365.0;6.0;12613.0;298.0;
76;Totaal landen;348000;2021;123.0;2.0;1273.0;107.0;110.0
77;Totaal landen;348000;2022;119.0;4.0;2374.0;309.0;112.0
78;Totaal landen;348100;2021;18.0;;;;
79;Totaal landen;348100;2022;15.0;;45.0;5.0;
80;Totaal landen;348400;2021;;;;;
81;Totaal landen;348400;2022;;;;;
82;Totaal landen;348700;2021;89.0;2.0;1226.0;95.0;51.0
83;Totaal landen;348700;2022;91.0;3.0;2308.0;294.0;34.0
84;Totaal landen;349700;2021;;;;7.0;
85;Totaal landen;349700;2022;13.0;;22.0;10.0;
86;Totaal landen;350000;2021;674.0;37.0;14432.0;2293.0;1039.0
87;Totaal landen;350000;2022;735.0;28.0;14677.0;2080.0;771.0
88;Totaal landen;350100;2021;242.0;17.0;7844.0;1068.0;626.0
89;Totaal landen;350100;2022;318.0;11.0;8621.0;888.0;361.0
90;Totaal landen;350600;2021;222.0;16.0;5677.0;1039.0;326.0
91;Totaal landen;350600;2022;179.0;11.0;4394.0;773.0;272.0
92;Totaal landen;351900;2021;210.0;3.0;912.0;186.0;87.0
