ID;SBI93;Perioden;TotaalBedrijven_1;ZonderWerknemers_2;Met1Tot5Werknemers_3;Met5Tot10Werknemers_4;Met10Tot20Werknemers_5;Met20Tot50Werknemers_6;Met50Tot100Werknemers_7;Met100Tot200Werknemers_8;Met200Tot500Werknemers_9;Met500EnMeerWerknemers_10;Met1WerkzamePersoon_11;Met2WerkzamePersonen_12;Met3Tot5WerkzamePersonen_13;Met5Tot10WerkzamePersonen_14;Met10Tot20WerkzamePersonen_15;Met20Tot50WerkzamePersonen_16;Met50Tot100WerkzamePersonen_17;Met100Tot150WerkzamePersonen_18;Met150Tot200WerkzamePersonen_19;Met200Tot250WerkzamePersonen_20;Met250Tot500WerkzamePersonen_21;Met500Tot1000WerkzamePersonen_22;Met1000Tot2000WerkzamePersonen_23;Met2000EnMeerWerkzamePersonen_24;Met1Vestiging_25;Met2Vestigingen_26;Met3TM5Vestigingen_27;Met6TM10Vestigingen_28;Met11TM20Vestigingen_29;Met21EnMeerVestigingen_30;NaamlozeVennootschappen_31;BeslotenVennootschappen_32;CooperatieveVerenigingen_33;Stichtingen_34;Eenmanszaken_35;Maatschappen_36;VennootschappenOnderFirma_37;Overheid_38;Overig_39;TotaalKleinbedrijf_40;NVSEnBVS_41;Eenmanszaken_42;MaatschappenEnVOFS_43;OverigeRechtsvormen_44;TotaalMiddenbedrijf_45;NVSEnBVS_46;Eenmanszaken_47;MaatschappenEnVOFS_48;OverigeRechtsvormen_49;TotaalGrootbedrijf_50;NVSEnBVS_51;Eenmanszaken_52;MaatschappenEnVOFS_53;OverigeRechtsvormen_54
0;Totaal SBI'93;1 januari 1993;596330;314160.0;191025;37385;22805;18050;6490;3200;2100;1115;;;;;;;;;;;;;;;;;;;;;1015;125685;1940;19665;318470;28600;76425;2410;22120;542565;91705;315565;101695;33600;47350;31805;2895;3275;9370;6415;3185;10;55;3165
1;Totaal SBI'93;1 januari 1994;599955;305890.0;200030;39070;23515;18540;6715;3215;1935;1050;;;;;;;;;;;;;;;572140.0;19015.0;4865.0;1195.0;290.0;265.0;1015;125340;2005;20455;310410;32440;85685;2175;20425;544990;89360;307890;114680;33060;48765;33455;2505;3385;9425;6200;3545;15;65;2580
2;Totaal SBI'93;1 januari 1995;596365;292815.0;207965;39760;24310;18400;6780;3240;1980;1120;;;;;;;;;;;;;;;567125.0;21820.0;5500.0;1330.0;325.0;270.0;990;126040;1895;20180;302945;33635;88390;2155;20135;540535;88945;300470;118535;32580;49490;34555;2460;3425;9050;6340;3525;15;60;2740
3;Totaal SBI'93;1 januari 1996;616060;299825.0;218550;41495;25400;17980;6525;3225;1945;1115;;;;;;;;;;;;;;;584305.0;23865.0;5850.0;1410.0;340.0;290.0;1000;135565;2090;20300;301560;35015;98265;2115;20150;559865;97995;299455;129330;33080;49905;35095;2095;3880;8840;6285;3475;10;70;2735
4;Totaal SBI'93;1 januari 1997;631800;291075.0;235375;47395;27220;17820;6580;3185;1985;1165;;;;;;;;;;;;;;;598360.0;24270.0;6275.0;1965.0;370.0;345.0;995;133825;2250;19995;313880;35885;102030;2150;20790;573845;95215;311340;133535;33755;51620;36115;2535;4320;8645;6335;3485;5;65;2780
5;Totaal SBI'93;1 januari 1998;660365;312915.0;237600;51600;26560;18425;6750;3265;2030;1225;;;;;;;;;;;;;;;616465.0;32935.0;8010.0;2130.0;450.0;380.0;1025;146970;2215;20025;319925;36015;111325;2055;20810;602110;107445;317645;143085;33935;51735;36910;2280;4190;8355;6520;3640;0;60;2815
6;Totaal SBI'93;1 januari 1999;671045;324640.0;237360;50025;26565;19035;6775;3380;2015;1250;297515.0;127145.0;113580.0;67670.0;32680.0;19035.0;6775.0;2250.0;1130.0;675.0;1340.0;750.0;315.0;190.0;631995.0;28785.0;8050.0;1375.0;465.0;370.0;1010;153560;2185;19285;322950;35960;113925;1995;20180;612025;112625;320625;145580;33195;52375;38160;2325;4235;7650;6645;3785;0;70;2790
7;Totaal SBI'93;1 januari 2000;679565;330735.0;237990;50440;27105;19555;6950;3400;2130;1260;303270.0;126515.0;114045.0;69230.0;33210.0;19555.0;6950.0;2230.0;1170.0;685.0;1445.0;730.0;325.0;205.0;639535.0;29655.0;8090.0;1390.0;470.0;375.0;1030;159670;2195;19530;321155;35525;118430;1915;20110;619165;117495;318865;149210;33595;53610;39250;2280;4680;7395;6795;3955;5;70;2760
8;Totaal SBI'93;1 januari 2001;688655;329000.0;244755;52585;28050;20290;7050;3400;2185;1335;303985.0;128375.0;116160.0;71275.0;34595.0;20290.0;7050.0;2200.0;1200.0;705.0;1480.0;760.0;350.0;225.0;649835.0;28595.0;8005.0;1305.0;465.0;385.0;1040;166615;2100;20760;317170;34870;123020;1860;21225;626340;122460;314950;152985;35945;55390;41115;2215;4840;7225;6925;4080;5;65;2775
9;Totaal SBI'93;1 januari 2002;693430;355835.0;230955;42760;28995;20500;6950;3750;2275;1400;332760.0;117350.0;113730.0;60725.0;33985.0;20500.0;6950.0;2455.0;1300.0;755.0;1520.0;790.0;385.0;225.0;659500.0;25240.0;6360.0;1180.0;575.0;485.0;1065;174950;1860;20775;317435;34905;120545;1790;20105;629555;128815;315675;150465;34600;56445;42755;1755;4905;7030;7430;4440;5;80;2905
