ID;BranchesSIC2008;Periods;TurnoverIndices_1;TurnoverChange_2
0;H Transportation and storage;2005 1st quarter;91.4;
1;H Transportation and storage;2005 2nd quarter;100.7;
2;H Transportation and storage;2005 3rd quarter;101.5;
3;H Transportation and storage;2005 4th quarter;106.4;
4;H Transportation and storage;2005;100.0;
5;H Transportation and storage;2006 1st quarter;99.0;8.3
6;H Transportation and storage;2006 2nd quarter;106.3;5.6
7;H Transportation and storage;2006 3rd quarter;105.4;3.8
8;H Transportation and storage;2006 4th quarter;110.1;3.5
9;H Transportation and storage;2006;105.2;5.2
10;H Transportation and storage;2007 1st quarter;105.4;6.5
11;H Transportation and storage;2007 2nd quarter;114.6;7.7
12;H Transportation and storage;2007 3rd quarter;115.4;9.5
13;H Transportation and storage;2007 4th quarter;119.0;8.1
14;H Transportation and storage;2007;113.6;8.0
15;H Transportation and storage;2008 1st quarter;111.2;5.4
16;H Transportation and storage;2008 2nd quarter;120.6;5.3
17;H Transportation and storage;2008 3rd quarter;119.8;3.8
18;H Transportation and storage;2008 4th quarter;119.2;0.1
19;H Transportation and storage;2008;117.7;3.6
20;H Transportation and storage;2009 1st quarter;99.0;-11.0
21;H Transportation and storage;2009 2nd quarter;103.5;-14.2
22;H Transportation and storage;2009 3rd quarter;103.7;-13.5
23;H Transportation and storage;2009 4th quarter;105.8;-11.3
24;H Transportation and storage;2009;103.0;-12.5
25;H Transportation and storage;2010 1st quarter;97.0;-2.0
26;H Transportation and storage;2010 2nd quarter;105.7;2.1
27;H Transportation and storage;2010 3rd quarter;109.0;5.1
28;H Transportation and storage;2010 4th quarter;110.9;4.9
29;H Transportation and storage;2010;105.6;2.6
30;H Transportation and storage;2011 1st quarter;103.1;6.3
31;H Transportation and storage;2011 2nd quarter;111.9;5.9
32;H Transportation and storage;2011 3rd quarter;112.3;3.1
33;H Transportation and storage;2011 4th quarter;113.2;2.1
34;H Transportation and storage;2011;110.2;4.3
35;H Transportation and storage;2012 1st quarter;107.0;3.8
36;H Transportation and storage;2012 2nd quarter;115.7;3.4
37;H Transportation and storage;2012 3rd quarter;115.9;3.2
38;H Transportation and storage;2012 4th quarter;115.9;2.4
39;H Transportation and storage;2012;113.6;3.2
40;49 Land transport ;2005 1st quarter;91.2;
41;49 Land transport ;2005 2nd quarter;101.6;
42;49 Land transport ;2005 3rd quarter;98.6;
43;49 Land transport ;2005 4th quarter;108.6;
44;49 Land transport ;2005;100.0;
45;49 Land transport ;2006 1st quarter;100.7;10.3
46;49 Land transport ;2006 2nd quarter;112.2;10.5
47;49 Land transport ;2006 3rd quarter;108.3;9.8
48;49 Land transport ;2006 4th quarter;117.0;7.7
49;49 Land transport ;2006;109.5;9.5
50;49 Land transport ;2007 1st quarter;110.0;9.3
51;49 Land transport ;2007 2nd quarter;120.7;7.6
52;49 Land transport ;2007 3rd quarter;116.5;7.6
53;49 Land transport ;2007 4th quarter;123.4;5.5
54;49 Land transport ;2007;117.7;7.4
55;49 Land transport ;2008 1st quarter;116.8;6.2
56;49 Land transport ;2008 2nd quarter;127.4;5.5
57;49 Land transport ;2008 3rd quarter;123.4;6.0
58;49 Land transport ;2008 4th quarter;125.2;1.4
59;49 Land transport ;2008;123.2;4.7
60;49 Land transport ;2009 1st quarter;107.7;-7.8
61;49 Land transport ;2009 2nd quarter;115.5;-9.4
62;49 Land transport ;2009 3rd quarter;110.5;-10.5
63;49 Land transport ;2009 4th quarter;116.9;-6.6
64;49 Land transport ;2009;112.6;-8.6
