ID;TypeOfClubSchoolAcademy;Periods;SailingAndSurfingSchools_1;SportsClubs_2;SportsSchoolsAndRidingAcademies_3;ClubsSchoolsAndRidingAcademies_4;Members_5;PeopleReceivingInstruction_6;MembersPeopleReceivingInstruction_7;TotalRevenues_8;TotalCosts_9
0;1;1987;;;;;;;;;
1;1;1988;;841.0;;;151.0;;;20.0;19.0
2;1;1990;;;;;;;;;
3;1;1991;;942.0;;;170.0;;;28.0;26.0
4;1;1993;;;;;;;;;
5;1;1994;;955.0;;;170.0;;;32.0;28.0
6;1;1996;;;;;;;;;
7;1;1997;;950.0;;;170.0;;;30.0;28.0
8;1;2000;;1070.0;;;185.0;;;36.0;33.0
9;1;2003;;1080.0;;;184.0;;;47.0;43.0
10;1;2006;;1050.0;;;178.0;;;47.0;43.0
11;2;1987;;;;;;;;;
12;2;1988;81.0;;;;;17.0;;4.0;4.0
13;2;1990;;;;;;;;;
14;2;1991;107.0;;;;;37.0;;8.0;5.0
15;2;1993;;;;;;;;;
16;2;1994;85.0;;;;;27.0;;9.0;7.0
17;2;1996;;;;;;;;;
18;2;1997;90.0;;;;;30.0;;11.0;9.0
19;2;2000;105.0;;;;;32.0;;14.0;12.0
20;2;2003;115.0;;;;;36.0;;18.0;15.0
21;2;2006;140.0;;;;;36.0;;18.0;15.0
22;Total of other clubs, schools, academies;1987;;;;24050.0;;;4517.0;537.0;511.0
23;Total of other clubs, schools, academies;1988;;;;;;;;;
24;Total of other clubs, schools, academies;1990;;;;25600.0;;;5005.0;739.0;692.0
25;Total of other clubs, schools, academies;1991;;;;;;;;;
26;Total of other clubs, schools, academies;1993;;;;28150.0;;;5740.0;910.0;861.0
27;Total of other clubs, schools, academies;1994;;;;;;;;;
28;Total of other clubs, schools, academies;1996;;;;25900.0;;;5310.0;960.0;915.0
29;Total of other clubs, schools, academies;1997;;;;;;;;;
30;Total of other clubs, schools, academies;2000;;;;29770.0;;;5983.0;1450.0;1380.0
31;Total of other clubs, schools, academies;2003;;;;30070.0;;;6021.0;1651.0;1578.0
32;Total of other clubs, schools, academies;2006;;;;32710.0;;;6365.0;1986.0;1837.0
33;3;1987;;3290.0;;;836.0;;;178.0;175.0
34;3;1988;;;;;;;;;
35;3;1990;;3270.0;;;963.0;;;253.0;250.0
36;3;1991;;;;;;;;;
37;3;1993;;3270.0;;;1063.0;;;314.0;310.0
38;3;1994;;;;;;;;;
39;3;1996;;3040.0;;;972.0;;;369.0;362.0
40;3;1997;;;;;;;;;
41;3;2000;;2880.0;;;1050.0;;;640.0;639.0
42;3;2003;;2840.0;;;994.0;;;704.0;721.0
43;3;2006;;2750.0;;;1055.0;;;828.0;802.0
44;4;1987;;1590.0;;;387.0;;;59.0;56.0
45;4;1988;;;;;;;;;
46;4;1990;;1760.0;;;390.0;;;73.0;70.0
47;4;1991;;;;;;;;;
48;4;1993;;1780.0;;;454.0;;;90.0;87.0
49;4;1994;;;;;;;;;
50;4;1996;;1980.0;;;465.0;;;106.0;101.0
51;4;1997;;;;;;;;;
52;4;2000;;2050.0;;;569.0;;;160.0;153.0
53;4;2003;;2060.0;;;624.0;;;201.0;192.0
54;4;2006;;2050.0;;;638.0;;;241.0;232.0
55;5;1987;;1620.0;;;674.0;;;74.0;70.0
