ID;Activiteiten;Perioden;TotaalAantalWatersportclubs_1;GemiddeldLedentalPerWatersportclub_2;TotaalAantalLedenWatersportclubs_3;LedenJongerDan18Jaar_4;LedenVan18JaarEnOuder_5;TotaalClubsMetJaarcontributie_6;MinderDan50Euro_7;k_50Tot100Euro_8;k_100EuroEnMeer_9;GemiddeldeJaarcontributie_10;AantalClubsMetWerkverplichting_11;Ja_12;Nee_13;GemiddeldAantalLedenPerClub_14;GemiddeldAantalUrenWerk_15;GemiddeldAantalLedenPerClub_16;GemiddeldAantalUrenWerk_17
0;Totaal watersportclubs;1997;950;180;170;8;92;910;73;19;8;45;445;25;75;60.0;10.0;9.0;4.0
1;Totaal watersportclubs;2000;1070;175;185;8;92;1045;66;22;12;53;490;28;72;;;;
2;Totaal watersportclubs;2003;1080;170;184;9;91;1045;54;28;18;62;510;28;72;;;;
3;Totaal watersportclubs;2006;1050;170;178;10;90;1025;48;32;20;72;495;28;72;;;;
4;Totaal watersportclubs;2009;1105;165;183;10;90;1085;43;33;24;85;480;28;72;;;;
5;Totaal watersportclubs;2012;1110;165;181;9;91;1085;41;31;28;89;500;30;70;;;;
6;Kanovaren en/of roeien;1997;185;145;25;10;90;180;37;37;26;78;85;24;76;50.0;11.0;17.0;4.0
7;Kanovaren en/of roeien;2000;240;150;36;10;90;235;32;37;32;86;115;20;80;;;;
8;Kanovaren en/of roeien;2003;245;145;36;8;92;245;22;37;40;100;115;22;78;;;;
9;Kanovaren en/of roeien;2006;265;125;33;9;91;255;19;39;42;108;120;20;80;;;;
10;Kanovaren en/of roeien;2009;300;135;40;10;90;290;15;36;49;122;130;21;79;;;;
11;Kanovaren en/of roeien;2012;280;150;41;10;90;275;12;31;57;140;125;28;72;;;;
12;Zeilen en/of surfen;1997;210;155;30;8;92;205;87;10;3;35;60;22;78;45.0;9.0;8.0;4.0
13;Zeilen en/of surfen;2000;220;135;30;12;88;220;74;18;8;47;70;30;70;;;;
14;Zeilen en/of surfen;2003;225;135;30;15;85;210;60;31;9;48;65;31;69;;;;
15;Zeilen en/of surfen;2006;205;140;29;15;85;195;55;33;12;64;55;31;69;;;;
16;Zeilen en/of surfen;2009;230;140;32;13;87;225;48;35;18;89;65;27;73;;;;
17;Zeilen en/of surfen;2012;225;145;32;9;91;220;42;37;21;88;50;33;67;;;;
18;Zeilen en motorbootvaren;1997;250;185;50;4;96;235;83;15;2;35;145;28;72;65.0;10.0;6.0;4.0
19;Zeilen en motorbootvaren;2000;285;200;57;4;96;280;73;21;6;45;140;29;71;;;;
20;Zeilen en motorbootvaren;2003;290;220;63;5;95;285;68;25;7;47;155;30;70;;;;
21;Zeilen en motorbootvaren;2006;250;215;54;6;94;245;58;35;8;57;150;36;64;;;;
22;Zeilen en motorbootvaren;2009;235;200;47;6;94;230;54;38;8;62;125;33;67;;;;
23;Zeilen en motorbootvaren;2012;220;205;45;7;93;220;48;42;10;64;125;33;67;;;;
24;Motorbootvaren en/of waterskiën;1997;105;110;10;2;98;95;84;10;5;33;60;19;81;50.0;11.0;4.0;4.0
25;Motorbootvaren en/of waterskiën;2000;155;95;15;5;95;150;79;13;8;38;75;26;74;;;;
26;Motorbootvaren en/of waterskiën;2003;160;95;15;4;96;150;68;21;11;49;80;24;76;;;;
27;Motorbootvaren en/of waterskiën;2006;165;85;14;4;96;155;65;23;12;52;85;21;79;;;;
28;Motorbootvaren en/of waterskiën;2009;165;105;18;10;90;165;62;23;15;62;75;34;66;;;;
29;Motorbootvaren en/of waterskiën;2012;175;100;17;6;94;170;59;21;20;65;95;29;71;;;;
30;Overig of andere combinaties watersport;1997;200;275;55;11;89;190;76;18;6;43;100;29;71;75.0;9.0;8.0;5.0
31;Overig of andere combinaties watersport;2000;170;285;48;10;90;165;77;17;7;43;95;35;65;;;;
32;Overig of andere combinaties watersport;2003;165;255;41;12;88;155;59;22;19;59;90;31;69;;;;
33;Overig of andere combinaties watersport;2006;175;280;49;13;87;170;53;24;23;66;85;29;71;;;;
34;Overig of andere combinaties watersport;2009;175;270;47;11;89;175;52;26;22;71;85;26;74;;;;
35;Overig of andere combinaties watersport;2012;210;215;45;11;89;200;52;26;22;72;100;26;74;;;;
