ID;Geslacht;Leeftijd;Leerweg;OpleidingsrichtingEnSector;Herkomstgroepering;Perioden;TotaalGediplomeerden_1;EntreeopleidingNiveau1_2;BasisberoepsopleidingNiveau2_3;VakopleidingNiveau3_4;MiddenkaderopleidingNiveau4a_5;SpecialistenopleidingNiveau4b_6;KorteOpleiding_7;LangeOpleiding_8;PrimaireOpleiding_9;VoortgezetteOpleiding_10
0;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1990/'91;;;;;;;;;;
1;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1991/'92;;;;;;;;;;
2;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1992/'93;;;;;;;;;;
3;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1993/'94;;;;;;;;;;
4;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1994/'95;;;;;;;;;;
5;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1995/'96;;;;;;;;;;
6;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1996/'97;;;;;;;;;;
7;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1997/'98;106637.0;3171.0;4941.0;3977.0;2261.0;552.0;53194.0;14063.0;11525.0;12953.0
8;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1998/'99;113364.0;6859.0;25359.0;13405.0;4474.0;1092.0;52430.0;2601.0;1162.0;5982.0
9;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;1999/'00;119046.0;8469.0;32015.0;27660.0;29479.0;1837.0;17661.0;134.0;50.0;1741.0
10;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2000/'01;128697.0;10361.0;33832.0;30953.0;49990.0;1983.0;1422.0;;3.0;153.0
11;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2001/'02;130658.0;12609.0;36569.0;35693.0;43184.0;2518.0;85.0;;;
12;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2002/'03;132866.0;13689.0;36619.0;35181.0;45066.0;2295.0;16.0;;;
13;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2003/'04;139719.0;12479.0;41440.0;37323.0;46127.0;2350.0;;;;
14;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2004/'05;142487.0;12050.0;42644.0;37866.0;47368.0;2559.0;;;;
15;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2005/'06;146300.0;12929.0;44424.0;36402.0;49901.0;2644.0;;;;
16;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2006/'07;148753.0;13241.0;44516.0;37212.0;51136.0;2648.0;;;;
17;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2007/'08;156116.0;13903.0;48423.0;38632.0;52660.0;2498.0;;;;
18;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2008/'09;161752.0;13203.0;50625.0;40915.0;54816.0;2193.0;;;;
19;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2009/'10;200375.0;16468.0;80546.0;43859.0;57726.0;1776.0;;;;
20;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2010/'11;175553.0;16955.0;54963.0;44316.0;57746.0;1573.0;;;;
21;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2011/'12;179189.0;16533.0;56610.0;45338.0;59612.0;1096.0;;;;
22;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2012/'13;182430.0;17236.0;55643.0;46749.0;62072.0;730.0;;;;
23;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2013/'14;178176.0;16735.0;50648.0;46901.0;63540.0;352.0;;;;
24;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2014/'15;167790.0;11679.0;45219.0;46049.0;64721.0;122.0;0.0;0.0;0.0;0.0
25;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;2015/'16;154373.0;10458.0;39282.0;42262.0;62350.0;21.0;;;;
26;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Autochtoon;1990/'91;;;;;;;;;;
27;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Autochtoon;1991/'92;;;;;;;;;;
28;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Autochtoon;1992/'93;;;;;;;;;;
29;Totaal mannen en vrouwen;0;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Autochtoon;1993/'94;;;;;;;;;;
